game,2013,7,20131020,201310200car,ram,"St. Louis Rams",15,car,"Carolina Panthers",30
player,201310200car,ram,QuicBr00,pass_sacked,0,,,,,
player,201310200car,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201310200car,ram,QuicBr00,pass_long,0,,,,,
player,201310200car,ram,QuicBr00,pass_rating,,,,,,
player,201310200car,ram,QuicBr00,rush_att,0,,,,,
player,201310200car,ram,QuicBr00,rush_yds,0,,,,,
player,201310200car,ram,QuicBr00,rush_td,0,,,,,
player,201310200car,ram,QuicBr00,rush_long,0,,,,,
player,201310200car,ram,QuicBr00,targets,6,,,,,
player,201310200car,ram,QuicBr00,rec,2,,,,,
player,201310200car,ram,QuicBr00,rec_yds,97,,,,,
player,201310200car,ram,QuicBr00,rec_td,0,,,,,
player,201310200car,ram,QuicBr00,rec_long,73,,,,,
player,201310200car,ram,QuicBr00,fumbles,0,,,,,
player,201310200car,ram,QuicBr00,fumbles_lost,0,,,,,
player,201310200car,ram,AustTa00,pass_cmp,0,,,,,
player,201310200car,ram,AustTa00,pass_att,0,,,,,
player,201310200car,ram,AustTa00,pass_yds,0,,,,,
player,201310200car,ram,AustTa00,pass_td,0,,,,,
player,201310200car,ram,AustTa00,pass_int,0,,,,,
player,201310200car,ram,AustTa00,pass_sacked,0,,,,,
player,201310200car,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201310200car,ram,AustTa00,pass_long,0,,,,,
player,201310200car,ram,AustTa00,pass_rating,,,,,,
player,201310200car,ram,AustTa00,rush_att,0,,,,,
player,201310200car,ram,AustTa00,rush_yds,0,,,,,
player,201310200car,ram,AustTa00,rush_td,0,,,,,
player,201310200car,ram,AustTa00,rush_long,0,,,,,
player,201310200car,ram,AustTa00,targets,5,,,,,
player,201310200car,ram,AustTa00,rec,5,,,,,
player,201310200car,ram,AustTa00,rec_yds,39,,,,,
player,201310200car,ram,AustTa00,rec_td,0,,,,,
player,201310200car,ram,AustTa00,rec_long,24,,,,,
player,201310200car,ram,AustTa00,fumbles,2,,,,,
player,201310200car,ram,AustTa00,fumbles_lost,1,,,,,
player,201310200car,ram,CookJa02,pass_cmp,0,,,,,
player,201310200car,ram,CookJa02,pass_att,0,,,,,
player,201310200car,ram,CookJa02,pass_yds,0,,,,,
player,201310200car,ram,CookJa02,pass_td,0,,,,,
player,201310200car,ram,CookJa02,pass_int,0,,,,,
player,201310200car,ram,CookJa02,pass_sacked,0,,,,,
player,201310200car,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201310200car,ram,CookJa02,pass_long,0,,,,,
player,201310200car,ram,CookJa02,pass_rating,,,,,,
player,201310200car,ram,CookJa02,rush_att,0,,,,,
player,201310200car,ram,CookJa02,rush_yds,0,,,,,
player,201310200car,ram,CookJa02,rush_td,0,,,,,
player,201310200car,ram,CookJa02,rush_long,0,,,,,
player,201310200car,ram,CookJa02,targets,7,,,,,
player,201310200car,ram,CookJa02,rec,4,,,,,
player,201310200car,ram,CookJa02,rec_yds,33,,,,,
player,201310200car,ram,CookJa02,rec_td,0,,,,,
player,201310200car,ram,CookJa02,rec_long,13,,,,,
player,201310200car,ram,CookJa02,fumbles,0,,,,,
player,201310200car,ram,CookJa02,fumbles_lost,0,,,,,
player,201310200car,ram,GiveCh00,pass_cmp,0,,,,,
player,201310200car,ram,GiveCh00,pass_att,0,,,,,
player,201310200car,ram,GiveCh00,pass_yds,0,,,,,
player,201310200car,ram,GiveCh00,pass_td,0,,,,,
player,201310200car,ram,GiveCh00,pass_int,0,,,,,
player,201310200car,ram,GiveCh00,pass_sacked,0,,,,,
player,201310200car,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201310200car,ram,GiveCh00,pass_long,0,,,,,
player,201310200car,ram,GiveCh00,pass_rating,,,,,,
player,201310200car,ram,GiveCh00,rush_att,0,,,,,
player,201310200car,ram,GiveCh00,rush_yds,0,,,,,
player,201310200car,ram,GiveCh00,rush_td,0,,,,,
player,201310200car,ram,GiveCh00,rush_long,0,,,,,
player,201310200car,ram,GiveCh00,targets,2,,,,,
player,201310200car,ram,GiveCh00,rec,1,,,,,
player,201310200car,ram,GiveCh00,rec_yds,24,,,,,
player,201310200car,ram,GiveCh00,rec_td,0,,,,,
player,201310200car,ram,GiveCh00,rec_long,24,,,,,
player,201310200car,ram,GiveCh00,fumbles,0,,,,,
player,201310200car,ram,GiveCh00,fumbles_lost,0,,,,,
player,201310200car,ram,PettAu00,pass_cmp,0,,,,,
player,201310200car,ram,PettAu00,pass_att,0,,,,,
player,201310200car,ram,PettAu00,pass_yds,0,,,,,
player,201310200car,ram,PettAu00,pass_td,0,,,,,
player,201310200car,ram,PettAu00,pass_int,0,,,,,
player,201310200car,ram,PettAu00,pass_sacked,0,,,,,
player,201310200car,ram,PettAu00,pass_sacked_yds,0,,,,,
player,201310200car,ram,PettAu00,pass_long,0,,,,,
player,201310200car,ram,PettAu00,pass_rating,,,,,,
player,201310200car,ram,PettAu00,rush_att,0,,,,,
player,201310200car,ram,PettAu00,rush_yds,0,,,,,
player,201310200car,ram,PettAu00,rush_td,0,,,,,
player,201310200car,ram,PettAu00,rush_long,0,,,,,
player,201310200car,ram,PettAu00,targets,4,,,,,
player,201310200car,ram,PettAu00,rec,2,,,,,
player,201310200car,ram,PettAu00,rec_yds,17,,,,,
