game,2013,5,20131006,201310060oti,kan,"Kansas City Chiefs",26,oti,"Tennessee Titans",17
team,201310060oti,kan,First Downs,20,,,,,,
team,201310060oti,oti,First Downs,19,,,,,,
team,201310060oti,kan,Rush-Yds-TDs,26-120-1,,,,,,
team,201310060oti,oti,Rush-Yds-TDs,22-105-1,,,,,,
team,201310060oti,kan,Cmp-Att-Yd-TD-INT,20-39-245-0-1,,,,,,
team,201310060oti,oti,Cmp-Att-Yd-TD-INT,21-41-247-1-2,,,,,,
team,201310060oti,kan,Sacked-Yards,2-12,,,,,,
team,201310060oti,oti,Sacked-Yards,3-13,,,,,,
team,201310060oti,kan,Net Pass Yards,233,,,,,,
team,201310060oti,oti,Net Pass Yards,234,,,,,,
team,201310060oti,kan,Total Yards,353,,,,,,
team,201310060oti,oti,Total Yards,339,,,,,,
team,201310060oti,kan,Fumbles-Lost,1-1,,,,,,
team,201310060oti,oti,Fumbles-Lost,2-1,,,,,,
team,201310060oti,kan,Turnovers,2,,,,,,
team,201310060oti,oti,Turnovers,3,,,,,,
team,201310060oti,kan,Penalties-Yards,9-61,,,,,,
team,201310060oti,oti,Penalties-Yards,6-35,,,,,,
team,201310060oti,kan,Third Down Conv.,1-12,,,,,,
team,201310060oti,oti,Third Down Conv.,4-14,,,,,,
team,201310060oti,kan,Fourth Down Conv.,0-0,,,,,,
team,201310060oti,oti,Fourth Down Conv.,2-3,,,,,,
team,201310060oti,kan,Time of Possession,31:17,,,,,,
team,201310060oti,oti,Time of Possession,28:43,,,,,,
player,201310060oti,kan,SmitAl03,pass_cmp,20,,,,,
player,201310060oti,kan,SmitAl03,pass_att,39,,,,,
player,201310060oti,kan,SmitAl03,pass_yds,245,,,,,
player,201310060oti,kan,SmitAl03,pass_td,0,,,,,
player,201310060oti,kan,SmitAl03,pass_int,1,,,,,
player,201310060oti,kan,SmitAl03,pass_sacked,2,,,,,
player,201310060oti,kan,SmitAl03,pass_sacked_yds,12,,,,,
player,201310060oti,kan,SmitAl03,pass_long,44,,,,,
player,201310060oti,kan,SmitAl03,pass_rating,60.3,,,,,
player,201310060oti,kan,SmitAl03,rush_att,3,,,,,
player,201310060oti,kan,SmitAl03,rush_yds,10,,,,,
player,201310060oti,kan,SmitAl03,rush_td,0,,,,,
player,201310060oti,kan,SmitAl03,rush_long,6,,,,,
player,201310060oti,kan,SmitAl03,targets,0,,,,,
player,201310060oti,kan,SmitAl03,rec,0,,,,,
player,201310060oti,kan,SmitAl03,rec_yds,0,,,,,
player,201310060oti,kan,SmitAl03,rec_td,0,,,,,
player,201310060oti,kan,SmitAl03,rec_long,0,,,,,
player,201310060oti,kan,SmitAl03,fumbles,0,,,,,
player,201310060oti,kan,SmitAl03,fumbles_lost,0,,,,,
player,201310060oti,kan,CharJa00,pass_cmp,0,,,,,
player,201310060oti,kan,CharJa00,pass_att,0,,,,,
player,201310060oti,kan,CharJa00,pass_yds,0,,,,,
player,201310060oti,kan,CharJa00,pass_td,0,,,,,
player,201310060oti,kan,CharJa00,pass_int,0,,,,,
player,201310060oti,kan,CharJa00,pass_sacked,0,,,,,
player,201310060oti,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201310060oti,kan,CharJa00,pass_long,0,,,,,
player,201310060oti,kan,CharJa00,pass_rating,,,,,,
player,201310060oti,kan,CharJa00,rush_att,22,,,,,
player,201310060oti,kan,CharJa00,rush_yds,108,,,,,
player,201310060oti,kan,CharJa00,rush_td,1,,,,,
player,201310060oti,kan,CharJa00,rush_long,19,,,,,
player,201310060oti,kan,CharJa00,targets,9,,,,,
player,201310060oti,kan,CharJa00,rec,5,,,,,
player,201310060oti,kan,CharJa00,rec_yds,37,,,,,
player,201310060oti,kan,CharJa00,rec_td,0,,,,,
player,201310060oti,kan,CharJa00,rec_long,11,,,,,
player,201310060oti,kan,CharJa00,fumbles,1,,,,,
player,201310060oti,kan,CharJa00,fumbles_lost,1,,,,,
player,201310060oti,kan,DaviKn00,pass_cmp,0,,,,,
player,201310060oti,kan,DaviKn00,pass_att,0,,,,,
player,201310060oti,kan,DaviKn00,pass_yds,0,,,,,
player,201310060oti,kan,DaviKn00,pass_td,0,,,,,
player,201310060oti,kan,DaviKn00,pass_int,0,,,,,
player,201310060oti,kan,DaviKn00,pass_sacked,0,,,,,
player,201310060oti,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201310060oti,kan,DaviKn00,pass_long,0,,,,,
player,201310060oti,kan,DaviKn00,pass_rating,,,,,,
player,201310060oti,kan,DaviKn00,rush_att,1,,,,,
player,201310060oti,kan,DaviKn00,rush_yds,2,,,,,
player,201310060oti,kan,DaviKn00,rush_td,0,,,,,
player,201310060oti,kan,DaviKn00,rush_long,2,,,,,
player,201310060oti,kan,DaviKn00,targets,1,,,,,
player,201310060oti,kan,DaviKn00,rec,0,,,,,
player,201310060oti,kan,DaviKn00,rec_yds,0,,,,,
