game,2013,17,20131229,201312290min,det,"Detroit Lions",13,min,"Minnesota Vikings",14
team,201312290min,det,First Downs,14,,,,,,
team,201312290min,min,First Downs,19,,,,,,
team,201312290min,det,Rush-Yds-TDs,22-63-0,,,,,,
team,201312290min,min,Rush-Yds-TDs,20-174-1,,,,,,
team,201312290min,det,Cmp-Att-Yd-TD-INT,22-33-217-1-0,,,,,,
team,201312290min,min,Cmp-Att-Yd-TD-INT,20-33-189-1-1,,,,,,
team,201312290min,det,Sacked-Yards,5-35,,,,,,
team,201312290min,min,Sacked-Yards,3-18,,,,,,
team,201312290min,det,Net Pass Yards,182,,,,,,
team,201312290min,min,Net Pass Yards,171,,,,,,
team,201312290min,det,Total Yards,245,,,,,,
team,201312290min,min,Total Yards,345,,,,,,
team,201312290min,det,Fumbles-Lost,1-0,,,,,,
team,201312290min,min,Fumbles-Lost,1-1,,,,,,
team,201312290min,det,Turnovers,0,,,,,,
team,201312290min,min,Turnovers,2,,,,,,
team,201312290min,det,Penalties-Yards,6-52,,,,,,
team,201312290min,min,Penalties-Yards,4-25,,,,,,
team,201312290min,det,Third Down Conv.,5-15,,,,,,
team,201312290min,min,Third Down Conv.,3-11,,,,,,
team,201312290min,det,Fourth Down Conv.,0-0,,,,,,
team,201312290min,min,Fourth Down Conv.,0-0,,,,,,
team,201312290min,det,Time of Possession,32:37,,,,,,
team,201312290min,min,Time of Possession,27:23,,,,,,
player,201312290min,det,StafMa00,pass_cmp,22,,,,,
player,201312290min,det,StafMa00,pass_att,33,,,,,
player,201312290min,det,StafMa00,pass_yds,217,,,,,
player,201312290min,det,StafMa00,pass_td,1,,,,,
player,201312290min,det,StafMa00,pass_int,0,,,,,
player,201312290min,det,StafMa00,pass_sacked,5,,,,,
player,201312290min,det,StafMa00,pass_sacked_yds,35,,,,,
player,201312290min,det,StafMa00,pass_long,32,,,,,
player,201312290min,det,StafMa00,pass_rating,95.1,,,,,
player,201312290min,det,StafMa00,rush_att,0,,,,,
player,201312290min,det,StafMa00,rush_yds,0,,,,,
player,201312290min,det,StafMa00,rush_td,0,,,,,
player,201312290min,det,StafMa00,rush_long,0,,,,,
player,201312290min,det,StafMa00,targets,0,,,,,
player,201312290min,det,StafMa00,rec,0,,,,,
player,201312290min,det,StafMa00,rec_yds,0,,,,,
player,201312290min,det,StafMa00,rec_td,0,,,,,
player,201312290min,det,StafMa00,rec_long,0,,,,,
player,201312290min,det,StafMa00,fumbles,0,,,,,
player,201312290min,det,StafMa00,fumbles_lost,0,,,,,
player,201312290min,det,BushRe00,pass_cmp,0,,,,,
player,201312290min,det,BushRe00,pass_att,0,,,,,
player,201312290min,det,BushRe00,pass_yds,0,,,,,
player,201312290min,det,BushRe00,pass_td,0,,,,,
player,201312290min,det,BushRe00,pass_int,0,,,,,
player,201312290min,det,BushRe00,pass_sacked,0,,,,,
player,201312290min,det,BushRe00,pass_sacked_yds,0,,,,,
player,201312290min,det,BushRe00,pass_long,0,,,,,
player,201312290min,det,BushRe00,pass_rating,,,,,,
player,201312290min,det,BushRe00,rush_att,14,,,,,
player,201312290min,det,BushRe00,rush_yds,32,,,,,
player,201312290min,det,BushRe00,rush_td,0,,,,,
player,201312290min,det,BushRe00,rush_long,8,,,,,
player,201312290min,det,BushRe00,targets,6,,,,,
player,201312290min,det,BushRe00,rec,5,,,,,
player,201312290min,det,BushRe00,rec_yds,33,,,,,
player,201312290min,det,BushRe00,rec_td,1,,,,,
player,201312290min,det,BushRe00,rec_long,19,,,,,
player,201312290min,det,BushRe00,fumbles,0,,,,,
player,201312290min,det,BushRe00,fumbles_lost,0,,,,,
player,201312290min,det,BellJo01,pass_cmp,0,,,,,
player,201312290min,det,BellJo01,pass_att,0,,,,,
player,201312290min,det,BellJo01,pass_yds,0,,,,,
player,201312290min,det,BellJo01,pass_td,0,,,,,
player,201312290min,det,BellJo01,pass_int,0,,,,,
player,201312290min,det,BellJo01,pass_sacked,0,,,,,
player,201312290min,det,BellJo01,pass_sacked_yds,0,,,,,
player,201312290min,det,BellJo01,pass_long,0,,,,,
player,201312290min,det,BellJo01,pass_rating,,,,,,
player,201312290min,det,BellJo01,rush_att,8,,,,,
player,201312290min,det,BellJo01,rush_yds,31,,,,,
player,201312290min,det,BellJo01,rush_td,0,,,,,
player,201312290min,det,BellJo01,rush_long,9,,,,,
player,201312290min,det,BellJo01,targets,4,,,,,
player,201312290min,det,BellJo01,rec,4,,,,,
player,201312290min,det,BellJo01,rec_yds,25,,,,,
player,201312290min,det,BellJo01,rec_td,0,,,,,
player,201312290min,det,BellJo01,rec_long,11,,,,,
player,201312290min,det,BellJo01,fumbles,1,,,,,
player,201312290min,det,BellJo01,fumbles_lost,0,,,,,
player,201312290min,det,OgleKe00,pass_cmp,0,,,,,
player,201312290min,det,OgleKe00,pass_att,0,,,,,
player,201312290min,det,OgleKe00,pass_yds,0,,,,,
player,201312290min,det,OgleKe00,pass_td,0,,,,,
