game,2013,14,20131208,201312080nwe,cle,"Cleveland Browns",26,nwe,"New England Patriots",27
team,201312080nwe,cle,First Downs,24,,,,,,
team,201312080nwe,nwe,First Downs,30,,,,,,
team,201312080nwe,cle,Rush-Yds-TDs,25-108-0,,,,,,
team,201312080nwe,nwe,Rush-Yds-TDs,21-87-1,,,,,,
team,201312080nwe,cle,Cmp-Att-Yd-TD-INT,29-44-391-3-0,,,,,,
team,201312080nwe,nwe,Cmp-Att-Yd-TD-INT,32-52-418-2-1,,,,,,
team,201312080nwe,cle,Sacked-Yards,1-5,,,,,,
team,201312080nwe,nwe,Sacked-Yards,4-21,,,,,,
team,201312080nwe,cle,Net Pass Yards,386,,,,,,
team,201312080nwe,nwe,Net Pass Yards,397,,,,,,
team,201312080nwe,cle,Total Yards,494,,,,,,
team,201312080nwe,nwe,Total Yards,484,,,,,,
team,201312080nwe,cle,Fumbles-Lost,0-0,,,,,,
team,201312080nwe,nwe,Fumbles-Lost,1-1,,,,,,
team,201312080nwe,cle,Turnovers,0,,,,,,
team,201312080nwe,nwe,Turnovers,2,,,,,,
team,201312080nwe,cle,Penalties-Yards,7-75,,,,,,
team,201312080nwe,nwe,Penalties-Yards,6-41,,,,,,
team,201312080nwe,cle,Third Down Conv.,7-15,,,,,,
team,201312080nwe,nwe,Third Down Conv.,6-15,,,,,,
team,201312080nwe,cle,Fourth Down Conv.,0-0,,,,,,
team,201312080nwe,nwe,Fourth Down Conv.,1-1,,,,,,
team,201312080nwe,cle,Time of Possession,31:40,,,,,,
team,201312080nwe,nwe,Time of Possession,28:20,,,,,,
player,201312080nwe,cle,CampJa00,pass_cmp,29,,,,,
player,201312080nwe,cle,CampJa00,pass_att,44,,,,,
player,201312080nwe,cle,CampJa00,pass_yds,391,,,,,
player,201312080nwe,cle,CampJa00,pass_td,3,,,,,
player,201312080nwe,cle,CampJa00,pass_int,0,,,,,
player,201312080nwe,cle,CampJa00,pass_sacked,1,,,,,
player,201312080nwe,cle,CampJa00,pass_sacked_yds,5,,,,,
player,201312080nwe,cle,CampJa00,pass_long,80,,,,,
player,201312080nwe,cle,CampJa00,pass_rating,116.8,,,,,
player,201312080nwe,cle,CampJa00,rush_att,2,,,,,
player,201312080nwe,cle,CampJa00,rush_yds,27,,,,,
player,201312080nwe,cle,CampJa00,rush_td,0,,,,,
player,201312080nwe,cle,CampJa00,rush_long,21,,,,,
player,201312080nwe,cle,CampJa00,targets,0,,,,,
player,201312080nwe,cle,CampJa00,rec,0,,,,,
player,201312080nwe,cle,CampJa00,rec_yds,0,,,,,
player,201312080nwe,cle,CampJa00,rec_td,0,,,,,
player,201312080nwe,cle,CampJa00,rec_long,0,,,,,
player,201312080nwe,cle,CampJa00,fumbles,0,,,,,
player,201312080nwe,cle,CampJa00,fumbles_lost,0,,,,,
player,201312080nwe,cle,GordJo02,pass_cmp,0,,,,,
player,201312080nwe,cle,GordJo02,pass_att,0,,,,,
player,201312080nwe,cle,GordJo02,pass_yds,0,,,,,
player,201312080nwe,cle,GordJo02,pass_td,0,,,,,
player,201312080nwe,cle,GordJo02,pass_int,0,,,,,
player,201312080nwe,cle,GordJo02,pass_sacked,0,,,,,
player,201312080nwe,cle,GordJo02,pass_sacked_yds,0,,,,,
player,201312080nwe,cle,GordJo02,pass_long,0,,,,,
player,201312080nwe,cle,GordJo02,pass_rating,,,,,,
player,201312080nwe,cle,GordJo02,rush_att,1,,,,,
player,201312080nwe,cle,GordJo02,rush_yds,34,,,,,
player,201312080nwe,cle,GordJo02,rush_td,0,,,,,
player,201312080nwe,cle,GordJo02,rush_long,34,,,,,
player,201312080nwe,cle,GordJo02,targets,10,,,,,
player,201312080nwe,cle,GordJo02,rec,7,,,,,
player,201312080nwe,cle,GordJo02,rec_yds,151,,,,,
player,201312080nwe,cle,GordJo02,rec_td,1,,,,,
player,201312080nwe,cle,GordJo02,rec_long,80,,,,,
player,201312080nwe,cle,GordJo02,fumbles,0,,,,,
player,201312080nwe,cle,GordJo02,fumbles_lost,0,,,,,
player,201312080nwe,cle,McGaWi00,pass_cmp,0,,,,,
player,201312080nwe,cle,McGaWi00,pass_att,0,,,,,
player,201312080nwe,cle,McGaWi00,pass_yds,0,,,,,
player,201312080nwe,cle,McGaWi00,pass_td,0,,,,,
player,201312080nwe,cle,McGaWi00,pass_int,0,,,,,
