game,2013,9,20131103,201311030dal,min,"Minnesota Vikings",23,dal,"Dallas Cowboys",27
team,201311030dal,min,First Downs,22,,,,,,
team,201311030dal,dal,First Downs,20,,,,,,
team,201311030dal,min,Rush-Yds-TDs,29-169-2,,,,,,
team,201311030dal,dal,Rush-Yds-TDs,9-36-0,,,,,,
team,201311030dal,min,Cmp-Att-Yd-TD-INT,25-37-236-1-1,,,,,,
team,201311030dal,dal,Cmp-Att-Yd-TD-INT,34-51-337-2-1,,,,,,
team,201311030dal,min,Sacked-Yards,2-12,,,,,,
team,201311030dal,dal,Sacked-Yards,3-23,,,,,,
team,201311030dal,min,Net Pass Yards,224,,,,,,
team,201311030dal,dal,Net Pass Yards,314,,,,,,
team,201311030dal,min,Total Yards,393,,,,,,
team,201311030dal,dal,Total Yards,350,,,,,,
team,201311030dal,min,Fumbles-Lost,2-1,,,,,,
team,201311030dal,dal,Fumbles-Lost,0-0,,,,,,
team,201311030dal,min,Turnovers,2,,,,,,
team,201311030dal,dal,Turnovers,1,,,,,,
team,201311030dal,min,Penalties-Yards,4-35,,,,,,
team,201311030dal,dal,Penalties-Yards,5-45,,,,,,
team,201311030dal,min,Third Down Conv.,5-13,,,,,,
team,201311030dal,dal,Third Down Conv.,5-14,,,,,,
team,201311030dal,min,Fourth Down Conv.,2-3,,,,,,
team,201311030dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201311030dal,min,Time of Possession,31:27,,,,,,
team,201311030dal,dal,Time of Possession,28:33,,,,,,
player,201311030dal,min,PondCh00,pass_cmp,25,,,,,
player,201311030dal,min,PondCh00,pass_att,37,,,,,
player,201311030dal,min,PondCh00,pass_yds,236,,,,,
player,201311030dal,min,PondCh00,pass_td,1,,,,,
player,201311030dal,min,PondCh00,pass_int,1,,,,,
player,201311030dal,min,PondCh00,pass_sacked,2,,,,,
player,201311030dal,min,PondCh00,pass_sacked_yds,12,,,,,
player,201311030dal,min,PondCh00,pass_long,31,,,,,
player,201311030dal,min,PondCh00,pass_rating,82.7,,,,,
player,201311030dal,min,PondCh00,rush_att,4,,,,,
player,201311030dal,min,PondCh00,rush_yds,29,,,,,
player,201311030dal,min,PondCh00,rush_td,1,,,,,
player,201311030dal,min,PondCh00,rush_long,16,,,,,
player,201311030dal,min,PondCh00,targets,0,,,,,
player,201311030dal,min,PondCh00,rec,0,,,,,
player,201311030dal,min,PondCh00,rec_yds,0,,,,,
player,201311030dal,min,PondCh00,rec_td,0,,,,,
player,201311030dal,min,PondCh00,rec_long,0,,,,,
player,201311030dal,min,PondCh00,fumbles,2,,,,,
player,201311030dal,min,PondCh00,fumbles_lost,1,,,,,
player,201311030dal,min,PeteAd01,pass_cmp,0,,,,,
player,201311030dal,min,PeteAd01,pass_att,0,,,,,
player,201311030dal,min,PeteAd01,pass_yds,0,,,,,
player,201311030dal,min,PeteAd01,pass_td,0,,,,,
player,201311030dal,min,PeteAd01,pass_int,0,,,,,
player,201311030dal,min,PeteAd01,pass_sacked,0,,,,,
player,201311030dal,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201311030dal,min,PeteAd01,pass_long,0,,,,,
player,201311030dal,min,PeteAd01,pass_rating,,,,,,
player,201311030dal,min,PeteAd01,rush_att,25,,,,,
player,201311030dal,min,PeteAd01,rush_yds,140,,,,,
player,201311030dal,min,PeteAd01,rush_td,1,,,,,
player,201311030dal,min,PeteAd01,rush_long,52,,,,,
player,201311030dal,min,PeteAd01,targets,3,,,,,
player,201311030dal,min,PeteAd01,rec,3,,,,,
player,201311030dal,min,PeteAd01,rec_yds,37,,,,,
player,201311030dal,min,PeteAd01,rec_td,0,,,,,
player,201311030dal,min,PeteAd01,rec_long,19,,,,,
player,201311030dal,min,PeteAd01,fumbles,0,,,,,
player,201311030dal,min,PeteAd01,fumbles_lost,0,,,,,
player,201311030dal,min,JennGr00,pass_cmp,0,,,,,
player,201311030dal,min,JennGr00,pass_att,0,,,,,
player,201311030dal,min,JennGr00,pass_yds,0,,,,,
player,201311030dal,min,JennGr00,pass_td,0,,,,,
player,201311030dal,min,JennGr00,pass_int,0,,,,,
player,201311030dal,min,JennGr00,pass_sacked,0,,,,,
player,201311030dal,min,JennGr00,pass_sacked_yds,0,,,,,
player,201311030dal,min,JennGr00,pass_long,0,,,,,
player,201311030dal,min,JennGr00,pass_rating,,,,,,
player,201311030dal,min,JennGr00,rush_att,0,,,,,
player,201311030dal,min,JennGr00,rush_yds,0,,,,,
player,201311030dal,min,JennGr00,rush_td,0,,,,,
player,201311030dal,min,JennGr00,rush_long,0,,,,,
player,201311030dal,min,JennGr00,targets,9,,,,,
player,201311030dal,min,JennGr00,rec,6,,,,,
player,201311030dal,min,JennGr00,rec_yds,56,,,,,
player,201311030dal,min,JennGr00,rec_td,0,,,,,
player,201311030dal,min,JennGr00,rec_long,27,,,,,
player,201311030dal,min,JennGr00,fumbles,0,,,,,
player,201311030dal,min,JennGr00,fumbles_lost,0,,,,,
player,201311030dal,min,RudoKy00,pass_cmp,0,,,,,
player,201311030dal,min,RudoKy00,pass_att,0,,,,,
player,201311030dal,min,RudoKy00,pass_yds,0,,,,,
player,201311030dal,min,RudoKy00,pass_td,0,,,,,
player,201311030dal,min,RudoKy00,pass_int,0,,,,,
player,201311030dal,min,RudoKy00,pass_sacked,0,,,,,
player,201311030dal,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201311030dal,min,RudoKy00,pass_long,0,,,,,
player,201311030dal,min,RudoKy00,pass_rating,,,,,,
player,201311030dal,min,RudoKy00,rush_att,0,,,,,
player,201311030dal,min,RudoKy00,rush_yds,0,,,,,
player,201311030dal,min,RudoKy00,rush_td,0,,,,,
player,201311030dal,min,RudoKy00,rush_long,0,,,,,
player,201311030dal,min,RudoKy00,targets,2,,,,,
player,201311030dal,min,RudoKy00,rec,2,,,,,
player,201311030dal,min,RudoKy00,rec_yds,35,,,,,
player,201311030dal,min,RudoKy00,rec_td,1,,,,,
player,201311030dal,min,RudoKy00,rec_long,31,,,,,
player,201311030dal,min,RudoKy00,fumbles,0,,,,,
player,201311030dal,min,RudoKy00,fumbles_lost,0,,,,,
player,201311030dal,min,WrigJa02,pass_cmp,0,,,,,
player,201311030dal,min,WrigJa02,pass_att,0,,,,,
player,201311030dal,min,WrigJa02,pass_yds,0,,,,,
