game,2013,1,20130908,201309080car,sea,"Seattle Seahawks",12,car,"Carolina Panthers",7
team,201309080car,sea,First Downs,18,,,,,,
team,201309080car,car,First Downs,17,,,,,,
team,201309080car,sea,Rush-Yds-TDs,26-70-0,,,,,,
team,201309080car,car,Rush-Yds-TDs,26-134-0,,,,,,
team,201309080car,sea,Cmp-Att-Yd-TD-INT,25-33-320-1-0,,,,,,
team,201309080car,car,Cmp-Att-Yd-TD-INT,16-23-125-1-0,,,,,,
team,201309080car,sea,Sacked-Yards,2-20,,,,,,
team,201309080car,car,Sacked-Yards,1-6,,,,,,
team,201309080car,sea,Net Pass Yards,300,,,,,,
team,201309080car,car,Net Pass Yards,119,,,,,,
team,201309080car,sea,Total Yards,370,,,,,,
team,201309080car,car,Total Yards,253,,,,,,
team,201309080car,sea,Fumbles-Lost,1-1,,,,,,
team,201309080car,car,Fumbles-Lost,3-2,,,,,,
team,201309080car,sea,Turnovers,1,,,,,,
team,201309080car,car,Turnovers,2,,,,,,
team,201309080car,sea,Penalties-Yards,9-99,,,,,,
team,201309080car,car,Penalties-Yards,4-46,,,,,,
team,201309080car,sea,Third Down Conv.,6-13,,,,,,
team,201309080car,car,Third Down Conv.,5-11,,,,,,
team,201309080car,sea,Fourth Down Conv.,0-0,,,,,,
team,201309080car,car,Fourth Down Conv.,0-0,,,,,,
team,201309080car,sea,Time of Possession,30:14,,,,,,
team,201309080car,car,Time of Possession,29:46,,,,,,
player,201309080car,sea,WilsRu00,pass_cmp,25,,,,,
player,201309080car,sea,WilsRu00,pass_att,33,,,,,
player,201309080car,sea,WilsRu00,pass_yds,320,,,,,
player,201309080car,sea,WilsRu00,pass_td,1,,,,,
player,201309080car,sea,WilsRu00,pass_int,0,,,,,
player,201309080car,sea,WilsRu00,pass_sacked,2,,,,,
player,201309080car,sea,WilsRu00,pass_sacked_yds,20,,,,,
player,201309080car,sea,WilsRu00,pass_long,43,,,,,
player,201309080car,sea,WilsRu00,pass_rating,115.7,,,,,
player,201309080car,sea,WilsRu00,rush_att,5,,,,,
player,201309080car,sea,WilsRu00,rush_yds,7,,,,,
player,201309080car,sea,WilsRu00,rush_td,0,,,,,
player,201309080car,sea,WilsRu00,rush_long,7,,,,,
player,201309080car,sea,WilsRu00,targets,0,,,,,
player,201309080car,sea,WilsRu00,rec,0,,,,,
player,201309080car,sea,WilsRu00,rec_yds,0,,,,,
player,201309080car,sea,WilsRu00,rec_td,0,,,,,
player,201309080car,sea,WilsRu00,rec_long,0,,,,,
player,201309080car,sea,WilsRu00,fumbles,1,,,,,
player,201309080car,sea,WilsRu00,fumbles_lost,1,,,,,
player,201309080car,sea,LyncMa00,pass_cmp,0,,,,,
player,201309080car,sea,LyncMa00,pass_att,0,,,,,
player,201309080car,sea,LyncMa00,pass_yds,0,,,,,
player,201309080car,sea,LyncMa00,pass_td,0,,,,,
player,201309080car,sea,LyncMa00,pass_int,0,,,,,
player,201309080car,sea,LyncMa00,pass_sacked,0,,,,,
player,201309080car,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201309080car,sea,LyncMa00,pass_long,0,,,,,
player,201309080car,sea,LyncMa00,pass_rating,,,,,,
player,201309080car,sea,LyncMa00,rush_att,17,,,,,
player,201309080car,sea,LyncMa00,rush_yds,43,,,,,
player,201309080car,sea,LyncMa00,rush_td,0,,,,,
player,201309080car,sea,LyncMa00,rush_long,14,,,,,
player,201309080car,sea,LyncMa00,targets,3,,,,,
player,201309080car,sea,LyncMa00,rec,2,,,,,
player,201309080car,sea,LyncMa00,rec_yds,9,,,,,
player,201309080car,sea,LyncMa00,rec_td,0,,,,,
player,201309080car,sea,LyncMa00,rec_long,8,,,,,
player,201309080car,sea,LyncMa00,fumbles,0,,,,,
player,201309080car,sea,LyncMa00,fumbles_lost,0,,,,,
player,201309080car,sea,TurbRo00,pass_cmp,0,,,,,
player,201309080car,sea,TurbRo00,pass_att,0,,,,,
player,201309080car,sea,TurbRo00,pass_yds,0,,,,,
player,201309080car,sea,TurbRo00,pass_td,0,,,,,
player,201309080car,sea,TurbRo00,pass_int,0,,,,,
player,201309080car,sea,TurbRo00,pass_sacked,0,,,,,
player,201309080car,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201309080car,sea,TurbRo00,pass_long,0,,,,,
player,201309080car,sea,TurbRo00,pass_rating,,,,,,
player,201309080car,sea,TurbRo00,rush_att,3,,,,,
player,201309080car,sea,TurbRo00,rush_yds,17,,,,,
player,201309080car,sea,TurbRo00,rush_td,0,,,,,
player,201309080car,sea,TurbRo00,rush_long,15,,,,,
player,201309080car,sea,TurbRo00,targets,2,,,,,
player,201309080car,sea,TurbRo00,rec,2,,,,,
player,201309080car,sea,TurbRo00,rec_yds,13,,,,,
player,201309080car,sea,TurbRo00,rec_td,0,,,,,
player,201309080car,sea,TurbRo00,rec_long,8,,,,,
player,201309080car,sea,TurbRo00,fumbles,0,,,,,
player,201309080car,sea,TurbRo00,fumbles_lost,0,,,,,
player,201309080car,sea,BaldDo00,pass_cmp,0,,,,,
player,201309080car,sea,BaldDo00,pass_att,0,,,,,
player,201309080car,sea,BaldDo00,pass_yds,0,,,,,
player,201309080car,sea,BaldDo00,pass_td,0,,,,,
player,201309080car,sea,BaldDo00,pass_int,0,,,,,
player,201309080car,sea,BaldDo00,pass_sacked,0,,,,,
player,201309080car,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201309080car,sea,BaldDo00,pass_long,0,,,,,
player,201309080car,sea,BaldDo00,pass_rating,,,,,,
player,201309080car,sea,BaldDo00,rush_att,1,,,,,
player,201309080car,sea,BaldDo00,rush_yds,3,,,,,
player,201309080car,sea,BaldDo00,rush_td,0,,,,,
player,201309080car,sea,BaldDo00,rush_long,3,,,,,
player,201309080car,sea,BaldDo00,targets,7,,,,,
player,201309080car,sea,BaldDo00,rec,7,,,,,
player,201309080car,sea,BaldDo00,rec_yds,91,,,,,
player,201309080car,sea,BaldDo00,rec_td,0,,,,,
player,201309080car,sea,BaldDo00,rec_long,25,,,,,
player,201309080car,sea,BaldDo00,fumbles,0,,,,,
player,201309080car,sea,BaldDo00,fumbles_lost,0,,,,,
player,201309080car,sea,TateGo00,pass_cmp,0,,,,,
player,201309080car,sea,TateGo00,pass_att,0,,,,,
player,201309080car,sea,TateGo00,pass_yds,0,,,,,
player,201309080car,sea,TateGo00,pass_td,0,,,,,
player,201309080car,sea,TateGo00,pass_int,0,,,,,
player,201309080car,sea,TateGo00,pass_sacked,0,,,,,
player,201309080car,sea,TateGo00,pass_sacked_yds,0,,,,,
player,201309080car,sea,TateGo00,pass_long,0,,,,,
player,201309080car,sea,TateGo00,pass_rating,,,,,,
player,201309080car,sea,TateGo00,rush_att,0,,,,,
player,201309080car,sea,TateGo00,rush_yds,0,,,,,
player,201309080car,sea,TateGo00,rush_td,0,,,,,
player,201309080car,sea,TateGo00,rush_long,0,,,,,
player,201309080car,sea,TateGo00,targets,7,,,,,
player,201309080car,sea,TateGo00,rec,4,,,,,
player,201309080car,sea,TateGo00,rec_yds,51,,,,,
player,201309080car,sea,TateGo00,rec_td,0,,,,,
player,201309080car,sea,TateGo00,rec_long,18,,,,,
player,201309080car,sea,TateGo00,fumbles,0,,,,,
player,201309080car,sea,TateGo00,fumbles_lost,0,,,,,
player,201309080car,sea,KearJe01,pass_cmp,0,,,,,
player,201309080car,sea,KearJe01,pass_att,0,,,,,
player,201309080car,sea,KearJe01,pass_yds,0,,,,,
player,201309080car,sea,KearJe01,pass_td,0,,,,,
player,201309080car,sea,KearJe01,pass_int,0,,,,,
player,201309080car,sea,KearJe01,pass_sacked,0,,,,,
player,201309080car,sea,KearJe01,pass_sacked_yds,0,,,,,
player,201309080car,sea,KearJe01,pass_long,0,,,,,
player,201309080car,sea,KearJe01,pass_rating,,,,,,
player,201309080car,sea,KearJe01,rush_att,0,,,,,
player,201309080car,sea,KearJe01,rush_yds,0,,,,,
player,201309080car,sea,KearJe01,rush_td,0,,,,,
player,201309080car,sea,KearJe01,rush_long,0,,,,,
player,201309080car,sea,KearJe01,targets,2,,,,,
player,201309080car,sea,KearJe01,rec,2,,,,,
player,201309080car,sea,KearJe01,rec_yds,49,,,,,
player,201309080car,sea,KearJe01,rec_td,1,,,,,
