game,2013,4,20130930,201309300nor,mia,"Miami Dolphins",17,nor,"New Orleans Saints",38
team,201309300nor,mia,First Downs,19,,,,,,
team,201309300nor,nor,First Downs,23,,,,,,
team,201309300nor,mia,Rush-Yds-TDs,19-115-1,,,,,,
team,201309300nor,nor,Rush-Yds-TDs,24-68-1,,,,,,
team,201309300nor,mia,Cmp-Att-Yd-TD-INT,22-35-249-1-3,,,,,,
team,201309300nor,nor,Cmp-Att-Yd-TD-INT,30-39-413-4-0,,,,,,
team,201309300nor,mia,Sacked-Yards,4-33,,,,,,
team,201309300nor,nor,Sacked-Yards,2-16,,,,,,
team,201309300nor,mia,Net Pass Yards,216,,,,,,
team,201309300nor,nor,Net Pass Yards,397,,,,,,
team,201309300nor,mia,Total Yards,331,,,,,,
team,201309300nor,nor,Total Yards,465,,,,,,
team,201309300nor,mia,Fumbles-Lost,1-1,,,,,,
team,201309300nor,nor,Fumbles-Lost,1-1,,,,,,
team,201309300nor,mia,Turnovers,4,,,,,,
team,201309300nor,nor,Turnovers,1,,,,,,
team,201309300nor,mia,Penalties-Yards,5-25,,,,,,
team,201309300nor,nor,Penalties-Yards,6-45,,,,,,
team,201309300nor,mia,Third Down Conv.,3-9,,,,,,
team,201309300nor,nor,Third Down Conv.,6-13,,,,,,
team,201309300nor,mia,Fourth Down Conv.,0-0,,,,,,
team,201309300nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201309300nor,mia,Time of Possession,26:11,,,,,,
team,201309300nor,nor,Time of Possession,33:49,,,,,,
player,201309300nor,mia,TannRy00,pass_cmp,22,,,,,
player,201309300nor,mia,TannRy00,pass_att,35,,,,,
player,201309300nor,mia,TannRy00,pass_yds,249,,,,,
player,201309300nor,mia,TannRy00,pass_td,1,,,,,
player,201309300nor,mia,TannRy00,pass_int,3,,,,,
player,201309300nor,mia,TannRy00,pass_sacked,4,,,,,
player,201309300nor,mia,TannRy00,pass_sacked_yds,33,,,,,
player,201309300nor,mia,TannRy00,pass_long,50,,,,,
player,201309300nor,mia,TannRy00,pass_rating,57.9,,,,,
player,201309300nor,mia,TannRy00,rush_att,4,,,,,
player,201309300nor,mia,TannRy00,rush_yds,48,,,,,
player,201309300nor,mia,TannRy00,rush_td,0,,,,,
player,201309300nor,mia,TannRy00,rush_long,26,,,,,
player,201309300nor,mia,TannRy00,targets,0,,,,,
player,201309300nor,mia,TannRy00,rec,0,,,,,
player,201309300nor,mia,TannRy00,rec_yds,0,,,,,
player,201309300nor,mia,TannRy00,rec_td,0,,,,,
player,201309300nor,mia,TannRy00,rec_long,0,,,,,
player,201309300nor,mia,TannRy00,fumbles,1,,,,,
player,201309300nor,mia,TannRy00,fumbles_lost,1,,,,,
player,201309300nor,mia,MillLa01,pass_cmp,0,,,,,
player,201309300nor,mia,MillLa01,pass_att,0,,,,,
player,201309300nor,mia,MillLa01,pass_yds,0,,,,,
player,201309300nor,mia,MillLa01,pass_td,0,,,,,
player,201309300nor,mia,MillLa01,pass_int,0,,,,,
player,201309300nor,mia,MillLa01,pass_sacked,0,,,,,
player,201309300nor,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201309300nor,mia,MillLa01,pass_long,0,,,,,
player,201309300nor,mia,MillLa01,pass_rating,,,,,,
player,201309300nor,mia,MillLa01,rush_att,11,,,,,
player,201309300nor,mia,MillLa01,rush_yds,62,,,,,
player,201309300nor,mia,MillLa01,rush_td,1,,,,,
player,201309300nor,mia,MillLa01,rush_long,20,,,,,
player,201309300nor,mia,MillLa01,targets,3,,,,,
player,201309300nor,mia,MillLa01,rec,1,,,,,
player,201309300nor,mia,MillLa01,rec_yds,6,,,,,
player,201309300nor,mia,MillLa01,rec_td,0,,,,,
player,201309300nor,mia,MillLa01,rec_long,6,,,,,
player,201309300nor,mia,MillLa01,fumbles,0,,,,,
player,201309300nor,mia,MillLa01,fumbles_lost,0,,,,,
player,201309300nor,mia,ThomDa03,pass_cmp,0,,,,,
player,201309300nor,mia,ThomDa03,pass_att,0,,,,,
player,201309300nor,mia,ThomDa03,pass_yds,0,,,,,
player,201309300nor,mia,ThomDa03,pass_td,0,,,,,
player,201309300nor,mia,ThomDa03,pass_int,0,,,,,
player,201309300nor,mia,ThomDa03,pass_sacked,0,,,,,
player,201309300nor,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201309300nor,mia,ThomDa03,pass_long,0,,,,,
player,201309300nor,mia,ThomDa03,pass_rating,,,,,,
player,201309300nor,mia,ThomDa03,rush_att,4,,,,,
player,201309300nor,mia,ThomDa03,rush_yds,5,,,,,
player,201309300nor,mia,ThomDa03,rush_td,0,,,,,
player,201309300nor,mia,ThomDa03,rush_long,4,,,,,
player,201309300nor,mia,ThomDa03,targets,1,,,,,
player,201309300nor,mia,ThomDa03,rec,1,,,,,
player,201309300nor,mia,ThomDa03,rec_yds,1,,,,,
player,201309300nor,mia,ThomDa03,rec_td,0,,,,,
player,201309300nor,mia,ThomDa03,rec_long,1,,,,,
player,201309300nor,mia,ThomDa03,fumbles,0,,,,,
player,201309300nor,mia,ThomDa03,fumbles_lost,0,,,,,
player,201309300nor,mia,GibsBr00,pass_cmp,0,,,,,
player,201309300nor,mia,GibsBr00,pass_att,0,,,,,
player,201309300nor,mia,GibsBr00,pass_yds,0,,,,,
player,201309300nor,mia,GibsBr00,pass_td,0,,,,,
player,201309300nor,mia,GibsBr00,pass_int,0,,,,,
player,201309300nor,mia,GibsBr00,pass_sacked,0,,,,,
player,201309300nor,mia,GibsBr00,pass_sacked_yds,0,,,,,
player,201309300nor,mia,GibsBr00,pass_long,0,,,,,
player,201309300nor,mia,GibsBr00,pass_rating,,,,,,
player,201309300nor,mia,GibsBr00,rush_att,0,,,,,
player,201309300nor,mia,GibsBr00,rush_yds,0,,,,,
player,201309300nor,mia,GibsBr00,rush_td,0,,,,,
player,201309300nor,mia,GibsBr00,rush_long,0,,,,,
player,201309300nor,mia,GibsBr00,targets,8,,,,,
player,201309300nor,mia,GibsBr00,rec,6,,,,,
player,201309300nor,mia,GibsBr00,rec_yds,71,,,,,
player,201309300nor,mia,GibsBr00,rec_td,0,,,,,
player,201309300nor,mia,GibsBr00,rec_long,28,,,,,
player,201309300nor,mia,GibsBr00,fumbles,0,,,,,
player,201309300nor,mia,GibsBr00,fumbles_lost,0,,,,,
player,201309300nor,mia,ThigMa00,pass_cmp,0,,,,,
player,201309300nor,mia,ThigMa00,pass_att,0,,,,,
player,201309300nor,mia,ThigMa00,pass_yds,0,,,,,
player,201309300nor,mia,ThigMa00,pass_td,0,,,,,
player,201309300nor,mia,ThigMa00,pass_int,0,,,,,
player,201309300nor,mia,ThigMa00,pass_sacked,0,,,,,
player,201309300nor,mia,ThigMa00,pass_sacked_yds,0,,,,,
player,201309300nor,mia,ThigMa00,pass_long,0,,,,,
player,201309300nor,mia,ThigMa00,pass_rating,,,,,,
player,201309300nor,mia,ThigMa00,rush_att,0,,,,,
player,201309300nor,mia,ThigMa00,rush_yds,0,,,,,
player,201309300nor,mia,ThigMa00,rush_td,0,,,,,
player,201309300nor,mia,ThigMa00,rush_long,0,,,,,
player,201309300nor,mia,ThigMa00,targets,2,,,,,
player,201309300nor,mia,ThigMa00,rec,1,,,,,
player,201309300nor,mia,ThigMa00,rec_yds,50,,,,,
player,201309300nor,mia,ThigMa00,rec_td,0,,,,,
player,201309300nor,mia,ThigMa00,rec_long,50,,,,,
player,201309300nor,mia,ThigMa00,fumbles,0,,,,,
player,201309300nor,mia,ThigMa00,fumbles_lost,0,,,,,
player,201309300nor,mia,ClayCh00,pass_cmp,0,,,,,
player,201309300nor,mia,ClayCh00,pass_att,0,,,,,
player,201309300nor,mia,ClayCh00,pass_yds,0,,,,,
player,201309300nor,mia,ClayCh00,pass_td,0,,,,,
player,201309300nor,mia,ClayCh00,pass_int,0,,,,,
player,201309300nor,mia,ClayCh00,pass_sacked,0,,,,,
player,201309300nor,mia,ClayCh00,pass_sacked_yds,0,,,,,
player,201309300nor,mia,ClayCh00,pass_long,0,,,,,
player,201309300nor,mia,ClayCh00,pass_rating,,,,,,
player,201309300nor,mia,ClayCh00,rush_att,0,,,,,
player,201309300nor,mia,ClayCh00,rush_yds,0,,,,,
player,201309300nor,mia,ClayCh00,rush_td,0,,,,,
player,201309300nor,mia,ClayCh00,rush_long,0,,,,,
player,201309300nor,mia,ClayCh00,targets,6,,,,,
player,201309300nor,mia,ClayCh00,rec,6,,,,,
player,201309300nor,mia,ClayCh00,rec_yds,42,,,,,
player,201309300nor,mia,ClayCh00,rec_td,1,,,,,
player,201309300nor,mia,ClayCh00,rec_long,14,,,,,
player,201309300nor,mia,ClayCh00,fumbles,0,,,,,
player,201309300nor,mia,ClayCh00,fumbles_lost,0,,,,,
player,201309300nor,mia,HartBr00,pass_cmp,0,,,,,
player,201309300nor,mia,HartBr00,pass_att,0,,,,,
player,201309300nor,mia,HartBr00,pass_yds,0,,,,,
player,201309300nor,mia,HartBr00,pass_td,0,,,,,
player,201309300nor,mia,HartBr00,pass_int,0,,,,,
player,201309300nor,mia,HartBr00,pass_sacked,0,,,,,
player,201309300nor,mia,HartBr00,pass_sacked_yds,0,,,,,
player,201309300nor,mia,HartBr00,pass_long,0,,,,,
player,201309300nor,mia,HartBr00,pass_rating,,,,,,
player,201309300nor,mia,HartBr00,rush_att,0,,,,,
player,201309300nor,mia,HartBr00,rush_yds,0,,,,,
player,201309300nor,mia,HartBr00,rush_td,0,,,,,
player,201309300nor,mia,HartBr00,rush_long,0,,,,,
player,201309300nor,mia,HartBr00,targets,4,,,,,
player,201309300nor,mia,HartBr00,rec,3,,,,,
player,201309300nor,mia,HartBr00,rec_yds,34,,,,,
player,201309300nor,mia,HartBr00,rec_td,0,,,,,
player,201309300nor,mia,HartBr00,rec_long,13,,,,,
player,201309300nor,mia,HartBr00,fumbles,0,,,,,
player,201309300nor,mia,HartBr00,fumbles_lost,0,,,,,
player,201309300nor,mia,WallMi00,pass_cmp,0,,,,,
player,201309300nor,mia,WallMi00,pass_att,0,,,,,
player,201309300nor,mia,WallMi00,pass_yds,0,,,,,
player,201309300nor,mia,WallMi00,pass_td,0,,,,,
player,201309300nor,mia,WallMi00,pass_int,0,,,,,
player,201309300nor,mia,WallMi00,pass_sacked,0,,,,,
player,201309300nor,mia,WallMi00,pass_sacked_yds,0,,,,,
player,201309300nor,mia,WallMi00,pass_long,0,,,,,
player,201309300nor,mia,WallMi00,pass_rating,,,,,,
player,201309300nor,mia,WallMi00,rush_att,0,,,,,
player,201309300nor,mia,WallMi00,rush_yds,0,,,,,
player,201309300nor,mia,WallMi00,rush_td,0,,,,,
player,201309300nor,mia,WallMi00,rush_long,0,,,,,
player,201309300nor,mia,WallMi00,targets,7,,,,,
player,201309300nor,mia,WallMi00,rec,3,,,,,
player,201309300nor,mia,WallMi00,rec_yds,24,,,,,
player,201309300nor,mia,WallMi00,rec_td,0,,,,,
player,201309300nor,mia,WallMi00,rec_long,10,,,,,
player,201309300nor,mia,WallMi00,fumbles,0,,,,,
player,201309300nor,mia,WallMi00,fumbles_lost,0,,,,,
player,201309300nor,mia,MattRi00,pass_cmp,0,,,,,
