game,2013,14,20131208,201312080phi,det,"Detroit Lions",20,phi,"Philadelphia Eagles",34
team,201312080phi,det,First Downs,11,,,,,,
team,201312080phi,phi,First Downs,23,,,,,,
team,201312080phi,det,Rush-Yds-TDs,33-80-1,,,,,,
team,201312080phi,phi,Rush-Yds-TDs,46-299-4,,,,,,
team,201312080phi,det,Cmp-Att-Yd-TD-INT,10-25-151-0-0,,,,,,
team,201312080phi,phi,Cmp-Att-Yd-TD-INT,11-22-179-1-1,,,,,,
team,201312080phi,det,Sacked-Yards,0-0,,,,,,
team,201312080phi,phi,Sacked-Yards,0-0,,,,,,
team,201312080phi,det,Net Pass Yards,151,,,,,,
team,201312080phi,phi,Net Pass Yards,179,,,,,,
team,201312080phi,det,Total Yards,231,,,,,,
team,201312080phi,phi,Total Yards,478,,,,,,
team,201312080phi,det,Fumbles-Lost,7-3,,,,,,
team,201312080phi,phi,Fumbles-Lost,1-0,,,,,,
team,201312080phi,det,Turnovers,3,,,,,,
team,201312080phi,phi,Turnovers,1,,,,,,
team,201312080phi,det,Penalties-Yards,9-48,,,,,,
team,201312080phi,phi,Penalties-Yards,1-5,,,,,,
team,201312080phi,det,Third Down Conv.,5-15,,,,,,
team,201312080phi,phi,Third Down Conv.,3-12,,,,,,
team,201312080phi,det,Fourth Down Conv.,1-2,,,,,,
team,201312080phi,phi,Fourth Down Conv.,2-3,,,,,,
team,201312080phi,det,Time of Possession,28:33,,,,,,
team,201312080phi,phi,Time of Possession,31:27,,,,,,
player,201312080phi,det,StafMa00,pass_cmp,10,,,,,
player,201312080phi,det,StafMa00,pass_att,25,,,,,
player,201312080phi,det,StafMa00,pass_yds,151,,,,,
player,201312080phi,det,StafMa00,pass_td,0,,,,,
player,201312080phi,det,StafMa00,pass_int,0,,,,,
player,201312080phi,det,StafMa00,pass_sacked,0,,,,,
player,201312080phi,det,StafMa00,pass_sacked_yds,0,,,,,
player,201312080phi,det,StafMa00,pass_long,33,,,,,
player,201312080phi,det,StafMa00,pass_rating,60.6,,,,,
player,201312080phi,det,StafMa00,rush_att,6,,,,,
player,201312080phi,det,StafMa00,rush_yds,-1,,,,,
player,201312080phi,det,StafMa00,rush_td,0,,,,,
player,201312080phi,det,StafMa00,rush_long,1,,,,,
player,201312080phi,det,StafMa00,targets,0,,,,,
player,201312080phi,det,StafMa00,rec,0,,,,,
player,201312080phi,det,StafMa00,rec_yds,0,,,,,
player,201312080phi,det,StafMa00,rec_td,0,,,,,
player,201312080phi,det,StafMa00,rec_long,0,,,,,
player,201312080phi,det,StafMa00,fumbles,5,,,,,
player,201312080phi,det,StafMa00,fumbles_lost,1,,,,,
player,201312080phi,det,BellJo01,pass_cmp,0,,,,,
player,201312080phi,det,BellJo01,pass_att,0,,,,,
player,201312080phi,det,BellJo01,pass_yds,0,,,,,
player,201312080phi,det,BellJo01,pass_td,0,,,,,
player,201312080phi,det,BellJo01,pass_int,0,,,,,
player,201312080phi,det,BellJo01,pass_sacked,0,,,,,
player,201312080phi,det,BellJo01,pass_sacked_yds,0,,,,,
player,201312080phi,det,BellJo01,pass_long,0,,,,,
player,201312080phi,det,BellJo01,pass_rating,,,,,,
player,201312080phi,det,BellJo01,rush_att,23,,,,,
player,201312080phi,det,BellJo01,rush_yds,69,,,,,
player,201312080phi,det,BellJo01,rush_td,1,,,,,
player,201312080phi,det,BellJo01,rush_long,8,,,,,
player,201312080phi,det,BellJo01,targets,7,,,,,
player,201312080phi,det,BellJo01,rec,4,,,,,
player,201312080phi,det,BellJo01,rec_yds,58,,,,,
player,201312080phi,det,BellJo01,rec_td,0,,,,,
player,201312080phi,det,BellJo01,rec_long,28,,,,,
player,201312080phi,det,BellJo01,fumbles,2,,,,,
player,201312080phi,det,BellJo01,fumbles_lost,2,,,,,
player,201312080phi,det,RiddTh00,pass_cmp,0,,,,,
player,201312080phi,det,RiddTh00,pass_att,0,,,,,
player,201312080phi,det,RiddTh00,pass_yds,0,,,,,
player,201312080phi,det,RiddTh00,pass_td,0,,,,,
player,201312080phi,det,RiddTh00,pass_int,0,,,,,
player,201312080phi,det,RiddTh00,pass_sacked,0,,,,,
player,201312080phi,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201312080phi,det,RiddTh00,pass_long,0,,,,,
player,201312080phi,det,RiddTh00,pass_rating,,,,,,
