game,2013,8,20131027,201310270crd,atl,"Atlanta Falcons",13,crd,"Arizona Cardinals",27
team,201310270crd,atl,First Downs,20,,,,,,
team,201310270crd,crd,First Downs,17,,,,,,
team,201310270crd,atl,Rush-Yds-TDs,14-27-0,,,,,,
team,201310270crd,crd,Rush-Yds-TDs,30-201-1,,,,,,
team,201310270crd,atl,Cmp-Att-Yd-TD-INT,34-61-301-1-4,,,,,,
team,201310270crd,crd,Cmp-Att-Yd-TD-INT,13-18-172-2-1,,,,,,
team,201310270crd,atl,Sacked-Yards,4-36,,,,,,
team,201310270crd,crd,Sacked-Yards,3-25,,,,,,
team,201310270crd,atl,Net Pass Yards,265,,,,,,
team,201310270crd,crd,Net Pass Yards,147,,,,,,
team,201310270crd,atl,Total Yards,292,,,,,,
team,201310270crd,crd,Total Yards,348,,,,,,
team,201310270crd,atl,Fumbles-Lost,0-0,,,,,,
team,201310270crd,crd,Fumbles-Lost,1-0,,,,,,
team,201310270crd,atl,Turnovers,4,,,,,,
team,201310270crd,crd,Turnovers,1,,,,,,
team,201310270crd,atl,Penalties-Yards,10-55,,,,,,
team,201310270crd,crd,Penalties-Yards,8-52,,,,,,
team,201310270crd,atl,Third Down Conv.,8-20,,,,,,
team,201310270crd,crd,Third Down Conv.,3-10,,,,,,
team,201310270crd,atl,Fourth Down Conv.,1-2,,,,,,
team,201310270crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201310270crd,atl,Time of Possession,34:19,,,,,,
team,201310270crd,crd,Time of Possession,25:41,,,,,,
player,201310270crd,atl,RyanMa00,pass_cmp,34,,,,,
player,201310270crd,atl,RyanMa00,pass_att,61,,,,,
player,201310270crd,atl,RyanMa00,pass_yds,301,,,,,
player,201310270crd,atl,RyanMa00,pass_td,1,,,,,
player,201310270crd,atl,RyanMa00,pass_int,4,,,,,
player,201310270crd,atl,RyanMa00,pass_sacked,4,,,,,
player,201310270crd,atl,RyanMa00,pass_sacked_yds,36,,,,,
player,201310270crd,atl,RyanMa00,pass_long,25,,,,,
player,201310270crd,atl,RyanMa00,pass_rating,47.2,,,,,
player,201310270crd,atl,RyanMa00,rush_att,1,,,,,
player,201310270crd,atl,RyanMa00,rush_yds,13,,,,,
player,201310270crd,atl,RyanMa00,rush_td,0,,,,,
player,201310270crd,atl,RyanMa00,rush_long,13,,,,,
player,201310270crd,atl,RyanMa00,targets,0,,,,,
player,201310270crd,atl,RyanMa00,rec,0,,,,,
player,201310270crd,atl,RyanMa00,rec_yds,0,,,,,
player,201310270crd,atl,RyanMa00,rec_td,0,,,,,
player,201310270crd,atl,RyanMa00,rec_long,0,,,,,
player,201310270crd,atl,RyanMa00,fumbles,0,,,,,
player,201310270crd,atl,RyanMa00,fumbles_lost,0,,,,,
player,201310270crd,atl,RodgJa00,pass_cmp,0,,,,,
player,201310270crd,atl,RodgJa00,pass_att,0,,,,,
player,201310270crd,atl,RodgJa00,pass_yds,0,,,,,
player,201310270crd,atl,RodgJa00,pass_td,0,,,,,
player,201310270crd,atl,RodgJa00,pass_int,0,,,,,
player,201310270crd,atl,RodgJa00,pass_sacked,0,,,,,
player,201310270crd,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201310270crd,atl,RodgJa00,pass_long,0,,,,,
player,201310270crd,atl,RodgJa00,pass_rating,,,,,,
player,201310270crd,atl,RodgJa00,rush_att,2,,,,,
player,201310270crd,atl,RodgJa00,rush_yds,8,,,,,
player,201310270crd,atl,RodgJa00,rush_td,0,,,,,
player,201310270crd,atl,RodgJa00,rush_long,6,,,,,
player,201310270crd,atl,RodgJa00,targets,6,,,,,
player,201310270crd,atl,RodgJa00,rec,2,,,,,
player,201310270crd,atl,RodgJa00,rec_yds,11,,,,,
player,201310270crd,atl,RodgJa00,rec_td,0,,,,,
player,201310270crd,atl,RodgJa00,rec_long,6,,,,,
player,201310270crd,atl,RodgJa00,fumbles,0,,,,,
player,201310270crd,atl,RodgJa00,fumbles_lost,0,,,,,
player,201310270crd,atl,JackSt00,pass_cmp,0,,,,,
player,201310270crd,atl,JackSt00,pass_att,0,,,,,
player,201310270crd,atl,JackSt00,pass_yds,0,,,,,
player,201310270crd,atl,JackSt00,pass_td,0,,,,,
player,201310270crd,atl,JackSt00,pass_int,0,,,,,
player,201310270crd,atl,JackSt00,pass_sacked,0,,,,,
player,201310270crd,atl,JackSt00,pass_sacked_yds,0,,,,,
player,201310270crd,atl,JackSt00,pass_long,0,,,,,
player,201310270crd,atl,JackSt00,pass_rating,,,,,,
player,201310270crd,atl,JackSt00,rush_att,11,,,,,
player,201310270crd,atl,JackSt00,rush_yds,6,,,,,
player,201310270crd,atl,JackSt00,rush_td,0,,,,,
player,201310270crd,atl,JackSt00,rush_long,4,,,,,
player,201310270crd,atl,JackSt00,targets,5,,,,,
player,201310270crd,atl,JackSt00,rec,3,,,,,
player,201310270crd,atl,JackSt00,rec_yds,7,,,,,
player,201310270crd,atl,JackSt00,rec_td,0,,,,,
player,201310270crd,atl,JackSt00,rec_long,6,,,,,
player,201310270crd,atl,JackSt00,fumbles,0,,,,,
player,201310270crd,atl,JackSt00,fumbles_lost,0,,,,,
player,201310270crd,atl,DougHa00,pass_cmp,0,,,,,
player,201310270crd,atl,DougHa00,pass_att,0,,,,,
player,201310270crd,atl,DougHa00,pass_yds,0,,,,,
player,201310270crd,atl,DougHa00,pass_td,0,,,,,
player,201310270crd,atl,DougHa00,pass_int,0,,,,,
player,201310270crd,atl,DougHa00,pass_sacked,0,,,,,
player,201310270crd,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201310270crd,atl,DougHa00,pass_long,0,,,,,
player,201310270crd,atl,DougHa00,pass_rating,,,,,,
player,201310270crd,atl,DougHa00,rush_att,0,,,,,
player,201310270crd,atl,DougHa00,rush_yds,0,,,,,
player,201310270crd,atl,DougHa00,rush_td,0,,,,,
player,201310270crd,atl,DougHa00,rush_long,0,,,,,
player,201310270crd,atl,DougHa00,targets,18,,,,,
player,201310270crd,atl,DougHa00,rec,12,,,,,
player,201310270crd,atl,DougHa00,rec_yds,121,,,,,
player,201310270crd,atl,DougHa00,rec_td,0,,,,,
player,201310270crd,atl,DougHa00,rec_long,25,,,,,
player,201310270crd,atl,DougHa00,fumbles,0,,,,,
player,201310270crd,atl,DougHa00,fumbles_lost,0,,,,,
player,201310270crd,atl,DaviDr00,pass_cmp,0,,,,,
player,201310270crd,atl,DaviDr00,pass_att,0,,,,,
player,201310270crd,atl,DaviDr00,pass_yds,0,,,,,
player,201310270crd,atl,DaviDr00,pass_td,0,,,,,
player,201310270crd,atl,DaviDr00,pass_int,0,,,,,
player,201310270crd,atl,DaviDr00,pass_sacked,0,,,,,
player,201310270crd,atl,DaviDr00,pass_sacked_yds,0,,,,,
player,201310270crd,atl,DaviDr00,pass_long,0,,,,,
player,201310270crd,atl,DaviDr00,pass_rating,,,,,,
player,201310270crd,atl,DaviDr00,rush_att,0,,,,,
player,201310270crd,atl,DaviDr00,rush_yds,0,,,,,
player,201310270crd,atl,DaviDr00,rush_td,0,,,,,
player,201310270crd,atl,DaviDr00,rush_long,0,,,,,
player,201310270crd,atl,DaviDr00,targets,8,,,,,
player,201310270crd,atl,DaviDr00,rec,5,,,,,
player,201310270crd,atl,DaviDr00,rec_yds,77,,,,,
player,201310270crd,atl,DaviDr00,rec_td,1,,,,,
player,201310270crd,atl,DaviDr00,rec_long,20,,,,,
player,201310270crd,atl,DaviDr00,fumbles,0,,,,,
player,201310270crd,atl,DaviDr00,fumbles_lost,0,,,,,
player,201310270crd,atl,JohnDa06,pass_cmp,0,,,,,
player,201310270crd,atl,JohnDa06,pass_att,0,,,,,
player,201310270crd,atl,JohnDa06,pass_yds,0,,,,,
player,201310270crd,atl,JohnDa06,pass_td,0,,,,,
player,201310270crd,atl,JohnDa06,pass_int,0,,,,,
player,201310270crd,atl,JohnDa06,pass_sacked,0,,,,,
player,201310270crd,atl,JohnDa06,pass_sacked_yds,0,,,,,
player,201310270crd,atl,JohnDa06,pass_long,0,,,,,
player,201310270crd,atl,JohnDa06,pass_rating,,,,,,
player,201310270crd,atl,JohnDa06,rush_att,0,,,,,
player,201310270crd,atl,JohnDa06,rush_yds,0,,,,,
player,201310270crd,atl,JohnDa06,rush_td,0,,,,,
player,201310270crd,atl,JohnDa06,rush_long,0,,,,,
player,201310270crd,atl,JohnDa06,targets,9,,,,,
player,201310270crd,atl,JohnDa06,rec,4,,,,,
player,201310270crd,atl,JohnDa06,rec_yds,40,,,,,
player,201310270crd,atl,JohnDa06,rec_td,0,,,,,
player,201310270crd,atl,JohnDa06,rec_long,14,,,,,
player,201310270crd,atl,JohnDa06,fumbles,0,,,,,
player,201310270crd,atl,JohnDa06,fumbles_lost,0,,,,,
player,201310270crd,atl,GonzTo00,pass_cmp,0,,,,,
