game,2013,5,20131006,201310060clt,sea,"Seattle Seahawks",28,clt,"Indianapolis Colts",34
team,201310060clt,sea,First Downs,21,,,,,,
team,201310060clt,clt,First Downs,20,,,,,,
team,201310060clt,sea,Rush-Yds-TDs,34-218-0,,,,,,
team,201310060clt,clt,Rush-Yds-TDs,29-109-1,,,,,,
team,201310060clt,sea,Cmp-Att-Yd-TD-INT,15-31-210-2-1,,,,,,
team,201310060clt,clt,Cmp-Att-Yd-TD-INT,16-29-229-2-0,,,,,,
team,201310060clt,sea,Sacked-Yards,2-5,,,,,,
team,201310060clt,clt,Sacked-Yards,2-21,,,,,,
team,201310060clt,sea,Net Pass Yards,205,,,,,,
team,201310060clt,clt,Net Pass Yards,208,,,,,,
team,201310060clt,sea,Total Yards,423,,,,,,
team,201310060clt,clt,Total Yards,317,,,,,,
team,201310060clt,sea,Fumbles-Lost,2-1,,,,,,
team,201310060clt,clt,Fumbles-Lost,2-2,,,,,,
team,201310060clt,sea,Turnovers,2,,,,,,
team,201310060clt,clt,Turnovers,2,,,,,,
team,201310060clt,sea,Penalties-Yards,7-85,,,,,,
team,201310060clt,clt,Penalties-Yards,3-35,,,,,,
team,201310060clt,sea,Third Down Conv.,2-12,,,,,,
team,201310060clt,clt,Third Down Conv.,7-12,,,,,,
team,201310060clt,sea,Fourth Down Conv.,1-3,,,,,,
team,201310060clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201310060clt,sea,Time of Possession,31:22,,,,,,
team,201310060clt,clt,Time of Possession,28:38,,,,,,
player,201310060clt,sea,WilsRu00,pass_cmp,15,,,,,
player,201310060clt,sea,WilsRu00,pass_att,31,,,,,
player,201310060clt,sea,WilsRu00,pass_yds,210,,,,,
player,201310060clt,sea,WilsRu00,pass_td,2,,,,,
player,201310060clt,sea,WilsRu00,pass_int,1,,,,,
player,201310060clt,sea,WilsRu00,pass_sacked,2,,,,,
player,201310060clt,sea,WilsRu00,pass_sacked_yds,5,,,,,
player,201310060clt,sea,WilsRu00,pass_long,28,,,,,
player,201310060clt,sea,WilsRu00,pass_rating,78.7,,,,,
player,201310060clt,sea,WilsRu00,rush_att,13,,,,,
player,201310060clt,sea,WilsRu00,rush_yds,102,,,,,
player,201310060clt,sea,WilsRu00,rush_td,0,,,,,
player,201310060clt,sea,WilsRu00,rush_long,22,,,,,
player,201310060clt,sea,WilsRu00,targets,0,,,,,
player,201310060clt,sea,WilsRu00,rec,0,,,,,
player,201310060clt,sea,WilsRu00,rec_yds,0,,,,,
player,201310060clt,sea,WilsRu00,rec_td,0,,,,,
player,201310060clt,sea,WilsRu00,rec_long,0,,,,,
player,201310060clt,sea,WilsRu00,fumbles,1,,,,,
player,201310060clt,sea,WilsRu00,fumbles_lost,1,,,,,
player,201310060clt,sea,LyncMa00,pass_cmp,0,,,,,
player,201310060clt,sea,LyncMa00,pass_att,0,,,,,
player,201310060clt,sea,LyncMa00,pass_yds,0,,,,,
player,201310060clt,sea,LyncMa00,pass_td,0,,,,,
player,201310060clt,sea,LyncMa00,pass_int,0,,,,,
player,201310060clt,sea,LyncMa00,pass_sacked,0,,,,,
player,201310060clt,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201310060clt,sea,LyncMa00,pass_long,0,,,,,
player,201310060clt,sea,LyncMa00,pass_rating,,,,,,
player,201310060clt,sea,LyncMa00,rush_att,17,,,,,
player,201310060clt,sea,LyncMa00,rush_yds,102,,,,,
player,201310060clt,sea,LyncMa00,rush_td,0,,,,,
player,201310060clt,sea,LyncMa00,rush_long,24,,,,,
player,201310060clt,sea,LyncMa00,targets,2,,,,,
player,201310060clt,sea,LyncMa00,rec,1,,,,,
player,201310060clt,sea,LyncMa00,rec_yds,5,,,,,
player,201310060clt,sea,LyncMa00,rec_td,0,,,,,
player,201310060clt,sea,LyncMa00,rec_long,5,,,,,
player,201310060clt,sea,LyncMa00,fumbles,0,,,,,
player,201310060clt,sea,LyncMa00,fumbles_lost,0,,,,,
player,201310060clt,sea,TurbRo00,pass_cmp,0,,,,,
player,201310060clt,sea,TurbRo00,pass_att,0,,,,,
player,201310060clt,sea,TurbRo00,pass_yds,0,,,,,
player,201310060clt,sea,TurbRo00,pass_td,0,,,,,
player,201310060clt,sea,TurbRo00,pass_int,0,,,,,
player,201310060clt,sea,TurbRo00,pass_sacked,0,,,,,
player,201310060clt,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201310060clt,sea,TurbRo00,pass_long,0,,,,,
player,201310060clt,sea,TurbRo00,pass_rating,,,,,,
player,201310060clt,sea,TurbRo00,rush_att,4,,,,,
player,201310060clt,sea,TurbRo00,rush_yds,14,,,,,
player,201310060clt,sea,TurbRo00,rush_td,0,,,,,
player,201310060clt,sea,TurbRo00,rush_long,8,,,,,
player,201310060clt,sea,TurbRo00,targets,0,,,,,
player,201310060clt,sea,TurbRo00,rec,0,,,,,
player,201310060clt,sea,TurbRo00,rec_yds,0,,,,,
player,201310060clt,sea,TurbRo00,rec_td,0,,,,,
player,201310060clt,sea,TurbRo00,rec_long,0,,,,,
player,201310060clt,sea,TurbRo00,fumbles,0,,,,,
player,201310060clt,sea,TurbRo00,fumbles_lost,0,,,,,
player,201310060clt,sea,BaldDo00,pass_cmp,0,,,,,
player,201310060clt,sea,BaldDo00,pass_att,0,,,,,
player,201310060clt,sea,BaldDo00,pass_yds,0,,,,,
player,201310060clt,sea,BaldDo00,pass_td,0,,,,,
player,201310060clt,sea,BaldDo00,pass_int,0,,,,,
player,201310060clt,sea,BaldDo00,pass_sacked,0,,,,,
player,201310060clt,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201310060clt,sea,BaldDo00,pass_long,0,,,,,
player,201310060clt,sea,BaldDo00,pass_rating,,,,,,
player,201310060clt,sea,BaldDo00,rush_att,0,,,,,
player,201310060clt,sea,BaldDo00,rush_yds,0,,,,,
player,201310060clt,sea,BaldDo00,rush_td,0,,,,,
player,201310060clt,sea,BaldDo00,rush_long,0,,,,,
player,201310060clt,sea,BaldDo00,targets,9,,,,,
player,201310060clt,sea,BaldDo00,rec,5,,,,,
player,201310060clt,sea,BaldDo00,rec_yds,80,,,,,
player,201310060clt,sea,BaldDo00,rec_td,0,,,,,
player,201310060clt,sea,BaldDo00,rec_long,27,,,,,
player,201310060clt,sea,BaldDo00,fumbles,0,,,,,
player,201310060clt,sea,BaldDo00,fumbles_lost,0,,,,,
player,201310060clt,sea,TateGo00,pass_cmp,0,,,,,
player,201310060clt,sea,TateGo00,pass_att,0,,,,,
player,201310060clt,sea,TateGo00,pass_yds,0,,,,,
player,201310060clt,sea,TateGo00,pass_td,0,,,,,
player,201310060clt,sea,TateGo00,pass_int,0,,,,,
player,201310060clt,sea,TateGo00,pass_sacked,0,,,,,
player,201310060clt,sea,TateGo00,pass_sacked_yds,0,,,,,
player,201310060clt,sea,TateGo00,pass_long,0,,,,,
player,201310060clt,sea,TateGo00,pass_rating,,,,,,
player,201310060clt,sea,TateGo00,rush_att,0,,,,,
player,201310060clt,sea,TateGo00,rush_yds,0,,,,,
player,201310060clt,sea,TateGo00,rush_td,0,,,,,
player,201310060clt,sea,TateGo00,rush_long,0,,,,,
player,201310060clt,sea,TateGo00,targets,11,,,,,
player,201310060clt,sea,TateGo00,rec,5,,,,,
