game,2013,6,20131013,201310130sfo,crd,"Arizona Cardinals",20,sfo,"San Francisco 49ers",32
player,201310130sfo,crd,TaylSt00,pass_td,0,,,,,
player,201310130sfo,crd,TaylSt00,pass_int,0,,,,,
player,201310130sfo,crd,TaylSt00,pass_sacked,0,,,,,
player,201310130sfo,crd,TaylSt00,pass_sacked_yds,0,,,,,
player,201310130sfo,crd,TaylSt00,pass_long,0,,,,,
player,201310130sfo,crd,TaylSt00,pass_rating,,,,,,
player,201310130sfo,crd,TaylSt00,rush_att,2,,,,,
player,201310130sfo,crd,TaylSt00,rush_yds,7,,,,,
player,201310130sfo,crd,TaylSt00,rush_td,0,,,,,
player,201310130sfo,crd,TaylSt00,rush_long,5,,,,,
player,201310130sfo,crd,TaylSt00,targets,0,,,,,
player,201310130sfo,crd,TaylSt00,rec,0,,,,,
player,201310130sfo,crd,TaylSt00,rec_yds,0,,,,,
player,201310130sfo,crd,TaylSt00,rec_td,0,,,,,
player,201310130sfo,crd,TaylSt00,rec_long,0,,,,,
player,201310130sfo,crd,TaylSt00,fumbles,0,,,,,
player,201310130sfo,crd,TaylSt00,fumbles_lost,0,,,,,
player,201310130sfo,crd,FitzLa00,pass_cmp,0,,,,,
player,201310130sfo,crd,FitzLa00,pass_att,0,,,,,
player,201310130sfo,crd,FitzLa00,pass_yds,0,,,,,
player,201310130sfo,crd,FitzLa00,pass_td,0,,,,,
player,201310130sfo,crd,FitzLa00,pass_int,0,,,,,
player,201310130sfo,crd,FitzLa00,pass_sacked,0,,,,,
player,201310130sfo,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201310130sfo,crd,FitzLa00,pass_long,0,,,,,
player,201310130sfo,crd,FitzLa00,pass_rating,,,,,,
player,201310130sfo,crd,FitzLa00,rush_att,1,,,,,
player,201310130sfo,crd,FitzLa00,rush_yds,4,,,,,
player,201310130sfo,crd,FitzLa00,rush_td,0,,,,,
player,201310130sfo,crd,FitzLa00,rush_long,4,,,,,
player,201310130sfo,crd,FitzLa00,targets,12,,,,,
player,201310130sfo,crd,FitzLa00,rec,6,,,,,
player,201310130sfo,crd,FitzLa00,rec_yds,117,,,,,
player,201310130sfo,crd,FitzLa00,rec_td,1,,,,,
player,201310130sfo,crd,FitzLa00,rec_long,75,,,,,
player,201310130sfo,crd,FitzLa00,fumbles,1,,,,,
player,201310130sfo,crd,FitzLa00,fumbles_lost,1,,,,,
player,201310130sfo,crd,SmitAl22,pass_cmp,0,,,,,
player,201310130sfo,crd,SmitAl22,pass_att,0,,,,,
player,201310130sfo,crd,SmitAl22,pass_yds,0,,,,,
player,201310130sfo,crd,SmitAl22,pass_td,0,,,,,
player,201310130sfo,crd,SmitAl22,pass_int,0,,,,,
player,201310130sfo,crd,SmitAl22,pass_sacked,0,,,,,
player,201310130sfo,crd,SmitAl22,pass_sacked_yds,0,,,,,
player,201310130sfo,crd,SmitAl22,pass_long,0,,,,,
player,201310130sfo,crd,SmitAl22,pass_rating,,,,,,
player,201310130sfo,crd,SmitAl22,rush_att,1,,,,,
player,201310130sfo,crd,SmitAl22,rush_yds,2,,,,,
player,201310130sfo,crd,SmitAl22,rush_td,0,,,,,
player,201310130sfo,crd,SmitAl22,rush_long,2,,,,,
player,201310130sfo,crd,SmitAl22,targets,1,,,,,
player,201310130sfo,crd,SmitAl22,rec,0,,,,,
player,201310130sfo,crd,SmitAl22,rec_yds,0,,,,,
player,201310130sfo,crd,SmitAl22,rec_td,0,,,,,
