game,2013,16,20131222,201312220det,nyg,"New York Giants",23,det,"Detroit Lions",20
team,201312220det,nyg,First Downs,15,,,,,,
team,201312220det,det,First Downs,24,,,,,,
team,201312220det,nyg,Rush-Yds-TDs,21-41-0,,,,,,
team,201312220det,det,Rush-Yds-TDs,36-148-2,,,,,,
team,201312220det,nyg,Cmp-Att-Yd-TD-INT,23-42-256-1-1,,,,,,
team,201312220det,det,Cmp-Att-Yd-TD-INT,25-42-222-0-2,,,,,,
team,201312220det,nyg,Sacked-Yards,2-18,,,,,,
team,201312220det,det,Sacked-Yards,2-15,,,,,,
team,201312220det,nyg,Net Pass Yards,238,,,,,,
team,201312220det,det,Net Pass Yards,207,,,,,,
team,201312220det,nyg,Total Yards,279,,,,,,
team,201312220det,det,Total Yards,355,,,,,,
team,201312220det,nyg,Fumbles-Lost,2-1,,,,,,
team,201312220det,det,Fumbles-Lost,1-1,,,,,,
team,201312220det,nyg,Turnovers,2,,,,,,
team,201312220det,det,Turnovers,3,,,,,,
team,201312220det,nyg,Penalties-Yards,5-30,,,,,,
team,201312220det,det,Penalties-Yards,7-60,,,,,,
team,201312220det,nyg,Third Down Conv.,6-17,,,,,,
team,201312220det,det,Third Down Conv.,8-17,,,,,,
team,201312220det,nyg,Fourth Down Conv.,1-1,,,,,,
team,201312220det,det,Fourth Down Conv.,0-0,,,,,,
team,201312220det,nyg,Time of Possession,29:43,,,,,,
team,201312220det,det,Time of Possession,37:45,,,,,,
player,201312220det,nyg,MannEl00,pass_cmp,23,,,,,
player,201312220det,nyg,MannEl00,pass_att,42,,,,,
player,201312220det,nyg,MannEl00,pass_yds,256,,,,,
player,201312220det,nyg,MannEl00,pass_td,1,,,,,
player,201312220det,nyg,MannEl00,pass_int,1,,,,,
player,201312220det,nyg,MannEl00,pass_sacked,2,,,,,
player,201312220det,nyg,MannEl00,pass_sacked_yds,18,,,,,
player,201312220det,nyg,MannEl00,pass_long,26,,,,,
player,201312220det,nyg,MannEl00,pass_rating,71.1,,,,,
player,201312220det,nyg,MannEl00,rush_att,2,,,,,
player,201312220det,nyg,MannEl00,rush_yds,-2,,,,,
player,201312220det,nyg,MannEl00,rush_td,0,,,,,
player,201312220det,nyg,MannEl00,rush_long,0,,,,,
player,201312220det,nyg,MannEl00,targets,0,,,,,
player,201312220det,nyg,MannEl00,rec,0,,,,,
player,201312220det,nyg,MannEl00,rec_yds,0,,,,,
player,201312220det,nyg,MannEl00,rec_td,0,,,,,
player,201312220det,nyg,MannEl00,rec_long,0,,,,,
player,201312220det,nyg,MannEl00,fumbles,1,,,,,
player,201312220det,nyg,MannEl00,fumbles_lost,0,,,,,
player,201312220det,nyg,BrowAn03,pass_cmp,0,,,,,
player,201312220det,nyg,BrowAn03,pass_att,0,,,,,
player,201312220det,nyg,BrowAn03,pass_yds,0,,,,,
player,201312220det,nyg,BrowAn03,pass_td,0,,,,,
player,201312220det,nyg,BrowAn03,pass_int,0,,,,,
player,201312220det,nyg,BrowAn03,pass_sacked,0,,,,,
player,201312220det,nyg,BrowAn03,pass_sacked_yds,0,,,,,
player,201312220det,nyg,BrowAn03,pass_long,0,,,,,
player,201312220det,nyg,BrowAn03,pass_rating,,,,,,
player,201312220det,nyg,BrowAn03,rush_att,16,,,,,
player,201312220det,nyg,BrowAn03,rush_yds,40,,,,,
player,201312220det,nyg,BrowAn03,rush_td,0,,,,,
player,201312220det,nyg,BrowAn03,rush_long,11,,,,,
player,201312220det,nyg,BrowAn03,targets,3,,,,,
player,201312220det,nyg,BrowAn03,rec,2,,,,,
player,201312220det,nyg,BrowAn03,rec_yds,14,,,,,
player,201312220det,nyg,BrowAn03,rec_td,0,,,,,
player,201312220det,nyg,BrowAn03,rec_long,14,,,,,
player,201312220det,nyg,BrowAn03,fumbles,1,,,,,
player,201312220det,nyg,BrowAn03,fumbles_lost,1,,,,,
player,201312220det,nyg,PascBe00,pass_cmp,0,,,,,
player,201312220det,nyg,PascBe00,pass_att,0,,,,,
player,201312220det,nyg,PascBe00,pass_yds,0,,,,,
player,201312220det,nyg,PascBe00,pass_td,0,,,,,
player,201312220det,nyg,PascBe00,pass_int,0,,,,,
player,201312220det,nyg,PascBe00,pass_sacked,0,,,,,
player,201312220det,nyg,PascBe00,pass_sacked_yds,0,,,,,
player,201312220det,nyg,PascBe00,pass_long,0,,,,,
player,201312220det,nyg,PascBe00,pass_rating,,,,,,
player,201312220det,nyg,PascBe00,rush_att,1,,,,,
player,201312220det,nyg,PascBe00,rush_yds,2,,,,,
player,201312220det,nyg,PascBe00,rush_td,0,,,,,
player,201312220det,nyg,PascBe00,rush_long,2,,,,,
player,201312220det,nyg,PascBe00,targets,2,,,,,
player,201312220det,nyg,PascBe00,rec,1,,,,,
player,201312220det,nyg,PascBe00,rec_yds,7,,,,,
player,201312220det,nyg,PascBe00,rec_td,0,,,,,
player,201312220det,nyg,PascBe00,rec_long,7,,,,,
player,201312220det,nyg,PascBe00,fumbles,0,,,,,
player,201312220det,nyg,PascBe00,fumbles_lost,0,,,,,
