game,2013,11,20131118,201311180car,nwe,"New England Patriots",20,car,"Carolina Panthers",24
team,201311180car,nwe,First Downs,28,,,,,,
team,201311180car,car,First Downs,20,,,,,,
team,201311180car,nwe,Rush-Yds-TDs,25-107-1,,,,,,
team,201311180car,car,Rush-Yds-TDs,23-103-0,,,,,,
team,201311180car,nwe,Cmp-Att-Yd-TD-INT,29-40-296-1-1,,,,,,
team,201311180car,car,Cmp-Att-Yd-TD-INT,19-28-209-3-0,,,,,,
team,201311180car,nwe,Sacked-Yards,2-13,,,,,,
team,201311180car,car,Sacked-Yards,3-12,,,,,,
team,201311180car,nwe,Net Pass Yards,283,,,,,,
team,201311180car,car,Net Pass Yards,197,,,,,,
team,201311180car,nwe,Total Yards,390,,,,,,
team,201311180car,car,Total Yards,300,,,,,,
team,201311180car,nwe,Fumbles-Lost,1-1,,,,,,
team,201311180car,car,Fumbles-Lost,0-0,,,,,,
team,201311180car,nwe,Turnovers,2,,,,,,
team,201311180car,car,Turnovers,0,,,,,,
team,201311180car,nwe,Penalties-Yards,5-50,,,,,,
team,201311180car,car,Penalties-Yards,7-47,,,,,,
team,201311180car,nwe,Third Down Conv.,5-10,,,,,,
team,201311180car,car,Third Down Conv.,8-11,,,,,,
team,201311180car,nwe,Fourth Down Conv.,1-1,,,,,,
team,201311180car,car,Fourth Down Conv.,0-0,,,,,,
team,201311180car,nwe,Time of Possession,30:46,,,,,,
team,201311180car,car,Time of Possession,29:14,,,,,,
player,201311180car,nwe,BradTo00,pass_cmp,29,,,,,
player,201311180car,nwe,BradTo00,pass_att,40,,,,,
player,201311180car,nwe,BradTo00,pass_yds,296,,,,,
player,201311180car,nwe,BradTo00,pass_td,1,,,,,
player,201311180car,nwe,BradTo00,pass_int,1,,,,,
player,201311180car,nwe,BradTo00,pass_sacked,2,,,,,
player,201311180car,nwe,BradTo00,pass_sacked_yds,13,,,,,
player,201311180car,nwe,BradTo00,pass_long,37,,,,,
player,201311180car,nwe,BradTo00,pass_rating,91.2,,,,,
player,201311180car,nwe,BradTo00,rush_att,1,,,,,
player,201311180car,nwe,BradTo00,rush_yds,3,,,,,
player,201311180car,nwe,BradTo00,rush_td,0,,,,,
player,201311180car,nwe,BradTo00,rush_long,3,,,,,
player,201311180car,nwe,BradTo00,targets,0,,,,,
player,201311180car,nwe,BradTo00,rec,0,,,,,
player,201311180car,nwe,BradTo00,rec_yds,0,,,,,
player,201311180car,nwe,BradTo00,rec_td,0,,,,,
player,201311180car,nwe,BradTo00,rec_long,0,,,,,
player,201311180car,nwe,BradTo00,fumbles,0,,,,,
player,201311180car,nwe,BradTo00,fumbles_lost,0,,,,,
player,201311180car,nwe,BlouLe00,pass_cmp,0,,,,,
player,201311180car,nwe,BlouLe00,pass_att,0,,,,,
player,201311180car,nwe,BlouLe00,pass_yds,0,,,,,
player,201311180car,nwe,BlouLe00,pass_td,0,,,,,
player,201311180car,nwe,BlouLe00,pass_int,0,,,,,
player,201311180car,nwe,BlouLe00,pass_sacked,0,,,,,
player,201311180car,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201311180car,nwe,BlouLe00,pass_long,0,,,,,
player,201311180car,nwe,BlouLe00,pass_rating,,,,,,
player,201311180car,nwe,BlouLe00,rush_att,10,,,,,
player,201311180car,nwe,BlouLe00,rush_yds,49,,,,,
player,201311180car,nwe,BlouLe00,rush_td,0,,,,,
player,201311180car,nwe,BlouLe00,rush_long,12,,,,,
player,201311180car,nwe,BlouLe00,targets,0,,,,,
player,201311180car,nwe,BlouLe00,rec,0,,,,,
player,201311180car,nwe,BlouLe00,rec_yds,0,,,,,
player,201311180car,nwe,BlouLe00,rec_td,0,,,,,
player,201311180car,nwe,BlouLe00,rec_long,0,,,,,
player,201311180car,nwe,BlouLe00,fumbles,0,,,,,
player,201311180car,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201311180car,nwe,RidlSt00,pass_cmp,0,,,,,
player,201311180car,nwe,RidlSt00,pass_att,0,,,,,
player,201311180car,nwe,RidlSt00,pass_yds,0,,,,,
player,201311180car,nwe,RidlSt00,pass_td,0,,,,,
player,201311180car,nwe,RidlSt00,pass_int,0,,,,,
player,201311180car,nwe,RidlSt00,pass_sacked,0,,,,,
player,201311180car,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201311180car,nwe,RidlSt00,pass_long,0,,,,,
player,201311180car,nwe,RidlSt00,pass_rating,,,,,,
player,201311180car,nwe,RidlSt00,rush_att,13,,,,,
player,201311180car,nwe,RidlSt00,rush_yds,48,,,,,
player,201311180car,nwe,RidlSt00,rush_td,1,,,,,
player,201311180car,nwe,RidlSt00,rush_long,13,,,,,
player,201311180car,nwe,RidlSt00,targets,0,,,,,
player,201311180car,nwe,RidlSt00,rec,0,,,,,
player,201311180car,nwe,RidlSt00,rec_yds,0,,,,,
player,201311180car,nwe,RidlSt00,rec_td,0,,,,,
player,201311180car,nwe,RidlSt00,rec_long,0,,,,,
player,201311180car,nwe,RidlSt00,fumbles,1,,,,,
player,201311180car,nwe,RidlSt00,fumbles_lost,1,,,,,
player,201311180car,nwe,VereSh00,pass_cmp,0,,,,,
player,201311180car,nwe,VereSh00,pass_att,0,,,,,
player,201311180car,nwe,VereSh00,pass_yds,0,,,,,
player,201311180car,nwe,VereSh00,pass_td,0,,,,,
player,201311180car,nwe,VereSh00,pass_int,0,,,,,
player,201311180car,nwe,VereSh00,pass_sacked,0,,,,,
player,201311180car,nwe,VereSh00,pass_sacked_yds,0,,,,,
player,201311180car,nwe,VereSh00,pass_long,0,,,,,
player,201311180car,nwe,VereSh00,pass_rating,,,,,,
player,201311180car,nwe,VereSh00,rush_att,1,,,,,
player,201311180car,nwe,VereSh00,rush_yds,7,,,,,
player,201311180car,nwe,VereSh00,rush_td,0,,,,,
player,201311180car,nwe,VereSh00,rush_long,7,,,,,
player,201311180car,nwe,VereSh00,targets,11,,,,,
player,201311180car,nwe,VereSh00,rec,8,,,,,
player,201311180car,nwe,VereSh00,rec_yds,65,,,,,
player,201311180car,nwe,VereSh00,rec_td,0,,,,,
player,201311180car,nwe,VereSh00,rec_long,17,,,,,
player,201311180car,nwe,VereSh00,fumbles,0,,,,,
player,201311180car,nwe,VereSh00,fumbles_lost,0,,,,,
player,201311180car,nwe,ThomKe02,pass_cmp,0,,,,,
player,201311180car,nwe,ThomKe02,pass_att,0,,,,,
player,201311180car,nwe,ThomKe02,pass_yds,0,,,,,
player,201311180car,nwe,ThomKe02,pass_td,0,,,,,
player,201311180car,nwe,ThomKe02,pass_int,0,,,,,
player,201311180car,nwe,ThomKe02,pass_sacked,0,,,,,
player,201311180car,nwe,ThomKe02,pass_sacked_yds,0,,,,,
player,201311180car,nwe,ThomKe02,pass_long,0,,,,,
player,201311180car,nwe,ThomKe02,pass_rating,,,,,,
player,201311180car,nwe,ThomKe02,rush_att,0,,,,,
player,201311180car,nwe,ThomKe02,rush_yds,0,,,,,
player,201311180car,nwe,ThomKe02,rush_td,0,,,,,
player,201311180car,nwe,ThomKe02,rush_long,0,,,,,
player,201311180car,nwe,ThomKe02,targets,2,,,,,
player,201311180car,nwe,ThomKe02,rec,2,,,,,
player,201311180car,nwe,ThomKe02,rec_yds,60,,,,,
player,201311180car,nwe,ThomKe02,rec_td,0,,,,,
player,201311180car,nwe,ThomKe02,rec_long,37,,,,,
player,201311180car,nwe,ThomKe02,fumbles,0,,,,,
player,201311180car,nwe,ThomKe02,fumbles_lost,0,,,,,
player,201311180car,nwe,GronRo00,pass_cmp,0,,,,,
player,201311180car,nwe,GronRo00,pass_att,0,,,,,
player,201311180car,nwe,GronRo00,pass_yds,0,,,,,
player,201311180car,nwe,GronRo00,pass_td,0,,,,,
player,201311180car,nwe,GronRo00,pass_int,0,,,,,
player,201311180car,nwe,GronRo00,pass_sacked,0,,,,,
player,201311180car,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201311180car,nwe,GronRo00,pass_long,0,,,,,
player,201311180car,nwe,GronRo00,pass_rating,,,,,,
player,201311180car,nwe,GronRo00,rush_att,0,,,,,
player,201311180car,nwe,GronRo00,rush_yds,0,,,,,
player,201311180car,nwe,GronRo00,rush_td,0,,,,,
player,201311180car,nwe,GronRo00,rush_long,0,,,,,
player,201311180car,nwe,GronRo00,targets,7,,,,,
player,201311180car,nwe,GronRo00,rec,5,,,,,
player,201311180car,nwe,GronRo00,rec_yds,59,,,,,
player,201311180car,nwe,GronRo00,rec_td,1,,,,,
player,201311180car,nwe,GronRo00,rec_long,23,,,,,
player,201311180car,nwe,GronRo00,fumbles,0,,,,,
player,201311180car,nwe,GronRo00,fumbles_lost,0,,,,,
player,201311180car,nwe,AmenDa00,pass_cmp,0,,,,,
player,201311180car,nwe,AmenDa00,pass_att,0,,,,,
player,201311180car,nwe,AmenDa00,pass_yds,0,,,,,
player,201311180car,nwe,AmenDa00,pass_td,0,,,,,
player,201311180car,nwe,AmenDa00,pass_int,0,,,,,
player,201311180car,nwe,AmenDa00,pass_sacked,0,,,,,
player,201311180car,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201311180car,nwe,AmenDa00,pass_long,0,,,,,
player,201311180car,nwe,AmenDa00,pass_rating,,,,,,
player,201311180car,nwe,AmenDa00,rush_att,0,,,,,
player,201311180car,nwe,AmenDa00,rush_yds,0,,,,,
player,201311180car,nwe,AmenDa00,rush_td,0,,,,,
player,201311180car,nwe,AmenDa00,rush_long,0,,,,,
player,201311180car,nwe,AmenDa00,targets,7,,,,,
player,201311180car,nwe,AmenDa00,rec,6,,,,,
player,201311180car,nwe,AmenDa00,rec_yds,45,,,,,
player,201311180car,nwe,AmenDa00,rec_td,0,,,,,
player,201311180car,nwe,AmenDa00,rec_long,13,,,,,
