game,2013,11,20131117,201311170nyg,gnb,"Green Bay Packers",13,nyg,"New York Giants",27
team,201311170nyg,gnb,First Downs,16,,,,,,
team,201311170nyg,nyg,First Downs,19,,,,,,
team,201311170nyg,gnb,Rush-Yds-TDs,20-55-1,,,,,,
team,201311170nyg,nyg,Rush-Yds-TDs,24-78-1,,,,,,
team,201311170nyg,gnb,Cmp-Att-Yd-TD-INT,24-34-339-0-3,,,,,,
team,201311170nyg,nyg,Cmp-Att-Yd-TD-INT,25-35-279-1-1,,,,,,
team,201311170nyg,gnb,Sacked-Yards,0-0,,,,,,
team,201311170nyg,nyg,Sacked-Yards,4-23,,,,,,
team,201311170nyg,gnb,Net Pass Yards,339,,,,,,
team,201311170nyg,nyg,Net Pass Yards,256,,,,,,
team,201311170nyg,gnb,Total Yards,394,,,,,,
team,201311170nyg,nyg,Total Yards,334,,,,,,
team,201311170nyg,gnb,Fumbles-Lost,0-0,,,,,,
team,201311170nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201311170nyg,gnb,Turnovers,3,,,,,,
team,201311170nyg,nyg,Turnovers,1,,,,,,
team,201311170nyg,gnb,Penalties-Yards,5-38,,,,,,
team,201311170nyg,nyg,Penalties-Yards,3-30,,,,,,
team,201311170nyg,gnb,Third Down Conv.,2-8,,,,,,
team,201311170nyg,nyg,Third Down Conv.,4-14,,,,,,
team,201311170nyg,gnb,Fourth Down Conv.,0-1,,,,,,
team,201311170nyg,nyg,Fourth Down Conv.,2-2,,,,,,
team,201311170nyg,gnb,Time of Possession,24:46,,,,,,
team,201311170nyg,nyg,Time of Possession,35:14,,,,,,
player,201311170nyg,gnb,TolzSc00,pass_cmp,24,,,,,
player,201311170nyg,gnb,TolzSc00,pass_att,34,,,,,
player,201311170nyg,gnb,TolzSc00,pass_yds,339,,,,,
player,201311170nyg,gnb,TolzSc00,pass_td,0,,,,,
player,201311170nyg,gnb,TolzSc00,pass_int,3,,,,,
player,201311170nyg,gnb,TolzSc00,pass_sacked,0,,,,,
player,201311170nyg,gnb,TolzSc00,pass_sacked_yds,0,,,,,
player,201311170nyg,gnb,TolzSc00,pass_long,52,,,,,
player,201311170nyg,gnb,TolzSc00,pass_rating,65.7,,,,,
player,201311170nyg,gnb,TolzSc00,rush_att,2,,,,,
player,201311170nyg,gnb,TolzSc00,rush_yds,11,,,,,
player,201311170nyg,gnb,TolzSc00,rush_td,0,,,,,
player,201311170nyg,gnb,TolzSc00,rush_long,7,,,,,
player,201311170nyg,gnb,TolzSc00,targets,0,,,,,
player,201311170nyg,gnb,TolzSc00,rec,0,,,,,
player,201311170nyg,gnb,TolzSc00,rec_yds,0,,,,,
player,201311170nyg,gnb,TolzSc00,rec_td,0,,,,,
player,201311170nyg,gnb,TolzSc00,rec_long,0,,,,,
player,201311170nyg,gnb,TolzSc00,fumbles,0,,,,,
player,201311170nyg,gnb,TolzSc00,fumbles_lost,0,,,,,
player,201311170nyg,gnb,LacyEd00,pass_cmp,0,,,,,
player,201311170nyg,gnb,LacyEd00,pass_att,0,,,,,
player,201311170nyg,gnb,LacyEd00,pass_yds,0,,,,,
player,201311170nyg,gnb,LacyEd00,pass_td,0,,,,,
player,201311170nyg,gnb,LacyEd00,pass_int,0,,,,,
player,201311170nyg,gnb,LacyEd00,pass_sacked,0,,,,,
player,201311170nyg,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201311170nyg,gnb,LacyEd00,pass_long,0,,,,,
player,201311170nyg,gnb,LacyEd00,pass_rating,,,,,,
player,201311170nyg,gnb,LacyEd00,rush_att,14,,,,,
player,201311170nyg,gnb,LacyEd00,rush_yds,27,,,,,
player,201311170nyg,gnb,LacyEd00,rush_td,1,,,,,
player,201311170nyg,gnb,LacyEd00,rush_long,5,,,,,
player,201311170nyg,gnb,LacyEd00,targets,2,,,,,
player,201311170nyg,gnb,LacyEd00,rec,2,,,,,
player,201311170nyg,gnb,LacyEd00,rec_yds,21,,,,,
player,201311170nyg,gnb,LacyEd00,rec_td,0,,,,,
player,201311170nyg,gnb,LacyEd00,rec_long,16,,,,,
