game,2013,3,20130922,201309220was,det,"Detroit Lions",27,was,"Washington Redskins",20
team,201309220was,det,First Downs,24,,,,,,
team,201309220was,was,First Downs,27,,,,,,
team,201309220was,det,Rush-Yds-TDs,23-63-1,,,,,,
team,201309220was,was,Rush-Yds-TDs,22-120-1,,,,,,
team,201309220was,det,Cmp-Att-Yd-TD-INT,25-42-385-2-1,,,,,,
team,201309220was,was,Cmp-Att-Yd-TD-INT,32-50-326-0-1,,,,,,
team,201309220was,det,Sacked-Yards,1-7,,,,,,
team,201309220was,was,Sacked-Yards,2-26,,,,,,
team,201309220was,det,Net Pass Yards,378,,,,,,
team,201309220was,was,Net Pass Yards,300,,,,,,
team,201309220was,det,Total Yards,441,,,,,,
team,201309220was,was,Total Yards,420,,,,,,
team,201309220was,det,Fumbles-Lost,0-0,,,,,,
team,201309220was,was,Fumbles-Lost,3-1,,,,,,
team,201309220was,det,Turnovers,1,,,,,,
team,201309220was,was,Turnovers,2,,,,,,
team,201309220was,det,Penalties-Yards,8-71,,,,,,
team,201309220was,was,Penalties-Yards,6-45,,,,,,
team,201309220was,det,Third Down Conv.,4-13,,,,,,
team,201309220was,was,Third Down Conv.,6-13,,,,,,
team,201309220was,det,Fourth Down Conv.,1-1,,,,,,
team,201309220was,was,Fourth Down Conv.,0-0,,,,,,
team,201309220was,det,Time of Possession,28:48,,,,,,
team,201309220was,was,Time of Possession,31:12,,,,,,
player,201309220was,det,StafMa00,pass_cmp,25,,,,,
player,201309220was,det,StafMa00,pass_att,42,,,,,
player,201309220was,det,StafMa00,pass_yds,385,,,,,
player,201309220was,det,StafMa00,pass_td,2,,,,,
player,201309220was,det,StafMa00,pass_int,1,,,,,
player,201309220was,det,StafMa00,pass_sacked,1,,,,,
player,201309220was,det,StafMa00,pass_sacked_yds,7,,,,,
player,201309220was,det,StafMa00,pass_long,47,,,,,
player,201309220was,det,StafMa00,pass_rating,95.8,,,,,
player,201309220was,det,StafMa00,rush_att,1,,,,,
player,201309220was,det,StafMa00,rush_yds,2,,,,,
player,201309220was,det,StafMa00,rush_td,0,,,,,
player,201309220was,det,StafMa00,rush_long,2,,,,,
player,201309220was,det,StafMa00,targets,0,,,,,
player,201309220was,det,StafMa00,rec,0,,,,,
player,201309220was,det,StafMa00,rec_yds,0,,,,,
player,201309220was,det,StafMa00,rec_td,0,,,,,
player,201309220was,det,StafMa00,rec_long,0,,,,,
player,201309220was,det,StafMa00,fumbles,0,,,,,
player,201309220was,det,StafMa00,fumbles_lost,0,,,,,
player,201309220was,det,BellJo01,pass_cmp,0,,,,,
player,201309220was,det,BellJo01,pass_att,0,,,,,
player,201309220was,det,BellJo01,pass_yds,0,,,,,
player,201309220was,det,BellJo01,pass_td,0,,,,,
player,201309220was,det,BellJo01,pass_int,0,,,,,
player,201309220was,det,BellJo01,pass_sacked,0,,,,,
player,201309220was,det,BellJo01,pass_sacked_yds,0,,,,,
player,201309220was,det,BellJo01,pass_long,0,,,,,
player,201309220was,det,BellJo01,pass_rating,,,,,,
player,201309220was,det,BellJo01,rush_att,20,,,,,
player,201309220was,det,BellJo01,rush_yds,63,,,,,
player,201309220was,det,BellJo01,rush_td,1,,,,,
player,201309220was,det,BellJo01,rush_long,13,,,,,
player,201309220was,det,BellJo01,targets,5,,,,,
player,201309220was,det,BellJo01,rec,4,,,,,
player,201309220was,det,BellJo01,rec_yds,69,,,,,
player,201309220was,det,BellJo01,rec_td,0,,,,,
player,201309220was,det,BellJo01,rec_long,37,,,,,
player,201309220was,det,BellJo01,fumbles,0,,,,,
player,201309220was,det,BellJo01,fumbles_lost,0,,,,,
