game,2013,7,20131020,201310200clt,den,"Denver Broncos",33,clt,"Indianapolis Colts",39
team,201310200clt,den,First Downs,23,,,,,,
team,201310200clt,clt,First Downs,19,,,,,,
team,201310200clt,den,Rush-Yds-TDs,20-64-1,,,,,,
team,201310200clt,clt,Rush-Yds-TDs,31-121-1,,,,,,
team,201310200clt,den,Cmp-Att-Yd-TD-INT,29-49-386-3-1,,,,,,
team,201310200clt,clt,Cmp-Att-Yd-TD-INT,21-38-228-3-0,,,,,,
team,201310200clt,den,Sacked-Yards,4-21,,,,,,
team,201310200clt,clt,Sacked-Yards,2-15,,,,,,
team,201310200clt,den,Net Pass Yards,365,,,,,,
team,201310200clt,clt,Net Pass Yards,213,,,,,,
team,201310200clt,den,Total Yards,429,,,,,,
team,201310200clt,clt,Total Yards,334,,,,,,
team,201310200clt,den,Fumbles-Lost,4-2,,,,,,
team,201310200clt,clt,Fumbles-Lost,1-1,,,,,,
team,201310200clt,den,Turnovers,3,,,,,,
team,201310200clt,clt,Turnovers,1,,,,,,
team,201310200clt,den,Penalties-Yards,12-103,,,,,,
team,201310200clt,clt,Penalties-Yards,6-52,,,,,,
team,201310200clt,den,Third Down Conv.,5-16,,,,,,
team,201310200clt,clt,Third Down Conv.,5-17,,,,,,
team,201310200clt,den,Fourth Down Conv.,1-1,,,,,,
team,201310200clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201310200clt,den,Time of Possession,28:13,,,,,,
team,201310200clt,clt,Time of Possession,31:47,,,,,,
player,201310200clt,den,MannPe00,pass_cmp,29,,,,,
player,201310200clt,den,MannPe00,pass_att,49,,,,,
player,201310200clt,den,MannPe00,pass_yds,386,,,,,
player,201310200clt,den,MannPe00,pass_td,3,,,,,
player,201310200clt,den,MannPe00,pass_int,1,,,,,
player,201310200clt,den,MannPe00,pass_sacked,4,,,,,
player,201310200clt,den,MannPe00,pass_sacked_yds,21,,,,,
player,201310200clt,den,MannPe00,pass_long,49,,,,,
player,201310200clt,den,MannPe00,pass_rating,96.1,,,,,
player,201310200clt,den,MannPe00,rush_att,1,,,,,
player,201310200clt,den,MannPe00,rush_yds,-1,,,,,
player,201310200clt,den,MannPe00,rush_td,0,,,,,
player,201310200clt,den,MannPe00,rush_long,-1,,,,,
player,201310200clt,den,MannPe00,targets,0,,,,,
player,201310200clt,den,MannPe00,rec,0,,,,,
player,201310200clt,den,MannPe00,rec_yds,0,,,,,
player,201310200clt,den,MannPe00,rec_td,0,,,,,
player,201310200clt,den,MannPe00,rec_long,0,,,,,
player,201310200clt,den,MannPe00,fumbles,1,,,,,
player,201310200clt,den,MannPe00,fumbles_lost,0,,,,,
player,201310200clt,den,MoreKn00,pass_cmp,0,,,,,
player,201310200clt,den,MoreKn00,pass_att,0,,,,,
player,201310200clt,den,MoreKn00,pass_yds,0,,,,,
player,201310200clt,den,MoreKn00,pass_td,0,,,,,
player,201310200clt,den,MoreKn00,pass_int,0,,,,,
player,201310200clt,den,MoreKn00,pass_sacked,0,,,,,
player,201310200clt,den,MoreKn00,pass_sacked_yds,0,,,,,
player,201310200clt,den,MoreKn00,pass_long,0,,,,,
player,201310200clt,den,MoreKn00,pass_rating,,,,,,
player,201310200clt,den,MoreKn00,rush_att,15,,,,,
player,201310200clt,den,MoreKn00,rush_yds,40,,,,,
player,201310200clt,den,MoreKn00,rush_td,1,,,,,
player,201310200clt,den,MoreKn00,rush_long,9,,,,,
player,201310200clt,den,MoreKn00,targets,6,,,,,
player,201310200clt,den,MoreKn00,rec,3,,,,,
player,201310200clt,den,MoreKn00,rec_yds,9,,,,,
player,201310200clt,den,MoreKn00,rec_td,0,,,,,
player,201310200clt,den,MoreKn00,rec_long,4,,,,,
player,201310200clt,den,MoreKn00,fumbles,0,,,,,
player,201310200clt,den,MoreKn00,fumbles_lost,0,,,,,
player,201310200clt,den,HillRo00,pass_cmp,0,,,,,
player,201310200clt,den,HillRo00,pass_att,0,,,,,
player,201310200clt,den,HillRo00,pass_yds,0,,,,,
player,201310200clt,den,HillRo00,pass_td,0,,,,,
player,201310200clt,den,HillRo00,pass_int,0,,,,,
player,201310200clt,den,HillRo00,pass_sacked,0,,,,,
player,201310200clt,den,HillRo00,pass_sacked_yds,0,,,,,
player,201310200clt,den,HillRo00,pass_long,0,,,,,
player,201310200clt,den,HillRo00,pass_rating,,,,,,
player,201310200clt,den,HillRo00,rush_att,4,,,,,
player,201310200clt,den,HillRo00,rush_yds,25,,,,,
player,201310200clt,den,HillRo00,rush_td,0,,,,,
player,201310200clt,den,HillRo00,rush_long,14,,,,,
player,201310200clt,den,HillRo00,targets,1,,,,,
player,201310200clt,den,HillRo00,rec,1,,,,,
player,201310200clt,den,HillRo00,rec_yds,1,,,,,
player,201310200clt,den,HillRo00,rec_td,0,,,,,
player,201310200clt,den,HillRo00,rec_long,1,,,,,
player,201310200clt,den,HillRo00,fumbles,1,,,,,
player,201310200clt,den,HillRo00,fumbles_lost,1,,,,,
