game,2013,11,20131117,201311170htx,rai,"Oakland Raiders",28,htx,"Houston Texans",23
team,201311170htx,rai,First Downs,12,,,,,,
team,201311170htx,htx,First Downs,14,,,,,,
team,201311170htx,rai,Rush-Yds-TDs,31-165-1,,,,,,
team,201311170htx,htx,Rush-Yds-TDs,21-90-0,,,,,,
team,201311170htx,rai,Cmp-Att-Yd-TD-INT,18-32-197-3-0,,,,,,
team,201311170htx,htx,Cmp-Att-Yd-TD-INT,25-49-325-1-1,,,,,,
team,201311170htx,rai,Sacked-Yards,2-21,,,,,,
team,201311170htx,htx,Sacked-Yards,2-21,,,,,,
team,201311170htx,rai,Net Pass Yards,176,,,,,,
team,201311170htx,htx,Net Pass Yards,304,,,,,,
team,201311170htx,rai,Total Yards,341,,,,,,
team,201311170htx,htx,Total Yards,394,,,,,,
team,201311170htx,rai,Fumbles-Lost,1-0,,,,,,
team,201311170htx,htx,Fumbles-Lost,3-1,,,,,,
team,201311170htx,rai,Turnovers,0,,,,,,
team,201311170htx,htx,Turnovers,2,,,,,,
team,201311170htx,rai,Penalties-Yards,8-77,,,,,,
team,201311170htx,htx,Penalties-Yards,9-50,,,,,,
team,201311170htx,rai,Third Down Conv.,5-18,,,,,,
team,201311170htx,htx,Third Down Conv.,2-16,,,,,,
team,201311170htx,rai,Fourth Down Conv.,0-0,,,,,,
team,201311170htx,htx,Fourth Down Conv.,0-1,,,,,,
team,201311170htx,rai,Time of Possession,31:31,,,,,,
team,201311170htx,htx,Time of Possession,28:29,,,,,,
player,201311170htx,rai,McGlMa01,pass_cmp,18,,,,,
player,201311170htx,rai,McGlMa01,pass_att,32,,,,,
player,201311170htx,rai,McGlMa01,pass_yds,197,,,,,
player,201311170htx,rai,McGlMa01,pass_td,3,,,,,
player,201311170htx,rai,McGlMa01,pass_int,0,,,,,
player,201311170htx,rai,McGlMa01,pass_sacked,2,,,,,
player,201311170htx,rai,McGlMa01,pass_sacked_yds,21,,,,,
player,201311170htx,rai,McGlMa01,pass_long,36,,,,,
player,201311170htx,rai,McGlMa01,pass_rating,105.9,,,,,
