game,2013,16,20131222,201312220sdg,rai,"Oakland Raiders",13,sdg,"San Diego Chargers",26
team,201312220sdg,rai,First Downs,14,,,,,,
team,201312220sdg,sdg,First Downs,24,,,,,,
team,201312220sdg,rai,Rush-Yds-TDs,17-59-1,,,,,,
team,201312220sdg,sdg,Rush-Yds-TDs,37-148-1,,,,,,
team,201312220sdg,rai,Cmp-Att-Yd-TD-INT,20-36-206-0-1,,,,,,
team,201312220sdg,sdg,Cmp-Att-Yd-TD-INT,19-29-201-1-1,,,,,,
team,201312220sdg,rai,Sacked-Yards,1-0,,,,,,
team,201312220sdg,sdg,Sacked-Yards,1-5,,,,,,
team,201312220sdg,rai,Net Pass Yards,206,,,,,,
team,201312220sdg,sdg,Net Pass Yards,196,,,,,,
team,201312220sdg,rai,Total Yards,265,,,,,,
team,201312220sdg,sdg,Total Yards,344,,,,,,
team,201312220sdg,rai,Fumbles-Lost,2-1,,,,,,
team,201312220sdg,sdg,Fumbles-Lost,2-2,,,,,,
team,201312220sdg,rai,Turnovers,2,,,,,,
team,201312220sdg,sdg,Turnovers,3,,,,,,
team,201312220sdg,rai,Penalties-Yards,12-73,,,,,,
team,201312220sdg,sdg,Penalties-Yards,3-24,,,,,,
team,201312220sdg,rai,Third Down Conv.,4-13,,,,,,
team,201312220sdg,sdg,Third Down Conv.,6-11,,,,,,
team,201312220sdg,rai,Fourth Down Conv.,1-2,,,,,,
team,201312220sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201312220sdg,rai,Time of Possession,25:18,,,,,,
team,201312220sdg,sdg,Time of Possession,34:42,,,,,,
player,201312220sdg,rai,McGlMa01,pass_cmp,20,,,,,
player,201312220sdg,rai,McGlMa01,pass_att,36,,,,,
player,201312220sdg,rai,McGlMa01,pass_yds,206,,,,,
player,201312220sdg,rai,McGlMa01,pass_td,0,,,,,
player,201312220sdg,rai,McGlMa01,pass_int,1,,,,,
player,201312220sdg,rai,McGlMa01,pass_sacked,1,,,,,
player,201312220sdg,rai,McGlMa01,pass_sacked_yds,0,,,,,
player,201312220sdg,rai,McGlMa01,pass_long,37,,,,,
player,201312220sdg,rai,McGlMa01,pass_rating,60.6,,,,,
