game,2013,12,20131124,201311240gnb,min,"Minnesota Vikings",26,gnb,"Green Bay Packers",26
team,201311240gnb,min,First Downs,28,,,,,,
team,201311240gnb,gnb,First Downs,30,,,,,,
team,201311240gnb,min,Rush-Yds-TDs,43-232-1,,,,,,
team,201311240gnb,gnb,Rush-Yds-TDs,34-196-2,,,,,,
team,201311240gnb,min,Cmp-Att-Yd-TD-INT,21-30-233-1-0,,,,,,
team,201311240gnb,gnb,Cmp-Att-Yd-TD-INT,28-53-316-1-0,,,,,,
team,201311240gnb,min,Sacked-Yards,6-18,,,,,,
team,201311240gnb,gnb,Sacked-Yards,2-18,,,,,,
team,201311240gnb,min,Net Pass Yards,215,,,,,,
team,201311240gnb,gnb,Net Pass Yards,298,,,,,,
team,201311240gnb,min,Total Yards,447,,,,,,
team,201311240gnb,gnb,Total Yards,494,,,,,,
team,201311240gnb,min,Fumbles-Lost,2-1,,,,,,
team,201311240gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201311240gnb,min,Turnovers,1,,,,,,
team,201311240gnb,gnb,Turnovers,0,,,,,,
team,201311240gnb,min,Penalties-Yards,5-53,,,,,,
team,201311240gnb,gnb,Penalties-Yards,7-50,,,,,,
team,201311240gnb,min,Third Down Conv.,6-16,,,,,,
team,201311240gnb,gnb,Third Down Conv.,3-16,,,,,,
team,201311240gnb,min,Fourth Down Conv.,0-0,,,,,,
team,201311240gnb,gnb,Fourth Down Conv.,2-2,,,,,,
team,201311240gnb,min,Time of Possession,40:33,,,,,,
team,201311240gnb,gnb,Time of Possession,34:27,,,,,,
player,201311240gnb,min,PondCh00,pass_cmp,21,,,,,
player,201311240gnb,min,PondCh00,pass_att,30,,,,,
player,201311240gnb,min,PondCh00,pass_yds,233,,,,,
player,201311240gnb,min,PondCh00,pass_td,1,,,,,
player,201311240gnb,min,PondCh00,pass_int,0,,,,,
player,201311240gnb,min,PondCh00,pass_sacked,6,,,,,
player,201311240gnb,min,PondCh00,pass_sacked_yds,18,,,,,
player,201311240gnb,min,PondCh00,pass_long,31,,,,,
player,201311240gnb,min,PondCh00,pass_rating,103.9,,,,,
player,201311240gnb,min,PondCh00,rush_att,3,,,,,
player,201311240gnb,min,PondCh00,rush_yds,-5,,,,,
player,201311240gnb,min,PondCh00,rush_td,0,,,,,
player,201311240gnb,min,PondCh00,rush_long,3,,,,,
player,201311240gnb,min,PondCh00,targets,0,,,,,
player,201311240gnb,min,PondCh00,rec,0,,,,,
player,201311240gnb,min,PondCh00,rec_yds,0,,,,,
player,201311240gnb,min,PondCh00,rec_td,0,,,,,
player,201311240gnb,min,PondCh00,rec_long,0,,,,,
player,201311240gnb,min,PondCh00,fumbles,0,,,,,
player,201311240gnb,min,PondCh00,fumbles_lost,0,,,,,
player,201311240gnb,min,PeteAd01,pass_cmp,0,,,,,
player,201311240gnb,min,PeteAd01,pass_att,0,,,,,
player,201311240gnb,min,PeteAd01,pass_yds,0,,,,,
player,201311240gnb,min,PeteAd01,pass_td,0,,,,,
player,201311240gnb,min,PeteAd01,pass_int,0,,,,,
player,201311240gnb,min,PeteAd01,pass_sacked,0,,,,,
player,201311240gnb,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201311240gnb,min,PeteAd01,pass_long,0,,,,,
player,201311240gnb,min,PeteAd01,pass_rating,,,,,,
player,201311240gnb,min,PeteAd01,rush_att,32,,,,,
player,201311240gnb,min,PeteAd01,rush_yds,146,,,,,
player,201311240gnb,min,PeteAd01,rush_td,1,,,,,
player,201311240gnb,min,PeteAd01,rush_long,22,,,,,
player,201311240gnb,min,PeteAd01,targets,1,,,,,
player,201311240gnb,min,PeteAd01,rec,1,,,,,
player,201311240gnb,min,PeteAd01,rec_yds,2,,,,,
player,201311240gnb,min,PeteAd01,rec_td,0,,,,,
player,201311240gnb,min,PeteAd01,rec_long,2,,,,,
player,201311240gnb,min,PeteAd01,fumbles,1,,,,,
player,201311240gnb,min,PeteAd01,fumbles_lost,1,,,,,
player,201311240gnb,min,GerhTo00,pass_cmp,0,,,,,
player,201311240gnb,min,GerhTo00,pass_att,0,,,,,
player,201311240gnb,min,GerhTo00,pass_yds,0,,,,,
player,201311240gnb,min,GerhTo00,pass_td,0,,,,,
player,201311240gnb,min,GerhTo00,pass_int,0,,,,,
player,201311240gnb,min,GerhTo00,pass_sacked,0,,,,,
player,201311240gnb,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201311240gnb,min,GerhTo00,pass_long,0,,,,,
player,201311240gnb,min,GerhTo00,pass_rating,,,,,,
player,201311240gnb,min,GerhTo00,rush_att,8,,,,,
player,201311240gnb,min,GerhTo00,rush_yds,91,,,,,
player,201311240gnb,min,GerhTo00,rush_td,0,,,,,
player,201311240gnb,min,GerhTo00,rush_long,26,,,,,
player,201311240gnb,min,GerhTo00,targets,1,,,,,
player,201311240gnb,min,GerhTo00,rec,1,,,,,
player,201311240gnb,min,GerhTo00,rec_yds,5,,,,,
player,201311240gnb,min,GerhTo00,rec_td,0,,,,,
player,201311240gnb,min,GerhTo00,rec_long,5,,,,,
player,201311240gnb,min,GerhTo00,fumbles,0,,,,,
player,201311240gnb,min,GerhTo00,fumbles_lost,0,,,,,
player,201311240gnb,min,SimpJe00,pass_cmp,0,,,,,
player,201311240gnb,min,SimpJe00,pass_att,0,,,,,
player,201311240gnb,min,SimpJe00,pass_yds,0,,,,,
player,201311240gnb,min,SimpJe00,pass_td,0,,,,,
player,201311240gnb,min,SimpJe00,pass_int,0,,,,,
player,201311240gnb,min,SimpJe00,pass_sacked,0,,,,,
player,201311240gnb,min,SimpJe00,pass_sacked_yds,0,,,,,
player,201311240gnb,min,SimpJe00,pass_long,0,,,,,
player,201311240gnb,min,SimpJe00,pass_rating,,,,,,
player,201311240gnb,min,SimpJe00,rush_att,0,,,,,
player,201311240gnb,min,SimpJe00,rush_yds,0,,,,,
player,201311240gnb,min,SimpJe00,rush_td,0,,,,,
player,201311240gnb,min,SimpJe00,rush_long,0,,,,,
player,201311240gnb,min,SimpJe00,targets,4,,,,,
player,201311240gnb,min,SimpJe00,rec,2,,,,,
player,201311240gnb,min,SimpJe00,rec_yds,54,,,,,
player,201311240gnb,min,SimpJe00,rec_td,0,,,,,
player,201311240gnb,min,SimpJe00,rec_long,31,,,,,
