game,2013,9,20131103,201311030rai,phi,"Philadelphia Eagles",49,rai,"Oakland Raiders",20
team,201311030rai,phi,First Downs,21,,,,,,
team,201311030rai,rai,First Downs,29,,,,,,
team,201311030rai,phi,Rush-Yds-TDs,25-124-0,,,,,,
team,201311030rai,rai,Rush-Yds-TDs,33-210-2,,,,,,
team,201311030rai,phi,Cmp-Att-Yd-TD-INT,24-31-419-7-0,,,,,,
team,201311030rai,rai,Cmp-Att-Yd-TD-INT,29-56-375-0-2,,,,,,
team,201311030rai,phi,Sacked-Yards,1-1,,,,,,
team,201311030rai,rai,Sacked-Yards,3-25,,,,,,
team,201311030rai,phi,Net Pass Yards,418,,,,,,
team,201311030rai,rai,Net Pass Yards,350,,,,,,
team,201311030rai,phi,Total Yards,542,,,,,,
team,201311030rai,rai,Total Yards,560,,,,,,
team,201311030rai,phi,Fumbles-Lost,0-0,,,,,,
team,201311030rai,rai,Fumbles-Lost,2-0,,,,,,
team,201311030rai,phi,Turnovers,0,,,,,,
team,201311030rai,rai,Turnovers,2,,,,,,
team,201311030rai,phi,Penalties-Yards,7-52,,,,,,
team,201311030rai,rai,Penalties-Yards,8-70,,,,,,
team,201311030rai,phi,Third Down Conv.,4-10,,,,,,
team,201311030rai,rai,Third Down Conv.,6-18,,,,,,
team,201311030rai,phi,Fourth Down Conv.,0-0,,,,,,
team,201311030rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201311030rai,phi,Time of Possession,22:06,,,,,,
team,201311030rai,rai,Time of Possession,37:54,,,,,,
player,201311030rai,phi,FoleNi00,pass_cmp,22,,,,,
player,201311030rai,phi,FoleNi00,pass_att,28,,,,,
player,201311030rai,phi,FoleNi00,pass_yds,406,,,,,
player,201311030rai,phi,FoleNi00,pass_td,7,,,,,
player,201311030rai,phi,FoleNi00,pass_int,0,,,,,
player,201311030rai,phi,FoleNi00,pass_sacked,1,,,,,
player,201311030rai,phi,FoleNi00,pass_sacked_yds,1,,,,,
player,201311030rai,phi,FoleNi00,pass_long,63,,,,,
player,201311030rai,phi,FoleNi00,pass_rating,158.3,,,,,
player,201311030rai,phi,FoleNi00,rush_att,4,,,,,
player,201311030rai,phi,FoleNi00,rush_yds,10,,,,,
player,201311030rai,phi,FoleNi00,rush_td,0,,,,,
player,201311030rai,phi,FoleNi00,rush_long,9,,,,,
player,201311030rai,phi,FoleNi00,targets,0,,,,,
player,201311030rai,phi,FoleNi00,rec,0,,,,,
player,201311030rai,phi,FoleNi00,rec_yds,0,,,,,
player,201311030rai,phi,FoleNi00,rec_td,0,,,,,
player,201311030rai,phi,FoleNi00,rec_long,0,,,,,
player,201311030rai,phi,FoleNi00,fumbles,0,,,,,
player,201311030rai,phi,FoleNi00,fumbles_lost,0,,,,,
player,201311030rai,phi,BarkMa00,pass_cmp,2,,,,,
player,201311030rai,phi,BarkMa00,pass_att,3,,,,,
player,201311030rai,phi,BarkMa00,pass_yds,13,,,,,
player,201311030rai,phi,BarkMa00,pass_td,0,,,,,
player,201311030rai,phi,BarkMa00,pass_int,0,,,,,
player,201311030rai,phi,BarkMa00,pass_sacked,0,,,,,
player,201311030rai,phi,BarkMa00,pass_sacked_yds,0,,,,,
player,201311030rai,phi,BarkMa00,pass_long,10,,,,,
player,201311030rai,phi,BarkMa00,pass_rating,75.7,,,,,
player,201311030rai,phi,BarkMa00,rush_att,2,,,,,
player,201311030rai,phi,BarkMa00,rush_yds,-2,,,,,
player,201311030rai,phi,BarkMa00,rush_td,0,,,,,
player,201311030rai,phi,BarkMa00,rush_long,-1,,,,,
player,201311030rai,phi,BarkMa00,targets,0,,,,,
player,201311030rai,phi,BarkMa00,rec,0,,,,,
player,201311030rai,phi,BarkMa00,rec_yds,0,,,,,
player,201311030rai,phi,BarkMa00,rec_td,0,,,,,
player,201311030rai,phi,BarkMa00,rec_long,0,,,,,
player,201311030rai,phi,BarkMa00,fumbles,0,,,,,
player,201311030rai,phi,BarkMa00,fumbles_lost,0,,,,,
player,201311030rai,phi,BrowBr02,pass_cmp,0,,,,,
player,201311030rai,phi,BrowBr02,pass_att,0,,,,,
player,201311030rai,phi,BrowBr02,pass_yds,0,,,,,
player,201311030rai,phi,BrowBr02,pass_td,0,,,,,
player,201311030rai,phi,BrowBr02,pass_int,0,,,,,
player,201311030rai,phi,BrowBr02,pass_sacked,0,,,,,
player,201311030rai,phi,BrowBr02,pass_sacked_yds,0,,,,,
player,201311030rai,phi,BrowBr02,pass_long,0,,,,,
player,201311030rai,phi,BrowBr02,pass_rating,,,,,,
player,201311030rai,phi,BrowBr02,rush_att,7,,,,,
player,201311030rai,phi,BrowBr02,rush_yds,54,,,,,
player,201311030rai,phi,BrowBr02,rush_td,0,,,,,
player,201311030rai,phi,BrowBr02,rush_long,32,,,,,
player,201311030rai,phi,BrowBr02,targets,1,,,,,
player,201311030rai,phi,BrowBr02,rec,1,,,,,
player,201311030rai,phi,BrowBr02,rec_yds,6,,,,,
player,201311030rai,phi,BrowBr02,rec_td,0,,,,,
player,201311030rai,phi,BrowBr02,rec_long,6,,,,,
player,201311030rai,phi,BrowBr02,fumbles,0,,,,,
player,201311030rai,phi,BrowBr02,fumbles_lost,0,,,,,
player,201311030rai,phi,McCoLe01,pass_cmp,0,,,,,
player,201311030rai,phi,McCoLe01,pass_att,0,,,,,
player,201311030rai,phi,McCoLe01,pass_yds,0,,,,,
player,201311030rai,phi,McCoLe01,pass_td,0,,,,,
player,201311030rai,phi,McCoLe01,pass_int,0,,,,,
player,201311030rai,phi,McCoLe01,pass_sacked,0,,,,,
player,201311030rai,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201311030rai,phi,McCoLe01,pass_long,0,,,,,
player,201311030rai,phi,McCoLe01,pass_rating,,,,,,
player,201311030rai,phi,McCoLe01,rush_att,12,,,,,
player,201311030rai,phi,McCoLe01,rush_yds,44,,,,,
player,201311030rai,phi,McCoLe01,rush_td,0,,,,,
player,201311030rai,phi,McCoLe01,rush_long,17,,,,,
player,201311030rai,phi,McCoLe01,targets,4,,,,,
player,201311030rai,phi,McCoLe01,rec,4,,,,,
player,201311030rai,phi,McCoLe01,rec_yds,36,,,,,
player,201311030rai,phi,McCoLe01,rec_td,1,,,,,
player,201311030rai,phi,McCoLe01,rec_long,25,,,,,
player,201311030rai,phi,McCoLe01,fumbles,0,,,,,
player,201311030rai,phi,McCoLe01,fumbles_lost,0,,,,,
player,201311030rai,phi,CoopRi00,pass_cmp,0,,,,,
player,201311030rai,phi,CoopRi00,pass_att,0,,,,,
player,201311030rai,phi,CoopRi00,pass_yds,0,,,,,
player,201311030rai,phi,CoopRi00,pass_td,0,,,,,
player,201311030rai,phi,CoopRi00,pass_int,0,,,,,
player,201311030rai,phi,CoopRi00,pass_sacked,0,,,,,
player,201311030rai,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201311030rai,phi,CoopRi00,pass_long,0,,,,,
player,201311030rai,phi,CoopRi00,pass_rating,,,,,,
player,201311030rai,phi,CoopRi00,rush_att,0,,,,,
player,201311030rai,phi,CoopRi00,rush_yds,18,,,,,
player,201311030rai,phi,CoopRi00,rush_td,0,,,,,
player,201311030rai,phi,CoopRi00,rush_long,18,,,,,
player,201311030rai,phi,CoopRi00,targets,6,,,,,
player,201311030rai,phi,CoopRi00,rec,5,,,,,
player,201311030rai,phi,CoopRi00,rec_yds,139,,,,,
player,201311030rai,phi,CoopRi00,rec_td,3,,,,,
player,201311030rai,phi,CoopRi00,rec_long,63,,,,,
player,201311030rai,phi,CoopRi00,fumbles,0,,,,,
player,201311030rai,phi,CoopRi00,fumbles_lost,0,,,,,
player,201311030rai,phi,JackDe00,pass_cmp,0,,,,,
player,201311030rai,phi,JackDe00,pass_att,0,,,,,
player,201311030rai,phi,JackDe00,pass_yds,0,,,,,
player,201311030rai,phi,JackDe00,pass_td,0,,,,,
player,201311030rai,phi,JackDe00,pass_int,0,,,,,
player,201311030rai,phi,JackDe00,pass_sacked,0,,,,,
player,201311030rai,phi,JackDe00,pass_sacked_yds,0,,,,,
player,201311030rai,phi,JackDe00,pass_long,0,,,,,
player,201311030rai,phi,JackDe00,pass_rating,,,,,,
player,201311030rai,phi,JackDe00,rush_att,0,,,,,
player,201311030rai,phi,JackDe00,rush_yds,0,,,,,
player,201311030rai,phi,JackDe00,rush_td,0,,,,,
player,201311030rai,phi,JackDe00,rush_long,0,,,,,
player,201311030rai,phi,JackDe00,targets,6,,,,,
player,201311030rai,phi,JackDe00,rec,5,,,,,
player,201311030rai,phi,JackDe00,rec_yds,150,,,,,
player,201311030rai,phi,JackDe00,rec_td,1,,,,,
player,201311030rai,phi,JackDe00,rec_long,59,,,,,
player,201311030rai,phi,JackDe00,fumbles,0,,,,,
player,201311030rai,phi,JackDe00,fumbles_lost,0,,,,,
player,201311030rai,phi,ErtzZa00,pass_cmp,0,,,,,
player,201311030rai,phi,ErtzZa00,pass_att,0,,,,,
player,201311030rai,phi,ErtzZa00,pass_yds,0,,,,,
player,201311030rai,phi,ErtzZa00,pass_td,0,,,,,
player,201311030rai,phi,ErtzZa00,pass_int,0,,,,,
player,201311030rai,phi,ErtzZa00,pass_sacked,0,,,,,
