game,2013,6,20131013,201310130sea,oti,"Tennessee Titans",13,sea,"Seattle Seahawks",20
team,201310130sea,oti,First Downs,13,,,,,,
team,201310130sea,sea,First Downs,24,,,,,,
team,201310130sea,oti,Rush-Yds-TDs,20-66-0,,,,,,
team,201310130sea,sea,Rush-Yds-TDs,33-151-2,,,,,,
team,201310130sea,oti,Cmp-Att-Yd-TD-INT,17-29-171-0-2,,,,,,
team,201310130sea,sea,Cmp-Att-Yd-TD-INT,23-31-257-0-0,,,,,,
team,201310130sea,oti,Sacked-Yards,3-14,,,,,,
team,201310130sea,sea,Sacked-Yards,2-4,,,,,,
team,201310130sea,oti,Net Pass Yards,157,,,,,,
team,201310130sea,sea,Net Pass Yards,253,,,,,,
team,201310130sea,oti,Total Yards,223,,,,,,
team,201310130sea,sea,Total Yards,404,,,,,,
team,201310130sea,oti,Fumbles-Lost,3-0,,,,,,
team,201310130sea,sea,Fumbles-Lost,5-2,,,,,,
team,201310130sea,oti,Turnovers,2,,,,,,
team,201310130sea,sea,Turnovers,2,,,,,,
team,201310130sea,oti,Penalties-Yards,7-44,,,,,,
team,201310130sea,sea,Penalties-Yards,6-65,,,,,,
team,201310130sea,oti,Third Down Conv.,4-12,,,,,,
team,201310130sea,sea,Third Down Conv.,5-13,,,,,,
team,201310130sea,oti,Fourth Down Conv.,1-2,,,,,,
team,201310130sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201310130sea,oti,Time of Possession,26:38,,,,,,
team,201310130sea,sea,Time of Possession,33:22,,,,,,
player,201310130sea,oti,FitzRy00,pass_cmp,17,,,,,
player,201310130sea,oti,FitzRy00,pass_att,29,,,,,
player,201310130sea,oti,FitzRy00,pass_yds,171,,,,,
player,201310130sea,oti,FitzRy00,pass_td,0,,,,,
player,201310130sea,oti,FitzRy00,pass_int,2,,,,,
player,201310130sea,oti,FitzRy00,pass_sacked,3,,,,,
player,201310130sea,oti,FitzRy00,pass_sacked_yds,14,,,,,
player,201310130sea,oti,FitzRy00,pass_long,32,,,,,
player,201310130sea,oti,FitzRy00,pass_rating,46.8,,,,,
player,201310130sea,oti,FitzRy00,rush_att,6,,,,,
player,201310130sea,oti,FitzRy00,rush_yds,33,,,,,
player,201310130sea,oti,FitzRy00,rush_td,0,,,,,
player,201310130sea,oti,FitzRy00,rush_long,11,,,,,
player,201310130sea,oti,FitzRy00,targets,0,,,,,
player,201310130sea,oti,FitzRy00,rec,0,,,,,
player,201310130sea,oti,FitzRy00,rec_yds,0,,,,,
player,201310130sea,oti,FitzRy00,rec_td,0,,,,,
