game,2013,16,20131222,201312220gnb,pit,"Pittsburgh Steelers",38,gnb,"Green Bay Packers",31
team,201312220gnb,pit,First Downs,21,,,,,,
team,201312220gnb,gnb,First Downs,26,,,,,,
team,201312220gnb,pit,Rush-Yds-TDs,29-151-2,,,,,,
team,201312220gnb,gnb,Rush-Yds-TDs,30-151-3,,,,,,
team,201312220gnb,pit,Cmp-Att-Yd-TD-INT,17-29-197-2-1,,,,,,
team,201312220gnb,gnb,Cmp-Att-Yd-TD-INT,21-39-232-1-1,,,,,,
team,201312220gnb,pit,Sacked-Yards,1-5,,,,,,
team,201312220gnb,gnb,Sacked-Yards,3-13,,,,,,
team,201312220gnb,pit,Net Pass Yards,192,,,,,,
team,201312220gnb,gnb,Net Pass Yards,219,,,,,,
team,201312220gnb,pit,Total Yards,343,,,,,,
team,201312220gnb,gnb,Total Yards,370,,,,,,
team,201312220gnb,pit,Fumbles-Lost,2-1,,,,,,
team,201312220gnb,gnb,Fumbles-Lost,1-1,,,,,,
team,201312220gnb,pit,Turnovers,2,,,,,,
team,201312220gnb,gnb,Turnovers,2,,,,,,
team,201312220gnb,pit,Penalties-Yards,7-58,,,,,,
team,201312220gnb,gnb,Penalties-Yards,9-90,,,,,,
team,201312220gnb,pit,Third Down Conv.,2-10,,,,,,
team,201312220gnb,gnb,Third Down Conv.,6-14,,,,,,
team,201312220gnb,pit,Fourth Down Conv.,2-2,,,,,,
team,201312220gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201312220gnb,pit,Time of Possession,26:40,,,,,,
team,201312220gnb,gnb,Time of Possession,33:20,,,,,,
player,201312220gnb,pit,RoetBe00,pass_cmp,16,,,,,
player,201312220gnb,pit,RoetBe00,pass_att,28,,,,,
player,201312220gnb,pit,RoetBe00,pass_yds,167,,,,,
player,201312220gnb,pit,RoetBe00,pass_td,2,,,,,
player,201312220gnb,pit,RoetBe00,pass_int,1,,,,,
player,201312220gnb,pit,RoetBe00,pass_sacked,1,,,,,
player,201312220gnb,pit,RoetBe00,pass_sacked_yds,5,,,,,
player,201312220gnb,pit,RoetBe00,pass_long,36,,,,,
player,201312220gnb,pit,RoetBe00,pass_rating,83.5,,,,,
player,201312220gnb,pit,RoetBe00,rush_att,1,,,,,
player,201312220gnb,pit,RoetBe00,rush_yds,13,,,,,
player,201312220gnb,pit,RoetBe00,rush_td,1,,,,,
player,201312220gnb,pit,RoetBe00,rush_long,13,,,,,
player,201312220gnb,pit,RoetBe00,targets,0,,,,,
player,201312220gnb,pit,RoetBe00,rec,0,,,,,
player,201312220gnb,pit,RoetBe00,rec_yds,0,,,,,
player,201312220gnb,pit,RoetBe00,rec_td,0,,,,,
player,201312220gnb,pit,RoetBe00,rec_long,0,,,,,
player,201312220gnb,pit,RoetBe00,fumbles,0,,,,,
player,201312220gnb,pit,RoetBe00,fumbles_lost,0,,,,,
player,201312220gnb,pit,McBrMa20,pass_cmp,1,,,,,
player,201312220gnb,pit,McBrMa20,pass_att,1,,,,,
player,201312220gnb,pit,McBrMa20,pass_yds,30,,,,,
player,201312220gnb,pit,McBrMa20,pass_td,0,,,,,
player,201312220gnb,pit,McBrMa20,pass_int,0,,,,,
player,201312220gnb,pit,McBrMa20,pass_sacked,0,,,,,
player,201312220gnb,pit,McBrMa20,pass_sacked_yds,0,,,,,
player,201312220gnb,pit,McBrMa20,pass_long,30,,,,,
player,201312220gnb,pit,McBrMa20,pass_rating,118.7,,,,,
player,201312220gnb,pit,McBrMa20,rush_att,0,,,,,
player,201312220gnb,pit,McBrMa20,rush_yds,0,,,,,
player,201312220gnb,pit,McBrMa20,rush_td,0,,,,,
player,201312220gnb,pit,McBrMa20,rush_long,0,,,,,
player,201312220gnb,pit,McBrMa20,targets,0,,,,,
player,201312220gnb,pit,McBrMa20,rec,0,,,,,
player,201312220gnb,pit,McBrMa20,rec_yds,0,,,,,
player,201312220gnb,pit,McBrMa20,rec_td,0,,,,,
