game,2013,6,20131013,201310130cle,det,"Detroit Lions",31,cle,"Cleveland Browns",17
team,201310130cle,det,First Downs,24,,,,,,
team,201310130cle,cle,First Downs,23,,,,,,
team,201310130cle,det,Rush-Yds-TDs,28-118-0,,,,,,
team,201310130cle,cle,Rush-Yds-TDs,21-126-0,,,,,,
team,201310130cle,det,Cmp-Att-Yd-TD-INT,25-43-248-4-1,,,,,,
team,201310130cle,cle,Cmp-Att-Yd-TD-INT,26-43-292-2-2,,,,,,
team,201310130cle,det,Sacked-Yards,1-0,,,,,,
team,201310130cle,cle,Sacked-Yards,2-23,,,,,,
team,201310130cle,det,Net Pass Yards,248,,,,,,
team,201310130cle,cle,Net Pass Yards,269,,,,,,
team,201310130cle,det,Total Yards,366,,,,,,
team,201310130cle,cle,Total Yards,395,,,,,,
team,201310130cle,det,Fumbles-Lost,0-0,,,,,,
team,201310130cle,cle,Fumbles-Lost,1-0,,,,,,
team,201310130cle,det,Turnovers,1,,,,,,
team,201310130cle,cle,Turnovers,2,,,,,,
team,201310130cle,det,Penalties-Yards,8-65,,,,,,
team,201310130cle,cle,Penalties-Yards,9-87,,,,,,
team,201310130cle,det,Third Down Conv.,8-14,,,,,,
team,201310130cle,cle,Third Down Conv.,5-14,,,,,,
team,201310130cle,det,Fourth Down Conv.,0-0,,,,,,
team,201310130cle,cle,Fourth Down Conv.,1-1,,,,,,
team,201310130cle,det,Time of Possession,33:29,,,,,,
team,201310130cle,cle,Time of Possession,26:31,,,,,,
player,201310130cle,det,StafMa00,pass_cmp,25,,,,,
player,201310130cle,det,StafMa00,pass_att,43,,,,,
player,201310130cle,det,StafMa00,pass_yds,248,,,,,
player,201310130cle,det,StafMa00,pass_td,4,,,,,
player,201310130cle,det,StafMa00,pass_int,1,,,,,
player,201310130cle,det,StafMa00,pass_sacked,1,,,,,
player,201310130cle,det,StafMa00,pass_sacked_yds,0,,,,,
player,201310130cle,det,StafMa00,pass_long,24,,,,,
player,201310130cle,det,StafMa00,pass_rating,95.9,,,,,
player,201310130cle,det,StafMa00,rush_att,2,,,,,
player,201310130cle,det,StafMa00,rush_yds,6,,,,,
player,201310130cle,det,StafMa00,rush_td,0,,,,,
player,201310130cle,det,StafMa00,rush_long,7,,,,,
player,201310130cle,det,StafMa00,targets,0,,,,,
player,201310130cle,det,StafMa00,rec,0,,,,,
player,201310130cle,det,StafMa00,rec_yds,0,,,,,
player,201310130cle,det,StafMa00,rec_td,0,,,,,
player,201310130cle,det,StafMa00,rec_long,0,,,,,
player,201310130cle,det,StafMa00,fumbles,0,,,,,
player,201310130cle,det,StafMa00,fumbles_lost,0,,,,,
player,201310130cle,det,BushRe00,pass_cmp,0,,,,,
player,201310130cle,det,BushRe00,pass_att,0,,,,,
player,201310130cle,det,BushRe00,pass_yds,0,,,,,
player,201310130cle,det,BushRe00,pass_td,0,,,,,
player,201310130cle,det,BushRe00,pass_int,0,,,,,
player,201310130cle,det,BushRe00,pass_sacked,0,,,,,
player,201310130cle,det,BushRe00,pass_sacked_yds,0,,,,,
player,201310130cle,det,BushRe00,pass_long,0,,,,,
player,201310130cle,det,BushRe00,pass_rating,,,,,,
player,201310130cle,det,BushRe00,rush_att,17,,,,,
player,201310130cle,det,BushRe00,rush_yds,78,,,,,
player,201310130cle,det,BushRe00,rush_td,0,,,,,
player,201310130cle,det,BushRe00,rush_long,39,,,,,
player,201310130cle,det,BushRe00,targets,6,,,,,
player,201310130cle,det,BushRe00,rec,5,,,,,
player,201310130cle,det,BushRe00,rec_yds,57,,,,,
player,201310130cle,det,BushRe00,rec_td,1,,,,,
player,201310130cle,det,BushRe00,rec_long,18,,,,,
player,201310130cle,det,BushRe00,fumbles,0,,,,,
player,201310130cle,det,BushRe00,fumbles_lost,0,,,,,
player,201310130cle,det,BellJo01,pass_cmp,0,,,,,
player,201310130cle,det,BellJo01,pass_att,0,,,,,
player,201310130cle,det,BellJo01,pass_yds,0,,,,,
player,201310130cle,det,BellJo01,pass_td,0,,,,,
player,201310130cle,det,BellJo01,pass_int,0,,,,,
