game,2013,4,20130926,201309260ram,sfo,"San Francisco 49ers",35,ram,"St. Louis Rams",11
team,201309260ram,sfo,First Downs,19,,,,,,
team,201309260ram,ram,First Downs,14,,,,,,
team,201309260ram,sfo,Rush-Yds-TDs,40-219-3,,,,,,
team,201309260ram,ram,Rush-Yds-TDs,19-18-0,,,,,,
team,201309260ram,sfo,Cmp-Att-Yd-TD-INT,15-23-167-2-0,,,,,,
team,201309260ram,ram,Cmp-Att-Yd-TD-INT,19-41-202-1-1,,,,,,
team,201309260ram,sfo,Sacked-Yards,2-16,,,,,,
team,201309260ram,ram,Sacked-Yards,5-32,,,,,,
team,201309260ram,sfo,Net Pass Yards,151,,,,,,
team,201309260ram,ram,Net Pass Yards,170,,,,,,
team,201309260ram,sfo,Total Yards,370,,,,,,
team,201309260ram,ram,Total Yards,188,,,,,,
team,201309260ram,sfo,Fumbles-Lost,2-2,,,,,,
team,201309260ram,ram,Fumbles-Lost,2-1,,,,,,
team,201309260ram,sfo,Turnovers,2,,,,,,
team,201309260ram,ram,Turnovers,2,,,,,,
team,201309260ram,sfo,Penalties-Yards,10-85,,,,,,
team,201309260ram,ram,Penalties-Yards,8-82,,,,,,
team,201309260ram,sfo,Third Down Conv.,6-15,,,,,,
team,201309260ram,ram,Third Down Conv.,3-17,,,,,,
team,201309260ram,sfo,Fourth Down Conv.,1-1,,,,,,
team,201309260ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201309260ram,sfo,Time of Possession,31:45,,,,,,
team,201309260ram,ram,Time of Possession,28:15,,,,,,
player,201309260ram,sfo,KaepCo00,pass_cmp,15,,,,,
player,201309260ram,sfo,KaepCo00,pass_att,23,,,,,
player,201309260ram,sfo,KaepCo00,pass_yds,167,,,,,
player,201309260ram,sfo,KaepCo00,pass_td,2,,,,,
player,201309260ram,sfo,KaepCo00,pass_int,0,,,,,
player,201309260ram,sfo,KaepCo00,pass_sacked,2,,,,,
player,201309260ram,sfo,KaepCo00,pass_sacked_yds,16,,,,,
player,201309260ram,sfo,KaepCo00,pass_long,42,,,,,
player,201309260ram,sfo,KaepCo00,pass_rating,115.7,,,,,
player,201309260ram,sfo,KaepCo00,rush_att,3,,,,,
player,201309260ram,sfo,KaepCo00,rush_yds,11,,,,,
player,201309260ram,sfo,KaepCo00,rush_td,0,,,,,
player,201309260ram,sfo,KaepCo00,rush_long,7,,,,,
player,201309260ram,sfo,KaepCo00,targets,0,,,,,
player,201309260ram,sfo,KaepCo00,rec,0,,,,,
player,201309260ram,sfo,KaepCo00,rec_yds,0,,,,,
player,201309260ram,sfo,KaepCo00,rec_td,0,,,,,
player,201309260ram,sfo,KaepCo00,rec_long,0,,,,,
player,201309260ram,sfo,KaepCo00,fumbles,1,,,,,
player,201309260ram,sfo,KaepCo00,fumbles_lost,1,,,,,
player,201309260ram,sfo,GoreFr00,pass_cmp,0,,,,,
player,201309260ram,sfo,GoreFr00,pass_att,0,,,,,
player,201309260ram,sfo,GoreFr00,pass_yds,0,,,,,
player,201309260ram,sfo,GoreFr00,pass_td,0,,,,,
player,201309260ram,sfo,GoreFr00,pass_int,0,,,,,
player,201309260ram,sfo,GoreFr00,pass_sacked,0,,,,,
player,201309260ram,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201309260ram,sfo,GoreFr00,pass_long,0,,,,,
player,201309260ram,sfo,GoreFr00,pass_rating,,,,,,
player,201309260ram,sfo,GoreFr00,rush_att,20,,,,,
player,201309260ram,sfo,GoreFr00,rush_yds,153,,,,,
player,201309260ram,sfo,GoreFr00,rush_td,1,,,,,
player,201309260ram,sfo,GoreFr00,rush_long,34,,,,,
player,201309260ram,sfo,GoreFr00,targets,2,,,,,
player,201309260ram,sfo,GoreFr00,rec,0,,,,,
player,201309260ram,sfo,GoreFr00,rec_yds,0,,,,,
