game,2013,16,20131222,201312220ram,tam,"Tampa Bay Buccaneers",13,ram,"St. Louis Rams",23
team,201312220ram,tam,First Downs,14,,,,,,
team,201312220ram,ram,First Downs,18,,,,,,
team,201312220ram,tam,Rush-Yds-TDs,23-59-1,,,,,,
team,201312220ram,ram,Rush-Yds-TDs,39-129-2,,,,,,
team,201312220ram,tam,Cmp-Att-Yd-TD-INT,16-26-158-0-0,,,,,,
team,201312220ram,ram,Cmp-Att-Yd-TD-INT,16-20-158-0-0,,,,,,
team,201312220ram,tam,Sacked-Yards,7-47,,,,,,
team,201312220ram,ram,Sacked-Yards,1-10,,,,,,
team,201312220ram,tam,Net Pass Yards,111,,,,,,
team,201312220ram,ram,Net Pass Yards,148,,,,,,
team,201312220ram,tam,Total Yards,170,,,,,,
team,201312220ram,ram,Total Yards,277,,,,,,
team,201312220ram,tam,Fumbles-Lost,2-2,,,,,,
team,201312220ram,ram,Fumbles-Lost,2-2,,,,,,
team,201312220ram,tam,Turnovers,2,,,,,,
team,201312220ram,ram,Turnovers,2,,,,,,
team,201312220ram,tam,Penalties-Yards,3-26,,,,,,
team,201312220ram,ram,Penalties-Yards,7-85,,,,,,
team,201312220ram,tam,Third Down Conv.,4-14,,,,,,
team,201312220ram,ram,Third Down Conv.,6-14,,,,,,
team,201312220ram,tam,Fourth Down Conv.,1-2,,,,,,
team,201312220ram,ram,Fourth Down Conv.,1-2,,,,,,
team,201312220ram,tam,Time of Possession,25:54,,,,,,
team,201312220ram,ram,Time of Possession,34:06,,,,,,
player,201312220ram,tam,GlenMi00,pass_cmp,16,,,,,
player,201312220ram,tam,GlenMi00,pass_att,26,,,,,
player,201312220ram,tam,GlenMi00,pass_yds,158,,,,,
player,201312220ram,tam,GlenMi00,pass_td,0,,,,,
player,201312220ram,tam,GlenMi00,pass_int,0,,,,,
player,201312220ram,tam,GlenMi00,pass_sacked,7,,,,,
player,201312220ram,tam,GlenMi00,pass_sacked_yds,47,,,,,
player,201312220ram,tam,GlenMi00,pass_long,30,,,,,
player,201312220ram,tam,GlenMi00,pass_rating,78.7,,,,,
player,201312220ram,tam,GlenMi00,rush_att,2,,,,,
player,201312220ram,tam,GlenMi00,rush_yds,3,,,,,
player,201312220ram,tam,GlenMi00,rush_td,0,,,,,
player,201312220ram,tam,GlenMi00,rush_long,3,,,,,
player,201312220ram,tam,GlenMi00,targets,0,,,,,
