game,2013,9,20131103,201311030nwe,pit,"Pittsburgh Steelers",31,nwe,"New England Patriots",55
team,201311030nwe,pit,First Downs,24,,,,,,
team,201311030nwe,nwe,First Downs,33,,,,,,
team,201311030nwe,pit,Rush-Yds-TDs,20-108-0,,,,,,
team,201311030nwe,nwe,Rush-Yds-TDs,35-197-3,,,,,,
team,201311030nwe,pit,Cmp-Att-Yd-TD-INT,28-48-400-4-2,,,,,,
team,201311030nwe,nwe,Cmp-Att-Yd-TD-INT,23-33-432-4-0,,,,,,
team,201311030nwe,pit,Sacked-Yards,5-29,,,,,,
team,201311030nwe,nwe,Sacked-Yards,3-19,,,,,,
team,201311030nwe,pit,Net Pass Yards,371,,,,,,
team,201311030nwe,nwe,Net Pass Yards,413,,,,,,
team,201311030nwe,pit,Total Yards,479,,,,,,
team,201311030nwe,nwe,Total Yards,610,,,,,,
team,201311030nwe,pit,Fumbles-Lost,1-1,,,,,,
team,201311030nwe,nwe,Fumbles-Lost,1-1,,,,,,
team,201311030nwe,pit,Turnovers,3,,,,,,
team,201311030nwe,nwe,Turnovers,1,,,,,,
team,201311030nwe,pit,Penalties-Yards,8-96,,,,,,
team,201311030nwe,nwe,Penalties-Yards,3-30,,,,,,
team,201311030nwe,pit,Third Down Conv.,5-13,,,,,,
team,201311030nwe,nwe,Third Down Conv.,7-12,,,,,,
team,201311030nwe,pit,Fourth Down Conv.,1-3,,,,,,
team,201311030nwe,nwe,Fourth Down Conv.,0-1,,,,,,
team,201311030nwe,pit,Time of Possession,31:12,,,,,,
team,201311030nwe,nwe,Time of Possession,28:48,,,,,,
player,201311030nwe,pit,RoetBe00,pass_cmp,28,,,,,
player,201311030nwe,pit,RoetBe00,pass_att,48,,,,,
player,201311030nwe,pit,RoetBe00,pass_yds,400,,,,,
player,201311030nwe,pit,RoetBe00,pass_td,4,,,,,
player,201311030nwe,pit,RoetBe00,pass_int,2,,,,,
player,201311030nwe,pit,RoetBe00,pass_sacked,5,,,,,
player,201311030nwe,pit,RoetBe00,pass_sacked_yds,29,,,,,
player,201311030nwe,pit,RoetBe00,pass_long,42,,,,,
player,201311030nwe,pit,RoetBe00,pass_rating,95.8,,,,,
player,201311030nwe,pit,RoetBe00,rush_att,2,,,,,
player,201311030nwe,pit,RoetBe00,rush_yds,-1,,,,,
player,201311030nwe,pit,RoetBe00,rush_td,0,,,,,
player,201311030nwe,pit,RoetBe00,rush_long,0,,,,,
player,201311030nwe,pit,RoetBe00,targets,0,,,,,
player,201311030nwe,pit,RoetBe00,rec,0,,,,,
player,201311030nwe,pit,RoetBe00,rec_yds,0,,,,,
player,201311030nwe,pit,RoetBe00,rec_td,0,,,,,
player,201311030nwe,pit,RoetBe00,rec_long,0,,,,,
player,201311030nwe,pit,RoetBe00,fumbles,1,,,,,
player,201311030nwe,pit,RoetBe00,fumbles_lost,1,,,,,
player,201311030nwe,pit,BellLe00,pass_cmp,0,,,,,
player,201311030nwe,pit,BellLe00,pass_att,0,,,,,
