game,2013,13,20131201,201312010htx,nwe,"New England Patriots",34,htx,"Houston Texans",31
team,201312010htx,nwe,First Downs,28,,,,,,
team,201312010htx,htx,First Downs,19,,,,,,
team,201312010htx,nwe,Rush-Yds-TDs,27-88-2,,,,,,
team,201312010htx,htx,Rush-Yds-TDs,28-121-4,,,,,,
team,201312010htx,nwe,Cmp-Att-Yd-TD-INT,29-41-371-2-1,,,,,,
team,201312010htx,htx,Cmp-Att-Yd-TD-INT,15-30-272-0-1,,,,,,
team,201312010htx,nwe,Sacked-Yards,1-6,,,,,,
team,201312010htx,htx,Sacked-Yards,1-8,,,,,,
team,201312010htx,nwe,Net Pass Yards,365,,,,,,
team,201312010htx,htx,Net Pass Yards,264,,,,,,
team,201312010htx,nwe,Total Yards,453,,,,,,
team,201312010htx,htx,Total Yards,385,,,,,,
team,201312010htx,nwe,Fumbles-Lost,0-0,,,,,,
team,201312010htx,htx,Fumbles-Lost,0-0,,,,,,
team,201312010htx,nwe,Turnovers,1,,,,,,
team,201312010htx,htx,Turnovers,1,,,,,,
team,201312010htx,nwe,Penalties-Yards,0-0,,,,,,
team,201312010htx,htx,Penalties-Yards,2-25,,,,,,
team,201312010htx,nwe,Third Down Conv.,5-12,,,,,,
team,201312010htx,htx,Third Down Conv.,5-11,,,,,,
team,201312010htx,nwe,Fourth Down Conv.,0-0,,,,,,
team,201312010htx,htx,Fourth Down Conv.,0-1,,,,,,
team,201312010htx,nwe,Time of Possession,33:46,,,,,,
team,201312010htx,htx,Time of Possession,26:14,,,,,,
player,201312010htx,nwe,BradTo00,pass_cmp,29,,,,,
player,201312010htx,nwe,BradTo00,pass_att,41,,,,,
player,201312010htx,nwe,BradTo00,pass_yds,371,,,,,
player,201312010htx,nwe,BradTo00,pass_td,2,,,,,
player,201312010htx,nwe,BradTo00,pass_int,1,,,,,
player,201312010htx,nwe,BradTo00,pass_sacked,1,,,,,
player,201312010htx,nwe,BradTo00,pass_sacked_yds,6,,,,,
player,201312010htx,nwe,BradTo00,pass_long,50,,,,,
player,201312010htx,nwe,BradTo00,pass_rating,104.8,,,,,
player,201312010htx,nwe,BradTo00,rush_att,0,,,,,
player,201312010htx,nwe,BradTo00,rush_yds,0,,,,,
player,201312010htx,nwe,BradTo00,rush_td,0,,,,,
player,201312010htx,nwe,BradTo00,rush_long,0,,,,,
player,201312010htx,nwe,BradTo00,targets,0,,,,,
player,201312010htx,nwe,BradTo00,rec,0,,,,,
player,201312010htx,nwe,BradTo00,rec_yds,0,,,,,
player,201312010htx,nwe,BradTo00,rec_td,0,,,,,
player,201312010htx,nwe,BradTo00,rec_long,0,,,,,
player,201312010htx,nwe,BradTo00,fumbles,0,,,,,
player,201312010htx,nwe,BradTo00,fumbles_lost,0,,,,,
player,201312010htx,nwe,BlouLe00,pass_cmp,0,,,,,
player,201312010htx,nwe,BlouLe00,pass_att,0,,,,,
player,201312010htx,nwe,BlouLe00,pass_yds,0,,,,,
player,201312010htx,nwe,BlouLe00,pass_td,0,,,,,
player,201312010htx,nwe,BlouLe00,pass_int,0,,,,,
player,201312010htx,nwe,BlouLe00,pass_sacked,0,,,,,
player,201312010htx,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201312010htx,nwe,BlouLe00,pass_long,0,,,,,
player,201312010htx,nwe,BlouLe00,pass_rating,,,,,,
player,201312010htx,nwe,BlouLe00,rush_att,12,,,,,
player,201312010htx,nwe,BlouLe00,rush_yds,44,,,,,
player,201312010htx,nwe,BlouLe00,rush_td,1,,,,,
player,201312010htx,nwe,BlouLe00,rush_long,8,,,,,
player,201312010htx,nwe,BlouLe00,targets,0,,,,,
player,201312010htx,nwe,BlouLe00,rec,0,,,,,
player,201312010htx,nwe,BlouLe00,rec_yds,0,,,,,
player,201312010htx,nwe,BlouLe00,rec_td,0,,,,,
player,201312010htx,nwe,BlouLe00,rec_long,0,,,,,
player,201312010htx,nwe,BlouLe00,fumbles,0,,,,,
player,201312010htx,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201312010htx,nwe,VereSh00,pass_cmp,0,,,,,
player,201312010htx,nwe,VereSh00,pass_att,0,,,,,
player,201312010htx,nwe,VereSh00,pass_yds,0,,,,,
player,201312010htx,nwe,VereSh00,pass_td,0,,,,,
player,201312010htx,nwe,VereSh00,pass_int,0,,,,,
player,201312010htx,nwe,VereSh00,pass_sacked,0,,,,,
player,201312010htx,nwe,VereSh00,pass_sacked_yds,0,,,,,
