game,2013,5,20131006,201310060dal,den,"Denver Broncos",51,dal,"Dallas Cowboys",48
team,201310060dal,den,First Downs,34,,,,,,
team,201310060dal,dal,First Downs,24,,,,,,
team,201310060dal,den,Rush-Yds-TDs,31-103-2,,,,,,
team,201310060dal,dal,Rush-Yds-TDs,14-52-1,,,,,,
team,201310060dal,den,Cmp-Att-Yd-TD-INT,33-42-414-4-1,,,,,,
team,201310060dal,dal,Cmp-Att-Yd-TD-INT,25-36-506-5-1,,,,,,
team,201310060dal,den,Sacked-Yards,0-0,,,,,,
team,201310060dal,dal,Sacked-Yards,4-36,,,,,,
team,201310060dal,den,Net Pass Yards,414,,,,,,
team,201310060dal,dal,Net Pass Yards,470,,,,,,
team,201310060dal,den,Total Yards,517,,,,,,
team,201310060dal,dal,Total Yards,522,,,,,,
team,201310060dal,den,Fumbles-Lost,2-1,,,,,,
team,201310060dal,dal,Fumbles-Lost,1-1,,,,,,
team,201310060dal,den,Turnovers,2,,,,,,
team,201310060dal,dal,Turnovers,2,,,,,,
team,201310060dal,den,Penalties-Yards,5-55,,,,,,
team,201310060dal,dal,Penalties-Yards,9-81,,,,,,
team,201310060dal,den,Third Down Conv.,9-13,,,,,,
team,201310060dal,dal,Third Down Conv.,4-6,,,,,,
team,201310060dal,den,Fourth Down Conv.,0-0,,,,,,
team,201310060dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201310060dal,den,Time of Possession,32:34,,,,,,
team,201310060dal,dal,Time of Possession,27:26,,,,,,
player,201310060dal,den,MannPe00,pass_cmp,33,,,,,
player,201310060dal,den,MannPe00,pass_att,42,,,,,
player,201310060dal,den,MannPe00,pass_yds,414,,,,,
player,201310060dal,den,MannPe00,pass_td,4,,,,,
player,201310060dal,den,MannPe00,pass_int,1,,,,,
player,201310060dal,den,MannPe00,pass_sacked,0,,,,,
player,201310060dal,den,MannPe00,pass_sacked_yds,0,,,,,
player,201310060dal,den,MannPe00,pass_long,57,,,,,
player,201310060dal,den,MannPe00,pass_rating,129.6,,,,,
player,201310060dal,den,MannPe00,rush_att,4,,,,,
player,201310060dal,den,MannPe00,rush_yds,-8,,,,,
player,201310060dal,den,MannPe00,rush_td,1,,,,,
player,201310060dal,den,MannPe00,rush_long,1,,,,,
player,201310060dal,den,MannPe00,targets,0,,,,,
player,201310060dal,den,MannPe00,rec,0,,,,,
player,201310060dal,den,MannPe00,rec_yds,0,,,,,
player,201310060dal,den,MannPe00,rec_td,0,,,,,
player,201310060dal,den,MannPe00,rec_long,0,,,,,
player,201310060dal,den,MannPe00,fumbles,0,,,,,
player,201310060dal,den,MannPe00,fumbles_lost,0,,,,,
player,201310060dal,den,MoreKn00,pass_cmp,0,,,,,
player,201310060dal,den,MoreKn00,pass_att,0,,,,,
player,201310060dal,den,MoreKn00,pass_yds,0,,,,,
player,201310060dal,den,MoreKn00,pass_td,0,,,,,
player,201310060dal,den,MoreKn00,pass_int,0,,,,,
player,201310060dal,den,MoreKn00,pass_sacked,0,,,,,
player,201310060dal,den,MoreKn00,pass_sacked_yds,0,,,,,
player,201310060dal,den,MoreKn00,pass_long,0,,,,,
player,201310060dal,den,MoreKn00,pass_rating,,,,,,
player,201310060dal,den,MoreKn00,rush_att,19,,,,,
player,201310060dal,den,MoreKn00,rush_yds,93,,,,,
player,201310060dal,den,MoreKn00,rush_td,1,,,,,
player,201310060dal,den,MoreKn00,rush_long,16,,,,,
player,201310060dal,den,MoreKn00,targets,5,,,,,
player,201310060dal,den,MoreKn00,rec,5,,,,,
player,201310060dal,den,MoreKn00,rec_yds,57,,,,,
player,201310060dal,den,MoreKn00,rec_td,0,,,,,
player,201310060dal,den,MoreKn00,rec_long,19,,,,,
player,201310060dal,den,MoreKn00,fumbles,1,,,,,
player,201310060dal,den,MoreKn00,fumbles_lost,0,,,,,
player,201310060dal,den,HillRo00,pass_cmp,0,,,,,
player,201310060dal,den,HillRo00,pass_att,0,,,,,
player,201310060dal,den,HillRo00,pass_yds,0,,,,,
player,201310060dal,den,HillRo00,pass_td,0,,,,,
player,201310060dal,den,HillRo00,pass_int,0,,,,,
player,201310060dal,den,HillRo00,pass_sacked,0,,,,,
player,201310060dal,den,HillRo00,pass_sacked_yds,0,,,,,
player,201310060dal,den,HillRo00,pass_long,0,,,,,
player,201310060dal,den,HillRo00,pass_rating,,,,,,
player,201310060dal,den,HillRo00,rush_att,7,,,,,
player,201310060dal,den,HillRo00,rush_yds,17,,,,,
player,201310060dal,den,HillRo00,rush_td,0,,,,,
player,201310060dal,den,HillRo00,rush_long,17,,,,,
player,201310060dal,den,HillRo00,targets,4,,,,,
player,201310060dal,den,HillRo00,rec,4,,,,,
player,201310060dal,den,HillRo00,rec_yds,42,,,,,
player,201310060dal,den,HillRo00,rec_td,0,,,,,
player,201310060dal,den,HillRo00,rec_long,19,,,,,
player,201310060dal,den,HillRo00,fumbles,0,,,,,
player,201310060dal,den,HillRo00,fumbles_lost,0,,,,,
player,201310060dal,den,BallMo00,pass_cmp,0,,,,,
player,201310060dal,den,BallMo00,pass_att,0,,,,,
player,201310060dal,den,BallMo00,pass_yds,0,,,,,
player,201310060dal,den,BallMo00,pass_td,0,,,,,
player,201310060dal,den,BallMo00,pass_int,0,,,,,
player,201310060dal,den,BallMo00,pass_sacked,0,,,,,
player,201310060dal,den,BallMo00,pass_sacked_yds,0,,,,,
player,201310060dal,den,BallMo00,pass_long,0,,,,,
player,201310060dal,den,BallMo00,pass_rating,,,,,,
player,201310060dal,den,BallMo00,rush_att,1,,,,,
player,201310060dal,den,BallMo00,rush_yds,1,,,,,
