game,2013,15,20131215,201312150clt,htx,"Houston Texans",3,clt,"Indianapolis Colts",25
team,201312150clt,htx,First Downs,12,,,,,,
team,201312150clt,clt,First Downs,19,,,,,,
team,201312150clt,htx,Rush-Yds-TDs,25-107-0,,,,,,
team,201312150clt,clt,Rush-Yds-TDs,36-152-0,,,,,,
team,201312150clt,htx,Cmp-Att-Yd-TD-INT,18-34-168-0-2,,,,,,
team,201312150clt,clt,Cmp-Att-Yd-TD-INT,19-32-180-2-1,,,,,,
team,201312150clt,htx,Sacked-Yards,4-36,,,,,,
team,201312150clt,clt,Sacked-Yards,1-1,,,,,,
team,201312150clt,htx,Net Pass Yards,132,,,,,,
team,201312150clt,clt,Net Pass Yards,179,,,,,,
team,201312150clt,htx,Total Yards,239,,,,,,
team,201312150clt,clt,Total Yards,331,,,,,,
team,201312150clt,htx,Fumbles-Lost,3-0,,,,,,
team,201312150clt,clt,Fumbles-Lost,1-0,,,,,,
team,201312150clt,htx,Turnovers,2,,,,,,
team,201312150clt,clt,Turnovers,1,,,,,,
team,201312150clt,htx,Penalties-Yards,14-114,,,,,,
team,201312150clt,clt,Penalties-Yards,4-36,,,,,,
team,201312150clt,htx,Third Down Conv.,5-15,,,,,,
team,201312150clt,clt,Third Down Conv.,5-15,,,,,,
team,201312150clt,htx,Fourth Down Conv.,0-1,,,,,,
team,201312150clt,clt,Fourth Down Conv.,0-1,,,,,,
team,201312150clt,htx,Time of Possession,26:49,,,,,,
team,201312150clt,clt,Time of Possession,33:11,,,,,,
player,201312150clt,htx,KeenCa00,pass_cmp,18,,,,,
player,201312150clt,htx,KeenCa00,pass_att,34,,,,,
player,201312150clt,htx,KeenCa00,pass_yds,168,,,,,
player,201312150clt,htx,KeenCa00,pass_td,0,,,,,
player,201312150clt,htx,KeenCa00,pass_int,2,,,,,
player,201312150clt,htx,KeenCa00,pass_sacked,4,,,,,
player,201312150clt,htx,KeenCa00,pass_sacked_yds,36,,,,,
player,201312150clt,htx,KeenCa00,pass_long,39,,,,,
player,201312150clt,htx,KeenCa00,pass_rating,42.3,,,,,
player,201312150clt,htx,KeenCa00,rush_att,1,,,,,
player,201312150clt,htx,KeenCa00,rush_yds,2,,,,,
player,201312150clt,htx,KeenCa00,rush_td,0,,,,,
player,201312150clt,htx,KeenCa00,rush_long,2,,,,,
player,201312150clt,htx,KeenCa00,targets,0,,,,,
player,201312150clt,htx,KeenCa00,rec,0,,,,,
player,201312150clt,htx,KeenCa00,rec_yds,0,,,,,
player,201312150clt,htx,KeenCa00,rec_td,0,,,,,
player,201312150clt,htx,KeenCa00,rec_long,0,,,,,
player,201312150clt,htx,KeenCa00,fumbles,1,,,,,
player,201312150clt,htx,KeenCa00,fumbles_lost,0,,,,,
player,201312150clt,htx,TateBe00,pass_cmp,0,,,,,
player,201312150clt,htx,TateBe00,pass_att,0,,,,,
player,201312150clt,htx,TateBe00,pass_yds,0,,,,,
player,201312150clt,htx,TateBe00,pass_td,0,,,,,
player,201312150clt,htx,TateBe00,pass_int,0,,,,,
player,201312150clt,htx,TateBe00,pass_sacked,0,,,,,
player,201312150clt,htx,TateBe00,pass_sacked_yds,0,,,,,
player,201312150clt,htx,TateBe00,pass_long,0,,,,,
player,201312150clt,htx,TateBe00,pass_rating,,,,,,
player,201312150clt,htx,TateBe00,rush_att,16,,,,,
player,201312150clt,htx,TateBe00,rush_yds,72,,,,,
player,201312150clt,htx,TateBe00,rush_td,0,,,,,
player,201312150clt,htx,TateBe00,rush_long,11,,,,,
player,201312150clt,htx,TateBe00,targets,6,,,,,
player,201312150clt,htx,TateBe00,rec,3,,,,,
player,201312150clt,htx,TateBe00,rec_yds,20,,,,,
player,201312150clt,htx,TateBe00,rec_td,0,,,,,
player,201312150clt,htx,TateBe00,rec_long,9,,,,,
player,201312150clt,htx,TateBe00,fumbles,2,,,,,
player,201312150clt,htx,TateBe00,fumbles_lost,0,,,,,
player,201312150clt,htx,KariDe00,pass_cmp,0,,,,,
player,201312150clt,htx,KariDe00,pass_att,0,,,,,
player,201312150clt,htx,KariDe00,pass_yds,0,,,,,
player,201312150clt,htx,KariDe00,pass_td,0,,,,,
player,201312150clt,htx,KariDe00,pass_int,0,,,,,
player,201312150clt,htx,KariDe00,pass_sacked,0,,,,,
player,201312150clt,htx,KariDe00,pass_sacked_yds,0,,,,,
player,201312150clt,htx,KariDe00,pass_long,0,,,,,
player,201312150clt,htx,KariDe00,pass_rating,,,,,,
player,201312150clt,htx,KariDe00,rush_att,4,,,,,
player,201312150clt,htx,KariDe00,rush_yds,21,,,,,
player,201312150clt,htx,KariDe00,rush_td,0,,,,,
player,201312150clt,htx,KariDe00,rush_long,9,,,,,
player,201312150clt,htx,KariDe00,targets,1,,,,,
player,201312150clt,htx,KariDe00,rec,0,,,,,
player,201312150clt,htx,KariDe00,rec_yds,0,,,,,
player,201312150clt,htx,KariDe00,rec_td,0,,,,,
player,201312150clt,htx,KariDe00,rec_long,0,,,,,
player,201312150clt,htx,KariDe00,fumbles,0,,,,,
player,201312150clt,htx,KariDe00,fumbles_lost,0,,,,,
player,201312150clt,htx,JohnDe02,pass_cmp,0,,,,,
player,201312150clt,htx,JohnDe02,pass_att,0,,,,,
player,201312150clt,htx,JohnDe02,pass_yds,0,,,,,
player,201312150clt,htx,JohnDe02,pass_td,0,,,,,
player,201312150clt,htx,JohnDe02,pass_int,0,,,,,
player,201312150clt,htx,JohnDe02,pass_sacked,0,,,,,
player,201312150clt,htx,JohnDe02,pass_sacked_yds,0,,,,,
player,201312150clt,htx,JohnDe02,pass_long,0,,,,,
player,201312150clt,htx,JohnDe02,pass_rating,,,,,,
player,201312150clt,htx,JohnDe02,rush_att,4,,,,,
player,201312150clt,htx,JohnDe02,rush_yds,12,,,,,
player,201312150clt,htx,JohnDe02,rush_td,0,,,,,
player,201312150clt,htx,JohnDe02,rush_long,9,,,,,
player,201312150clt,htx,JohnDe02,targets,2,,,,,
player,201312150clt,htx,JohnDe02,rec,1,,,,,
player,201312150clt,htx,JohnDe02,rec_yds,3,,,,,
player,201312150clt,htx,JohnDe02,rec_td,0,,,,,
player,201312150clt,htx,JohnDe02,rec_long,3,,,,,
player,201312150clt,htx,JohnDe02,fumbles,0,,,,,
player,201312150clt,htx,JohnDe02,fumbles_lost,0,,,,,
player,201312150clt,htx,GrifRy00,pass_cmp,0,,,,,
player,201312150clt,htx,GrifRy00,pass_att,0,,,,,
player,201312150clt,htx,GrifRy00,pass_yds,0,,,,,
player,201312150clt,htx,GrifRy00,pass_td,0,,,,,
player,201312150clt,htx,GrifRy00,pass_int,0,,,,,
player,201312150clt,htx,GrifRy00,pass_sacked,0,,,,,
player,201312150clt,htx,GrifRy00,pass_sacked_yds,0,,,,,
player,201312150clt,htx,GrifRy00,pass_long,0,,,,,
player,201312150clt,htx,GrifRy00,pass_rating,,,,,,
player,201312150clt,htx,GrifRy00,rush_att,0,,,,,
player,201312150clt,htx,GrifRy00,rush_yds,0,,,,,
player,201312150clt,htx,GrifRy00,rush_td,0,,,,,
player,201312150clt,htx,GrifRy00,rush_long,0,,,,,
player,201312150clt,htx,GrifRy00,targets,6,,,,,
player,201312150clt,htx,GrifRy00,rec,6,,,,,
player,201312150clt,htx,GrifRy00,rec_yds,62,,,,,
player,201312150clt,htx,GrifRy00,rec_td,0,,,,,
player,201312150clt,htx,GrifRy00,rec_long,22,,,,,
player,201312150clt,htx,GrifRy00,fumbles,0,,,,,
player,201312150clt,htx,GrifRy00,fumbles_lost,0,,,,,
player,201312150clt,htx,HopkDe00,pass_cmp,0,,,,,
player,201312150clt,htx,HopkDe00,pass_att,0,,,,,
player,201312150clt,htx,HopkDe00,pass_yds,0,,,,,
player,201312150clt,htx,HopkDe00,pass_td,0,,,,,
player,201312150clt,htx,HopkDe00,pass_int,0,,,,,
player,201312150clt,htx,HopkDe00,pass_sacked,0,,,,,
player,201312150clt,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201312150clt,htx,HopkDe00,pass_long,0,,,,,
player,201312150clt,htx,HopkDe00,pass_rating,,,,,,
player,201312150clt,htx,HopkDe00,rush_att,0,,,,,
player,201312150clt,htx,HopkDe00,rush_yds,0,,,,,
player,201312150clt,htx,HopkDe00,rush_td,0,,,,,
player,201312150clt,htx,HopkDe00,rush_long,0,,,,,
player,201312150clt,htx,HopkDe00,targets,5,,,,,
player,201312150clt,htx,HopkDe00,rec,3,,,,,
player,201312150clt,htx,HopkDe00,rec_yds,52,,,,,
player,201312150clt,htx,HopkDe00,rec_td,0,,,,,
player,201312150clt,htx,HopkDe00,rec_long,39,,,,,
player,201312150clt,htx,HopkDe00,fumbles,0,,,,,
player,201312150clt,htx,HopkDe00,fumbles_lost,0,,,,,
player,201312150clt,htx,JohnAn02,pass_cmp,0,,,,,
player,201312150clt,htx,JohnAn02,pass_att,0,,,,,
player,201312150clt,htx,JohnAn02,pass_yds,0,,,,,
player,201312150clt,htx,JohnAn02,pass_td,0,,,,,
player,201312150clt,htx,JohnAn02,pass_int,0,,,,,
player,201312150clt,htx,JohnAn02,pass_sacked,0,,,,,
player,201312150clt,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201312150clt,htx,JohnAn02,pass_long,0,,,,,
player,201312150clt,htx,JohnAn02,pass_rating,,,,,,
