game,2013,14,20131208,201312080crd,ram,"St. Louis Rams",10,crd,"Arizona Cardinals",30
team,201312080crd,ram,First Downs,14,,,,,,
team,201312080crd,crd,First Downs,25,,,,,,
team,201312080crd,ram,Rush-Yds-TDs,19-100-1,,,,,,
team,201312080crd,crd,Rush-Yds-TDs,32-107-2,,,,,,
team,201312080crd,ram,Cmp-Att-Yd-TD-INT,16-27-181-0-2,,,,,,
team,201312080crd,crd,Cmp-Att-Yd-TD-INT,27-32-269-1-0,,,,,,
team,201312080crd,ram,Sacked-Yards,4-24,,,,,,
team,201312080crd,crd,Sacked-Yards,1-7,,,,,,
team,201312080crd,ram,Net Pass Yards,157,,,,,,
team,201312080crd,crd,Net Pass Yards,262,,,,,,
team,201312080crd,ram,Total Yards,257,,,,,,
team,201312080crd,crd,Total Yards,369,,,,,,
team,201312080crd,ram,Fumbles-Lost,1-0,,,,,,
team,201312080crd,crd,Fumbles-Lost,1-1,,,,,,
team,201312080crd,ram,Turnovers,2,,,,,,
team,201312080crd,crd,Turnovers,1,,,,,,
team,201312080crd,ram,Penalties-Yards,11-90,,,,,,
team,201312080crd,crd,Penalties-Yards,6-31,,,,,,
team,201312080crd,ram,Third Down Conv.,3-11,,,,,,
team,201312080crd,crd,Third Down Conv.,8-14,,,,,,
team,201312080crd,ram,Fourth Down Conv.,0-1,,,,,,
team,201312080crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201312080crd,ram,Time of Possession,24:53,,,,,,
team,201312080crd,crd,Time of Possession,35:07,,,,,,
player,201312080crd,ram,ClemKe00,pass_cmp,16,,,,,
player,201312080crd,ram,ClemKe00,pass_att,27,,,,,
player,201312080crd,ram,ClemKe00,pass_yds,181,,,,,
player,201312080crd,ram,ClemKe00,pass_td,0,,,,,
player,201312080crd,ram,ClemKe00,pass_int,2,,,,,
player,201312080crd,ram,ClemKe00,pass_sacked,4,,,,,
player,201312080crd,ram,ClemKe00,pass_sacked_yds,24,,,,,
player,201312080crd,ram,ClemKe00,pass_long,31,,,,,
player,201312080crd,ram,ClemKe00,pass_rating,48.5,,,,,
player,201312080crd,ram,ClemKe00,rush_att,2,,,,,
player,201312080crd,ram,ClemKe00,rush_yds,10,,,,,
player,201312080crd,ram,ClemKe00,rush_td,0,,,,,
player,201312080crd,ram,ClemKe00,rush_long,8,,,,,
player,201312080crd,ram,ClemKe00,targets,0,,,,,
player,201312080crd,ram,ClemKe00,rec,0,,,,,
player,201312080crd,ram,ClemKe00,rec_yds,0,,,,,
player,201312080crd,ram,ClemKe00,rec_td,0,,,,,
player,201312080crd,ram,ClemKe00,rec_long,0,,,,,
player,201312080crd,ram,ClemKe00,fumbles,1,,,,,
player,201312080crd,ram,ClemKe00,fumbles_lost,0,,,,,
player,201312080crd,ram,AustTa00,pass_cmp,0,,,,,
player,201312080crd,ram,AustTa00,pass_att,0,,,,,
player,201312080crd,ram,AustTa00,pass_yds,0,,,,,
player,201312080crd,ram,AustTa00,pass_td,0,,,,,
player,201312080crd,ram,AustTa00,pass_int,0,,,,,
player,201312080crd,ram,AustTa00,pass_sacked,0,,,,,
player,201312080crd,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201312080crd,ram,AustTa00,pass_long,0,,,,,
player,201312080crd,ram,AustTa00,pass_rating,,,,,,
player,201312080crd,ram,AustTa00,rush_att,1,,,,,
player,201312080crd,ram,AustTa00,rush_yds,56,,,,,
player,201312080crd,ram,AustTa00,rush_td,0,,,,,
player,201312080crd,ram,AustTa00,rush_long,56,,,,,
player,201312080crd,ram,AustTa00,targets,3,,,,,
player,201312080crd,ram,AustTa00,rec,1,,,,,
player,201312080crd,ram,AustTa00,rec_yds,9,,,,,
player,201312080crd,ram,AustTa00,rec_td,0,,,,,
player,201312080crd,ram,AustTa00,rec_long,9,,,,,
player,201312080crd,ram,AustTa00,fumbles,0,,,,,
player,201312080crd,ram,AustTa00,fumbles_lost,0,,,,,
player,201312080crd,ram,StacZa00,pass_cmp,0,,,,,
player,201312080crd,ram,StacZa00,pass_att,0,,,,,
player,201312080crd,ram,StacZa00,pass_yds,0,,,,,
player,201312080crd,ram,StacZa00,pass_td,0,,,,,
player,201312080crd,ram,StacZa00,pass_int,0,,,,,
player,201312080crd,ram,StacZa00,pass_sacked,0,,,,,
player,201312080crd,ram,StacZa00,pass_sacked_yds,0,,,,,
player,201312080crd,ram,StacZa00,pass_long,0,,,,,
player,201312080crd,ram,StacZa00,pass_rating,,,,,,
player,201312080crd,ram,StacZa00,rush_att,14,,,,,
player,201312080crd,ram,StacZa00,rush_yds,25,,,,,
player,201312080crd,ram,StacZa00,rush_td,1,,,,,
player,201312080crd,ram,StacZa00,rush_long,9,,,,,
player,201312080crd,ram,StacZa00,targets,4,,,,,
player,201312080crd,ram,StacZa00,rec,3,,,,,
player,201312080crd,ram,StacZa00,rec_yds,-3,,,,,
player,201312080crd,ram,StacZa00,rec_td,0,,,,,
player,201312080crd,ram,StacZa00,rec_long,3,,,,,
player,201312080crd,ram,StacZa00,fumbles,0,,,,,
player,201312080crd,ram,StacZa00,fumbles_lost,0,,,,,
player,201312080crd,ram,CunnBe01,pass_cmp,0,,,,,
player,201312080crd,ram,CunnBe01,pass_att,0,,,,,
player,201312080crd,ram,CunnBe01,pass_yds,0,,,,,
player,201312080crd,ram,CunnBe01,pass_td,0,,,,,
player,201312080crd,ram,CunnBe01,pass_int,0,,,,,
player,201312080crd,ram,CunnBe01,pass_sacked,0,,,,,
player,201312080crd,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201312080crd,ram,CunnBe01,pass_long,0,,,,,
player,201312080crd,ram,CunnBe01,pass_rating,,,,,,
player,201312080crd,ram,CunnBe01,rush_att,2,,,,,
player,201312080crd,ram,CunnBe01,rush_yds,9,,,,,
player,201312080crd,ram,CunnBe01,rush_td,0,,,,,
player,201312080crd,ram,CunnBe01,rush_long,6,,,,,
player,201312080crd,ram,CunnBe01,targets,2,,,,,
player,201312080crd,ram,CunnBe01,rec,2,,,,,
player,201312080crd,ram,CunnBe01,rec_yds,16,,,,,
player,201312080crd,ram,CunnBe01,rec_td,0,,,,,
player,201312080crd,ram,CunnBe01,rec_long,10,,,,,
player,201312080crd,ram,CunnBe01,fumbles,0,,,,,
player,201312080crd,ram,CunnBe01,fumbles_lost,0,,,,,
player,201312080crd,ram,CookJa02,pass_cmp,0,,,,,
player,201312080crd,ram,CookJa02,pass_att,0,,,,,
player,201312080crd,ram,CookJa02,pass_yds,0,,,,,
player,201312080crd,ram,CookJa02,pass_td,0,,,,,
player,201312080crd,ram,CookJa02,pass_int,0,,,,,
player,201312080crd,ram,CookJa02,pass_sacked,0,,,,,
player,201312080crd,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201312080crd,ram,CookJa02,pass_long,0,,,,,
player,201312080crd,ram,CookJa02,pass_rating,,,,,,
player,201312080crd,ram,CookJa02,rush_att,0,,,,,
player,201312080crd,ram,CookJa02,rush_yds,0,,,,,
player,201312080crd,ram,CookJa02,rush_td,0,,,,,
player,201312080crd,ram,CookJa02,rush_long,0,,,,,
player,201312080crd,ram,CookJa02,targets,6,,,,,
player,201312080crd,ram,CookJa02,rec,3,,,,,
player,201312080crd,ram,CookJa02,rec_yds,49,,,,,
player,201312080crd,ram,CookJa02,rec_td,0,,,,,
player,201312080crd,ram,CookJa02,rec_long,31,,,,,
player,201312080crd,ram,CookJa02,fumbles,0,,,,,
player,201312080crd,ram,CookJa02,fumbles_lost,0,,,,,
player,201312080crd,ram,BailSt01,pass_cmp,0,,,,,
player,201312080crd,ram,BailSt01,pass_att,0,,,,,
player,201312080crd,ram,BailSt01,pass_yds,0,,,,,
player,201312080crd,ram,BailSt01,pass_td,0,,,,,
player,201312080crd,ram,BailSt01,pass_int,0,,,,,
player,201312080crd,ram,BailSt01,pass_sacked,0,,,,,
player,201312080crd,ram,BailSt01,pass_sacked_yds,0,,,,,
player,201312080crd,ram,BailSt01,pass_long,0,,,,,
player,201312080crd,ram,BailSt01,pass_rating,,,,,,
player,201312080crd,ram,BailSt01,rush_att,0,,,,,
player,201312080crd,ram,BailSt01,rush_yds,0,,,,,
player,201312080crd,ram,BailSt01,rush_td,0,,,,,
