game,2013,3,20130919,201309190phi,kan,"Kansas City Chiefs",26,phi,"Philadelphia Eagles",16
team,201309190phi,kan,First Downs,19,,,,,,
team,201309190phi,phi,First Downs,21,,,,,,
team,201309190phi,kan,Rush-Yds-TDs,38-146-1,,,,,,
team,201309190phi,phi,Rush-Yds-TDs,27-264-1,,,,,,
team,201309190phi,kan,Cmp-Att-Yd-TD-INT,22-35-273-0-0,,,,,,
team,201309190phi,phi,Cmp-Att-Yd-TD-INT,13-30-201-1-2,,,,,,
team,201309190phi,kan,Sacked-Yards,5-25,,,,,,
team,201309190phi,phi,Sacked-Yards,6-34,,,,,,
team,201309190phi,kan,Net Pass Yards,248,,,,,,
team,201309190phi,phi,Net Pass Yards,167,,,,,,
team,201309190phi,kan,Total Yards,394,,,,,,
team,201309190phi,phi,Total Yards,431,,,,,,
team,201309190phi,kan,Fumbles-Lost,0-0,,,,,,
team,201309190phi,phi,Fumbles-Lost,4-3,,,,,,
team,201309190phi,kan,Turnovers,0,,,,,,
team,201309190phi,phi,Turnovers,5,,,,,,
team,201309190phi,kan,Penalties-Yards,9-65,,,,,,
team,201309190phi,phi,Penalties-Yards,6-45,,,,,,
team,201309190phi,kan,Third Down Conv.,6-19,,,,,,
team,201309190phi,phi,Third Down Conv.,3-10,,,,,,
team,201309190phi,kan,Fourth Down Conv.,0-2,,,,,,
team,201309190phi,phi,Fourth Down Conv.,0-1,,,,,,
team,201309190phi,kan,Time of Possession,39:07,,,,,,
team,201309190phi,phi,Time of Possession,20:53,,,,,,
player,201309190phi,kan,SmitAl03,pass_cmp,22,,,,,
player,201309190phi,kan,SmitAl03,pass_att,35,,,,,
player,201309190phi,kan,SmitAl03,pass_yds,273,,,,,
player,201309190phi,kan,SmitAl03,pass_td,0,,,,,
player,201309190phi,kan,SmitAl03,pass_int,0,,,,,
player,201309190phi,kan,SmitAl03,pass_sacked,5,,,,,
player,201309190phi,kan,SmitAl03,pass_sacked_yds,25,,,,,
player,201309190phi,kan,SmitAl03,pass_long,51,,,,,
player,201309190phi,kan,SmitAl03,pass_rating,87.0,,,,,
player,201309190phi,kan,SmitAl03,rush_att,11,,,,,
player,201309190phi,kan,SmitAl03,rush_yds,32,,,,,
player,201309190phi,kan,SmitAl03,rush_td,0,,,,,
player,201309190phi,kan,SmitAl03,rush_long,9,,,,,
player,201309190phi,kan,SmitAl03,targets,0,,,,,
player,201309190phi,kan,SmitAl03,rec,0,,,,,
player,201309190phi,kan,SmitAl03,rec_yds,0,,,,,
player,201309190phi,kan,SmitAl03,rec_td,0,,,,,
player,201309190phi,kan,SmitAl03,rec_long,0,,,,,
player,201309190phi,kan,SmitAl03,fumbles,0,,,,,
player,201309190phi,kan,SmitAl03,fumbles_lost,0,,,,,
player,201309190phi,kan,CharJa00,pass_cmp,0,,,,,
player,201309190phi,kan,CharJa00,pass_att,0,,,,,
player,201309190phi,kan,CharJa00,pass_yds,0,,,,,
player,201309190phi,kan,CharJa00,pass_td,0,,,,,
player,201309190phi,kan,CharJa00,pass_int,0,,,,,
player,201309190phi,kan,CharJa00,pass_sacked,0,,,,,
player,201309190phi,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201309190phi,kan,CharJa00,pass_long,0,,,,,
player,201309190phi,kan,CharJa00,pass_rating,,,,,,
player,201309190phi,kan,CharJa00,rush_att,20,,,,,
player,201309190phi,kan,CharJa00,rush_yds,92,,,,,
player,201309190phi,kan,CharJa00,rush_td,1,,,,,
player,201309190phi,kan,CharJa00,rush_long,18,,,,,
player,201309190phi,kan,CharJa00,targets,8,,,,,
player,201309190phi,kan,CharJa00,rec,7,,,,,
player,201309190phi,kan,CharJa00,rec_yds,80,,,,,
player,201309190phi,kan,CharJa00,rec_td,0,,,,,
player,201309190phi,kan,CharJa00,rec_long,21,,,,,
player,201309190phi,kan,CharJa00,fumbles,0,,,,,
player,201309190phi,kan,CharJa00,fumbles_lost,0,,,,,
player,201309190phi,kan,DaviKn00,pass_cmp,0,,,,,
player,201309190phi,kan,DaviKn00,pass_att,0,,,,,
player,201309190phi,kan,DaviKn00,pass_yds,0,,,,,
player,201309190phi,kan,DaviKn00,pass_td,0,,,,,
player,201309190phi,kan,DaviKn00,pass_int,0,,,,,
player,201309190phi,kan,DaviKn00,pass_sacked,0,,,,,
player,201309190phi,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201309190phi,kan,DaviKn00,pass_long,0,,,,,
player,201309190phi,kan,DaviKn00,pass_rating,,,,,,
player,201309190phi,kan,DaviKn00,rush_att,6,,,,,
player,201309190phi,kan,DaviKn00,rush_yds,25,,,,,
player,201309190phi,kan,DaviKn00,rush_td,0,,,,,
player,201309190phi,kan,DaviKn00,rush_long,12,,,,,
player,201309190phi,kan,DaviKn00,targets,0,,,,,
player,201309190phi,kan,DaviKn00,rec,0,,,,,
player,201309190phi,kan,DaviKn00,rec_yds,0,,,,,
player,201309190phi,kan,DaviKn00,rec_td,0,,,,,
player,201309190phi,kan,DaviKn00,rec_long,0,,,,,
player,201309190phi,kan,DaviKn00,fumbles,0,,,,,
player,201309190phi,kan,DaviKn00,fumbles_lost,0,,,,,
player,201309190phi,kan,AverDo00,pass_cmp,0,,,,,
player,201309190phi,kan,AverDo00,pass_att,0,,,,,
player,201309190phi,kan,AverDo00,pass_yds,0,,,,,
player,201309190phi,kan,AverDo00,pass_td,0,,,,,
player,201309190phi,kan,AverDo00,pass_int,0,,,,,
player,201309190phi,kan,AverDo00,pass_sacked,0,,,,,
player,201309190phi,kan,AverDo00,pass_sacked_yds,0,,,,,
player,201309190phi,kan,AverDo00,pass_long,0,,,,,
player,201309190phi,kan,AverDo00,pass_rating,,,,,,
player,201309190phi,kan,AverDo00,rush_att,0,,,,,
player,201309190phi,kan,AverDo00,rush_yds,0,,,,,
player,201309190phi,kan,AverDo00,rush_td,0,,,,,
player,201309190phi,kan,AverDo00,rush_long,0,,,,,
player,201309190phi,kan,AverDo00,targets,7,,,,,
player,201309190phi,kan,AverDo00,rec,7,,,,,
player,201309190phi,kan,AverDo00,rec_yds,141,,,,,
player,201309190phi,kan,AverDo00,rec_td,0,,,,,
player,201309190phi,kan,AverDo00,rec_long,51,,,,,
player,201309190phi,kan,AverDo00,fumbles,0,,,,,
player,201309190phi,kan,AverDo00,fumbles_lost,0,,,,,
player,201309190phi,kan,McGrSe00,pass_cmp,0,,,,,
player,201309190phi,kan,McGrSe00,pass_att,0,,,,,
player,201309190phi,kan,McGrSe00,pass_yds,0,,,,,
player,201309190phi,kan,McGrSe00,pass_td,0,,,,,
player,201309190phi,kan,McGrSe00,pass_int,0,,,,,
player,201309190phi,kan,McGrSe00,pass_sacked,0,,,,,
player,201309190phi,kan,McGrSe00,pass_sacked_yds,0,,,,,
player,201309190phi,kan,McGrSe00,pass_long,0,,,,,
player,201309190phi,kan,McGrSe00,pass_rating,,,,,,
player,201309190phi,kan,McGrSe00,rush_att,0,,,,,
player,201309190phi,kan,McGrSe00,rush_yds,0,,,,,
player,201309190phi,kan,McGrSe00,rush_td,0,,,,,
player,201309190phi,kan,McGrSe00,rush_long,0,,,,,
player,201309190phi,kan,McGrSe00,targets,4,,,,,
player,201309190phi,kan,McGrSe00,rec,4,,,,,
player,201309190phi,kan,McGrSe00,rec_yds,31,,,,,
player,201309190phi,kan,McGrSe00,rec_td,0,,,,,
player,201309190phi,kan,McGrSe00,rec_long,9,,,,,
player,201309190phi,kan,McGrSe00,fumbles,0,,,,,
player,201309190phi,kan,McGrSe00,fumbles_lost,0,,,,,
player,201309190phi,kan,SherAn00,pass_cmp,0,,,,,
player,201309190phi,kan,SherAn00,pass_att,0,,,,,
player,201309190phi,kan,SherAn00,pass_yds,0,,,,,
player,201309190phi,kan,SherAn00,pass_td,0,,,,,
player,201309190phi,kan,SherAn00,pass_int,0,,,,,
player,201309190phi,kan,SherAn00,pass_sacked,0,,,,,
player,201309190phi,kan,SherAn00,pass_sacked_yds,0,,,,,
player,201309190phi,kan,SherAn00,pass_long,0,,,,,
player,201309190phi,kan,SherAn00,pass_rating,,,,,,
player,201309190phi,kan,SherAn00,rush_att,0,,,,,
player,201309190phi,kan,SherAn00,rush_yds,0,,,,,
player,201309190phi,kan,SherAn00,rush_td,0,,,,,
player,201309190phi,kan,SherAn00,rush_long,0,,,,,
player,201309190phi,kan,SherAn00,targets,2,,,,,
player,201309190phi,kan,SherAn00,rec,1,,,,,
player,201309190phi,kan,SherAn00,rec_yds,10,,,,,
player,201309190phi,kan,SherAn00,rec_td,0,,,,,
player,201309190phi,kan,SherAn00,rec_long,10,,,,,
player,201309190phi,kan,SherAn00,fumbles,0,,,,,
player,201309190phi,kan,SherAn00,fumbles_lost,0,,,,,
player,201309190phi,kan,JenkA.00,pass_cmp,0,,,,,
player,201309190phi,kan,JenkA.00,pass_att,0,,,,,
player,201309190phi,kan,JenkA.00,pass_yds,0,,,,,
player,201309190phi,kan,JenkA.00,pass_td,0,,,,,
player,201309190phi,kan,JenkA.00,pass_int,0,,,,,
player,201309190phi,kan,JenkA.00,pass_sacked,0,,,,,
player,201309190phi,kan,JenkA.00,pass_sacked_yds,0,,,,,
player,201309190phi,kan,JenkA.00,pass_long,0,,,,,
player,201309190phi,kan,JenkA.00,pass_rating,,,,,,
player,201309190phi,kan,JenkA.00,rush_att,0,,,,,
player,201309190phi,kan,JenkA.00,rush_yds,0,,,,,
player,201309190phi,kan,JenkA.00,rush_td,0,,,,,
player,201309190phi,kan,JenkA.00,rush_long,0,,,,,
player,201309190phi,kan,JenkA.00,targets,2,,,,,
player,201309190phi,kan,JenkA.00,rec,1,,,,,
player,201309190phi,kan,JenkA.00,rec_yds,6,,,,,
player,201309190phi,kan,JenkA.00,rec_td,0,,,,,
player,201309190phi,kan,JenkA.00,rec_long,6,,,,,
player,201309190phi,kan,JenkA.00,fumbles,0,,,,,
player,201309190phi,kan,JenkA.00,fumbles_lost,0,,,,,
player,201309190phi,kan,BoweDw00,pass_cmp,0,,,,,
player,201309190phi,kan,BoweDw00,pass_att,0,,,,,
player,201309190phi,kan,BoweDw00,pass_yds,0,,,,,
player,201309190phi,kan,BoweDw00,pass_td,0,,,,,
player,201309190phi,kan,BoweDw00,pass_int,0,,,,,
player,201309190phi,kan,BoweDw00,pass_sacked,0,,,,,
player,201309190phi,kan,BoweDw00,pass_sacked_yds,0,,,,,
player,201309190phi,kan,BoweDw00,pass_long,0,,,,,
player,201309190phi,kan,BoweDw00,pass_rating,,,,,,
player,201309190phi,kan,BoweDw00,rush_att,0,,,,,
player,201309190phi,kan,BoweDw00,rush_yds,0,,,,,
player,201309190phi,kan,BoweDw00,rush_td,0,,,,,
player,201309190phi,kan,BoweDw00,rush_long,0,,,,,
player,201309190phi,kan,BoweDw00,targets,3,,,,,
player,201309190phi,kan,BoweDw00,rec,1,,,,,
player,201309190phi,kan,BoweDw00,rec_yds,4,,,,,
player,201309190phi,kan,BoweDw00,rec_td,0,,,,,
player,201309190phi,kan,BoweDw00,rec_long,4,,,,,
player,201309190phi,kan,BoweDw00,fumbles,0,,,,,
player,201309190phi,kan,BoweDw00,fumbles_lost,0,,,,,
player,201309190phi,kan,HallCh00,pass_cmp,0,,,,,
player,201309190phi,kan,HallCh00,pass_att,0,,,,,
player,201309190phi,kan,HallCh00,pass_yds,0,,,,,
player,201309190phi,kan,HallCh00,pass_td,0,,,,,
player,201309190phi,kan,HallCh00,pass_int,0,,,,,
player,201309190phi,kan,HallCh00,pass_sacked,0,,,,,
player,201309190phi,kan,HallCh00,pass_sacked_yds,0,,,,,
player,201309190phi,kan,HallCh00,pass_long,0,,,,,
player,201309190phi,kan,HallCh00,pass_rating,,,,,,
player,201309190phi,kan,HallCh00,rush_att,0,,,,,
player,201309190phi,kan,HallCh00,rush_yds,0,,,,,
player,201309190phi,kan,HallCh00,rush_td,0,,,,,
player,201309190phi,kan,HallCh00,rush_long,0,,,,,
player,201309190phi,kan,HallCh00,targets,1,,,,,
player,201309190phi,kan,HallCh00,rec,0,,,,,
player,201309190phi,kan,HallCh00,rec_yds,0,,,,,
player,201309190phi,kan,HallCh00,rec_td,0,,,,,
player,201309190phi,kan,HallCh00,rec_long,0,,,,,
player,201309190phi,kan,HallCh00,fumbles,0,,,,,
player,201309190phi,kan,HallCh00,fumbles_lost,0,,,,,
player,201309190phi,kan,BrocKe00,pass_cmp,0,,,,,
player,201309190phi,kan,BrocKe00,pass_att,0,,,,,
player,201309190phi,kan,BrocKe00,pass_yds,0,,,,,
player,201309190phi,kan,BrocKe00,pass_td,0,,,,,
player,201309190phi,kan,BrocKe00,pass_int,0,,,,,
player,201309190phi,kan,BrocKe00,pass_sacked,0,,,,,
player,201309190phi,kan,BrocKe00,pass_sacked_yds,0,,,,,
player,201309190phi,kan,BrocKe00,pass_long,0,,,,,
player,201309190phi,kan,BrocKe00,pass_rating,,,,,,
player,201309190phi,kan,BrocKe00,rush_att,0,,,,,
player,201309190phi,kan,BrocKe00,rush_yds,0,,,,,
player,201309190phi,kan,BrocKe00,rush_td,0,,,,,
player,201309190phi,kan,BrocKe00,rush_long,0,,,,,
player,201309190phi,kan,BrocKe00,targets,1,,,,,
player,201309190phi,kan,BrocKe00,rec,0,,,,,
