game,2013,13,20131128,201311280dal,rai,"Oakland Raiders",24,dal,"Dallas Cowboys",31
team,201311280dal,rai,First Downs,16,,,,,,
team,201311280dal,dal,First Downs,23,,,,,,
team,201311280dal,rai,Rush-Yds-TDs,25-50-2,,,,,,
team,201311280dal,dal,Rush-Yds-TDs,30-144-3,,,,,,
team,201311280dal,rai,Cmp-Att-Yd-TD-INT,18-30-255-0-1,,,,,,
team,201311280dal,dal,Cmp-Att-Yd-TD-INT,23-32-225-1-0,,,,,,
team,201311280dal,rai,Sacked-Yards,0-0,,,,,,
team,201311280dal,dal,Sacked-Yards,2-17,,,,,,
team,201311280dal,rai,Net Pass Yards,255,,,,,,
team,201311280dal,dal,Net Pass Yards,208,,,,,,
team,201311280dal,rai,Total Yards,305,,,,,,
team,201311280dal,dal,Total Yards,352,,,,,,
team,201311280dal,rai,Fumbles-Lost,1-1,,,,,,
team,201311280dal,dal,Fumbles-Lost,3-1,,,,,,
team,201311280dal,rai,Turnovers,2,,,,,,
team,201311280dal,dal,Turnovers,1,,,,,,
team,201311280dal,rai,Penalties-Yards,10-71,,,,,,
team,201311280dal,dal,Penalties-Yards,6-40,,,,,,
team,201311280dal,rai,Third Down Conv.,7-13,,,,,,
team,201311280dal,dal,Third Down Conv.,7-13,,,,,,
team,201311280dal,rai,Fourth Down Conv.,0-0,,,,,,
team,201311280dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201311280dal,rai,Time of Possession,27:41,,,,,,
team,201311280dal,dal,Time of Possession,32:19,,,,,,
player,201311280dal,rai,McGlMa01,pass_cmp,18,,,,,
player,201311280dal,rai,McGlMa01,pass_att,30,,,,,
player,201311280dal,rai,McGlMa01,pass_yds,255,,,,,
player,201311280dal,rai,McGlMa01,pass_td,0,,,,,
player,201311280dal,rai,McGlMa01,pass_int,1,,,,,
player,201311280dal,rai,McGlMa01,pass_sacked,0,,,,,
player,201311280dal,rai,McGlMa01,pass_sacked_yds,0,,,,,
player,201311280dal,rai,McGlMa01,pass_long,35,,,,,
player,201311280dal,rai,McGlMa01,pass_rating,73.6,,,,,
player,201311280dal,rai,McGlMa01,rush_att,2,,,,,
player,201311280dal,rai,McGlMa01,rush_yds,-1,,,,,
player,201311280dal,rai,McGlMa01,rush_td,0,,,,,
player,201311280dal,rai,McGlMa01,rush_long,0,,,,,
player,201311280dal,rai,McGlMa01,targets,0,,,,,
player,201311280dal,rai,McGlMa01,rec,0,,,,,
player,201311280dal,rai,McGlMa01,rec_yds,0,,,,,
player,201311280dal,rai,McGlMa01,rec_td,0,,,,,
player,201311280dal,rai,McGlMa01,rec_long,0,,,,,
player,201311280dal,rai,McGlMa01,fumbles,0,,,,,
player,201311280dal,rai,McGlMa01,fumbles_lost,0,,,,,
player,201311280dal,rai,JennRa00,pass_cmp,0,,,,,
player,201311280dal,rai,JennRa00,pass_att,0,,,,,
player,201311280dal,rai,JennRa00,pass_yds,0,,,,,
player,201311280dal,rai,JennRa00,pass_td,0,,,,,
player,201311280dal,rai,JennRa00,pass_int,0,,,,,
player,201311280dal,rai,JennRa00,pass_sacked,,,,,,
player,201311280dal,rai,JennRa00,pass_sacked_yds,0,,,,,
player,201311280dal,rai,JennRa00,pass_long,0,,,,,
player,201311280dal,rai,JennRa00,pass_rating,,,,,,
player,201311280dal,rai,JennRa00,rush_att,17,,,,,
player,201311280dal,rai,JennRa00,rush_yds,35,,,,,
player,201311280dal,rai,JennRa00,rush_td,2,,,,,
player,201311280dal,rai,JennRa00,rush_long,9,,,,,
player,201311280dal,rai,JennRa00,targets,2,,,,,
player,201311280dal,rai,JennRa00,rec,1,,,,,
player,201311280dal,rai,JennRa00,rec_yds,8,,,,,
player,201311280dal,rai,JennRa00,rec_td,0,,,,,
player,201311280dal,rai,JennRa00,rec_long,8,,,,,
player,201311280dal,rai,JennRa00,fumbles,0,,,,,
player,201311280dal,rai,JennRa00,fumbles_lost,0,,,,,
player,201311280dal,rai,McFaDa00,pass_cmp,0,,,,,
player,201311280dal,rai,McFaDa00,pass_att,0,,,,,
player,201311280dal,rai,McFaDa00,pass_yds,0,,,,,
player,201311280dal,rai,McFaDa00,pass_td,0,,,,,
