game,2013,6,20131010,201310100chi,nyg,"New York Giants",21,chi,"Chicago Bears",27
team,201310100chi,nyg,First Downs,21,,,,,,
team,201310100chi,chi,First Downs,26,,,,,,
team,201310100chi,nyg,Rush-Yds-TDs,26-123-2,,,,,,
team,201310100chi,chi,Rush-Yds-TDs,29-110-0,,,,,,
team,201310100chi,nyg,Cmp-Att-Yd-TD-INT,14-26-239-1-3,,,,,,
team,201310100chi,chi,Cmp-Att-Yd-TD-INT,24-36-262-2-0,,,,,,
team,201310100chi,nyg,Sacked-Yards,1-7,,,,,,
team,201310100chi,chi,Sacked-Yards,0-0,,,,,,
team,201310100chi,nyg,Net Pass Yards,232,,,,,,
team,201310100chi,chi,Net Pass Yards,262,,,,,,
team,201310100chi,nyg,Total Yards,355,,,,,,
team,201310100chi,chi,Total Yards,372,,,,,,
team,201310100chi,nyg,Fumbles-Lost,0-0,,,,,,
team,201310100chi,chi,Fumbles-Lost,1-0,,,,,,
team,201310100chi,nyg,Turnovers,3,,,,,,
team,201310100chi,chi,Turnovers,0,,,,,,
team,201310100chi,nyg,Penalties-Yards,4-31,,,,,,
team,201310100chi,chi,Penalties-Yards,5-51,,,,,,
team,201310100chi,nyg,Third Down Conv.,7-11,,,,,,
team,201310100chi,chi,Third Down Conv.,5-11,,,,,,
team,201310100chi,nyg,Fourth Down Conv.,0-0,,,,,,
team,201310100chi,chi,Fourth Down Conv.,0-1,,,,,,
team,201310100chi,nyg,Time of Possession,27:05,,,,,,
team,201310100chi,chi,Time of Possession,32:55,,,,,,
player,201310100chi,nyg,MannEl00,pass_cmp,14,,,,,
player,201310100chi,nyg,MannEl00,pass_att,26,,,,,
player,201310100chi,nyg,MannEl00,pass_yds,239,,,,,
player,201310100chi,nyg,MannEl00,pass_td,1,,,,,
player,201310100chi,nyg,MannEl00,pass_int,3,,,,,
player,201310100chi,nyg,MannEl00,pass_sacked,1,,,,,
player,201310100chi,nyg,MannEl00,pass_sacked_yds,7,,,,,
