game,2013,2,20130915,201309150nyg,den,"Denver Broncos",41,nyg,"New York Giants",23
player,201309150nyg,nyg,ScotDa01,rec_long,23,,,,,
player,201309150nyg,nyg,ScotDa01,fumbles,0,,,,,
player,201309150nyg,nyg,ScotDa01,fumbles_lost,0,,,,,
player,201309150nyg,nyg,CruzVi00,pass_cmp,0,,,,,
player,201309150nyg,nyg,CruzVi00,pass_att,0,,,,,
player,201309150nyg,nyg,CruzVi00,pass_yds,0,,,,,
player,201309150nyg,nyg,CruzVi00,pass_td,0,,,,,
player,201309150nyg,nyg,CruzVi00,pass_int,0,,,,,
player,201309150nyg,nyg,CruzVi00,pass_sacked,0,,,,,
player,201309150nyg,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201309150nyg,nyg,CruzVi00,pass_long,0,,,,,
player,201309150nyg,nyg,CruzVi00,pass_rating,,,,,,
player,201309150nyg,nyg,CruzVi00,rush_att,0,,,,,
player,201309150nyg,nyg,CruzVi00,rush_yds,0,,,,,
player,201309150nyg,nyg,CruzVi00,rush_td,0,,,,,
player,201309150nyg,nyg,CruzVi00,rush_long,0,,,,,
player,201309150nyg,nyg,CruzVi00,targets,11,,,,,
player,201309150nyg,nyg,CruzVi00,rec,8,,,,,
player,201309150nyg,nyg,CruzVi00,rec_yds,118,,,,,
player,201309150nyg,nyg,CruzVi00,rec_td,0,,,,,
player,201309150nyg,nyg,CruzVi00,rec_long,51,,,,,
player,201309150nyg,nyg,CruzVi00,fumbles,0,,,,,
player,201309150nyg,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201309150nyg,nyg,NickHa01,pass_cmp,0,,,,,
player,201309150nyg,nyg,NickHa01,pass_att,0,,,,,
player,201309150nyg,nyg,NickHa01,pass_yds,0,,,,,
player,201309150nyg,nyg,NickHa01,pass_td,0,,,,,
player,201309150nyg,nyg,NickHa01,pass_int,0,,,,,
player,201309150nyg,nyg,NickHa01,pass_sacked,0,,,,,
player,201309150nyg,nyg,NickHa01,pass_sacked_yds,0,,,,,
player,201309150nyg,nyg,NickHa01,pass_long,0,,,,,
player,201309150nyg,nyg,NickHa01,pass_rating,,,,,,
player,201309150nyg,nyg,NickHa01,rush_att,0,,,,,
player,201309150nyg,nyg,NickHa01,rush_yds,0,,,,,
player,201309150nyg,nyg,NickHa01,rush_td,0,,,,,
player,201309150nyg,nyg,NickHa01,rush_long,0,,,,,
player,201309150nyg,nyg,NickHa01,targets,7,,,,,
player,201309150nyg,nyg,NickHa01,rec,4,,,,,
player,201309150nyg,nyg,NickHa01,rec_yds,83,,,,,
player,201309150nyg,nyg,NickHa01,rec_td,0,,,,,
player,201309150nyg,nyg,NickHa01,rec_long,34,,,,,
player,201309150nyg,nyg,NickHa01,fumbles,0,,,,,
player,201309150nyg,nyg,NickHa01,fumbles_lost,0,,,,,
player,201309150nyg,nyg,MyerBr00,pass_cmp,0,,,,,
player,201309150nyg,nyg,MyerBr00,pass_att,0,,,,,
player,201309150nyg,nyg,MyerBr00,pass_yds,0,,,,,
player,201309150nyg,nyg,MyerBr00,pass_td,0,,,,,
player,201309150nyg,nyg,MyerBr00,pass_int,0,,,,,
player,201309150nyg,nyg,MyerBr00,pass_sacked,0,,,,,
player,201309150nyg,nyg,MyerBr00,pass_sacked_yds,0,,,,,
player,201309150nyg,nyg,MyerBr00,pass_long,0,,,,,
player,201309150nyg,nyg,MyerBr00,pass_rating,,,,,,
player,201309150nyg,nyg,MyerBr00,rush_att,0,,,,,
