game,2013,2,20130915,201309150phi,sdg,"San Diego Chargers",33,phi,"Philadelphia Eagles",30
team,201309150phi,sdg,First Downs,33,,,,,,
team,201309150phi,phi,First Downs,22,,,,,,
team,201309150phi,sdg,Rush-Yds-TDs,31-126-0,,,,,,
team,201309150phi,phi,Rush-Yds-TDs,19-100-1,,,,,,
team,201309150phi,sdg,Cmp-Att-Yd-TD-INT,36-47-419-3-0,,,,,,
team,201309150phi,phi,Cmp-Att-Yd-TD-INT,23-37-428-2-0,,,,,,
team,201309150phi,sdg,Sacked-Yards,1-6,,,,,,
team,201309150phi,phi,Sacked-Yards,2-17,,,,,,
team,201309150phi,sdg,Net Pass Yards,413,,,,,,
team,201309150phi,phi,Net Pass Yards,411,,,,,,
team,201309150phi,sdg,Total Yards,539,,,,,,
team,201309150phi,phi,Total Yards,511,,,,,,
team,201309150phi,sdg,Fumbles-Lost,3-2,,,,,,
team,201309150phi,phi,Fumbles-Lost,1-0,,,,,,
team,201309150phi,sdg,Turnovers,2,,,,,,
team,201309150phi,phi,Turnovers,0,,,,,,
team,201309150phi,sdg,Penalties-Yards,4-32,,,,,,
team,201309150phi,phi,Penalties-Yards,9-77,,,,,,
team,201309150phi,sdg,Third Down Conv.,10-15,,,,,,
team,201309150phi,phi,Third Down Conv.,5-11,,,,,,
team,201309150phi,sdg,Fourth Down Conv.,0-0,,,,,,
team,201309150phi,phi,Fourth Down Conv.,0-0,,,,,,
team,201309150phi,sdg,Time of Possession,40:17,,,,,,
team,201309150phi,phi,Time of Possession,19:43,,,,,,
player,201309150phi,sdg,RivePh00,pass_cmp,36,,,,,
player,201309150phi,sdg,RivePh00,pass_att,47,,,,,
player,201309150phi,sdg,RivePh00,pass_yds,419,,,,,
player,201309150phi,sdg,RivePh00,pass_td,3,,,,,
player,201309150phi,sdg,RivePh00,pass_int,0,,,,,
player,201309150phi,sdg,RivePh00,pass_sacked,1,,,,,
player,201309150phi,sdg,RivePh00,pass_sacked_yds,6,,,,,
