game,2013,13,20131201,201312010kan,den,"Denver Broncos",35,kan,"Kansas City Chiefs",28
team,201312010kan,den,First Downs,25,,,,,,
team,201312010kan,kan,First Downs,27,,,,,,
team,201312010kan,den,Rush-Yds-TDs,31-132-0,,,,,,
team,201312010kan,kan,Rush-Yds-TDs,25-159-1,,,,,,
team,201312010kan,den,Cmp-Att-Yd-TD-INT,22-35-403-5-2,,,,,,
team,201312010kan,kan,Cmp-Att-Yd-TD-INT,26-42-293-2-1,,,,,,
team,201312010kan,den,Sacked-Yards,0-0,,,,,,
team,201312010kan,kan,Sacked-Yards,0-0,,,,,,
team,201312010kan,den,Net Pass Yards,403,,,,,,
team,201312010kan,kan,Net Pass Yards,293,,,,,,
team,201312010kan,den,Total Yards,535,,,,,,
team,201312010kan,kan,Total Yards,452,,,,,,
team,201312010kan,den,Fumbles-Lost,0-0,,,,,,
team,201312010kan,kan,Fumbles-Lost,1-0,,,,,,
team,201312010kan,den,Turnovers,2,,,,,,
team,201312010kan,kan,Turnovers,1,,,,,,
team,201312010kan,den,Penalties-Yards,10-75,,,,,,
team,201312010kan,kan,Penalties-Yards,9-102,,,,,,
team,201312010kan,den,Third Down Conv.,8-14,,,,,,
team,201312010kan,kan,Third Down Conv.,5-13,,,,,,
team,201312010kan,den,Fourth Down Conv.,0-0,,,,,,
team,201312010kan,kan,Fourth Down Conv.,1-2,,,,,,
team,201312010kan,den,Time of Possession,28:04,,,,,,
team,201312010kan,kan,Time of Possession,31:56,,,,,,
player,201312010kan,den,MannPe00,pass_cmp,22,,,,,
player,201312010kan,den,MannPe00,pass_att,35,,,,,
player,201312010kan,den,MannPe00,pass_yds,403,,,,,
player,201312010kan,den,MannPe00,pass_td,5,,,,,
player,201312010kan,den,MannPe00,pass_int,2,,,,,
player,201312010kan,den,MannPe00,pass_sacked,0,,,,,
player,201312010kan,den,MannPe00,pass_sacked_yds,0,,,,,
player,201312010kan,den,MannPe00,pass_long,77,,,,,
player,201312010kan,den,MannPe00,pass_rating,118.2,,,,,
player,201312010kan,den,MannPe00,rush_att,3,,,,,
player,201312010kan,den,MannPe00,rush_yds,-3,,,,,
player,201312010kan,den,MannPe00,rush_td,0,,,,,
player,201312010kan,den,MannPe00,rush_long,-1,,,,,
player,201312010kan,den,MannPe00,targets,0,,,,,
player,201312010kan,den,MannPe00,rec,0,,,,,
player,201312010kan,den,MannPe00,rec_yds,0,,,,,
player,201312010kan,den,MannPe00,rec_td,0,,,,,
player,201312010kan,den,MannPe00,rec_long,0,,,,,
player,201312010kan,den,MannPe00,fumbles,0,,,,,
player,201312010kan,den,MannPe00,fumbles_lost,0,,,,,
player,201312010kan,den,BallMo00,pass_cmp,0,,,,,
player,201312010kan,den,BallMo00,pass_att,0,,,,,
player,201312010kan,den,BallMo00,pass_yds,0,,,,,
player,201312010kan,den,BallMo00,pass_td,0,,,,,
player,201312010kan,den,BallMo00,pass_int,0,,,,,
player,201312010kan,den,BallMo00,pass_sacked,0,,,,,
player,201312010kan,den,BallMo00,pass_sacked_yds,0,,,,,
player,201312010kan,den,BallMo00,pass_long,0,,,,,
player,201312010kan,den,BallMo00,pass_rating,,,,,,
player,201312010kan,den,BallMo00,rush_att,13,,,,,
player,201312010kan,den,BallMo00,rush_yds,117,,,,,
player,201312010kan,den,BallMo00,rush_td,0,,,,,
player,201312010kan,den,BallMo00,rush_long,45,,,,,
player,201312010kan,den,BallMo00,targets,2,,,,,
player,201312010kan,den,BallMo00,rec,1,,,,,
player,201312010kan,den,BallMo00,rec_yds,4,,,,,
player,201312010kan,den,BallMo00,rec_td,0,,,,,
player,201312010kan,den,BallMo00,rec_long,4,,,,,
player,201312010kan,den,BallMo00,fumbles,0,,,,,
player,201312010kan,den,BallMo00,fumbles_lost,0,,,,,
player,201312010kan,den,MoreKn00,pass_cmp,0,,,,,
player,201312010kan,den,MoreKn00,pass_att,0,,,,,
player,201312010kan,den,MoreKn00,pass_yds,0,,,,,
player,201312010kan,den,MoreKn00,pass_td,0,,,,,
player,201312010kan,den,MoreKn00,pass_int,0,,,,,
player,201312010kan,den,MoreKn00,pass_sacked,0,,,,,
player,201312010kan,den,MoreKn00,pass_sacked_yds,0,,,,,
player,201312010kan,den,MoreKn00,pass_long,0,,,,,
player,201312010kan,den,MoreKn00,pass_rating,,,,,,
player,201312010kan,den,MoreKn00,rush_att,15,,,,,
