game,2013,12,20131125,201311250was,sfo,"San Francisco 49ers",27,was,"Washington Redskins",6
team,201311250was,sfo,First Downs,15,,,,,,
team,201311250was,was,First Downs,10,,,,,,
team,201311250was,sfo,Rush-Yds-TDs,33-76-0,,,,,,
team,201311250was,was,Rush-Yds-TDs,26-114-0,,,,,,
team,201311250was,sfo,Cmp-Att-Yd-TD-INT,15-24-235-3-0,,,,,,
team,201311250was,was,Cmp-Att-Yd-TD-INT,16-26-118-0-1,,,,,,
team,201311250was,sfo,Sacked-Yards,2-7,,,,,,
team,201311250was,was,Sacked-Yards,6-42,,,,,,
team,201311250was,sfo,Net Pass Yards,228,,,,,,
team,201311250was,was,Net Pass Yards,76,,,,,,
team,201311250was,sfo,Total Yards,304,,,,,,
team,201311250was,was,Total Yards,190,,,,,,
team,201311250was,sfo,Fumbles-Lost,3-1,,,,,,
team,201311250was,was,Fumbles-Lost,1-0,,,,,,
team,201311250was,sfo,Turnovers,1,,,,,,
team,201311250was,was,Turnovers,1,,,,,,
team,201311250was,sfo,Penalties-Yards,4-25,,,,,,
team,201311250was,was,Penalties-Yards,4-30,,,,,,
team,201311250was,sfo,Third Down Conv.,4-14,,,,,,
team,201311250was,was,Third Down Conv.,4-15,,,,,,
team,201311250was,sfo,Fourth Down Conv.,1-2,,,,,,
team,201311250was,was,Fourth Down Conv.,0-2,,,,,,
team,201311250was,sfo,Time of Possession,31:26,,,,,,
team,201311250was,was,Time of Possession,28:34,,,,,,
player,201311250was,sfo,KaepCo00,pass_cmp,15,,,,,
player,201311250was,sfo,KaepCo00,pass_att,24,,,,,
player,201311250was,sfo,KaepCo00,pass_yds,235,,,,,
player,201311250was,sfo,KaepCo00,pass_td,3,,,,,
player,201311250was,sfo,KaepCo00,pass_int,0,,,,,
player,201311250was,sfo,KaepCo00,pass_sacked,2,,,,,
player,201311250was,sfo,KaepCo00,pass_sacked_yds,7,,,,,
player,201311250was,sfo,KaepCo00,pass_long,40,,,,,
player,201311250was,sfo,KaepCo00,pass_rating,134.5,,,,,
player,201311250was,sfo,KaepCo00,rush_att,9,,,,,
player,201311250was,sfo,KaepCo00,rush_yds,20,,,,,
player,201311250was,sfo,KaepCo00,rush_td,0,,,,,
player,201311250was,sfo,KaepCo00,rush_long,8,,,,,
player,201311250was,sfo,KaepCo00,targets,0,,,,,
player,201311250was,sfo,KaepCo00,rec,0,,,,,
player,201311250was,sfo,KaepCo00,rec_yds,0,,,,,
player,201311250was,sfo,KaepCo00,rec_td,0,,,,,
player,201311250was,sfo,KaepCo00,rec_long,0,,,,,
player,201311250was,sfo,KaepCo00,fumbles,1,,,,,
player,201311250was,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201311250was,sfo,GoreFr00,pass_cmp,0,,,,,
player,201311250was,sfo,GoreFr00,pass_att,0,,,,,
player,201311250was,sfo,GoreFr00,pass_yds,0,,,,,
player,201311250was,sfo,GoreFr00,pass_td,0,,,,,
player,201311250was,sfo,GoreFr00,pass_int,0,,,,,
player,201311250was,sfo,GoreFr00,pass_sacked,0,,,,,
player,201311250was,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201311250was,sfo,GoreFr00,pass_long,0,,,,,
player,201311250was,sfo,GoreFr00,pass_rating,,,,,,
player,201311250was,sfo,GoreFr00,rush_att,13,,,,,
player,201311250was,sfo,GoreFr00,rush_yds,31,,,,,
player,201311250was,sfo,GoreFr00,rush_td,0,,,,,
player,201311250was,sfo,GoreFr00,rush_long,8,,,,,
player,201311250was,sfo,GoreFr00,targets,2,,,,,
player,201311250was,sfo,GoreFr00,rec,1,,,,,
player,201311250was,sfo,GoreFr00,rec_yds,3,,,,,
player,201311250was,sfo,GoreFr00,rec_td,0,,,,,
player,201311250was,sfo,GoreFr00,rec_long,3,,,,,
player,201311250was,sfo,GoreFr00,fumbles,0,,,,,
player,201311250was,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201311250was,sfo,DixoAn00,pass_cmp,0,,,,,
player,201311250was,sfo,DixoAn00,pass_att,0,,,,,
player,201311250was,sfo,DixoAn00,pass_yds,0,,,,,
player,201311250was,sfo,DixoAn00,pass_td,0,,,,,
player,201311250was,sfo,DixoAn00,pass_int,0,,,,,
player,201311250was,sfo,DixoAn00,pass_sacked,0,,,,,
player,201311250was,sfo,DixoAn00,pass_sacked_yds,0,,,,,
player,201311250was,sfo,DixoAn00,pass_long,0,,,,,
player,201311250was,sfo,DixoAn00,pass_rating,,,,,,
player,201311250was,sfo,DixoAn00,rush_att,3,,,,,
player,201311250was,sfo,DixoAn00,rush_yds,13,,,,,
player,201311250was,sfo,DixoAn00,rush_td,0,,,,,
player,201311250was,sfo,DixoAn00,rush_long,9,,,,,
player,201311250was,sfo,DixoAn00,targets,0,,,,,
player,201311250was,sfo,DixoAn00,rec,0,,,,,
player,201311250was,sfo,DixoAn00,rec_yds,0,,,,,
player,201311250was,sfo,DixoAn00,rec_td,0,,,,,
player,201311250was,sfo,DixoAn00,rec_long,0,,,,,
player,201311250was,sfo,DixoAn00,fumbles,0,,,,,
player,201311250was,sfo,DixoAn00,fumbles_lost,0,,,,,
player,201311250was,sfo,HuntKe00,pass_cmp,0,,,,,
player,201311250was,sfo,HuntKe00,pass_att,0,,,,,
player,201311250was,sfo,HuntKe00,pass_yds,0,,,,,
player,201311250was,sfo,HuntKe00,pass_td,0,,,,,
player,201311250was,sfo,HuntKe00,pass_int,0,,,,,
player,201311250was,sfo,HuntKe00,pass_sacked,0,,,,,
player,201311250was,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201311250was,sfo,HuntKe00,pass_long,0,,,,,
player,201311250was,sfo,HuntKe00,pass_rating,,,,,,
player,201311250was,sfo,HuntKe00,rush_att,8,,,,,
player,201311250was,sfo,HuntKe00,rush_yds,12,,,,,
player,201311250was,sfo,HuntKe00,rush_td,0,,,,,
player,201311250was,sfo,HuntKe00,rush_long,4,,,,,
player,201311250was,sfo,HuntKe00,targets,0,,,,,
player,201311250was,sfo,HuntKe00,rec,0,,,,,
player,201311250was,sfo,HuntKe00,rec_yds,0,,,,,
player,201311250was,sfo,HuntKe00,rec_td,0,,,,,
player,201311250was,sfo,HuntKe00,rec_long,0,,,,,
player,201311250was,sfo,HuntKe00,fumbles,0,,,,,
player,201311250was,sfo,HuntKe00,fumbles_lost,0,,,,,
player,201311250was,sfo,BoldAn00,pass_cmp,0,,,,,
