game,2013,10,20131110,201311100atl,sea,"Seattle Seahawks",33,atl,"Atlanta Falcons",10
player,201311100atl,sea,TurbRo00,rec,1,,,,,
player,201311100atl,sea,TurbRo00,rec_yds,-5,,,,,
player,201311100atl,sea,TurbRo00,rec_td,0,,,,,
player,201311100atl,sea,TurbRo00,rec_long,-5,,,,,
player,201311100atl,sea,TurbRo00,fumbles,0,,,,,
player,201311100atl,sea,TurbRo00,fumbles_lost,0,,,,,
player,201311100atl,sea,TateGo00,pass_cmp,0,,,,,
player,201311100atl,sea,TateGo00,pass_att,0,,,,,
player,201311100atl,sea,TateGo00,pass_yds,0,,,,,
player,201311100atl,sea,TateGo00,pass_td,0,,,,,
player,201311100atl,sea,TateGo00,pass_int,0,,,,,
player,201311100atl,sea,TateGo00,pass_sacked,0,,,,,
player,201311100atl,sea,TateGo00,pass_sacked_yds,0,,,,,
player,201311100atl,sea,TateGo00,pass_long,0,,,,,
player,201311100atl,sea,TateGo00,pass_rating,,,,,,
player,201311100atl,sea,TateGo00,rush_att,0,,,,,
player,201311100atl,sea,TateGo00,rush_yds,0,,,,,
player,201311100atl,sea,TateGo00,rush_td,0,,,,,
player,201311100atl,sea,TateGo00,rush_long,0,,,,,
player,201311100atl,sea,TateGo00,targets,7,,,,,
player,201311100atl,sea,TateGo00,rec,6,,,,,
player,201311100atl,sea,TateGo00,rec_yds,106,,,,,
player,201311100atl,sea,TateGo00,rec_td,1,,,,,
player,201311100atl,sea,TateGo00,rec_long,46,,,,,
player,201311100atl,sea,TateGo00,fumbles,0,,,,,
player,201311100atl,sea,TateGo00,fumbles_lost,0,,,,,
player,201311100atl,sea,BaldDo00,pass_cmp,0,,,,,
player,201311100atl,sea,BaldDo00,pass_att,0,,,,,
player,201311100atl,sea,BaldDo00,pass_yds,0,,,,,
player,201311100atl,sea,BaldDo00,pass_td,0,,,,,
player,201311100atl,sea,BaldDo00,pass_int,0,,,,,
player,201311100atl,sea,BaldDo00,pass_sacked,0,,,,,
