game,2013,16,20131222,201312220rav,nwe,"New England Patriots",41,rav,"Baltimore Ravens",7
team,201312220rav,nwe,First Downs,21,,,,,,
team,201312220rav,rav,First Downs,19,,,,,,
team,201312220rav,nwe,Rush-Yds-TDs,34-142-2,,,,,,
team,201312220rav,rav,Rush-Yds-TDs,28-121-1,,,,,,
team,201312220rav,nwe,Cmp-Att-Yd-TD-INT,14-26-172-1-0,,,,,,
team,201312220rav,rav,Cmp-Att-Yd-TD-INT,23-42-262-0-3,,,,,,
team,201312220rav,nwe,Sacked-Yards,2-14,,,,,,
team,201312220rav,rav,Sacked-Yards,4-25,,,,,,
team,201312220rav,nwe,Net Pass Yards,158,,,,,,
team,201312220rav,rav,Net Pass Yards,237,,,,,,
team,201312220rav,nwe,Total Yards,300,,,,,,
team,201312220rav,rav,Total Yards,358,,,,,,
team,201312220rav,nwe,Fumbles-Lost,0-0,,,,,,
team,201312220rav,rav,Fumbles-Lost,1-1,,,,,,
team,201312220rav,nwe,Turnovers,0,,,,,,
team,201312220rav,rav,Turnovers,4,,,,,,
team,201312220rav,nwe,Penalties-Yards,7-58,,,,,,
team,201312220rav,rav,Penalties-Yards,9-83,,,,,,
team,201312220rav,nwe,Third Down Conv.,4-13,,,,,,
team,201312220rav,rav,Third Down Conv.,5-14,,,,,,
team,201312220rav,nwe,Fourth Down Conv.,0-0,,,,,,
team,201312220rav,rav,Fourth Down Conv.,0-3,,,,,,
team,201312220rav,nwe,Time of Possession,31:58,,,,,,
team,201312220rav,rav,Time of Possession,28:02,,,,,,
player,201312220rav,nwe,BradTo00,pass_cmp,14,,,,,
player,201312220rav,nwe,BradTo00,pass_att,26,,,,,
player,201312220rav,nwe,BradTo00,pass_yds,172,,,,,
player,201312220rav,nwe,BradTo00,pass_td,1,,,,,
player,201312220rav,nwe,BradTo00,pass_int,0,,,,,
player,201312220rav,nwe,BradTo00,pass_sacked,2,,,,,
player,201312220rav,nwe,BradTo00,pass_sacked_yds,14,,,,,
player,201312220rav,nwe,BradTo00,pass_long,34,,,,,
player,201312220rav,nwe,BradTo00,pass_rating,87.3,,,,,
player,201312220rav,nwe,BradTo00,rush_att,0,,,,,
player,201312220rav,nwe,BradTo00,rush_yds,0,,,,,
player,201312220rav,nwe,BradTo00,rush_td,0,,,,,
player,201312220rav,nwe,BradTo00,rush_long,0,,,,,
player,201312220rav,nwe,BradTo00,targets,0,,,,,
player,201312220rav,nwe,BradTo00,rec,0,,,,,
player,201312220rav,nwe,BradTo00,rec_yds,0,,,,,
player,201312220rav,nwe,BradTo00,rec_td,0,,,,,
player,201312220rav,nwe,BradTo00,rec_long,0,,,,,
player,201312220rav,nwe,BradTo00,fumbles,0,,,,,
player,201312220rav,nwe,BradTo00,fumbles_lost,0,,,,,
player,201312220rav,nwe,BlouLe00,pass_cmp,0,,,,,
player,201312220rav,nwe,BlouLe00,pass_att,0,,,,,
player,201312220rav,nwe,BlouLe00,pass_yds,0,,,,,
player,201312220rav,nwe,BlouLe00,pass_td,0,,,,,
player,201312220rav,nwe,BlouLe00,pass_int,0,,,,,
player,201312220rav,nwe,BlouLe00,pass_sacked,0,,,,,
player,201312220rav,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201312220rav,nwe,BlouLe00,pass_long,0,,,,,
player,201312220rav,nwe,BlouLe00,pass_rating,,,,,,
player,201312220rav,nwe,BlouLe00,rush_att,16,,,,,
player,201312220rav,nwe,BlouLe00,rush_yds,76,,,,,
player,201312220rav,nwe,BlouLe00,rush_td,2,,,,,
player,201312220rav,nwe,BlouLe00,rush_long,14,,,,,
player,201312220rav,nwe,BlouLe00,targets,0,,,,,
player,201312220rav,nwe,BlouLe00,rec,0,,,,,
player,201312220rav,nwe,BlouLe00,rec_yds,0,,,,,
player,201312220rav,nwe,BlouLe00,rec_td,0,,,,,
player,201312220rav,nwe,BlouLe00,rec_long,0,,,,,
player,201312220rav,nwe,BlouLe00,fumbles,0,,,,,
player,201312220rav,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201312220rav,nwe,RidlSt00,pass_cmp,0,,,,,
player,201312220rav,nwe,RidlSt00,pass_att,0,,,,,
player,201312220rav,nwe,RidlSt00,pass_yds,0,,,,,
player,201312220rav,nwe,RidlSt00,pass_td,0,,,,,
player,201312220rav,nwe,RidlSt00,pass_int,0,,,,,
player,201312220rav,nwe,RidlSt00,pass_sacked,0,,,,,
player,201312220rav,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201312220rav,nwe,RidlSt00,pass_long,0,,,,,
player,201312220rav,nwe,RidlSt00,pass_rating,,,,,,
player,201312220rav,nwe,RidlSt00,rush_att,15,,,,,
player,201312220rav,nwe,RidlSt00,rush_yds,54,,,,,
player,201312220rav,nwe,RidlSt00,rush_td,0,,,,,
player,201312220rav,nwe,RidlSt00,rush_long,8,,,,,
player,201312220rav,nwe,RidlSt00,targets,1,,,,,
player,201312220rav,nwe,RidlSt00,rec,0,,,,,
player,201312220rav,nwe,RidlSt00,rec_yds,0,,,,,
player,201312220rav,nwe,RidlSt00,rec_td,0,,,,,
player,201312220rav,nwe,RidlSt00,rec_long,0,,,,,
player,201312220rav,nwe,RidlSt00,fumbles,0,,,,,
player,201312220rav,nwe,RidlSt00,fumbles_lost,0,,,,,
player,201312220rav,nwe,BoldBr00,pass_cmp,0,,,,,
player,201312220rav,nwe,BoldBr00,pass_att,0,,,,,
player,201312220rav,nwe,BoldBr00,pass_yds,0,,,,,
player,201312220rav,nwe,BoldBr00,pass_td,0,,,,,
player,201312220rav,nwe,BoldBr00,pass_int,0,,,,,
player,201312220rav,nwe,BoldBr00,pass_sacked,0,,,,,
player,201312220rav,nwe,BoldBr00,pass_sacked_yds,0,,,,,
player,201312220rav,nwe,BoldBr00,pass_long,0,,,,,
player,201312220rav,nwe,BoldBr00,pass_rating,,,,,,
player,201312220rav,nwe,BoldBr00,rush_att,1,,,,,
player,201312220rav,nwe,BoldBr00,rush_yds,6,,,,,
player,201312220rav,nwe,BoldBr00,rush_td,0,,,,,
player,201312220rav,nwe,BoldBr00,rush_long,6,,,,,
player,201312220rav,nwe,BoldBr00,targets,4,,,,,
player,201312220rav,nwe,BoldBr00,rec,2,,,,,
player,201312220rav,nwe,BoldBr00,rec_yds,16,,,,,
player,201312220rav,nwe,BoldBr00,rec_td,0,,,,,
player,201312220rav,nwe,BoldBr00,rec_long,12,,,,,
player,201312220rav,nwe,BoldBr00,fumbles,0,,,,,
player,201312220rav,nwe,BoldBr00,fumbles_lost,0,,,,,
player,201312220rav,nwe,VereSh00,pass_cmp,0,,,,,
player,201312220rav,nwe,VereSh00,pass_att,0,,,,,
player,201312220rav,nwe,VereSh00,pass_yds,0,,,,,
player,201312220rav,nwe,VereSh00,pass_td,0,,,,,
player,201312220rav,nwe,VereSh00,pass_int,0,,,,,
player,201312220rav,nwe,VereSh00,pass_sacked,0,,,,,
player,201312220rav,nwe,VereSh00,pass_sacked_yds,0,,,,,
player,201312220rav,nwe,VereSh00,pass_long,0,,,,,
player,201312220rav,nwe,VereSh00,pass_rating,,,,,,
player,201312220rav,nwe,VereSh00,rush_att,2,,,,,
player,201312220rav,nwe,VereSh00,rush_yds,6,,,,,
player,201312220rav,nwe,VereSh00,rush_td,0,,,,,
player,201312220rav,nwe,VereSh00,rush_long,4,,,,,
player,201312220rav,nwe,VereSh00,targets,2,,,,,
player,201312220rav,nwe,VereSh00,rec,1,,,,,
player,201312220rav,nwe,VereSh00,rec_yds,4,,,,,
player,201312220rav,nwe,VereSh00,rec_td,1,,,,,
