game,2013,16,20131223,201312230sfo,atl,"Atlanta Falcons",24,sfo,"San Francisco 49ers",34
team,201312230sfo,atl,First Downs,25,,,,,,
team,201312230sfo,sfo,First Downs,20,,,,,,
team,201312230sfo,atl,Rush-Yds-TDs,20-61-1,,,,,,
team,201312230sfo,sfo,Rush-Yds-TDs,30-199-2,,,,,,
team,201312230sfo,atl,Cmp-Att-Yd-TD-INT,37-48-348-2-2,,,,,,
team,201312230sfo,sfo,Cmp-Att-Yd-TD-INT,13-21-197-1-0,,,,,,
team,201312230sfo,atl,Sacked-Yards,1-7,,,,,,
team,201312230sfo,sfo,Sacked-Yards,3-17,,,,,,
team,201312230sfo,atl,Net Pass Yards,341,,,,,,
team,201312230sfo,sfo,Net Pass Yards,180,,,,,,
team,201312230sfo,atl,Total Yards,402,,,,,,
team,201312230sfo,sfo,Total Yards,379,,,,,,
team,201312230sfo,atl,Fumbles-Lost,0-0,,,,,,
team,201312230sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201312230sfo,atl,Turnovers,2,,,,,,
team,201312230sfo,sfo,Turnovers,0,,,,,,
team,201312230sfo,atl,Penalties-Yards,5-37,,,,,,
team,201312230sfo,sfo,Penalties-Yards,7-45,,,,,,
team,201312230sfo,atl,Third Down Conv.,8-15,,,,,,
team,201312230sfo,sfo,Third Down Conv.,4-9,,,,,,
team,201312230sfo,atl,Fourth Down Conv.,1-1,,,,,,
team,201312230sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201312230sfo,atl,Time of Possession,30:28,,,,,,
team,201312230sfo,sfo,Time of Possession,29:32,,,,,,
player,201312230sfo,atl,RyanMa00,pass_cmp,37,,,,,
player,201312230sfo,atl,RyanMa00,pass_att,48,,,,,
player,201312230sfo,atl,RyanMa00,pass_yds,348,,,,,
player,201312230sfo,atl,RyanMa00,pass_td,2,,,,,
player,201312230sfo,atl,RyanMa00,pass_int,2,,,,,
player,201312230sfo,atl,RyanMa00,pass_sacked,1,,,,,
player,201312230sfo,atl,RyanMa00,pass_sacked_yds,7,,,,,
