game,2013,15,20131215,201312150oti,crd,"Arizona Cardinals",37,oti,"Tennessee Titans",34
team,201312150oti,crd,First Downs,24,,,,,,
team,201312150oti,oti,First Downs,32,,,,,,
team,201312150oti,crd,Rush-Yds-TDs,36-145-2,,,,,,
team,201312150oti,oti,Rush-Yds-TDs,19-66-0,,,,,,
team,201312150oti,crd,Cmp-Att-Yd-TD-INT,20-30-231-1-0,,,,,,
team,201312150oti,oti,Cmp-Att-Yd-TD-INT,36-58-402-4-2,,,,,,
team,201312150oti,crd,Sacked-Yards,2-16,,,,,,
team,201312150oti,oti,Sacked-Yards,3-8,,,,,,
team,201312150oti,crd,Net Pass Yards,215,,,,,,
team,201312150oti,oti,Net Pass Yards,394,,,,,,
team,201312150oti,crd,Total Yards,360,,,,,,
team,201312150oti,oti,Total Yards,460,,,,,,
team,201312150oti,crd,Fumbles-Lost,1-0,,,,,,
team,201312150oti,oti,Fumbles-Lost,3-1,,,,,,
team,201312150oti,crd,Turnovers,0,,,,,,
team,201312150oti,oti,Turnovers,3,,,,,,
team,201312150oti,crd,Penalties-Yards,9-69,,,,,,
team,201312150oti,oti,Penalties-Yards,3-16,,,,,,
team,201312150oti,crd,Third Down Conv.,6-12,,,,,,
team,201312150oti,oti,Third Down Conv.,7-14,,,,,,
team,201312150oti,crd,Fourth Down Conv.,0-0,,,,,,
team,201312150oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201312150oti,crd,Time of Possession,30:58,,,,,,
team,201312150oti,oti,Time of Possession,33:44,,,,,,
player,201312150oti,crd,PalmCa00,pass_cmp,20,,,,,
player,201312150oti,crd,PalmCa00,pass_att,30,,,,,
player,201312150oti,crd,PalmCa00,pass_yds,231,,,,,
player,201312150oti,crd,PalmCa00,pass_td,1,,,,,
player,201312150oti,crd,PalmCa00,pass_int,0,,,,,
player,201312150oti,crd,PalmCa00,pass_sacked,2,,,,,
player,201312150oti,crd,PalmCa00,pass_sacked_yds,16,,,,,
player,201312150oti,crd,PalmCa00,pass_long,38,,,,,
player,201312150oti,crd,PalmCa00,pass_rating,100.8,,,,,
player,201312150oti,crd,PalmCa00,rush_att,2,,,,,
player,201312150oti,crd,PalmCa00,rush_yds,-1,,,,,
player,201312150oti,crd,PalmCa00,rush_td,0,,,,,
player,201312150oti,crd,PalmCa00,rush_long,0,,,,,
player,201312150oti,crd,PalmCa00,targets,0,,,,,
player,201312150oti,crd,PalmCa00,rec,0,,,,,
player,201312150oti,crd,PalmCa00,rec_yds,0,,,,,
player,201312150oti,crd,PalmCa00,rec_td,0,,,,,
player,201312150oti,crd,PalmCa00,rec_long,0,,,,,
player,201312150oti,crd,PalmCa00,fumbles,0,,,,,
player,201312150oti,crd,PalmCa00,fumbles_lost,0,,,,,
player,201312150oti,crd,ElliAn00,pass_cmp,0,,,,,
player,201312150oti,crd,ElliAn00,pass_att,0,,,,,
player,201312150oti,crd,ElliAn00,pass_yds,0,,,,,
player,201312150oti,crd,ElliAn00,pass_td,0,,,,,
player,201312150oti,crd,ElliAn00,pass_int,0,,,,,
player,201312150oti,crd,ElliAn00,pass_sacked,0,,,,,
player,201312150oti,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201312150oti,crd,ElliAn00,pass_long,0,,,,,
player,201312150oti,crd,ElliAn00,pass_rating,,,,,,
player,201312150oti,crd,ElliAn00,rush_att,10,,,,,
