game,2013,1,20130909,201309090was,phi,"Philadelphia Eagles",33,was,"Washington Redskins",27
player,201309090was,phi,CeleBr00,pass_int,0,,,,,
player,201309090was,phi,CeleBr00,pass_sacked,0,,,,,
player,201309090was,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201309090was,phi,CeleBr00,pass_long,0,,,,,
player,201309090was,phi,CeleBr00,pass_rating,,,,,,
player,201309090was,phi,CeleBr00,rush_att,0,,,,,
player,201309090was,phi,CeleBr00,rush_yds,0,,,,,
player,201309090was,phi,CeleBr00,rush_td,0,,,,,
player,201309090was,phi,CeleBr00,rush_long,0,,,,,
player,201309090was,phi,CeleBr00,targets,3,,,,,
player,201309090was,phi,CeleBr00,rec,2,,,,,
player,201309090was,phi,CeleBr00,rec_yds,56,,,,,
player,201309090was,phi,CeleBr00,rec_td,1,,,,,
player,201309090was,phi,CeleBr00,rec_long,28,,,,,
player,201309090was,phi,CeleBr00,fumbles,0,,,,,
player,201309090was,phi,CeleBr00,fumbles_lost,0,,,,,
player,201309090was,phi,CoopRi00,pass_cmp,0,,,,,
player,201309090was,phi,CoopRi00,pass_att,0,,,,,
player,201309090was,phi,CoopRi00,pass_yds,0,,,,,
player,201309090was,phi,CoopRi00,pass_td,0,,,,,
player,201309090was,phi,CoopRi00,pass_int,0,,,,,
player,201309090was,phi,CoopRi00,pass_sacked,0,,,,,
player,201309090was,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201309090was,phi,CoopRi00,pass_long,0,,,,,
player,201309090was,phi,CoopRi00,pass_rating,,,,,,
player,201309090was,phi,CoopRi00,rush_att,0,,,,,
player,201309090was,phi,CoopRi00,rush_yds,0,,,,,
player,201309090was,phi,CoopRi00,rush_td,0,,,,,
player,201309090was,phi,CoopRi00,rush_long,0,,,,,
player,201309090was,phi,CoopRi00,targets,6,,,,,
player,201309090was,phi,CoopRi00,rec,2,,,,,
player,201309090was,phi,CoopRi00,rec_yds,14,,,,,
player,201309090was,phi,CoopRi00,rec_td,0,,,,,
player,201309090was,phi,CoopRi00,rec_long,8,,,,,
player,201309090was,phi,CoopRi00,fumbles,0,,,,,
player,201309090was,phi,CoopRi00,fumbles_lost,0,,,,,
player,201309090was,phi,AvanJa00,pass_cmp,0,,,,,
player,201309090was,phi,AvanJa00,pass_att,0,,,,,
player,201309090was,phi,AvanJa00,pass_yds,0,,,,,
player,201309090was,phi,AvanJa00,pass_td,0,,,,,
player,201309090was,phi,AvanJa00,pass_int,0,,,,,
player,201309090was,phi,AvanJa00,pass_sacked,0,,,,,
player,201309090was,phi,AvanJa00,pass_sacked_yds,0,,,,,
player,201309090was,phi,AvanJa00,pass_long,0,,,,,
player,201309090was,phi,AvanJa00,pass_rating,,,,,,
player,201309090was,phi,AvanJa00,rush_att,0,,,,,
player,201309090was,phi,AvanJa00,rush_yds,0,,,,,
player,201309090was,phi,AvanJa00,rush_td,0,,,,,
player,201309090was,phi,AvanJa00,rush_long,0,,,,,
player,201309090was,phi,AvanJa00,targets,3,,,,,
player,201309090was,phi,AvanJa00,rec,2,,,,,
player,201309090was,phi,AvanJa00,rec_yds,13,,,,,
player,201309090was,phi,AvanJa00,rec_td,0,,,,,
player,201309090was,phi,AvanJa00,rec_long,7,,,,,
player,201309090was,phi,AvanJa00,fumbles,1,,,,,
player,201309090was,phi,AvanJa00,fumbles_lost,1,,,,,
player,201309090was,phi,ErtzZa00,pass_cmp,0,,,,,
player,201309090was,phi,ErtzZa00,pass_att,0,,,,,
player,201309090was,phi,ErtzZa00,pass_yds,0,,,,,
player,201309090was,phi,ErtzZa00,pass_td,0,,,,,
player,201309090was,phi,ErtzZa00,pass_int,0,,,,,
player,201309090was,phi,ErtzZa00,pass_sacked,0,,,,,
player,201309090was,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201309090was,phi,ErtzZa00,pass_long,0,,,,,
player,201309090was,phi,ErtzZa00,pass_rating,,,,,,
