game,2013,4,20130929,201309290atl,nwe,"New England Patriots",30,atl,"Atlanta Falcons",23
team,201309290atl,nwe,First Downs,21,,,,,,
team,201309290atl,atl,First Downs,26,,,,,,
team,201309290atl,nwe,Rush-Yds-TDs,31-132-1,,,,,,
team,201309290atl,atl,Rush-Yds-TDs,15-58-0,,,,,,
team,201309290atl,nwe,Cmp-Att-Yd-TD-INT,20-31-316-2-0,,,,,,
team,201309290atl,atl,Cmp-Att-Yd-TD-INT,34-54-421-2-1,,,,,,
team,201309290atl,nwe,Sacked-Yards,0-0,,,,,,
team,201309290atl,atl,Sacked-Yards,2-22,,,,,,
team,201309290atl,nwe,Net Pass Yards,316,,,,,,
team,201309290atl,atl,Net Pass Yards,399,,,,,,
team,201309290atl,nwe,Total Yards,448,,,,,,
team,201309290atl,atl,Total Yards,457,,,,,,
team,201309290atl,nwe,Fumbles-Lost,1-0,,,,,,
team,201309290atl,atl,Fumbles-Lost,1-0,,,,,,
team,201309290atl,nwe,Turnovers,0,,,,,,
team,201309290atl,atl,Turnovers,1,,,,,,
team,201309290atl,nwe,Penalties-Yards,9-93,,,,,,
team,201309290atl,atl,Penalties-Yards,6-55,,,,,,
team,201309290atl,nwe,Third Down Conv.,7-13,,,,,,
team,201309290atl,atl,Third Down Conv.,6-14,,,,,,
team,201309290atl,nwe,Fourth Down Conv.,0-1,,,,,,
team,201309290atl,atl,Fourth Down Conv.,0-2,,,,,,
team,201309290atl,nwe,Time of Possession,30:39,,,,,,
team,201309290atl,atl,Time of Possession,29:21,,,,,,
player,201309290atl,nwe,BradTo00,pass_cmp,20,,,,,
player,201309290atl,nwe,BradTo00,pass_att,31,,,,,
player,201309290atl,nwe,BradTo00,pass_yds,316,,,,,
player,201309290atl,nwe,BradTo00,pass_td,2,,,,,
player,201309290atl,nwe,BradTo00,pass_int,0,,,,,
player,201309290atl,nwe,BradTo00,pass_sacked,0,,,,,
player,201309290atl,nwe,BradTo00,pass_sacked_yds,0,,,,,
player,201309290atl,nwe,BradTo00,pass_long,49,,,,,
player,201309290atl,nwe,BradTo00,pass_rating,119.8,,,,,
player,201309290atl,nwe,BradTo00,rush_att,5,,,,,
player,201309290atl,nwe,BradTo00,rush_yds,-2,,,,,
player,201309290atl,nwe,BradTo00,rush_td,0,,,,,
player,201309290atl,nwe,BradTo00,rush_long,1,,,,,
player,201309290atl,nwe,BradTo00,targets,0,,,,,
player,201309290atl,nwe,BradTo00,rec,0,,,,,
player,201309290atl,nwe,BradTo00,rec_yds,0,,,,,
player,201309290atl,nwe,BradTo00,rec_td,0,,,,,
player,201309290atl,nwe,BradTo00,rec_long,0,,,,,
player,201309290atl,nwe,BradTo00,fumbles,1,,,,,
player,201309290atl,nwe,BradTo00,fumbles_lost,0,,,,,
player,201309290atl,nwe,BlouLe00,pass_cmp,0,,,,,
player,201309290atl,nwe,BlouLe00,pass_att,0,,,,,
player,201309290atl,nwe,BlouLe00,pass_yds,0,,,,,
player,201309290atl,nwe,BlouLe00,pass_td,0,,,,,
player,201309290atl,nwe,BlouLe00,pass_int,0,,,,,
player,201309290atl,nwe,BlouLe00,pass_sacked,0,,,,,
player,201309290atl,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201309290atl,nwe,BlouLe00,pass_long,0,,,,,
player,201309290atl,nwe,BlouLe00,pass_rating,,,,,,
player,201309290atl,nwe,BlouLe00,rush_att,9,,,,,
player,201309290atl,nwe,BlouLe00,rush_yds,64,,,,,
player,201309290atl,nwe,BlouLe00,rush_td,1,,,,,
player,201309290atl,nwe,BlouLe00,rush_long,47,,,,,
player,201309290atl,nwe,BlouLe00,targets,0,,,,,
player,201309290atl,nwe,BlouLe00,rec,0,,,,,
player,201309290atl,nwe,BlouLe00,rec_yds,0,,,,,
player,201309290atl,nwe,BlouLe00,rec_td,0,,,,,
player,201309290atl,nwe,BlouLe00,rec_long,0,,,,,
player,201309290atl,nwe,BlouLe00,fumbles,0,,,,,
player,201309290atl,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201309290atl,nwe,RidlSt00,pass_cmp,0,,,,,
