game,2013,17,20131229,201312290dal,phi,"Philadelphia Eagles",24,dal,"Dallas Cowboys",22
team,201312290dal,phi,First Downs,21,,,,,,
team,201312290dal,dal,First Downs,21,,,,,,
team,201312290dal,phi,Rush-Yds-TDs,34-137-1,,,,,,
team,201312290dal,dal,Rush-Yds-TDs,18-56-0,,,,,,
team,201312290dal,phi,Cmp-Att-Yd-TD-INT,17-27-263-2-0,,,,,,
team,201312290dal,dal,Cmp-Att-Yd-TD-INT,30-46-358-2-2,,,,,,
team,201312290dal,phi,Sacked-Yards,5-34,,,,,,
team,201312290dal,dal,Sacked-Yards,0-0,,,,,,
team,201312290dal,phi,Net Pass Yards,229,,,,,,
team,201312290dal,dal,Net Pass Yards,358,,,,,,
team,201312290dal,phi,Total Yards,366,,,,,,
team,201312290dal,dal,Total Yards,414,,,,,,
team,201312290dal,phi,Fumbles-Lost,1-1,,,,,,
team,201312290dal,dal,Fumbles-Lost,2-1,,,,,,
team,201312290dal,phi,Turnovers,1,,,,,,
team,201312290dal,dal,Turnovers,3,,,,,,
team,201312290dal,phi,Penalties-Yards,6-50,,,,,,
team,201312290dal,dal,Penalties-Yards,1-5,,,,,,
team,201312290dal,phi,Third Down Conv.,5-13,,,,,,
team,201312290dal,dal,Third Down Conv.,3-11,,,,,,
team,201312290dal,phi,Fourth Down Conv.,0-1,,,,,,
team,201312290dal,dal,Fourth Down Conv.,1-2,,,,,,
team,201312290dal,phi,Time of Possession,29:43,,,,,,
team,201312290dal,dal,Time of Possession,30:17,,,,,,
player,201312290dal,phi,FoleNi00,pass_cmp,17,,,,,
player,201312290dal,phi,FoleNi00,pass_att,26,,,,,
player,201312290dal,phi,FoleNi00,pass_yds,263,,,,,
player,201312290dal,phi,FoleNi00,pass_td,2,,,,,
player,201312290dal,phi,FoleNi00,pass_int,0,,,,,
player,201312290dal,phi,FoleNi00,pass_sacked,5,,,,,
player,201312290dal,phi,FoleNi00,pass_sacked_yds,34,,,,,
player,201312290dal,phi,FoleNi00,pass_long,35,,,,,
player,201312290dal,phi,FoleNi00,pass_rating,124.4,,,,,
player,201312290dal,phi,FoleNi00,rush_att,5,,,,,
player,201312290dal,phi,FoleNi00,rush_yds,-5,,,,,
player,201312290dal,phi,FoleNi00,rush_td,0,,,,,
player,201312290dal,phi,FoleNi00,rush_long,0,,,,,
player,201312290dal,phi,FoleNi00,targets,0,,,,,
player,201312290dal,phi,FoleNi00,rec,0,,,,,
player,201312290dal,phi,FoleNi00,rec_yds,0,,,,,
player,201312290dal,phi,FoleNi00,rec_td,0,,,,,
player,201312290dal,phi,FoleNi00,rec_long,0,,,,,
player,201312290dal,phi,FoleNi00,fumbles,1,,,,,
player,201312290dal,phi,FoleNi00,fumbles_lost,1,,,,,
player,201312290dal,phi,SmitBr01,pass_cmp,0,,,,,
player,201312290dal,phi,SmitBr01,pass_att,1,,,,,
player,201312290dal,phi,SmitBr01,pass_yds,0,,,,,
player,201312290dal,phi,SmitBr01,pass_td,0,,,,,
player,201312290dal,phi,SmitBr01,pass_int,0,,,,,
player,201312290dal,phi,SmitBr01,pass_sacked,0,,,,,
player,201312290dal,phi,SmitBr01,pass_sacked_yds,0,,,,,
player,201312290dal,phi,SmitBr01,pass_long,0,,,,,
player,201312290dal,phi,SmitBr01,pass_rating,39.6,,,,,
player,201312290dal,phi,SmitBr01,rush_att,0,,,,,
player,201312290dal,phi,SmitBr01,rush_yds,0,,,,,
player,201312290dal,phi,SmitBr01,rush_td,0,,,,,
player,201312290dal,phi,SmitBr01,rush_long,0,,,,,
player,201312290dal,phi,SmitBr01,targets,0,,,,,
player,201312290dal,phi,SmitBr01,rec,0,,,,,
player,201312290dal,phi,SmitBr01,rec_yds,0,,,,,
player,201312290dal,phi,SmitBr01,rec_td,0,,,,,
player,201312290dal,phi,SmitBr01,rec_long,0,,,,,
player,201312290dal,phi,SmitBr01,fumbles,0,,,,,
player,201312290dal,phi,SmitBr01,fumbles_lost,0,,,,,
player,201312290dal,phi,McCoLe01,pass_cmp,0,,,,,
player,201312290dal,phi,McCoLe01,pass_att,0,,,,,
player,201312290dal,phi,McCoLe01,pass_yds,0,,,,,
player,201312290dal,phi,McCoLe01,pass_td,0,,,,,
player,201312290dal,phi,McCoLe01,pass_int,0,,,,,
player,201312290dal,phi,McCoLe01,pass_sacked,0,,,,,
player,201312290dal,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201312290dal,phi,McCoLe01,pass_long,0,,,,,
player,201312290dal,phi,McCoLe01,pass_rating,,,,,,
player,201312290dal,phi,McCoLe01,rush_att,27,,,,,
player,201312290dal,phi,McCoLe01,rush_yds,131,,,,,
player,201312290dal,phi,McCoLe01,rush_td,0,,,,,
player,201312290dal,phi,McCoLe01,rush_long,20,,,,,
player,201312290dal,phi,McCoLe01,targets,2,,,,,
player,201312290dal,phi,McCoLe01,rec,1,,,,,
player,201312290dal,phi,McCoLe01,rec_yds,3,,,,,
player,201312290dal,phi,McCoLe01,rec_td,1,,,,,
player,201312290dal,phi,McCoLe01,rec_long,3,,,,,
player,201312290dal,phi,McCoLe01,fumbles,0,,,,,
player,201312290dal,phi,McCoLe01,fumbles_lost,0,,,,,
player,201312290dal,phi,BrowBr02,pass_cmp,0,,,,,
player,201312290dal,phi,BrowBr02,pass_att,0,,,,,
player,201312290dal,phi,BrowBr02,pass_yds,0,,,,,
player,201312290dal,phi,BrowBr02,pass_td,0,,,,,
player,201312290dal,phi,BrowBr02,pass_int,0,,,,,
player,201312290dal,phi,BrowBr02,pass_sacked,0,,,,,
player,201312290dal,phi,BrowBr02,pass_sacked_yds,0,,,,,
player,201312290dal,phi,BrowBr02,pass_long,0,,,,,
player,201312290dal,phi,BrowBr02,pass_rating,,,,,,
player,201312290dal,phi,BrowBr02,rush_att,2,,,,,
player,201312290dal,phi,BrowBr02,rush_yds,11,,,,,
player,201312290dal,phi,BrowBr02,rush_td,1,,,,,
player,201312290dal,phi,BrowBr02,rush_long,6,,,,,
player,201312290dal,phi,BrowBr02,targets,0,,,,,
player,201312290dal,phi,BrowBr02,rec,0,,,,,
player,201312290dal,phi,BrowBr02,rec_yds,0,,,,,
player,201312290dal,phi,BrowBr02,rec_td,0,,,,,
player,201312290dal,phi,BrowBr02,rec_long,0,,,,,
player,201312290dal,phi,BrowBr02,fumbles,0,,,,,
player,201312290dal,phi,BrowBr02,fumbles_lost,0,,,,,
