game,2013,6,20131013,201310130rav,gnb,"Green Bay Packers",19,rav,"Baltimore Ravens",17
team,201310130rav,gnb,First Downs,15,,,,,,
team,201310130rav,rav,First Downs,15,,,,,,
team,201310130rav,gnb,Rush-Yds-TDs,30-140-0,,,,,,
team,201310130rav,rav,Rush-Yds-TDs,22-47-0,,,,,,
team,201310130rav,gnb,Cmp-Att-Yd-TD-INT,17-32-315-1-1,,,,,,
team,201310130rav,rav,Cmp-Att-Yd-TD-INT,20-34-342-2-0,,,,,,
team,201310130rav,gnb,Sacked-Yards,3-17,,,,,,
team,201310130rav,rav,Sacked-Yards,5-29,,,,,,
team,201310130rav,gnb,Net Pass Yards,298,,,,,,
team,201310130rav,rav,Net Pass Yards,313,,,,,,
team,201310130rav,gnb,Total Yards,438,,,,,,
team,201310130rav,rav,Total Yards,360,,,,,,
team,201310130rav,gnb,Fumbles-Lost,3-1,,,,,,
team,201310130rav,rav,Fumbles-Lost,3-1,,,,,,
team,201310130rav,gnb,Turnovers,2,,,,,,
team,201310130rav,rav,Turnovers,1,,,,,,
team,201310130rav,gnb,Penalties-Yards,8-55,,,,,,
team,201310130rav,rav,Penalties-Yards,6-40,,,,,,
team,201310130rav,gnb,Third Down Conv.,6-17,,,,,,
team,201310130rav,rav,Third Down Conv.,2-14,,,,,,
team,201310130rav,gnb,Fourth Down Conv.,0-0,,,,,,
team,201310130rav,rav,Fourth Down Conv.,1-2,,,,,,
team,201310130rav,gnb,Time of Possession,31:22,,,,,,
team,201310130rav,rav,Time of Possession,28:38,,,,,,
player,201310130rav,gnb,RodgAa00,pass_cmp,17,,,,,
player,201310130rav,gnb,RodgAa00,pass_att,32,,,,,
player,201310130rav,gnb,RodgAa00,pass_yds,315,,,,,
player,201310130rav,gnb,RodgAa00,pass_td,1,,,,,
player,201310130rav,gnb,RodgAa00,pass_int,1,,,,,
player,201310130rav,gnb,RodgAa00,pass_sacked,3,,,,,
player,201310130rav,gnb,RodgAa00,pass_sacked_yds,17,,,,,
player,201310130rav,gnb,RodgAa00,pass_long,64,,,,,
player,201310130rav,gnb,RodgAa00,pass_rating,84.8,,,,,
player,201310130rav,gnb,RodgAa00,rush_att,5,,,,,
player,201310130rav,gnb,RodgAa00,rush_yds,21,,,,,
player,201310130rav,gnb,RodgAa00,rush_td,0,,,,,
player,201310130rav,gnb,RodgAa00,rush_long,12,,,,,
player,201310130rav,gnb,RodgAa00,targets,0,,,,,
player,201310130rav,gnb,RodgAa00,rec,0,,,,,
player,201310130rav,gnb,RodgAa00,rec_yds,0,,,,,
player,201310130rav,gnb,RodgAa00,rec_td,0,,,,,
player,201310130rav,gnb,RodgAa00,rec_long,0,,,,,
player,201310130rav,gnb,RodgAa00,fumbles,2,,,,,
player,201310130rav,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201310130rav,gnb,LacyEd00,pass_cmp,0,,,,,
player,201310130rav,gnb,LacyEd00,pass_att,0,,,,,
player,201310130rav,gnb,LacyEd00,pass_yds,0,,,,,
player,201310130rav,gnb,LacyEd00,pass_td,0,,,,,
player,201310130rav,gnb,LacyEd00,pass_int,0,,,,,
player,201310130rav,gnb,LacyEd00,pass_sacked,0,,,,,
player,201310130rav,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201310130rav,gnb,LacyEd00,pass_long,0,,,,,
player,201310130rav,gnb,LacyEd00,pass_rating,,,,,,
player,201310130rav,gnb,LacyEd00,rush_att,23,,,,,
player,201310130rav,gnb,LacyEd00,rush_yds,120,,,,,
player,201310130rav,gnb,LacyEd00,rush_td,0,,,,,
player,201310130rav,gnb,LacyEd00,rush_long,37,,,,,
player,201310130rav,gnb,LacyEd00,targets,1,,,,,
player,201310130rav,gnb,LacyEd00,rec,1,,,,,
player,201310130rav,gnb,LacyEd00,rec_yds,5,,,,,
