game,2013,2,20130915,201309150crd,det,"Detroit Lions",21,crd,"Arizona Cardinals",25
team,201309150crd,det,First Downs,16,,,,,,
team,201309150crd,crd,First Downs,24,,,,,,
team,201309150crd,det,Rush-Yds-TDs,20-49-0,,,,,,
team,201309150crd,crd,Rush-Yds-TDs,25-87-1,,,,,,
team,201309150crd,det,Cmp-Att-Yd-TD-INT,24-36-278-2-0,,,,,,
team,201309150crd,crd,Cmp-Att-Yd-TD-INT,23-40-265-1-1,,,,,,
team,201309150crd,det,Sacked-Yards,1-5,,,,,,
team,201309150crd,crd,Sacked-Yards,1-4,,,,,,
team,201309150crd,det,Net Pass Yards,273,,,,,,
team,201309150crd,crd,Net Pass Yards,261,,,,,,
team,201309150crd,det,Total Yards,322,,,,,,
team,201309150crd,crd,Total Yards,348,,,,,,
team,201309150crd,det,Fumbles-Lost,1-1,,,,,,
team,201309150crd,crd,Fumbles-Lost,0-0,,,,,,
team,201309150crd,det,Turnovers,1,,,,,,
team,201309150crd,crd,Turnovers,1,,,,,,
team,201309150crd,det,Penalties-Yards,8-101,,,,,,
team,201309150crd,crd,Penalties-Yards,7-40,,,,,,
team,201309150crd,det,Third Down Conv.,3-11,,,,,,
team,201309150crd,crd,Third Down Conv.,1-11,,,,,,
team,201309150crd,det,Fourth Down Conv.,0-1,,,,,,
team,201309150crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201309150crd,det,Time of Possession,28:41,,,,,,
team,201309150crd,crd,Time of Possession,31:19,,,,,,
player,201309150crd,det,StafMa00,pass_cmp,24,,,,,
player,201309150crd,det,StafMa00,pass_att,36,,,,,
player,201309150crd,det,StafMa00,pass_yds,278,,,,,
player,201309150crd,det,StafMa00,pass_td,2,,,,,
player,201309150crd,det,StafMa00,pass_int,0,,,,,
player,201309150crd,det,StafMa00,pass_sacked,1,,,,,
player,201309150crd,det,StafMa00,pass_sacked_yds,5,,,,,
player,201309150crd,det,StafMa00,pass_long,72,,,,,
player,201309150crd,det,StafMa00,pass_rating,108.3,,,,,
