game,2013,3,20130922,201309220mia,atl,"Atlanta Falcons",23,mia,"Miami Dolphins",27
team,201309220mia,atl,First Downs,24,,,,,,
team,201309220mia,mia,First Downs,16,,,,,,
team,201309220mia,atl,Rush-Yds-TDs,30-146-0,,,,,,
team,201309220mia,mia,Rush-Yds-TDs,15-90-1,,,,,,
team,201309220mia,atl,Cmp-Att-Yd-TD-INT,23-38-231-2-1,,,,,,
team,201309220mia,mia,Cmp-Att-Yd-TD-INT,24-35-236-2-1,,,,,,
team,201309220mia,atl,Sacked-Yards,0-0,,,,,,
team,201309220mia,mia,Sacked-Yards,5-41,,,,,,
team,201309220mia,atl,Net Pass Yards,231,,,,,,
team,201309220mia,mia,Net Pass Yards,195,,,,,,
team,201309220mia,atl,Total Yards,377,,,,,,
team,201309220mia,mia,Total Yards,285,,,,,,
team,201309220mia,atl,Fumbles-Lost,1-1,,,,,,
team,201309220mia,mia,Fumbles-Lost,2-1,,,,,,
team,201309220mia,atl,Turnovers,2,,,,,,
team,201309220mia,mia,Turnovers,2,,,,,,
team,201309220mia,atl,Penalties-Yards,7-59,,,,,,
team,201309220mia,mia,Penalties-Yards,2-13,,,,,,
team,201309220mia,atl,Third Down Conv.,5-11,,,,,,
team,201309220mia,mia,Third Down Conv.,7-12,,,,,,
team,201309220mia,atl,Fourth Down Conv.,0-0,,,,,,
team,201309220mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201309220mia,atl,Time of Possession,37:09,,,,,,
team,201309220mia,mia,Time of Possession,22:51,,,,,,
player,201309220mia,atl,RyanMa00,pass_cmp,23,,,,,
player,201309220mia,atl,RyanMa00,pass_att,38,,,,,
player,201309220mia,atl,RyanMa00,pass_yds,231,,,,,
player,201309220mia,atl,RyanMa00,pass_td,2,,,,,
player,201309220mia,atl,RyanMa00,pass_int,1,,,,,
player,201309220mia,atl,RyanMa00,pass_sacked,0,,,,,
player,201309220mia,atl,RyanMa00,pass_sacked_yds,0,,,,,
player,201309220mia,atl,RyanMa00,pass_long,34,,,,,
player,201309220mia,atl,RyanMa00,pass_rating,84.4,,,,,
player,201309220mia,atl,RyanMa00,rush_att,0,,,,,
player,201309220mia,atl,RyanMa00,rush_yds,0,,,,,
player,201309220mia,atl,RyanMa00,rush_td,0,,,,,
player,201309220mia,atl,RyanMa00,rush_long,0,,,,,
player,201309220mia,atl,RyanMa00,targets,0,,,,,
player,201309220mia,atl,RyanMa00,rec,0,,,,,
player,201309220mia,atl,RyanMa00,rec_yds,0,,,,,
player,201309220mia,atl,RyanMa00,rec_td,0,,,,,
player,201309220mia,atl,RyanMa00,rec_long,0,,,,,
player,201309220mia,atl,RyanMa00,fumbles,0,,,,,
player,201309220mia,atl,RyanMa00,fumbles_lost,0,,,,,
player,201309220mia,atl,RodgJa00,pass_cmp,0,,,,,
player,201309220mia,atl,RodgJa00,pass_att,0,,,,,
player,201309220mia,atl,RodgJa00,pass_yds,0,,,,,
player,201309220mia,atl,RodgJa00,pass_td,0,,,,,
player,201309220mia,atl,RodgJa00,pass_int,0,,,,,
player,201309220mia,atl,RodgJa00,pass_sacked,0,,,,,
player,201309220mia,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201309220mia,atl,RodgJa00,pass_long,0,,,,,
player,201309220mia,atl,RodgJa00,pass_rating,,,,,,
player,201309220mia,atl,RodgJa00,rush_att,18,,,,,
player,201309220mia,atl,RodgJa00,rush_yds,86,,,,,
player,201309220mia,atl,RodgJa00,rush_td,0,,,,,
player,201309220mia,atl,RodgJa00,rush_long,18,,,,,
player,201309220mia,atl,RodgJa00,targets,3,,,,,
player,201309220mia,atl,RodgJa00,rec,2,,,,,
player,201309220mia,atl,RodgJa00,rec_yds,7,,,,,
player,201309220mia,atl,RodgJa00,rec_td,0,,,,,
player,201309220mia,atl,RodgJa00,rec_long,8,,,,,
player,201309220mia,atl,RodgJa00,fumbles,0,,,,,
player,201309220mia,atl,RodgJa00,fumbles_lost,0,,,,,
player,201309220mia,atl,SnelJa00,pass_cmp,0,,,,,
player,201309220mia,atl,SnelJa00,pass_att,0,,,,,
player,201309220mia,atl,SnelJa00,pass_yds,0,,,,,
player,201309220mia,atl,SnelJa00,pass_td,0,,,,,
player,201309220mia,atl,SnelJa00,pass_int,0,,,,,
player,201309220mia,atl,SnelJa00,pass_sacked,0,,,,,
player,201309220mia,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201309220mia,atl,SnelJa00,pass_long,0,,,,,
player,201309220mia,atl,SnelJa00,pass_rating,,,,,,
player,201309220mia,atl,SnelJa00,rush_att,11,,,,,
player,201309220mia,atl,SnelJa00,rush_yds,53,,,,,
