game,2013,3,20130922,201309220min,cle,"Cleveland Browns",31,min,"Minnesota Vikings",27
team,201309220min,cle,First Downs,23,,,,,,
team,201309220min,min,First Downs,21,,,,,,
team,201309220min,cle,Rush-Yds-TDs,17-103-0,,,,,,
team,201309220min,min,Rush-Yds-TDs,31-134-3,,,,,,
team,201309220min,cle,Cmp-Att-Yd-TD-INT,31-55-332-4-3,,,,,,
team,201309220min,min,Cmp-Att-Yd-TD-INT,25-42-228-0-1,,,,,,
team,201309220min,cle,Sacked-Yards,3-26,,,,,,
team,201309220min,min,Sacked-Yards,6-33,,,,,,
team,201309220min,cle,Net Pass Yards,306,,,,,,
team,201309220min,min,Net Pass Yards,195,,,,,,
team,201309220min,cle,Total Yards,409,,,,,,
team,201309220min,min,Total Yards,329,,,,,,
team,201309220min,cle,Fumbles-Lost,1-1,,,,,,
team,201309220min,min,Fumbles-Lost,3-2,,,,,,
team,201309220min,cle,Turnovers,4,,,,,,
team,201309220min,min,Turnovers,3,,,,,,
team,201309220min,cle,Penalties-Yards,5-47,,,,,,
team,201309220min,min,Penalties-Yards,4-35,,,,,,
team,201309220min,cle,Third Down Conv.,6-15,,,,,,
team,201309220min,min,Third Down Conv.,8-17,,,,,,
team,201309220min,cle,Fourth Down Conv.,2-3,,,,,,
team,201309220min,min,Fourth Down Conv.,0-0,,,,,,
team,201309220min,cle,Time of Possession,28:52,,,,,,
team,201309220min,min,Time of Possession,31:08,,,,,,
player,201309220min,cle,HoyeBr00,pass_cmp,30,,,,,
player,201309220min,cle,HoyeBr00,pass_att,54,,,,,
player,201309220min,cle,HoyeBr00,pass_yds,321,,,,,
player,201309220min,cle,HoyeBr00,pass_td,3,,,,,
player,201309220min,cle,HoyeBr00,pass_int,3,,,,,
player,201309220min,cle,HoyeBr00,pass_sacked,3,,,,,
player,201309220min,cle,HoyeBr00,pass_sacked_yds,26,,,,,
player,201309220min,cle,HoyeBr00,pass_long,47,,,,,
player,201309220min,cle,HoyeBr00,pass_rating,68.5,,,,,
player,201309220min,cle,HoyeBr00,rush_att,1,,,,,
player,201309220min,cle,HoyeBr00,rush_yds,-2,,,,,
player,201309220min,cle,HoyeBr00,rush_td,0,,,,,
player,201309220min,cle,HoyeBr00,rush_long,-2,,,,,
player,201309220min,cle,HoyeBr00,targets,0,,,,,
player,201309220min,cle,HoyeBr00,rec,0,,,,,
player,201309220min,cle,HoyeBr00,rec_yds,0,,,,,
player,201309220min,cle,HoyeBr00,rec_td,0,,,,,
player,201309220min,cle,HoyeBr00,rec_long,0,,,,,
player,201309220min,cle,HoyeBr00,fumbles,0,,,,,
player,201309220min,cle,HoyeBr00,fumbles_lost,0,,,,,
player,201309220min,cle,LannSp00,pass_cmp,1,,,,,
player,201309220min,cle,LannSp00,pass_att,1,,,,,
player,201309220min,cle,LannSp00,pass_yds,11,,,,,
player,201309220min,cle,LannSp00,pass_td,1,,,,,
player,201309220min,cle,LannSp00,pass_int,0,,,,,
player,201309220min,cle,LannSp00,pass_sacked,0,,,,,
player,201309220min,cle,LannSp00,pass_sacked_yds,0,,,,,
player,201309220min,cle,LannSp00,pass_long,11,,,,,
player,201309220min,cle,LannSp00,pass_rating,152.1,,,,,
player,201309220min,cle,LannSp00,rush_att,0,,,,,
player,201309220min,cle,LannSp00,rush_yds,0,,,,,
player,201309220min,cle,LannSp00,rush_td,0,,,,,
player,201309220min,cle,LannSp00,rush_long,0,,,,,
player,201309220min,cle,LannSp00,targets,0,,,,,
player,201309220min,cle,LannSp00,rec,0,,,,,
player,201309220min,cle,LannSp00,rec_yds,0,,,,,
player,201309220min,cle,LannSp00,rec_td,0,,,,,
player,201309220min,cle,LannSp00,rec_long,0,,,,,
player,201309220min,cle,LannSp00,fumbles,0,,,,,
player,201309220min,cle,LannSp00,fumbles_lost,0,,,,,
player,201309220min,cle,AubrJo00,pass_cmp,0,,,,,
player,201309220min,cle,AubrJo00,pass_att,0,,,,,
player,201309220min,cle,AubrJo00,pass_yds,0,,,,,
player,201309220min,cle,AubrJo00,pass_td,0,,,,,
player,201309220min,cle,AubrJo00,pass_int,0,,,,,
player,201309220min,cle,AubrJo00,pass_sacked,0,,,,,
player,201309220min,cle,AubrJo00,pass_sacked_yds,0,,,,,
player,201309220min,cle,AubrJo00,pass_long,0,,,,,
player,201309220min,cle,AubrJo00,pass_rating,,,,,,
player,201309220min,cle,AubrJo00,rush_att,1,,,,,
player,201309220min,cle,AubrJo00,rush_yds,34,,,,,
player,201309220min,cle,AubrJo00,rush_td,0,,,,,
player,201309220min,cle,AubrJo00,rush_long,34,,,,,
player,201309220min,cle,AubrJo00,targets,0,,,,,
player,201309220min,cle,AubrJo00,rec,0,,,,,
player,201309220min,cle,AubrJo00,rec_yds,0,,,,,
player,201309220min,cle,AubrJo00,rec_td,0,,,,,
player,201309220min,cle,AubrJo00,rec_long,0,,,,,
player,201309220min,cle,AubrJo00,fumbles,0,,,,,
player,201309220min,cle,AubrJo00,fumbles_lost,0,,,,,
player,201309220min,cle,OgboCh00,pass_cmp,0,,,,,
player,201309220min,cle,OgboCh00,pass_att,0,,,,,
player,201309220min,cle,OgboCh00,pass_yds,0,,,,,
player,201309220min,cle,OgboCh00,pass_td,0,,,,,
player,201309220min,cle,OgboCh00,pass_int,0,,,,,
player,201309220min,cle,OgboCh00,pass_sacked,0,,,,,
player,201309220min,cle,OgboCh00,pass_sacked_yds,0,,,,,
player,201309220min,cle,OgboCh00,pass_long,0,,,,,
player,201309220min,cle,OgboCh00,pass_rating,,,,,,
player,201309220min,cle,OgboCh00,rush_att,2,,,,,
player,201309220min,cle,OgboCh00,rush_yds,23,,,,,
player,201309220min,cle,OgboCh00,rush_td,0,,,,,
player,201309220min,cle,OgboCh00,rush_long,22,,,,,
player,201309220min,cle,OgboCh00,targets,5,,,,,
player,201309220min,cle,OgboCh00,rec,4,,,,,
player,201309220min,cle,OgboCh00,rec_yds,30,,,,,
player,201309220min,cle,OgboCh00,rec_td,0,,,,,
player,201309220min,cle,OgboCh00,rec_long,11,,,,,
player,201309220min,cle,OgboCh00,fumbles,0,,,,,
player,201309220min,cle,OgboCh00,fumbles_lost,0,,,,,
player,201309220min,cle,GordJo02,pass_cmp,0,,,,,
player,201309220min,cle,GordJo02,pass_att,0,,,,,
player,201309220min,cle,GordJo02,pass_yds,0,,,,,
player,201309220min,cle,GordJo02,pass_td,0,,,,,
player,201309220min,cle,GordJo02,pass_int,0,,,,,
player,201309220min,cle,GordJo02,pass_sacked,0,,,,,
player,201309220min,cle,GordJo02,pass_sacked_yds,0,,,,,
player,201309220min,cle,GordJo02,pass_long,0,,,,,
player,201309220min,cle,GordJo02,pass_rating,,,,,,
player,201309220min,cle,GordJo02,rush_att,1,,,,,
player,201309220min,cle,GordJo02,rush_yds,22,,,,,
player,201309220min,cle,GordJo02,rush_td,0,,,,,
player,201309220min,cle,GordJo02,rush_long,22,,,,,
player,201309220min,cle,GordJo02,targets,19,,,,,
player,201309220min,cle,GordJo02,rec,10,,,,,
player,201309220min,cle,GordJo02,rec_yds,146,,,,,
player,201309220min,cle,GordJo02,rec_td,1,,,,,
player,201309220min,cle,GordJo02,rec_long,47,,,,,
player,201309220min,cle,GordJo02,fumbles,0,,,,,
player,201309220min,cle,GordJo02,fumbles_lost,0,,,,,
player,201309220min,cle,RainBo00,pass_cmp,0,,,,,
player,201309220min,cle,RainBo00,pass_att,0,,,,,
player,201309220min,cle,RainBo00,pass_yds,0,,,,,
player,201309220min,cle,RainBo00,pass_td,0,,,,,
player,201309220min,cle,RainBo00,pass_int,0,,,,,
player,201309220min,cle,RainBo00,pass_sacked,0,,,,,
player,201309220min,cle,RainBo00,pass_sacked_yds,0,,,,,
player,201309220min,cle,RainBo00,pass_long,0,,,,,
player,201309220min,cle,RainBo00,pass_rating,,,,,,
player,201309220min,cle,RainBo00,rush_att,4,,,,,
player,201309220min,cle,RainBo00,rush_yds,17,,,,,
player,201309220min,cle,RainBo00,rush_td,0,,,,,
player,201309220min,cle,RainBo00,rush_long,6,,,,,
player,201309220min,cle,RainBo00,targets,1,,,,,
player,201309220min,cle,RainBo00,rec,1,,,,,
player,201309220min,cle,RainBo00,rec_yds,4,,,,,
player,201309220min,cle,RainBo00,rec_td,0,,,,,
player,201309220min,cle,RainBo00,rec_long,4,,,,,
player,201309220min,cle,RainBo00,fumbles,0,,,,,
player,201309220min,cle,RainBo00,fumbles_lost,0,,,,,
player,201309220min,cle,McGaWi00,pass_cmp,0,,,,,
player,201309220min,cle,McGaWi00,pass_att,0,,,,,
player,201309220min,cle,McGaWi00,pass_yds,0,,,,,
player,201309220min,cle,McGaWi00,pass_td,0,,,,,
player,201309220min,cle,McGaWi00,pass_int,0,,,,,
player,201309220min,cle,McGaWi00,pass_sacked,0,,,,,
player,201309220min,cle,McGaWi00,pass_sacked_yds,0,,,,,
