game,2013,3,20130922,201309220dal,ram,"St. Louis Rams",7,dal,"Dallas Cowboys",31
team,201309220dal,ram,First Downs,17,,,,,,
team,201309220dal,dal,First Downs,21,,,,,,
team,201309220dal,ram,Rush-Yds-TDs,12-35-0,,,,,,
team,201309220dal,dal,Rush-Yds-TDs,34-193-1,,,,,,
team,201309220dal,ram,Cmp-Att-Yd-TD-INT,29-49-240-1-0,,,,,,
team,201309220dal,dal,Cmp-Att-Yd-TD-INT,17-24-210-3-0,,,,,,
team,201309220dal,ram,Sacked-Yards,6-43,,,,,,
team,201309220dal,dal,Sacked-Yards,1-7,,,,,,
team,201309220dal,ram,Net Pass Yards,197,,,,,,
team,201309220dal,dal,Net Pass Yards,203,,,,,,
team,201309220dal,ram,Total Yards,232,,,,,,
team,201309220dal,dal,Total Yards,396,,,,,,
team,201309220dal,ram,Fumbles-Lost,1-1,,,,,,
team,201309220dal,dal,Fumbles-Lost,2-1,,,,,,
team,201309220dal,ram,Turnovers,1,,,,,,
team,201309220dal,dal,Turnovers,1,,,,,,
team,201309220dal,ram,Penalties-Yards,5-41,,,,,,
team,201309220dal,dal,Penalties-Yards,6-72,,,,,,
team,201309220dal,ram,Third Down Conv.,1-13,,,,,,
team,201309220dal,dal,Third Down Conv.,5-11,,,,,,
team,201309220dal,ram,Fourth Down Conv.,3-6,,,,,,
team,201309220dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201309220dal,ram,Time of Possession,26:32,,,,,,
team,201309220dal,dal,Time of Possession,33:28,,,,,,
player,201309220dal,ram,BradSa00,pass_cmp,29,,,,,
player,201309220dal,ram,BradSa00,pass_att,48,,,,,
player,201309220dal,ram,BradSa00,pass_yds,240,,,,,
player,201309220dal,ram,BradSa00,pass_td,1,,,,,
player,201309220dal,ram,BradSa00,pass_int,0,,,,,
player,201309220dal,ram,BradSa00,pass_sacked,6,,,,,
player,201309220dal,ram,BradSa00,pass_sacked_yds,43,,,,,
player,201309220dal,ram,BradSa00,pass_long,29,,,,,
player,201309220dal,ram,BradSa00,pass_rating,80.2,,,,,
player,201309220dal,ram,BradSa00,rush_att,0,,,,,
player,201309220dal,ram,BradSa00,rush_yds,0,,,,,
player,201309220dal,ram,BradSa00,rush_td,0,,,,,
player,201309220dal,ram,BradSa00,rush_long,0,,,,,
player,201309220dal,ram,BradSa00,targets,0,,,,,
player,201309220dal,ram,BradSa00,rec,0,,,,,
player,201309220dal,ram,BradSa00,rec_yds,0,,,,,
player,201309220dal,ram,BradSa00,rec_td,0,,,,,
player,201309220dal,ram,BradSa00,rec_long,0,,,,,
player,201309220dal,ram,BradSa00,fumbles,0,,,,,
player,201309220dal,ram,BradSa00,fumbles_lost,0,,,,,
player,201309220dal,ram,HekkJo00,pass_cmp,0,,,,,
player,201309220dal,ram,HekkJo00,pass_att,1,,,,,
player,201309220dal,ram,HekkJo00,pass_yds,0,,,,,
player,201309220dal,ram,HekkJo00,pass_td,0,,,,,
player,201309220dal,ram,HekkJo00,pass_int,0,,,,,
player,201309220dal,ram,HekkJo00,pass_sacked,0,,,,,
player,201309220dal,ram,HekkJo00,pass_sacked_yds,0,,,,,
player,201309220dal,ram,HekkJo00,pass_long,0,,,,,
player,201309220dal,ram,HekkJo00,pass_rating,39.6,,,,,
player,201309220dal,ram,HekkJo00,rush_att,0,,,,,
player,201309220dal,ram,HekkJo00,rush_yds,0,,,,,
player,201309220dal,ram,HekkJo00,rush_td,0,,,,,
player,201309220dal,ram,HekkJo00,rush_long,0,,,,,
player,201309220dal,ram,HekkJo00,targets,0,,,,,
player,201309220dal,ram,HekkJo00,rec,0,,,,,
player,201309220dal,ram,HekkJo00,rec_yds,0,,,,,
player,201309220dal,ram,HekkJo00,rec_td,0,,,,,
player,201309220dal,ram,HekkJo00,rec_long,0,,,,,
player,201309220dal,ram,HekkJo00,fumbles,0,,,,,
player,201309220dal,ram,HekkJo00,fumbles_lost,0,,,,,
player,201309220dal,ram,PeadIs00,pass_cmp,0,,,,,
player,201309220dal,ram,PeadIs00,pass_att,0,,,,,
player,201309220dal,ram,PeadIs00,pass_yds,0,,,,,
player,201309220dal,ram,PeadIs00,pass_td,0,,,,,
