game,2013,5,20131006,201310060sfo,htx,"Houston Texans",3,sfo,"San Francisco 49ers",34
team,201310060sfo,htx,First Downs,17,,,,,,
team,201310060sfo,sfo,First Downs,17,,,,,,
team,201310060sfo,htx,Rush-Yds-TDs,30-131-0,,,,,,
team,201310060sfo,sfo,Rush-Yds-TDs,36-177-2,,,,,,
team,201310060sfo,htx,Cmp-Att-Yd-TD-INT,22-40-188-0-3,,,,,,
team,201310060sfo,sfo,Cmp-Att-Yd-TD-INT,6-15-113-1-0,,,,,,
team,201310060sfo,htx,Sacked-Yards,1-6,,,,,,
team,201310060sfo,sfo,Sacked-Yards,1-6,,,,,,
team,201310060sfo,htx,Net Pass Yards,182,,,,,,
team,201310060sfo,sfo,Net Pass Yards,107,,,,,,
team,201310060sfo,htx,Total Yards,313,,,,,,
team,201310060sfo,sfo,Total Yards,284,,,,,,
team,201310060sfo,htx,Fumbles-Lost,2-1,,,,,,
team,201310060sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201310060sfo,htx,Turnovers,4,,,,,,
team,201310060sfo,sfo,Turnovers,0,,,,,,
team,201310060sfo,htx,Penalties-Yards,7-52,,,,,,
team,201310060sfo,sfo,Penalties-Yards,3-17,,,,,,
team,201310060sfo,htx,Third Down Conv.,6-16,,,,,,
team,201310060sfo,sfo,Third Down Conv.,4-11,,,,,,
team,201310060sfo,htx,Fourth Down Conv.,2-3,,,,,,
team,201310060sfo,sfo,Fourth Down Conv.,0-1,,,,,,
team,201310060sfo,htx,Time of Possession,33:52,,,,,,
team,201310060sfo,sfo,Time of Possession,26:08,,,,,,
player,201310060sfo,htx,SchaMa00,pass_cmp,19,,,,,
player,201310060sfo,htx,SchaMa00,pass_att,35,,,,,
player,201310060sfo,htx,SchaMa00,pass_yds,173,,,,,
player,201310060sfo,htx,SchaMa00,pass_td,0,,,,,
player,201310060sfo,htx,SchaMa00,pass_int,3,,,,,
player,201310060sfo,htx,SchaMa00,pass_sacked,1,,,,,
player,201310060sfo,htx,SchaMa00,pass_sacked_yds,6,,,,,
player,201310060sfo,htx,SchaMa00,pass_long,19,,,,,
player,201310060sfo,htx,SchaMa00,pass_rating,32.2,,,,,
player,201310060sfo,htx,SchaMa00,rush_att,0,,,,,
player,201310060sfo,htx,SchaMa00,rush_yds,0,,,,,
player,201310060sfo,htx,SchaMa00,rush_td,0,,,,,
player,201310060sfo,htx,SchaMa00,rush_long,0,,,,,
player,201310060sfo,htx,SchaMa00,targets,0,,,,,
player,201310060sfo,htx,SchaMa00,rec,0,,,,,
player,201310060sfo,htx,SchaMa00,rec_yds,0,,,,,
player,201310060sfo,htx,SchaMa00,rec_td,0,,,,,
player,201310060sfo,htx,SchaMa00,rec_long,0,,,,,
player,201310060sfo,htx,SchaMa00,fumbles,0,,,,,
player,201310060sfo,htx,SchaMa00,fumbles_lost,0,,,,,
player,201310060sfo,htx,YateT.00,pass_cmp,3,,,,,
player,201310060sfo,htx,YateT.00,pass_att,5,,,,,
player,201310060sfo,htx,YateT.00,pass_yds,15,,,,,
player,201310060sfo,htx,YateT.00,pass_td,0,,,,,
player,201310060sfo,htx,YateT.00,pass_int,0,,,,,
player,201310060sfo,htx,YateT.00,pass_sacked,0,,,,,
player,201310060sfo,htx,YateT.00,pass_sacked_yds,0,,,,,
player,201310060sfo,htx,YateT.00,pass_long,5,,,,,
player,201310060sfo,htx,YateT.00,pass_rating,64.6,,,,,
player,201310060sfo,htx,YateT.00,rush_att,1,,,,,
player,201310060sfo,htx,YateT.00,rush_yds,0,,,,,
player,201310060sfo,htx,YateT.00,rush_td,0,,,,,
player,201310060sfo,htx,YateT.00,rush_long,0,,,,,
player,201310060sfo,htx,YateT.00,targets,0,,,,,
player,201310060sfo,htx,YateT.00,rec,0,,,,,
player,201310060sfo,htx,YateT.00,rec_yds,0,,,,,
player,201310060sfo,htx,YateT.00,rec_td,0,,,,,
player,201310060sfo,htx,YateT.00,rec_long,0,,,,,
player,201310060sfo,htx,YateT.00,fumbles,0,,,,,
player,201310060sfo,htx,YateT.00,fumbles_lost,0,,,,,
player,201310060sfo,htx,FostAr00,pass_cmp,0,,,,,
player,201310060sfo,htx,FostAr00,pass_att,0,,,,,
player,201310060sfo,htx,FostAr00,pass_yds,0,,,,,
player,201310060sfo,htx,FostAr00,pass_td,0,,,,,
player,201310060sfo,htx,FostAr00,pass_int,0,,,,,
player,201310060sfo,htx,FostAr00,pass_sacked,0,,,,,
player,201310060sfo,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201310060sfo,htx,FostAr00,pass_long,0,,,,,
player,201310060sfo,htx,FostAr00,pass_rating,,,,,,
player,201310060sfo,htx,FostAr00,rush_att,21,,,,,
player,201310060sfo,htx,FostAr00,rush_yds,98,,,,,
player,201310060sfo,htx,FostAr00,rush_td,0,,,,,
player,201310060sfo,htx,FostAr00,rush_long,17,,,,,
player,201310060sfo,htx,FostAr00,targets,5,,,,,
player,201310060sfo,htx,FostAr00,rec,4,,,,,
player,201310060sfo,htx,FostAr00,rec_yds,20,,,,,
player,201310060sfo,htx,FostAr00,rec_td,0,,,,,
player,201310060sfo,htx,FostAr00,rec_long,9,,,,,
player,201310060sfo,htx,FostAr00,fumbles,0,,,,,
player,201310060sfo,htx,FostAr00,fumbles_lost,0,,,,,
player,201310060sfo,htx,TateBe00,pass_cmp,0,,,,,
player,201310060sfo,htx,TateBe00,pass_att,0,,,,,
player,201310060sfo,htx,TateBe00,pass_yds,0,,,,,
player,201310060sfo,htx,TateBe00,pass_td,0,,,,,
player,201310060sfo,htx,TateBe00,pass_int,0,,,,,
player,201310060sfo,htx,TateBe00,pass_sacked,0,,,,,
player,201310060sfo,htx,TateBe00,pass_sacked_yds,0,,,,,
player,201310060sfo,htx,TateBe00,pass_long,0,,,,,
player,201310060sfo,htx,TateBe00,pass_rating,,,,,,
player,201310060sfo,htx,TateBe00,rush_att,7,,,,,
player,201310060sfo,htx,TateBe00,rush_yds,28,,,,,
player,201310060sfo,htx,TateBe00,rush_td,0,,,,,
player,201310060sfo,htx,TateBe00,rush_long,11,,,,,
player,201310060sfo,htx,TateBe00,targets,2,,,,,
player,201310060sfo,htx,TateBe00,rec,2,,,,,
player,201310060sfo,htx,TateBe00,rec_yds,12,,,,,
player,201310060sfo,htx,TateBe00,rec_td,0,,,,,
player,201310060sfo,htx,TateBe00,rec_long,8,,,,,
player,201310060sfo,htx,TateBe00,fumbles,1,,,,,
player,201310060sfo,htx,TateBe00,fumbles_lost,1,,,,,
player,201310060sfo,htx,WoodCi00,pass_cmp,0,,,,,
player,201310060sfo,htx,WoodCi00,pass_att,0,,,,,
player,201310060sfo,htx,WoodCi00,pass_yds,0,,,,,
player,201310060sfo,htx,WoodCi00,pass_td,0,,,,,
player,201310060sfo,htx,WoodCi00,pass_int,0,,,,,
player,201310060sfo,htx,WoodCi00,pass_sacked,0,,,,,
player,201310060sfo,htx,WoodCi00,pass_sacked_yds,0,,,,,
player,201310060sfo,htx,WoodCi00,pass_long,0,,,,,
player,201310060sfo,htx,WoodCi00,pass_rating,,,,,,
player,201310060sfo,htx,WoodCi00,rush_att,1,,,,,
player,201310060sfo,htx,WoodCi00,rush_yds,5,,,,,
player,201310060sfo,htx,WoodCi00,rush_td,0,,,,,
player,201310060sfo,htx,WoodCi00,rush_long,5,,,,,
player,201310060sfo,htx,WoodCi00,targets,0,,,,,
player,201310060sfo,htx,WoodCi00,rec,0,,,,,
player,201310060sfo,htx,WoodCi00,rec_yds,0,,,,,
player,201310060sfo,htx,WoodCi00,rec_td,0,,,,,
player,201310060sfo,htx,WoodCi00,rec_long,0,,,,,
player,201310060sfo,htx,WoodCi00,fumbles,0,,,,,
player,201310060sfo,htx,WoodCi00,fumbles_lost,0,,,,,
player,201310060sfo,htx,DaniOw00,pass_cmp,0,,,,,
player,201310060sfo,htx,DaniOw00,pass_att,0,,,,,
player,201310060sfo,htx,DaniOw00,pass_yds,0,,,,,
player,201310060sfo,htx,DaniOw00,pass_td,0,,,,,
player,201310060sfo,htx,DaniOw00,pass_int,0,,,,,
player,201310060sfo,htx,DaniOw00,pass_sacked,0,,,,,
player,201310060sfo,htx,DaniOw00,pass_sacked_yds,0,,,,,
player,201310060sfo,htx,DaniOw00,pass_long,0,,,,,
player,201310060sfo,htx,DaniOw00,pass_rating,,,,,,
player,201310060sfo,htx,DaniOw00,rush_att,0,,,,,
player,201310060sfo,htx,DaniOw00,rush_yds,0,,,,,
player,201310060sfo,htx,DaniOw00,rush_td,0,,,,,
player,201310060sfo,htx,DaniOw00,rush_long,0,,,,,
player,201310060sfo,htx,DaniOw00,targets,9,,,,,
player,201310060sfo,htx,DaniOw00,rec,6,,,,,
player,201310060sfo,htx,DaniOw00,rec_yds,60,,,,,
player,201310060sfo,htx,DaniOw00,rec_td,0,,,,,
player,201310060sfo,htx,DaniOw00,rec_long,19,,,,,
player,201310060sfo,htx,DaniOw00,fumbles,0,,,,,
player,201310060sfo,htx,DaniOw00,fumbles_lost,0,,,,,
player,201310060sfo,htx,JohnAn02,pass_cmp,0,,,,,
