game,2013,7,20131020,201310200atl,tam,"Tampa Bay Buccaneers",23,atl,"Atlanta Falcons",31
team,201310200atl,tam,First Downs,23,,,,,,
team,201310200atl,atl,First Downs,15,,,,,,
team,201310200atl,tam,Rush-Yds-TDs,28-111-0,,,,,,
team,201310200atl,atl,Rush-Yds-TDs,18-18-0,,,,,,
team,201310200atl,tam,Cmp-Att-Yd-TD-INT,26-44-256-2-0,,,,,,
team,201310200atl,atl,Cmp-Att-Yd-TD-INT,20-26-273-3-0,,,,,,
team,201310200atl,tam,Sacked-Yards,3-30,,,,,,
team,201310200atl,atl,Sacked-Yards,0-0,,,,,,
team,201310200atl,tam,Net Pass Yards,226,,,,,,
team,201310200atl,atl,Net Pass Yards,273,,,,,,
team,201310200atl,tam,Total Yards,337,,,,,,
team,201310200atl,atl,Total Yards,291,,,,,,
team,201310200atl,tam,Fumbles-Lost,2-1,,,,,,
team,201310200atl,atl,Fumbles-Lost,1-1,,,,,,
team,201310200atl,tam,Turnovers,1,,,,,,
team,201310200atl,atl,Turnovers,1,,,,,,
team,201310200atl,tam,Penalties-Yards,11-103,,,,,,
team,201310200atl,atl,Penalties-Yards,9-101,,,,,,
team,201310200atl,tam,Third Down Conv.,5-17,,,,,,
team,201310200atl,atl,Third Down Conv.,3-9,,,,,,
team,201310200atl,tam,Fourth Down Conv.,3-3,,,,,,
team,201310200atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201310200atl,tam,Time of Possession,37:49,,,,,,
team,201310200atl,atl,Time of Possession,22:11,,,,,,
player,201310200atl,tam,GlenMi00,pass_cmp,26,,,,,
player,201310200atl,tam,GlenMi00,pass_att,44,,,,,
player,201310200atl,tam,GlenMi00,pass_yds,256,,,,,
player,201310200atl,tam,GlenMi00,pass_td,2,,,,,
player,201310200atl,tam,GlenMi00,pass_int,0,,,,,
player,201310200atl,tam,GlenMi00,pass_sacked,3,,,,,
player,201310200atl,tam,GlenMi00,pass_sacked_yds,30,,,,,
player,201310200atl,tam,GlenMi00,pass_long,59,,,,,
player,201310200atl,tam,GlenMi00,pass_rating,90.7,,,,,
player,201310200atl,tam,GlenMi00,rush_att,1,,,,,
player,201310200atl,tam,GlenMi00,rush_yds,13,,,,,
player,201310200atl,tam,GlenMi00,rush_td,0,,,,,
player,201310200atl,tam,GlenMi00,rush_long,13,,,,,
player,201310200atl,tam,GlenMi00,targets,0,,,,,
player,201310200atl,tam,GlenMi00,rec,0,,,,,
player,201310200atl,tam,GlenMi00,rec_yds,0,,,,,
player,201310200atl,tam,GlenMi00,rec_td,0,,,,,
player,201310200atl,tam,GlenMi00,rec_long,0,,,,,
player,201310200atl,tam,GlenMi00,fumbles,1,,,,,
player,201310200atl,tam,GlenMi00,fumbles_lost,1,,,,,
player,201310200atl,tam,MartDo00,pass_cmp,0,,,,,
player,201310200atl,tam,MartDo00,pass_att,0,,,,,
player,201310200atl,tam,MartDo00,pass_yds,0,,,,,
player,201310200atl,tam,MartDo00,pass_td,0,,,,,
player,201310200atl,tam,MartDo00,pass_int,0,,,,,
player,201310200atl,tam,MartDo00,pass_sacked,0,,,,,
player,201310200atl,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201310200atl,tam,MartDo00,pass_long,0,,,,,
player,201310200atl,tam,MartDo00,pass_rating,,,,,,
player,201310200atl,tam,MartDo00,rush_att,11,,,,,
player,201310200atl,tam,MartDo00,rush_yds,47,,,,,
player,201310200atl,tam,MartDo00,rush_td,0,,,,,
player,201310200atl,tam,MartDo00,rush_long,16,,,,,
player,201310200atl,tam,MartDo00,targets,3,,,,,
player,201310200atl,tam,MartDo00,rec,1,,,,,
player,201310200atl,tam,MartDo00,rec_yds,7,,,,,
player,201310200atl,tam,MartDo00,rec_td,0,,,,,
player,201310200atl,tam,MartDo00,rec_long,7,,,,,
player,201310200atl,tam,MartDo00,fumbles,0,,,,,
player,201310200atl,tam,MartDo00,fumbles_lost,0,,,,,
player,201310200atl,tam,JameMi00,pass_cmp,0,,,,,
player,201310200atl,tam,JameMi00,pass_att,0,,,,,
player,201310200atl,tam,JameMi00,pass_yds,0,,,,,
player,201310200atl,tam,JameMi00,pass_td,0,,,,,
player,201310200atl,tam,JameMi00,pass_int,0,,,,,
player,201310200atl,tam,JameMi00,pass_sacked,0,,,,,
player,201310200atl,tam,JameMi00,pass_sacked_yds,0,,,,,
player,201310200atl,tam,JameMi00,pass_long,0,,,,,
player,201310200atl,tam,JameMi00,pass_rating,,,,,,
player,201310200atl,tam,JameMi00,rush_att,14,,,,,
player,201310200atl,tam,JameMi00,rush_yds,45,,,,,
player,201310200atl,tam,JameMi00,rush_td,0,,,,,
player,201310200atl,tam,JameMi00,rush_long,11,,,,,
player,201310200atl,tam,JameMi00,targets,3,,,,,
player,201310200atl,tam,JameMi00,rec,3,,,,,
player,201310200atl,tam,JameMi00,rec_yds,8,,,,,
player,201310200atl,tam,JameMi00,rec_td,0,,,,,
player,201310200atl,tam,JameMi00,rec_long,8,,,,,
player,201310200atl,tam,JameMi00,fumbles,0,,,,,
player,201310200atl,tam,JameMi00,fumbles_lost,0,,,,,
player,201310200atl,tam,LeonBr00,pass_cmp,0,,,,,
player,201310200atl,tam,LeonBr00,pass_att,0,,,,,
player,201310200atl,tam,LeonBr00,pass_yds,0,,,,,
player,201310200atl,tam,LeonBr00,pass_td,0,,,,,
player,201310200atl,tam,LeonBr00,pass_int,0,,,,,
player,201310200atl,tam,LeonBr00,pass_sacked,0,,,,,
player,201310200atl,tam,LeonBr00,pass_sacked_yds,0,,,,,
player,201310200atl,tam,LeonBr00,pass_long,0,,,,,
player,201310200atl,tam,LeonBr00,pass_rating,,,,,,
player,201310200atl,tam,LeonBr00,rush_att,2,,,,,
player,201310200atl,tam,LeonBr00,rush_yds,6,,,,,
player,201310200atl,tam,LeonBr00,rush_td,0,,,,,
player,201310200atl,tam,LeonBr00,rush_long,3,,,,,
player,201310200atl,tam,LeonBr00,targets,2,,,,,
player,201310200atl,tam,LeonBr00,rec,1,,,,,
player,201310200atl,tam,LeonBr00,rec_yds,9,,,,,
player,201310200atl,tam,LeonBr00,rec_td,0,,,,,
player,201310200atl,tam,LeonBr00,rec_long,9,,,,,
player,201310200atl,tam,LeonBr00,fumbles,0,,,,,
player,201310200atl,tam,LeonBr00,fumbles_lost,0,,,,,
player,201310200atl,tam,JackVi00,pass_cmp,0,,,,,
player,201310200atl,tam,JackVi00,pass_att,0,,,,,
player,201310200atl,tam,JackVi00,pass_yds,0,,,,,
player,201310200atl,tam,JackVi00,pass_td,0,,,,,
player,201310200atl,tam,JackVi00,pass_int,0,,,,,
player,201310200atl,tam,JackVi00,pass_sacked,0,,,,,
player,201310200atl,tam,JackVi00,pass_sacked_yds,0,,,,,
player,201310200atl,tam,JackVi00,pass_long,0,,,,,
player,201310200atl,tam,JackVi00,pass_rating,,,,,,
player,201310200atl,tam,JackVi00,rush_att,0,,,,,
player,201310200atl,tam,JackVi00,rush_yds,0,,,,,
player,201310200atl,tam,JackVi00,rush_td,0,,,,,
player,201310200atl,tam,JackVi00,rush_long,0,,,,,
player,201310200atl,tam,JackVi00,targets,22,,,,,
player,201310200atl,tam,JackVi00,rec,10,,,,,
player,201310200atl,tam,JackVi00,rec_yds,138,,,,,
player,201310200atl,tam,JackVi00,rec_td,2,,,,,
player,201310200atl,tam,JackVi00,rec_long,59,,,,,
player,201310200atl,tam,JackVi00,fumbles,1,,,,,
player,201310200atl,tam,JackVi00,fumbles_lost,0,,,,,
player,201310200atl,tam,WillMi04,pass_cmp,0,,,,,
player,201310200atl,tam,WillMi04,pass_att,0,,,,,
player,201310200atl,tam,WillMi04,pass_yds,0,,,,,
player,201310200atl,tam,WillMi04,pass_td,0,,,,,
