game,2013,10,20131110,201311100clt,ram,"St. Louis Rams",38,clt,"Indianapolis Colts",8
team,201311100clt,ram,First Downs,12,,,,,,
team,201311100clt,clt,First Downs,21,,,,,,
team,201311100clt,ram,Rush-Yds-TDs,37-140-1,,,,,,
team,201311100clt,clt,Rush-Yds-TDs,14-18-0,,,,,,
team,201311100clt,ram,Cmp-Att-Yd-TD-INT,9-16-247-2-0,,,,,,
team,201311100clt,clt,Cmp-Att-Yd-TD-INT,31-52-421-1-4,,,,,,
team,201311100clt,ram,Sacked-Yards,2-15,,,,,,
team,201311100clt,clt,Sacked-Yards,3-33,,,,,,
team,201311100clt,ram,Net Pass Yards,232,,,,,,
team,201311100clt,clt,Net Pass Yards,388,,,,,,
team,201311100clt,ram,Total Yards,372,,,,,,
team,201311100clt,clt,Total Yards,406,,,,,,
team,201311100clt,ram,Fumbles-Lost,2-1,,,,,,
team,201311100clt,clt,Fumbles-Lost,1-1,,,,,,
team,201311100clt,ram,Turnovers,1,,,,,,
team,201311100clt,clt,Turnovers,5,,,,,,
team,201311100clt,ram,Penalties-Yards,8-46,,,,,,
team,201311100clt,clt,Penalties-Yards,2-20,,,,,,
team,201311100clt,ram,Third Down Conv.,7-15,,,,,,
team,201311100clt,clt,Third Down Conv.,2-12,,,,,,
team,201311100clt,ram,Fourth Down Conv.,0-1,,,,,,
team,201311100clt,clt,Fourth Down Conv.,0-2,,,,,,
team,201311100clt,ram,Time of Possession,30:38,,,,,,
team,201311100clt,clt,Time of Possession,29:22,,,,,,
player,201311100clt,ram,ClemKe00,pass_cmp,9,,,,,
player,201311100clt,ram,ClemKe00,pass_att,16,,,,,
player,201311100clt,ram,ClemKe00,pass_yds,247,,,,,
player,201311100clt,ram,ClemKe00,pass_td,2,,,,,
player,201311100clt,ram,ClemKe00,pass_int,0,,,,,
player,201311100clt,ram,ClemKe00,pass_sacked,2,,,,,
player,201311100clt,ram,ClemKe00,pass_sacked_yds,15,,,,,
player,201311100clt,ram,ClemKe00,pass_long,81,,,,,
player,201311100clt,ram,ClemKe00,pass_rating,140.6,,,,,
player,201311100clt,ram,ClemKe00,rush_att,3,,,,,
player,201311100clt,ram,ClemKe00,rush_yds,2,,,,,
player,201311100clt,ram,ClemKe00,rush_td,0,,,,,
player,201311100clt,ram,ClemKe00,rush_long,2,,,,,
player,201311100clt,ram,ClemKe00,targets,0,,,,,
player,201311100clt,ram,ClemKe00,rec,0,,,,,
player,201311100clt,ram,ClemKe00,rec_yds,0,,,,,
player,201311100clt,ram,ClemKe00,rec_td,0,,,,,
player,201311100clt,ram,ClemKe00,rec_long,0,,,,,
player,201311100clt,ram,ClemKe00,fumbles,1,,,,,
player,201311100clt,ram,ClemKe00,fumbles_lost,1,,,,,
player,201311100clt,ram,CunnBe01,pass_cmp,0,,,,,
player,201311100clt,ram,CunnBe01,pass_att,0,,,,,
player,201311100clt,ram,CunnBe01,pass_yds,0,,,,,
player,201311100clt,ram,CunnBe01,pass_td,0,,,,,
player,201311100clt,ram,CunnBe01,pass_int,0,,,,,
player,201311100clt,ram,CunnBe01,pass_sacked,0,,,,,
player,201311100clt,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201311100clt,ram,CunnBe01,pass_long,0,,,,,
player,201311100clt,ram,CunnBe01,pass_rating,,,,,,
player,201311100clt,ram,CunnBe01,rush_att,7,,,,,
player,201311100clt,ram,CunnBe01,rush_yds,72,,,,,
player,201311100clt,ram,CunnBe01,rush_td,0,,,,,
player,201311100clt,ram,CunnBe01,rush_long,56,,,,,
player,201311100clt,ram,CunnBe01,targets,1,,,,,
player,201311100clt,ram,CunnBe01,rec,1,,,,,
player,201311100clt,ram,CunnBe01,rec_yds,18,,,,,
player,201311100clt,ram,CunnBe01,rec_td,0,,,,,
player,201311100clt,ram,CunnBe01,rec_long,18,,,,,
player,201311100clt,ram,CunnBe01,fumbles,0,,,,,
player,201311100clt,ram,CunnBe01,fumbles_lost,0,,,,,
player,201311100clt,ram,StacZa00,pass_cmp,0,,,,,
player,201311100clt,ram,StacZa00,pass_att,0,,,,,
player,201311100clt,ram,StacZa00,pass_yds,0,,,,,
player,201311100clt,ram,StacZa00,pass_td,0,,,,,
player,201311100clt,ram,StacZa00,pass_int,0,,,,,
player,201311100clt,ram,StacZa00,pass_sacked,0,,,,,
player,201311100clt,ram,StacZa00,pass_sacked_yds,0,,,,,
player,201311100clt,ram,StacZa00,pass_long,0,,,,,
player,201311100clt,ram,StacZa00,pass_rating,,,,,,
player,201311100clt,ram,StacZa00,rush_att,26,,,,,
player,201311100clt,ram,StacZa00,rush_yds,62,,,,,
player,201311100clt,ram,StacZa00,rush_td,1,,,,,
player,201311100clt,ram,StacZa00,rush_long,9,,,,,
player,201311100clt,ram,StacZa00,targets,3,,,,,
player,201311100clt,ram,StacZa00,rec,2,,,,,
player,201311100clt,ram,StacZa00,rec_yds,6,,,,,
player,201311100clt,ram,StacZa00,rec_td,0,,,,,
player,201311100clt,ram,StacZa00,rec_long,4,,,,,
player,201311100clt,ram,StacZa00,fumbles,0,,,,,
player,201311100clt,ram,StacZa00,fumbles_lost,0,,,,,
player,201311100clt,ram,AustTa00,pass_cmp,0,,,,,
player,201311100clt,ram,AustTa00,pass_att,0,,,,,
player,201311100clt,ram,AustTa00,pass_yds,0,,,,,
player,201311100clt,ram,AustTa00,pass_td,0,,,,,
player,201311100clt,ram,AustTa00,pass_int,0,,,,,
player,201311100clt,ram,AustTa00,pass_sacked,0,,,,,
player,201311100clt,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201311100clt,ram,AustTa00,pass_long,0,,,,,
player,201311100clt,ram,AustTa00,pass_rating,,,,,,
player,201311100clt,ram,AustTa00,rush_att,1,,,,,
player,201311100clt,ram,AustTa00,rush_yds,4,,,,,
player,201311100clt,ram,AustTa00,rush_td,0,,,,,
player,201311100clt,ram,AustTa00,rush_long,4,,,,,
player,201311100clt,ram,AustTa00,targets,3,,,,,
player,201311100clt,ram,AustTa00,rec,2,,,,,
player,201311100clt,ram,AustTa00,rec_yds,138,,,,,
player,201311100clt,ram,AustTa00,rec_td,2,,,,,
player,201311100clt,ram,AustTa00,rec_long,81,,,,,
player,201311100clt,ram,AustTa00,fumbles,1,,,,,
player,201311100clt,ram,AustTa00,fumbles_lost,0,,,,,
player,201311100clt,ram,GiveCh00,pass_cmp,0,,,,,
player,201311100clt,ram,GiveCh00,pass_att,0,,,,,
player,201311100clt,ram,GiveCh00,pass_yds,0,,,,,
player,201311100clt,ram,GiveCh00,pass_td,0,,,,,
player,201311100clt,ram,GiveCh00,pass_int,0,,,,,
player,201311100clt,ram,GiveCh00,pass_sacked,0,,,,,
player,201311100clt,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201311100clt,ram,GiveCh00,pass_long,0,,,,,
player,201311100clt,ram,GiveCh00,pass_rating,,,,,,
player,201311100clt,ram,GiveCh00,rush_att,0,,,,,
player,201311100clt,ram,GiveCh00,rush_yds,0,,,,,
player,201311100clt,ram,GiveCh00,rush_td,0,,,,,
player,201311100clt,ram,GiveCh00,rush_long,0,,,,,
player,201311100clt,ram,GiveCh00,targets,4,,,,,
player,201311100clt,ram,GiveCh00,rec,2,,,,,
player,201311100clt,ram,GiveCh00,rec_yds,54,,,,,
player,201311100clt,ram,GiveCh00,rec_td,0,,,,,
player,201311100clt,ram,GiveCh00,rec_long,35,,,,,
player,201311100clt,ram,GiveCh00,fumbles,0,,,,,
player,201311100clt,ram,GiveCh00,fumbles_lost,0,,,,,
player,201311100clt,ram,CookJa02,pass_cmp,0,,,,,
player,201311100clt,ram,CookJa02,pass_att,0,,,,,
player,201311100clt,ram,CookJa02,pass_yds,0,,,,,
player,201311100clt,ram,CookJa02,pass_td,0,,,,,
player,201311100clt,ram,CookJa02,pass_int,0,,,,,
player,201311100clt,ram,CookJa02,pass_sacked,0,,,,,
player,201311100clt,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201311100clt,ram,CookJa02,pass_long,0,,,,,
player,201311100clt,ram,CookJa02,pass_rating,,,,,,
player,201311100clt,ram,CookJa02,rush_att,0,,,,,
player,201311100clt,ram,CookJa02,rush_yds,0,,,,,
player,201311100clt,ram,CookJa02,rush_td,0,,,,,
player,201311100clt,ram,CookJa02,rush_long,0,,,,,
player,201311100clt,ram,CookJa02,targets,2,,,,,
player,201311100clt,ram,CookJa02,rec,1,,,,,
player,201311100clt,ram,CookJa02,rec_yds,17,,,,,
player,201311100clt,ram,CookJa02,rec_td,0,,,,,
player,201311100clt,ram,CookJa02,rec_long,17,,,,,
player,201311100clt,ram,CookJa02,fumbles,0,,,,,
player,201311100clt,ram,CookJa02,fumbles_lost,0,,,,,
player,201311100clt,ram,HarkCo00,pass_cmp,0,,,,,
player,201311100clt,ram,HarkCo00,pass_att,0,,,,,
player,201311100clt,ram,HarkCo00,pass_yds,0,,,,,
player,201311100clt,ram,HarkCo00,pass_td,0,,,,,
player,201311100clt,ram,HarkCo00,pass_int,0,,,,,
player,201311100clt,ram,HarkCo00,pass_sacked,0,,,,,
player,201311100clt,ram,HarkCo00,pass_sacked_yds,0,,,,,
player,201311100clt,ram,HarkCo00,pass_long,0,,,,,
player,201311100clt,ram,HarkCo00,pass_rating,,,,,,
player,201311100clt,ram,HarkCo00,rush_att,0,,,,,
player,201311100clt,ram,HarkCo00,rush_yds,0,,,,,
player,201311100clt,ram,HarkCo00,rush_td,0,,,,,
player,201311100clt,ram,HarkCo00,rush_long,0,,,,,
player,201311100clt,ram,HarkCo00,targets,3,,,,,
player,201311100clt,ram,HarkCo00,rec,1,,,,,
player,201311100clt,ram,HarkCo00,rec_yds,14,,,,,
player,201311100clt,ram,HarkCo00,rec_td,0,,,,,
player,201311100clt,ram,HarkCo00,rec_long,14,,,,,
player,201311100clt,ram,HarkCo00,fumbles,0,,,,,
player,201311100clt,ram,HarkCo00,fumbles_lost,0,,,,,
player,201311100clt,clt,LuckAn00,pass_cmp,29,,,,,
player,201311100clt,clt,LuckAn00,pass_att,47,,,,,
player,201311100clt,clt,LuckAn00,pass_yds,353,,,,,
player,201311100clt,clt,LuckAn00,pass_td,1,,,,,
player,201311100clt,clt,LuckAn00,pass_int,3,,,,,
player,201311100clt,clt,LuckAn00,pass_sacked,3,,,,,
player,201311100clt,clt,LuckAn00,pass_sacked_yds,33,,,,,
player,201311100clt,clt,LuckAn00,pass_long,65,,,,,
player,201311100clt,clt,LuckAn00,pass_rating,65.3,,,,,
player,201311100clt,clt,LuckAn00,rush_att,4,,,,,
player,201311100clt,clt,LuckAn00,rush_yds,17,,,,,
player,201311100clt,clt,LuckAn00,rush_td,0,,,,,
player,201311100clt,clt,LuckAn00,rush_long,7,,,,,
player,201311100clt,clt,LuckAn00,targets,0,,,,,
player,201311100clt,clt,LuckAn00,rec,0,,,,,
player,201311100clt,clt,LuckAn00,rec_yds,0,,,,,
player,201311100clt,clt,LuckAn00,rec_td,0,,,,,
player,201311100clt,clt,LuckAn00,rec_long,0,,,,,
player,201311100clt,clt,LuckAn00,fumbles,1,,,,,
player,201311100clt,clt,LuckAn00,fumbles_lost,1,,,,,
player,201311100clt,clt,HassMa00,pass_cmp,2,,,,,
player,201311100clt,clt,HassMa00,pass_att,5,,,,,
player,201311100clt,clt,HassMa00,pass_yds,68,,,,,
player,201311100clt,clt,HassMa00,pass_td,0,,,,,
player,201311100clt,clt,HassMa00,pass_int,1,,,,,
player,201311100clt,clt,HassMa00,pass_sacked,0,,,,,
player,201311100clt,clt,HassMa00,pass_sacked_yds,0,,,,,
player,201311100clt,clt,HassMa00,pass_long,57,,,,,
player,201311100clt,clt,HassMa00,pass_rating,47.9,,,,,
player,201311100clt,clt,HassMa00,rush_att,1,,,,,
player,201311100clt,clt,HassMa00,rush_yds,-1,,,,,
player,201311100clt,clt,HassMa00,rush_td,0,,,,,
player,201311100clt,clt,HassMa00,rush_long,-1,,,,,
player,201311100clt,clt,HassMa00,targets,0,,,,,
player,201311100clt,clt,HassMa00,rec,0,,,,,
player,201311100clt,clt,HassMa00,rec_yds,0,,,,,
player,201311100clt,clt,HassMa00,rec_td,0,,,,,
player,201311100clt,clt,HassMa00,rec_long,0,,,,,
player,201311100clt,clt,HassMa00,fumbles,0,,,,,
player,201311100clt,clt,HassMa00,fumbles_lost,0,,,,,
player,201311100clt,clt,RichTr00,pass_cmp,0,,,,,
player,201311100clt,clt,RichTr00,pass_att,0,,,,,
player,201311100clt,clt,RichTr00,pass_yds,0,,,,,
player,201311100clt,clt,RichTr00,pass_td,0,,,,,
player,201311100clt,clt,RichTr00,pass_int,0,,,,,
player,201311100clt,clt,RichTr00,pass_sacked,0,,,,,
player,201311100clt,clt,RichTr00,pass_sacked_yds,0,,,,,
player,201311100clt,clt,RichTr00,pass_long,0,,,,,
player,201311100clt,clt,RichTr00,pass_rating,,,,,,
player,201311100clt,clt,RichTr00,rush_att,5,,,,,
player,201311100clt,clt,RichTr00,rush_yds,2,,,,,
player,201311100clt,clt,RichTr00,rush_td,0,,,,,
player,201311100clt,clt,RichTr00,rush_long,5,,,,,
player,201311100clt,clt,RichTr00,targets,5,,,,,
player,201311100clt,clt,RichTr00,rec,3,,,,,
player,201311100clt,clt,RichTr00,rec_yds,33,,,,,
player,201311100clt,clt,RichTr00,rec_td,0,,,,,
player,201311100clt,clt,RichTr00,rec_long,20,,,,,
player,201311100clt,clt,RichTr00,fumbles,0,,,,,
player,201311100clt,clt,RichTr00,fumbles_lost,0,,,,,
player,201311100clt,clt,HaviSt00,pass_cmp,0,,,,,
player,201311100clt,clt,HaviSt00,pass_att,0,,,,,
player,201311100clt,clt,HaviSt00,pass_yds,0,,,,,
player,201311100clt,clt,HaviSt00,pass_td,0,,,,,
player,201311100clt,clt,HaviSt00,pass_int,0,,,,,
player,201311100clt,clt,HaviSt00,pass_sacked,0,,,,,
player,201311100clt,clt,HaviSt00,pass_sacked_yds,0,,,,,
player,201311100clt,clt,HaviSt00,pass_long,0,,,,,
player,201311100clt,clt,HaviSt00,pass_rating,,,,,,
player,201311100clt,clt,HaviSt00,rush_att,1,,,,,
player,201311100clt,clt,HaviSt00,rush_yds,1,,,,,
player,201311100clt,clt,HaviSt00,rush_td,0,,,,,
player,201311100clt,clt,HaviSt00,rush_long,1,,,,,
player,201311100clt,clt,HaviSt00,targets,4,,,,,
player,201311100clt,clt,HaviSt00,rec,3,,,,,
player,201311100clt,clt,HaviSt00,rec_yds,25,,,,,
player,201311100clt,clt,HaviSt00,rec_td,0,,,,,
player,201311100clt,clt,HaviSt00,rec_long,13,,,,,
player,201311100clt,clt,HaviSt00,fumbles,0,,,,,
player,201311100clt,clt,HaviSt00,fumbles_lost,0,,,,,
player,201311100clt,clt,HiltT.00,pass_cmp,0,,,,,
player,201311100clt,clt,HiltT.00,pass_att,0,,,,,
player,201311100clt,clt,HiltT.00,pass_yds,0,,,,,
player,201311100clt,clt,HiltT.00,pass_td,0,,,,,
player,201311100clt,clt,HiltT.00,pass_int,0,,,,,
player,201311100clt,clt,HiltT.00,pass_sacked,0,,,,,
player,201311100clt,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201311100clt,clt,HiltT.00,pass_long,0,,,,,
player,201311100clt,clt,HiltT.00,pass_rating,,,,,,
player,201311100clt,clt,HiltT.00,rush_att,0,,,,,
player,201311100clt,clt,HiltT.00,rush_yds,0,,,,,
player,201311100clt,clt,HiltT.00,rush_td,0,,,,,
player,201311100clt,clt,HiltT.00,rush_long,0,,,,,
player,201311100clt,clt,HiltT.00,targets,8,,,,,
player,201311100clt,clt,HiltT.00,rec,7,,,,,
player,201311100clt,clt,HiltT.00,rec_yds,130,,,,,
player,201311100clt,clt,HiltT.00,rec_td,0,,,,,
player,201311100clt,clt,HiltT.00,rec_long,65,,,,,
player,201311100clt,clt,HiltT.00,fumbles,0,,,,,
player,201311100clt,clt,HiltT.00,fumbles_lost,0,,,,,
player,201311100clt,clt,HerrDa00,pass_cmp,0,,,,,
player,201311100clt,clt,HerrDa00,pass_att,0,,,,,
player,201311100clt,clt,HerrDa00,pass_yds,0,,,,,
player,201311100clt,clt,HerrDa00,pass_td,0,,,,,
player,201311100clt,clt,HerrDa00,pass_int,0,,,,,
player,201311100clt,clt,HerrDa00,pass_sacked,0,,,,,
player,201311100clt,clt,HerrDa00,pass_sacked_yds,0,,,,,
player,201311100clt,clt,HerrDa00,pass_long,0,,,,,
player,201311100clt,clt,HerrDa00,pass_rating,,,,,,
player,201311100clt,clt,HerrDa00,rush_att,1,,,,,
player,201311100clt,clt,HerrDa00,rush_yds,0,,,,,
player,201311100clt,clt,HerrDa00,rush_td,0,,,,,
player,201311100clt,clt,HerrDa00,rush_long,0,,,,,
player,201311100clt,clt,HerrDa00,targets,1,,,,,
player,201311100clt,clt,HerrDa00,rec,1,,,,,
player,201311100clt,clt,HerrDa00,rec_yds,57,,,,,
player,201311100clt,clt,HerrDa00,rec_td,0,,,,,
player,201311100clt,clt,HerrDa00,rec_long,57,,,,,
player,201311100clt,clt,HerrDa00,fumbles,0,,,,,
player,201311100clt,clt,HerrDa00,fumbles_lost,0,,,,,
player,201311100clt,clt,WhalGr00,pass_cmp,0,,,,,
player,201311100clt,clt,WhalGr00,pass_att,0,,,,,
player,201311100clt,clt,WhalGr00,pass_yds,0,,,,,
player,201311100clt,clt,WhalGr00,pass_td,0,,,,,
player,201311100clt,clt,WhalGr00,pass_int,0,,,,,
player,201311100clt,clt,WhalGr00,pass_sacked,0,,,,,
player,201311100clt,clt,WhalGr00,pass_sacked_yds,0,,,,,
player,201311100clt,clt,WhalGr00,pass_long,0,,,,,
player,201311100clt,clt,WhalGr00,pass_rating,,,,,,
player,201311100clt,clt,WhalGr00,rush_att,0,,,,,
player,201311100clt,clt,WhalGr00,rush_yds,0,,,,,
player,201311100clt,clt,WhalGr00,rush_td,0,,,,,
player,201311100clt,clt,WhalGr00,rush_long,0,,,,,
player,201311100clt,clt,WhalGr00,targets,5,,,,,
player,201311100clt,clt,WhalGr00,rec,3,,,,,
player,201311100clt,clt,WhalGr00,rec_yds,36,,,,,
player,201311100clt,clt,WhalGr00,rec_td,0,,,,,
player,201311100clt,clt,WhalGr00,rec_long,25,,,,,
player,201311100clt,clt,WhalGr00,fumbles,0,,,,,
player,201311100clt,clt,WhalGr00,fumbles_lost,0,,,,,
player,201311100clt,clt,FleeCo00,pass_cmp,0,,,,,
player,201311100clt,clt,FleeCo00,pass_att,0,,,,,
player,201311100clt,clt,FleeCo00,pass_yds,0,,,,,
player,201311100clt,clt,FleeCo00,pass_td,0,,,,,
player,201311100clt,clt,FleeCo00,pass_int,0,,,,,
player,201311100clt,clt,FleeCo00,pass_sacked,0,,,,,
