game,2013,15,20131215,201312150atl,was,"Washington Redskins",26,atl,"Atlanta Falcons",27
team,201312150atl,was,First Downs,22,,,,,,
team,201312150atl,atl,First Downs,19,,,,,,
team,201312150atl,was,Rush-Yds-TDs,21-103-0,,,,,,
team,201312150atl,atl,Rush-Yds-TDs,21-54-2,,,,,,
team,201312150atl,was,Cmp-Att-Yd-TD-INT,29-45-381-3-2,,,,,,
team,201312150atl,atl,Cmp-Att-Yd-TD-INT,29-38-210-1-1,,,,,,
team,201312150atl,was,Sacked-Yards,1-8,,,,,,
team,201312150atl,atl,Sacked-Yards,3-21,,,,,,
team,201312150atl,was,Net Pass Yards,373,,,,,,
team,201312150atl,atl,Net Pass Yards,189,,,,,,
team,201312150atl,was,Total Yards,476,,,,,,
team,201312150atl,atl,Total Yards,243,,,,,,
team,201312150atl,was,Fumbles-Lost,5-5,,,,,,
team,201312150atl,atl,Fumbles-Lost,2-1,,,,,,
team,201312150atl,was,Turnovers,7,,,,,,
team,201312150atl,atl,Turnovers,2,,,,,,
team,201312150atl,was,Penalties-Yards,9-66,,,,,,
team,201312150atl,atl,Penalties-Yards,7-73,,,,,,
team,201312150atl,was,Third Down Conv.,5-10,,,,,,
team,201312150atl,atl,Third Down Conv.,5-14,,,,,,
team,201312150atl,was,Fourth Down Conv.,0-0,,,,,,
team,201312150atl,atl,Fourth Down Conv.,0-1,,,,,,
team,201312150atl,was,Time of Possession,26:08,,,,,,
team,201312150atl,atl,Time of Possession,33:52,,,,,,
player,201312150atl,was,CousKi00,pass_cmp,29,,,,,
player,201312150atl,was,CousKi00,pass_att,45,,,,,
player,201312150atl,was,CousKi00,pass_yds,381,,,,,
player,201312150atl,was,CousKi00,pass_td,3,,,,,
player,201312150atl,was,CousKi00,pass_int,2,,,,,
player,201312150atl,was,CousKi00,pass_sacked,1,,,,,
player,201312150atl,was,CousKi00,pass_sacked_yds,8,,,,,
player,201312150atl,was,CousKi00,pass_long,62,,,,,
player,201312150atl,was,CousKi00,pass_rating,94.8,,,,,
player,201312150atl,was,CousKi00,rush_att,0,,,,,
player,201312150atl,was,CousKi00,rush_yds,0,,,,,
player,201312150atl,was,CousKi00,rush_td,0,,,,,
player,201312150atl,was,CousKi00,rush_long,0,,,,,
player,201312150atl,was,CousKi00,targets,0,,,,,
player,201312150atl,was,CousKi00,rec,0,,,,,
player,201312150atl,was,CousKi00,rec_yds,0,,,,,
player,201312150atl,was,CousKi00,rec_td,0,,,,,
player,201312150atl,was,CousKi00,rec_long,0,,,,,
player,201312150atl,was,CousKi00,fumbles,1,,,,,
player,201312150atl,was,CousKi00,fumbles_lost,1,,,,,
player,201312150atl,was,MorrAl00,pass_cmp,0,,,,,
player,201312150atl,was,MorrAl00,pass_att,0,,,,,
player,201312150atl,was,MorrAl00,pass_yds,0,,,,,
player,201312150atl,was,MorrAl00,pass_td,0,,,,,
player,201312150atl,was,MorrAl00,pass_int,0,,,,,
player,201312150atl,was,MorrAl00,pass_sacked,0,,,,,
player,201312150atl,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201312150atl,was,MorrAl00,pass_long,0,,,,,
player,201312150atl,was,MorrAl00,pass_rating,,,,,,
player,201312150atl,was,MorrAl00,rush_att,18,,,,,
player,201312150atl,was,MorrAl00,rush_yds,98,,,,,
player,201312150atl,was,MorrAl00,rush_td,0,,,,,
player,201312150atl,was,MorrAl00,rush_long,37,,,,,
player,201312150atl,was,MorrAl00,targets,1,,,,,
player,201312150atl,was,MorrAl00,rec,1,,,,,
player,201312150atl,was,MorrAl00,rec_yds,8,,,,,
player,201312150atl,was,MorrAl00,rec_td,0,,,,,
player,201312150atl,was,MorrAl00,rec_long,8,,,,,
player,201312150atl,was,MorrAl00,fumbles,2,,,,,
player,201312150atl,was,MorrAl00,fumbles_lost,2,,,,,
player,201312150atl,was,HeluRo00,pass_cmp,0,,,,,
player,201312150atl,was,HeluRo00,pass_att,0,,,,,
player,201312150atl,was,HeluRo00,pass_yds,0,,,,,
player,201312150atl,was,HeluRo00,pass_td,0,,,,,
player,201312150atl,was,HeluRo00,pass_int,0,,,,,
player,201312150atl,was,HeluRo00,pass_sacked,0,,,,,
player,201312150atl,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201312150atl,was,HeluRo00,pass_long,0,,,,,
player,201312150atl,was,HeluRo00,pass_rating,,,,,,
player,201312150atl,was,HeluRo00,rush_att,3,,,,,
player,201312150atl,was,HeluRo00,rush_yds,5,,,,,
player,201312150atl,was,HeluRo00,rush_td,0,,,,,
player,201312150atl,was,HeluRo00,rush_long,5,,,,,
player,201312150atl,was,HeluRo00,targets,1,,,,,
player,201312150atl,was,HeluRo00,rec,1,,,,,
player,201312150atl,was,HeluRo00,rec_yds,4,,,,,
player,201312150atl,was,HeluRo00,rec_td,0,,,,,
player,201312150atl,was,HeluRo00,rec_long,4,,,,,
player,201312150atl,was,HeluRo00,fumbles,0,,,,,
player,201312150atl,was,HeluRo00,fumbles_lost,0,,,,,
player,201312150atl,was,GarcPi00,pass_cmp,0,,,,,
player,201312150atl,was,GarcPi00,pass_att,0,,,,,
player,201312150atl,was,GarcPi00,pass_yds,0,,,,,
player,201312150atl,was,GarcPi00,pass_td,0,,,,,
player,201312150atl,was,GarcPi00,pass_int,0,,,,,
player,201312150atl,was,GarcPi00,pass_sacked,0,,,,,
player,201312150atl,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201312150atl,was,GarcPi00,pass_long,0,,,,,
player,201312150atl,was,GarcPi00,pass_rating,,,,,,
player,201312150atl,was,GarcPi00,rush_att,0,,,,,
player,201312150atl,was,GarcPi00,rush_yds,0,,,,,
player,201312150atl,was,GarcPi00,rush_td,0,,,,,
player,201312150atl,was,GarcPi00,rush_long,0,,,,,
player,201312150atl,was,GarcPi00,targets,10,,,,,
player,201312150atl,was,GarcPi00,rec,7,,,,,
player,201312150atl,was,GarcPi00,rec_yds,129,,,,,
player,201312150atl,was,GarcPi00,rec_td,1,,,,,
player,201312150atl,was,GarcPi00,rec_long,53,,,,,
player,201312150atl,was,GarcPi00,fumbles,0,,,,,
player,201312150atl,was,GarcPi00,fumbles_lost,0,,,,,
player,201312150atl,was,RobiAl00,pass_cmp,0,,,,,
player,201312150atl,was,RobiAl00,pass_att,0,,,,,
player,201312150atl,was,RobiAl00,pass_yds,0,,,,,
player,201312150atl,was,RobiAl00,pass_td,0,,,,,
player,201312150atl,was,RobiAl00,pass_int,0,,,,,
player,201312150atl,was,RobiAl00,pass_sacked,0,,,,,
player,201312150atl,was,RobiAl00,pass_sacked_yds,0,,,,,
player,201312150atl,was,RobiAl00,pass_long,0,,,,,
player,201312150atl,was,RobiAl00,pass_rating,,,,,,
player,201312150atl,was,RobiAl00,rush_att,0,,,,,
player,201312150atl,was,RobiAl00,rush_yds,0,,,,,
player,201312150atl,was,RobiAl00,rush_td,0,,,,,
player,201312150atl,was,RobiAl00,rush_long,0,,,,,
player,201312150atl,was,RobiAl00,targets,7,,,,,
player,201312150atl,was,RobiAl00,rec,4,,,,,
player,201312150atl,was,RobiAl00,rec_yds,99,,,,,
player,201312150atl,was,RobiAl00,rec_td,0,,,,,
player,201312150atl,was,RobiAl00,rec_long,62,,,,,
player,201312150atl,was,RobiAl00,fumbles,0,,,,,
player,201312150atl,was,RobiAl00,fumbles_lost,0,,,,,
player,201312150atl,was,MossSa00,pass_cmp,0,,,,,
player,201312150atl,was,MossSa00,pass_att,0,,,,,
player,201312150atl,was,MossSa00,pass_yds,0,,,,,
player,201312150atl,was,MossSa00,pass_td,0,,,,,
player,201312150atl,was,MossSa00,pass_int,0,,,,,
player,201312150atl,was,MossSa00,pass_sacked,0,,,,,
player,201312150atl,was,MossSa00,pass_sacked_yds,0,,,,,
player,201312150atl,was,MossSa00,pass_long,0,,,,,
player,201312150atl,was,MossSa00,pass_rating,,,,,,
player,201312150atl,was,MossSa00,rush_att,0,,,,,
player,201312150atl,was,MossSa00,rush_yds,0,,,,,
