game,2013,8,20131027,201310270nwe,mia,"Miami Dolphins",17,nwe,"New England Patriots",27
team,201310270nwe,mia,First Downs,23,,,,,,
team,201310270nwe,nwe,First Downs,19,,,,,,
team,201310270nwe,mia,Rush-Yds-TDs,31-156-0,,,,,,
team,201310270nwe,nwe,Rush-Yds-TDs,37-152-2,,,,,,
team,201310270nwe,mia,Cmp-Att-Yd-TD-INT,22-42-192-2-2,,,,,,
team,201310270nwe,nwe,Cmp-Att-Yd-TD-INT,13-22-116-1-1,,,,,,
team,201310270nwe,mia,Sacked-Yards,6-47,,,,,,
team,201310270nwe,nwe,Sacked-Yards,3-16,,,,,,
team,201310270nwe,mia,Net Pass Yards,145,,,,,,
team,201310270nwe,nwe,Net Pass Yards,100,,,,,,
team,201310270nwe,mia,Total Yards,301,,,,,,
team,201310270nwe,nwe,Total Yards,252,,,,,,
team,201310270nwe,mia,Fumbles-Lost,1-1,,,,,,
team,201310270nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201310270nwe,mia,Turnovers,3,,,,,,
team,201310270nwe,nwe,Turnovers,1,,,,,,
team,201310270nwe,mia,Penalties-Yards,7-61,,,,,,
team,201310270nwe,nwe,Penalties-Yards,5-35,,,,,,
team,201310270nwe,mia,Third Down Conv.,8-17,,,,,,
team,201310270nwe,nwe,Third Down Conv.,2-10,,,,,,
team,201310270nwe,mia,Fourth Down Conv.,1-2,,,,,,
team,201310270nwe,nwe,Fourth Down Conv.,1-1,,,,,,
team,201310270nwe,mia,Time of Possession,34:59,,,,,,
team,201310270nwe,nwe,Time of Possession,25:01,,,,,,
player,201310270nwe,mia,TannRy00,pass_cmp,22,,,,,
player,201310270nwe,mia,TannRy00,pass_att,42,,,,,
player,201310270nwe,mia,TannRy00,pass_yds,192,,,,,
player,201310270nwe,mia,TannRy00,pass_td,2,,,,,
player,201310270nwe,mia,TannRy00,pass_int,2,,,,,
player,201310270nwe,mia,TannRy00,pass_sacked,6,,,,,
player,201310270nwe,mia,TannRy00,pass_sacked_yds,47,,,,,
player,201310270nwe,mia,TannRy00,pass_long,25,,,,,
player,201310270nwe,mia,TannRy00,pass_rating,60.8,,,,,
player,201310270nwe,mia,TannRy00,rush_att,1,,,,,
player,201310270nwe,mia,TannRy00,rush_yds,12,,,,,
player,201310270nwe,mia,TannRy00,rush_td,0,,,,,
player,201310270nwe,mia,TannRy00,rush_long,12,,,,,
player,201310270nwe,mia,TannRy00,targets,0,,,,,
player,201310270nwe,mia,TannRy00,rec,0,,,,,
player,201310270nwe,mia,TannRy00,rec_yds,0,,,,,
player,201310270nwe,mia,TannRy00,rec_td,0,,,,,
player,201310270nwe,mia,TannRy00,rec_long,0,,,,,
player,201310270nwe,mia,TannRy00,fumbles,1,,,,,
player,201310270nwe,mia,TannRy00,fumbles_lost,1,,,,,
player,201310270nwe,mia,MillLa01,pass_cmp,0,,,,,
player,201310270nwe,mia,MillLa01,pass_att,0,,,,,
player,201310270nwe,mia,MillLa01,pass_yds,0,,,,,
player,201310270nwe,mia,MillLa01,pass_td,0,,,,,
player,201310270nwe,mia,MillLa01,pass_int,0,,,,,
player,201310270nwe,mia,MillLa01,pass_sacked,0,,,,,
player,201310270nwe,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201310270nwe,mia,MillLa01,pass_long,0,,,,,
player,201310270nwe,mia,MillLa01,pass_rating,,,,,,
player,201310270nwe,mia,MillLa01,rush_att,18,,,,,
player,201310270nwe,mia,MillLa01,rush_yds,89,,,,,
player,201310270nwe,mia,MillLa01,rush_td,0,,,,,
player,201310270nwe,mia,MillLa01,rush_long,18,,,,,
player,201310270nwe,mia,MillLa01,targets,3,,,,,
player,201310270nwe,mia,MillLa01,rec,3,,,,,
player,201310270nwe,mia,MillLa01,rec_yds,23,,,,,
player,201310270nwe,mia,MillLa01,rec_td,0,,,,,
player,201310270nwe,mia,MillLa01,rec_long,13,,,,,
player,201310270nwe,mia,MillLa01,fumbles,0,,,,,
player,201310270nwe,mia,MillLa01,fumbles_lost,0,,,,,
player,201310270nwe,mia,ThomDa03,pass_cmp,0,,,,,
player,201310270nwe,mia,ThomDa03,pass_att,0,,,,,
player,201310270nwe,mia,ThomDa03,pass_yds,0,,,,,
player,201310270nwe,mia,ThomDa03,pass_td,0,,,,,
player,201310270nwe,mia,ThomDa03,pass_int,0,,,,,
player,201310270nwe,mia,ThomDa03,pass_sacked,0,,,,,
player,201310270nwe,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201310270nwe,mia,ThomDa03,pass_long,0,,,,,
player,201310270nwe,mia,ThomDa03,pass_rating,,,,,,
player,201310270nwe,mia,ThomDa03,rush_att,9,,,,,
player,201310270nwe,mia,ThomDa03,rush_yds,47,,,,,
player,201310270nwe,mia,ThomDa03,rush_td,0,,,,,
player,201310270nwe,mia,ThomDa03,rush_long,15,,,,,
player,201310270nwe,mia,ThomDa03,targets,1,,,,,
player,201310270nwe,mia,ThomDa03,rec,1,,,,,
player,201310270nwe,mia,ThomDa03,rec_yds,5,,,,,
player,201310270nwe,mia,ThomDa03,rec_td,1,,,,,
player,201310270nwe,mia,ThomDa03,rec_long,5,,,,,
player,201310270nwe,mia,ThomDa03,fumbles,0,,,,,
player,201310270nwe,mia,ThomDa03,fumbles_lost,0,,,,,
player,201310270nwe,mia,WallMi00,pass_cmp,0,,,,,
player,201310270nwe,mia,WallMi00,pass_att,0,,,,,
player,201310270nwe,mia,WallMi00,pass_yds,0,,,,,
player,201310270nwe,mia,WallMi00,pass_td,0,,,,,
player,201310270nwe,mia,WallMi00,pass_int,0,,,,,
player,201310270nwe,mia,WallMi00,pass_sacked,0,,,,,
player,201310270nwe,mia,WallMi00,pass_sacked_yds,0,,,,,
player,201310270nwe,mia,WallMi00,pass_long,0,,,,,
player,201310270nwe,mia,WallMi00,pass_rating,,,,,,
player,201310270nwe,mia,WallMi00,rush_att,1,,,,,
player,201310270nwe,mia,WallMi00,rush_yds,8,,,,,
player,201310270nwe,mia,WallMi00,rush_td,0,,,,,
player,201310270nwe,mia,WallMi00,rush_long,8,,,,,
player,201310270nwe,mia,WallMi00,targets,10,,,,,
player,201310270nwe,mia,WallMi00,rec,3,,,,,
player,201310270nwe,mia,WallMi00,rec_yds,41,,,,,
player,201310270nwe,mia,WallMi00,rec_td,0,,,,,
player,201310270nwe,mia,WallMi00,rec_long,25,,,,,
player,201310270nwe,mia,WallMi00,fumbles,0,,,,,
player,201310270nwe,mia,WallMi00,fumbles_lost,0,,,,,
player,201310270nwe,mia,ClayCh00,pass_cmp,0,,,,,
player,201310270nwe,mia,ClayCh00,pass_att,0,,,,,
player,201310270nwe,mia,ClayCh00,pass_yds,0,,,,,
player,201310270nwe,mia,ClayCh00,pass_td,0,,,,,
player,201310270nwe,mia,ClayCh00,pass_int,0,,,,,
player,201310270nwe,mia,ClayCh00,pass_sacked,0,,,,,
player,201310270nwe,mia,ClayCh00,pass_sacked_yds,0,,,,,
player,201310270nwe,mia,ClayCh00,pass_long,0,,,,,
player,201310270nwe,mia,ClayCh00,pass_rating,,,,,,
player,201310270nwe,mia,ClayCh00,rush_att,1,,,,,
player,201310270nwe,mia,ClayCh00,rush_yds,1,,,,,
player,201310270nwe,mia,ClayCh00,rush_td,0,,,,,
player,201310270nwe,mia,ClayCh00,rush_long,1,,,,,
player,201310270nwe,mia,ClayCh00,targets,8,,,,,
player,201310270nwe,mia,ClayCh00,rec,5,,,,,
player,201310270nwe,mia,ClayCh00,rec_yds,37,,,,,
player,201310270nwe,mia,ClayCh00,rec_td,0,,,,,
player,201310270nwe,mia,ClayCh00,rec_long,11,,,,,
player,201310270nwe,mia,ClayCh00,fumbles,0,,,,,
player,201310270nwe,mia,ClayCh00,fumbles_lost,0,,,,,
player,201310270nwe,mia,HartBr00,pass_cmp,0,,,,,
player,201310270nwe,mia,HartBr00,pass_att,0,,,,,
player,201310270nwe,mia,HartBr00,pass_yds,0,,,,,
player,201310270nwe,mia,HartBr00,pass_td,0,,,,,
player,201310270nwe,mia,HartBr00,pass_int,0,,,,,
player,201310270nwe,mia,HartBr00,pass_sacked,0,,,,,
player,201310270nwe,mia,HartBr00,pass_sacked_yds,0,,,,,
player,201310270nwe,mia,HartBr00,pass_long,0,,,,,
player,201310270nwe,mia,HartBr00,pass_rating,,,,,,
player,201310270nwe,mia,HartBr00,rush_att,0,,,,,
player,201310270nwe,mia,HartBr00,rush_yds,0,,,,,
player,201310270nwe,mia,HartBr00,rush_td,0,,,,,
player,201310270nwe,mia,HartBr00,rush_long,0,,,,,
player,201310270nwe,mia,HartBr00,targets,6,,,,,
player,201310270nwe,mia,HartBr00,rec,4,,,,,
player,201310270nwe,mia,HartBr00,rec_yds,37,,,,,
player,201310270nwe,mia,HartBr00,rec_td,0,,,,,
player,201310270nwe,mia,HartBr00,rec_long,15,,,,,
player,201310270nwe,mia,HartBr00,fumbles,0,,,,,
player,201310270nwe,mia,HartBr00,fumbles_lost,0,,,,,
player,201310270nwe,mia,MattRi00,pass_cmp,0,,,,,
player,201310270nwe,mia,MattRi00,pass_att,0,,,,,
