game,2013,12,20131124,201311240rai,oti,"Tennessee Titans",23,rai,"Oakland Raiders",19
team,201311240rai,oti,First Downs,22,,,,,,
team,201311240rai,rai,First Downs,19,,,,,,
team,201311240rai,oti,Rush-Yds-TDs,29-114-0,,,,,,
team,201311240rai,rai,Rush-Yds-TDs,23-93-0,,,,,,
team,201311240rai,oti,Cmp-Att-Yd-TD-INT,30-42-320-2-0,,,,,,
team,201311240rai,rai,Cmp-Att-Yd-TD-INT,19-32-260-1-1,,,,,,
team,201311240rai,oti,Sacked-Yards,2-8,,,,,,
team,201311240rai,rai,Sacked-Yards,0-0,,,,,,
team,201311240rai,oti,Net Pass Yards,312,,,,,,
team,201311240rai,rai,Net Pass Yards,260,,,,,,
team,201311240rai,oti,Total Yards,426,,,,,,
team,201311240rai,rai,Total Yards,353,,,,,,
team,201311240rai,oti,Fumbles-Lost,3-0,,,,,,
team,201311240rai,rai,Fumbles-Lost,2-1,,,,,,
team,201311240rai,oti,Turnovers,0,,,,,,
team,201311240rai,rai,Turnovers,2,,,,,,
team,201311240rai,oti,Penalties-Yards,10-100,,,,,,
team,201311240rai,rai,Penalties-Yards,4-50,,,,,,
team,201311240rai,oti,Third Down Conv.,10-18,,,,,,
team,201311240rai,rai,Third Down Conv.,3-10,,,,,,
team,201311240rai,oti,Fourth Down Conv.,0-0,,,,,,
team,201311240rai,rai,Fourth Down Conv.,0-0,,,,,,
team,201311240rai,oti,Time of Possession,35:48,,,,,,
team,201311240rai,rai,Time of Possession,24:12,,,,,,
player,201311240rai,oti,FitzRy00,pass_cmp,30,,,,,
player,201311240rai,oti,FitzRy00,pass_att,42,,,,,
player,201311240rai,oti,FitzRy00,pass_yds,320,,,,,
player,201311240rai,oti,FitzRy00,pass_td,2,,,,,
player,201311240rai,oti,FitzRy00,pass_int,0,,,,,
player,201311240rai,oti,FitzRy00,pass_sacked,2,,,,,
player,201311240rai,oti,FitzRy00,pass_sacked_yds,8,,,,,
player,201311240rai,oti,FitzRy00,pass_long,54,,,,,
player,201311240rai,oti,FitzRy00,pass_rating,109.2,,,,,
player,201311240rai,oti,FitzRy00,rush_att,5,,,,,
player,201311240rai,oti,FitzRy00,rush_yds,26,,,,,
player,201311240rai,oti,FitzRy00,rush_td,0,,,,,
player,201311240rai,oti,FitzRy00,rush_long,10,,,,,
player,201311240rai,oti,FitzRy00,targets,0,,,,,
player,201311240rai,oti,FitzRy00,rec,0,,,,,
player,201311240rai,oti,FitzRy00,rec_yds,0,,,,,
player,201311240rai,oti,FitzRy00,rec_td,0,,,,,
player,201311240rai,oti,FitzRy00,rec_long,0,,,,,
player,201311240rai,oti,FitzRy00,fumbles,2,,,,,
player,201311240rai,oti,FitzRy00,fumbles_lost,0,,,,,
player,201311240rai,oti,JohnCh04,pass_cmp,0,,,,,
player,201311240rai,oti,JohnCh04,pass_att,0,,,,,
player,201311240rai,oti,JohnCh04,pass_yds,0,,,,,
player,201311240rai,oti,JohnCh04,pass_td,0,,,,,
player,201311240rai,oti,JohnCh04,pass_int,0,,,,,
player,201311240rai,oti,JohnCh04,pass_sacked,0,,,,,
player,201311240rai,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201311240rai,oti,JohnCh04,pass_long,0,,,,,
player,201311240rai,oti,JohnCh04,pass_rating,,,,,,
player,201311240rai,oti,JohnCh04,rush_att,20,,,,,
player,201311240rai,oti,JohnCh04,rush_yds,73,,,,,
player,201311240rai,oti,JohnCh04,rush_td,0,,,,,
player,201311240rai,oti,JohnCh04,rush_long,12,,,,,
player,201311240rai,oti,JohnCh04,targets,5,,,,,
