game,2013,13,20131201,201312010phi,crd,"Arizona Cardinals",21,phi,"Philadelphia Eagles",24
team,201312010phi,crd,First Downs,24,,,,,,
team,201312010phi,phi,First Downs,23,,,,,,
team,201312010phi,crd,Rush-Yds-TDs,22-90-0,,,,,,
team,201312010phi,phi,Rush-Yds-TDs,34-105-0,,,,,,
team,201312010phi,crd,Cmp-Att-Yd-TD-INT,24-41-302-3-2,,,,,,
team,201312010phi,phi,Cmp-Att-Yd-TD-INT,21-34-237-3-0,,,,,,
team,201312010phi,crd,Sacked-Yards,5-42,,,,,,
team,201312010phi,phi,Sacked-Yards,5-35,,,,,,
team,201312010phi,crd,Net Pass Yards,260,,,,,,
team,201312010phi,phi,Net Pass Yards,202,,,,,,
team,201312010phi,crd,Total Yards,350,,,,,,
team,201312010phi,phi,Total Yards,307,,,,,,
team,201312010phi,crd,Fumbles-Lost,2-1,,,,,,
team,201312010phi,phi,Fumbles-Lost,2-0,,,,,,
team,201312010phi,crd,Turnovers,3,,,,,,
team,201312010phi,phi,Turnovers,0,,,,,,
team,201312010phi,crd,Penalties-Yards,6-55,,,,,,
team,201312010phi,phi,Penalties-Yards,5-48,,,,,,
team,201312010phi,crd,Third Down Conv.,4-12,,,,,,
team,201312010phi,phi,Third Down Conv.,5-16,,,,,,
team,201312010phi,crd,Fourth Down Conv.,1-2,,,,,,
team,201312010phi,phi,Fourth Down Conv.,1-1,,,,,,
team,201312010phi,crd,Time of Possession,30:39,,,,,,
team,201312010phi,phi,Time of Possession,29:21,,,,,,
player,201312010phi,crd,PalmCa00,pass_cmp,24,,,,,
player,201312010phi,crd,PalmCa00,pass_att,41,,,,,
player,201312010phi,crd,PalmCa00,pass_yds,302,,,,,
player,201312010phi,crd,PalmCa00,pass_td,3,,,,,
player,201312010phi,crd,PalmCa00,pass_int,2,,,,,
player,201312010phi,crd,PalmCa00,pass_sacked,5,,,,,
player,201312010phi,crd,PalmCa00,pass_sacked_yds,42,,,,,
player,201312010phi,crd,PalmCa00,pass_long,43,,,,,
player,201312010phi,crd,PalmCa00,pass_rating,85.6,,,,,
player,201312010phi,crd,PalmCa00,rush_att,1,,,,,
player,201312010phi,crd,PalmCa00,rush_yds,-1,,,,,
player,201312010phi,crd,PalmCa00,rush_td,0,,,,,
player,201312010phi,crd,PalmCa00,rush_long,-1,,,,,
player,201312010phi,crd,PalmCa00,targets,0,,,,,
player,201312010phi,crd,PalmCa00,rec,0,,,,,
player,201312010phi,crd,PalmCa00,rec_yds,0,,,,,
player,201312010phi,crd,PalmCa00,rec_td,0,,,,,
player,201312010phi,crd,PalmCa00,rec_long,0,,,,,
player,201312010phi,crd,PalmCa00,fumbles,1,,,,,
player,201312010phi,crd,PalmCa00,fumbles_lost,1,,,,,
player,201312010phi,crd,MendRa00,pass_cmp,0,,,,,
player,201312010phi,crd,MendRa00,pass_att,0,,,,,
player,201312010phi,crd,MendRa00,pass_yds,0,,,,,
player,201312010phi,crd,MendRa00,pass_td,0,,,,,
player,201312010phi,crd,MendRa00,pass_int,0,,,,,
player,201312010phi,crd,MendRa00,pass_sacked,0,,,,,
player,201312010phi,crd,MendRa00,pass_sacked_yds,0,,,,,
player,201312010phi,crd,MendRa00,pass_long,0,,,,,
player,201312010phi,crd,MendRa00,pass_rating,,,,,,
player,201312010phi,crd,MendRa00,rush_att,18,,,,,
player,201312010phi,crd,MendRa00,rush_yds,76,,,,,
player,201312010phi,crd,MendRa00,rush_td,0,,,,,
player,201312010phi,crd,MendRa00,rush_long,14,,,,,
player,201312010phi,crd,MendRa00,targets,0,,,,,
player,201312010phi,crd,MendRa00,rec,0,,,,,
