game,2013,10,20131111,201311110tam,mia,"Miami Dolphins",19,tam,"Tampa Bay Buccaneers",22
team,201311110tam,mia,First Downs,16,,,,,,
team,201311110tam,tam,First Downs,18,,,,,,
team,201311110tam,mia,Rush-Yds-TDs,14-2-0,,,,,,
team,201311110tam,tam,Rush-Yds-TDs,37-140-1,,,,,,
team,201311110tam,mia,Cmp-Att-Yd-TD-INT,27-42-229-2-1,,,,,,
team,201311110tam,tam,Cmp-Att-Yd-TD-INT,11-21-139-1-1,,,,,,
team,201311110tam,mia,Sacked-Yards,2-18,,,,,,
team,201311110tam,tam,Sacked-Yards,2-15,,,,,,
team,201311110tam,mia,Net Pass Yards,211,,,,,,
team,201311110tam,tam,Net Pass Yards,124,,,,,,
team,201311110tam,mia,Total Yards,213,,,,,,
team,201311110tam,tam,Total Yards,264,,,,,,
team,201311110tam,mia,Fumbles-Lost,0-0,,,,,,
team,201311110tam,tam,Fumbles-Lost,0-0,,,,,,
team,201311110tam,mia,Turnovers,1,,,,,,
team,201311110tam,tam,Turnovers,1,,,,,,
team,201311110tam,mia,Penalties-Yards,4-70,,,,,,
team,201311110tam,tam,Penalties-Yards,9-70,,,,,,
team,201311110tam,mia,Third Down Conv.,4-12,,,,,,
team,201311110tam,tam,Third Down Conv.,3-12,,,,,,
team,201311110tam,mia,Fourth Down Conv.,0-1,,,,,,
team,201311110tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201311110tam,mia,Time of Possession,25:12,,,,,,
team,201311110tam,tam,Time of Possession,34:48,,,,,,
player,201311110tam,mia,TannRy00,pass_cmp,27,,,,,
player,201311110tam,mia,TannRy00,pass_att,42,,,,,
player,201311110tam,mia,TannRy00,pass_yds,229,,,,,
player,201311110tam,mia,TannRy00,pass_td,2,,,,,
player,201311110tam,mia,TannRy00,pass_int,1,,,,,
player,201311110tam,mia,TannRy00,pass_sacked,2,,,,,
player,201311110tam,mia,TannRy00,pass_sacked_yds,18,,,,,
player,201311110tam,mia,TannRy00,pass_long,19,,,,,
player,201311110tam,mia,TannRy00,pass_rating,84.3,,,,,
player,201311110tam,mia,TannRy00,rush_att,1,,,,,
player,201311110tam,mia,TannRy00,rush_yds,2,,,,,
player,201311110tam,mia,TannRy00,rush_td,0,,,,,
player,201311110tam,mia,TannRy00,rush_long,2,,,,,
player,201311110tam,mia,TannRy00,targets,0,,,,,
player,201311110tam,mia,TannRy00,rec,0,,,,,
player,201311110tam,mia,TannRy00,rec_yds,0,,,,,
player,201311110tam,mia,TannRy00,rec_td,0,,,,,
player,201311110tam,mia,TannRy00,rec_long,0,,,,,
player,201311110tam,mia,TannRy00,fumbles,0,,,,,
player,201311110tam,mia,TannRy00,fumbles_lost,0,,,,,
player,201311110tam,mia,MillLa01,pass_cmp,0,,,,,
player,201311110tam,mia,MillLa01,pass_att,0,,,,,
player,201311110tam,mia,MillLa01,pass_yds,0,,,,,
player,201311110tam,mia,MillLa01,pass_td,0,,,,,
player,201311110tam,mia,MillLa01,pass_int,0,,,,,
player,201311110tam,mia,MillLa01,pass_sacked,0,,,,,
player,201311110tam,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201311110tam,mia,MillLa01,pass_long,0,,,,,
player,201311110tam,mia,MillLa01,pass_rating,,,,,,
player,201311110tam,mia,MillLa01,rush_att,7,,,,,
player,201311110tam,mia,MillLa01,rush_yds,2,,,,,
player,201311110tam,mia,MillLa01,rush_td,0,,,,,
player,201311110tam,mia,MillLa01,rush_long,4,,,,,
player,201311110tam,mia,MillLa01,targets,3,,,,,
player,201311110tam,mia,MillLa01,rec,2,,,,,
player,201311110tam,mia,MillLa01,rec_yds,9,,,,,
player,201311110tam,mia,MillLa01,rec_td,0,,,,,
player,201311110tam,mia,MillLa01,rec_long,6,,,,,
player,201311110tam,mia,MillLa01,fumbles,0,,,,,
player,201311110tam,mia,MillLa01,fumbles_lost,0,,,,,
player,201311110tam,mia,MattRi00,pass_cmp,0,,,,,
player,201311110tam,mia,MattRi00,pass_att,0,,,,,
player,201311110tam,mia,MattRi00,pass_yds,0,,,,,
player,201311110tam,mia,MattRi00,pass_td,0,,,,,
player,201311110tam,mia,MattRi00,pass_int,0,,,,,
player,201311110tam,mia,MattRi00,pass_sacked,0,,,,,
player,201311110tam,mia,MattRi00,pass_sacked_yds,0,,,,,
player,201311110tam,mia,MattRi00,pass_long,0,,,,,
player,201311110tam,mia,MattRi00,pass_rating,,,,,,
player,201311110tam,mia,MattRi00,rush_att,0,,,,,
player,201311110tam,mia,MattRi00,rush_yds,0,,,,,
player,201311110tam,mia,MattRi00,rush_td,0,,,,,
player,201311110tam,mia,MattRi00,rush_long,0,,,,,
player,201311110tam,mia,MattRi00,targets,14,,,,,
player,201311110tam,mia,MattRi00,rec,11,,,,,
player,201311110tam,mia,MattRi00,rec_yds,120,,,,,
player,201311110tam,mia,MattRi00,rec_td,2,,,,,
player,201311110tam,mia,MattRi00,rec_long,19,,,,,
player,201311110tam,mia,MattRi00,fumbles,0,,,,,
player,201311110tam,mia,MattRi00,fumbles_lost,0,,,,,
player,201311110tam,mia,HartBr00,pass_cmp,0,,,,,
player,201311110tam,mia,HartBr00,pass_att,0,,,,,
player,201311110tam,mia,HartBr00,pass_yds,0,,,,,
player,201311110tam,mia,HartBr00,pass_td,0,,,,,
player,201311110tam,mia,HartBr00,pass_int,0,,,,,
player,201311110tam,mia,HartBr00,pass_sacked,0,,,,,
player,201311110tam,mia,HartBr00,pass_sacked_yds,0,,,,,
player,201311110tam,mia,HartBr00,pass_long,0,,,,,
player,201311110tam,mia,HartBr00,pass_rating,,,,,,
player,201311110tam,mia,HartBr00,rush_att,0,,,,,
player,201311110tam,mia,HartBr00,rush_yds,0,,,,,
player,201311110tam,mia,HartBr00,rush_td,0,,,,,
player,201311110tam,mia,HartBr00,rush_long,0,,,,,
player,201311110tam,mia,HartBr00,targets,8,,,,,
player,201311110tam,mia,HartBr00,rec,5,,,,,
player,201311110tam,mia,HartBr00,rec_yds,57,,,,,
player,201311110tam,mia,HartBr00,rec_td,0,,,,,
player,201311110tam,mia,HartBr00,rec_long,19,,,,,
player,201311110tam,mia,HartBr00,fumbles,0,,,,,
player,201311110tam,mia,HartBr00,fumbles_lost,0,,,,,
player,201311110tam,mia,ClayCh00,pass_cmp,0,,,,,
player,201311110tam,mia,ClayCh00,pass_att,0,,,,,
player,201311110tam,mia,ClayCh00,pass_yds,0,,,,,
player,201311110tam,mia,ClayCh00,pass_td,0,,,,,
player,201311110tam,mia,ClayCh00,pass_int,0,,,,,
player,201311110tam,mia,ClayCh00,pass_sacked,0,,,,,
player,201311110tam,mia,ClayCh00,pass_sacked_yds,0,,,,,
player,201311110tam,mia,ClayCh00,pass_long,0,,,,,
player,201311110tam,mia,ClayCh00,pass_rating,,,,,,
player,201311110tam,mia,ClayCh00,rush_att,2,,,,,
player,201311110tam,mia,ClayCh00,rush_yds,0,,,,,
player,201311110tam,mia,ClayCh00,rush_td,0,,,,,
player,201311110tam,mia,ClayCh00,rush_long,1,,,,,
player,201311110tam,mia,ClayCh00,targets,8,,,,,
player,201311110tam,mia,ClayCh00,rec,4,,,,,
player,201311110tam,mia,ClayCh00,rec_yds,21,,,,,
player,201311110tam,mia,ClayCh00,rec_td,0,,,,,
player,201311110tam,mia,ClayCh00,rec_long,14,,,,,
player,201311110tam,mia,ClayCh00,fumbles,0,,,,,
player,201311110tam,mia,ClayCh00,fumbles_lost,0,,,,,
player,201311110tam,mia,WallMi00,pass_cmp,0,,,,,
player,201311110tam,mia,WallMi00,pass_att,0,,,,,
player,201311110tam,mia,WallMi00,pass_yds,0,,,,,
player,201311110tam,mia,WallMi00,pass_td,0,,,,,
player,201311110tam,mia,WallMi00,pass_int,0,,,,,
player,201311110tam,mia,WallMi00,pass_sacked,0,,,,,
player,201311110tam,mia,WallMi00,pass_sacked_yds,0,,,,,
player,201311110tam,mia,WallMi00,pass_long,0,,,,,
player,201311110tam,mia,WallMi00,pass_rating,,,,,,
player,201311110tam,mia,WallMi00,rush_att,0,,,,,
player,201311110tam,mia,WallMi00,rush_yds,0,,,,,
player,201311110tam,mia,WallMi00,rush_td,0,,,,,
player,201311110tam,mia,WallMi00,rush_long,0,,,,,
player,201311110tam,mia,WallMi00,targets,7,,,,,
player,201311110tam,mia,WallMi00,rec,4,,,,,
player,201311110tam,mia,WallMi00,rec_yds,15,,,,,
player,201311110tam,mia,WallMi00,rec_td,0,,,,,
player,201311110tam,mia,WallMi00,rec_long,11,,,,,
player,201311110tam,mia,WallMi00,fumbles,0,,,,,
player,201311110tam,mia,WallMi00,fumbles_lost,0,,,,,
player,201311110tam,mia,EgneMi00,pass_cmp,0,,,,,
player,201311110tam,mia,EgneMi00,pass_att,0,,,,,
player,201311110tam,mia,EgneMi00,pass_yds,0,,,,,
player,201311110tam,mia,EgneMi00,pass_td,0,,,,,
player,201311110tam,mia,EgneMi00,pass_int,0,,,,,
player,201311110tam,mia,EgneMi00,pass_sacked,0,,,,,
player,201311110tam,mia,EgneMi00,pass_sacked_yds,0,,,,,
player,201311110tam,mia,EgneMi00,pass_long,0,,,,,
player,201311110tam,mia,EgneMi00,pass_rating,,,,,,
player,201311110tam,mia,EgneMi00,rush_att,0,,,,,
player,201311110tam,mia,EgneMi00,rush_yds,0,,,,,
player,201311110tam,mia,EgneMi00,rush_td,0,,,,,
player,201311110tam,mia,EgneMi00,rush_long,0,,,,,
player,201311110tam,mia,EgneMi00,targets,2,,,,,
player,201311110tam,mia,EgneMi00,rec,1,,,,,
player,201311110tam,mia,EgneMi00,rec_yds,7,,,,,
player,201311110tam,mia,EgneMi00,rec_td,0,,,,,
player,201311110tam,mia,EgneMi00,rec_long,7,,,,,
player,201311110tam,mia,EgneMi00,fumbles,0,,,,,
player,201311110tam,mia,EgneMi00,fumbles_lost,0,,,,,
player,201311110tam,mia,ThomDa03,pass_cmp,0,,,,,
player,201311110tam,mia,ThomDa03,pass_att,0,,,,,
player,201311110tam,mia,ThomDa03,pass_yds,0,,,,,
player,201311110tam,mia,ThomDa03,pass_td,0,,,,,
player,201311110tam,mia,ThomDa03,pass_int,0,,,,,
player,201311110tam,mia,ThomDa03,pass_sacked,0,,,,,
player,201311110tam,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201311110tam,mia,ThomDa03,pass_long,0,,,,,
player,201311110tam,mia,ThomDa03,pass_rating,,,,,,
player,201311110tam,mia,ThomDa03,rush_att,4,,,,,
player,201311110tam,mia,ThomDa03,rush_yds,-2,,,,,
player,201311110tam,mia,ThomDa03,rush_td,0,,,,,
player,201311110tam,mia,ThomDa03,rush_long,1,,,,,
player,201311110tam,mia,ThomDa03,targets,0,,,,,
player,201311110tam,mia,ThomDa03,rec,0,,,,,
player,201311110tam,mia,ThomDa03,rec_yds,0,,,,,
player,201311110tam,mia,ThomDa03,rec_td,0,,,,,
player,201311110tam,mia,ThomDa03,rec_long,0,,,,,
player,201311110tam,mia,ThomDa03,fumbles,0,,,,,
player,201311110tam,mia,ThomDa03,fumbles_lost,0,,,,,
player,201311110tam,tam,GlenMi00,pass_cmp,11,,,,,
player,201311110tam,tam,GlenMi00,pass_att,21,,,,,
player,201311110tam,tam,GlenMi00,pass_yds,139,,,,,
player,201311110tam,tam,GlenMi00,pass_td,1,,,,,
player,201311110tam,tam,GlenMi00,pass_int,1,,,,,
player,201311110tam,tam,GlenMi00,pass_sacked,2,,,,,
player,201311110tam,tam,GlenMi00,pass_sacked_yds,15,,,,,
player,201311110tam,tam,GlenMi00,pass_long,30,,,,,
player,201311110tam,tam,GlenMi00,pass_rating,69.3,,,,,
player,201311110tam,tam,GlenMi00,rush_att,4,,,,,
player,201311110tam,tam,GlenMi00,rush_yds,-3,,,,,
player,201311110tam,tam,GlenMi00,rush_td,0,,,,,
player,201311110tam,tam,GlenMi00,rush_long,5,,,,,
player,201311110tam,tam,GlenMi00,targets,0,,,,,
player,201311110tam,tam,GlenMi00,rec,0,,,,,
player,201311110tam,tam,GlenMi00,rec_yds,0,,,,,
player,201311110tam,tam,GlenMi00,rec_td,0,,,,,
player,201311110tam,tam,GlenMi00,rec_long,0,,,,,
player,201311110tam,tam,GlenMi00,fumbles,0,,,,,
player,201311110tam,tam,GlenMi00,fumbles_lost,0,,,,,
player,201311110tam,tam,LeonBr00,pass_cmp,0,,,,,
player,201311110tam,tam,LeonBr00,pass_att,0,,,,,
player,201311110tam,tam,LeonBr00,pass_yds,0,,,,,
player,201311110tam,tam,LeonBr00,pass_td,0,,,,,
player,201311110tam,tam,LeonBr00,pass_int,0,,,,,
player,201311110tam,tam,LeonBr00,pass_sacked,0,,,,,
player,201311110tam,tam,LeonBr00,pass_sacked_yds,0,,,,,
player,201311110tam,tam,LeonBr00,pass_long,0,,,,,
player,201311110tam,tam,LeonBr00,pass_rating,,,,,,
player,201311110tam,tam,LeonBr00,rush_att,20,,,,,
player,201311110tam,tam,LeonBr00,rush_yds,57,,,,,
player,201311110tam,tam,LeonBr00,rush_td,0,,,,,
player,201311110tam,tam,LeonBr00,rush_long,14,,,,,
player,201311110tam,tam,LeonBr00,targets,3,,,,,
player,201311110tam,tam,LeonBr00,rec,2,,,,,
