game,2013,1,20130908,201309080sfo,gnb,"Green Bay Packers",28,sfo,"San Francisco 49ers",34
team,201309080sfo,gnb,First Downs,23,,,,,,
team,201309080sfo,sfo,First Downs,23,,,,,,
team,201309080sfo,gnb,Rush-Yds-TDs,19-63-1,,,,,,
team,201309080sfo,sfo,Rush-Yds-TDs,34-90-1,,,,,,
team,201309080sfo,gnb,Cmp-Att-Yd-TD-INT,21-37-333-3-1,,,,,,
team,201309080sfo,sfo,Cmp-Att-Yd-TD-INT,27-39-412-3-0,,,,,,
team,201309080sfo,gnb,Sacked-Yards,2-11,,,,,,
team,201309080sfo,sfo,Sacked-Yards,2-8,,,,,,
team,201309080sfo,gnb,Net Pass Yards,322,,,,,,
team,201309080sfo,sfo,Net Pass Yards,404,,,,,,
team,201309080sfo,gnb,Total Yards,385,,,,,,
team,201309080sfo,sfo,Total Yards,494,,,,,,
team,201309080sfo,gnb,Fumbles-Lost,1-1,,,,,,
team,201309080sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201309080sfo,gnb,Turnovers,2,,,,,,
team,201309080sfo,sfo,Turnovers,0,,,,,,
team,201309080sfo,gnb,Penalties-Yards,5-44,,,,,,
team,201309080sfo,sfo,Penalties-Yards,11-85,,,,,,
team,201309080sfo,gnb,Third Down Conv.,4-10,,,,,,
team,201309080sfo,sfo,Third Down Conv.,9-18,,,,,,
team,201309080sfo,gnb,Fourth Down Conv.,0-0,,,,,,
team,201309080sfo,sfo,Fourth Down Conv.,1-1,,,,,,
team,201309080sfo,gnb,Time of Possession,21:25,,,,,,
team,201309080sfo,sfo,Time of Possession,38:35,,,,,,
player,201309080sfo,gnb,RodgAa00,pass_cmp,21,,,,,
player,201309080sfo,gnb,RodgAa00,pass_att,37,,,,,
player,201309080sfo,gnb,RodgAa00,pass_yds,333,,,,,
player,201309080sfo,gnb,RodgAa00,pass_td,3,,,,,
player,201309080sfo,gnb,RodgAa00,pass_int,1,,,,,
player,201309080sfo,gnb,RodgAa00,pass_sacked,2,,,,,
player,201309080sfo,gnb,RodgAa00,pass_sacked_yds,11,,,,,
player,201309080sfo,gnb,RodgAa00,pass_long,38,,,,,
player,201309080sfo,gnb,RodgAa00,pass_rating,102.6,,,,,
player,201309080sfo,gnb,RodgAa00,rush_att,2,,,,,
player,201309080sfo,gnb,RodgAa00,rush_yds,13,,,,,
player,201309080sfo,gnb,RodgAa00,rush_td,0,,,,,
player,201309080sfo,gnb,RodgAa00,rush_long,7,,,,,
player,201309080sfo,gnb,RodgAa00,targets,0,,,,,
player,201309080sfo,gnb,RodgAa00,rec,0,,,,,
player,201309080sfo,gnb,RodgAa00,rec_yds,0,,,,,
player,201309080sfo,gnb,RodgAa00,rec_td,0,,,,,
player,201309080sfo,gnb,RodgAa00,rec_long,0,,,,,
player,201309080sfo,gnb,RodgAa00,fumbles,0,,,,,
player,201309080sfo,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201309080sfo,gnb,LacyEd00,pass_cmp,0,,,,,
player,201309080sfo,gnb,LacyEd00,pass_att,0,,,,,
player,201309080sfo,gnb,LacyEd00,pass_yds,0,,,,,
player,201309080sfo,gnb,LacyEd00,pass_td,0,,,,,
player,201309080sfo,gnb,LacyEd00,pass_int,0,,,,,
player,201309080sfo,gnb,LacyEd00,pass_sacked,0,,,,,
player,201309080sfo,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201309080sfo,gnb,LacyEd00,pass_long,0,,,,,
player,201309080sfo,gnb,LacyEd00,pass_rating,,,,,,
player,201309080sfo,gnb,LacyEd00,rush_att,14,,,,,
player,201309080sfo,gnb,LacyEd00,rush_yds,41,,,,,
player,201309080sfo,gnb,LacyEd00,rush_td,1,,,,,
player,201309080sfo,gnb,LacyEd00,rush_long,7,,,,,
player,201309080sfo,gnb,LacyEd00,targets,2,,,,,
player,201309080sfo,gnb,LacyEd00,rec,1,,,,,
player,201309080sfo,gnb,LacyEd00,rec_yds,31,,,,,
player,201309080sfo,gnb,LacyEd00,rec_td,0,,,,,
player,201309080sfo,gnb,LacyEd00,rec_long,31,,,,,
player,201309080sfo,gnb,LacyEd00,fumbles,1,,,,,
player,201309080sfo,gnb,LacyEd00,fumbles_lost,1,,,,,
player,201309080sfo,gnb,CobbRa00,pass_cmp,0,,,,,
player,201309080sfo,gnb,CobbRa00,pass_att,0,,,,,
player,201309080sfo,gnb,CobbRa00,pass_yds,0,,,,,
player,201309080sfo,gnb,CobbRa00,pass_td,0,,,,,
player,201309080sfo,gnb,CobbRa00,pass_int,0,,,,,
player,201309080sfo,gnb,CobbRa00,pass_sacked,0,,,,,
player,201309080sfo,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201309080sfo,gnb,CobbRa00,pass_long,0,,,,,
player,201309080sfo,gnb,CobbRa00,pass_rating,,,,,,
player,201309080sfo,gnb,CobbRa00,rush_att,2,,,,,
player,201309080sfo,gnb,CobbRa00,rush_yds,6,,,,,
player,201309080sfo,gnb,CobbRa00,rush_td,0,,,,,
player,201309080sfo,gnb,CobbRa00,rush_long,3,,,,,
player,201309080sfo,gnb,CobbRa00,targets,12,,,,,
player,201309080sfo,gnb,CobbRa00,rec,7,,,,,
player,201309080sfo,gnb,CobbRa00,rec_yds,108,,,,,
player,201309080sfo,gnb,CobbRa00,rec_td,1,,,,,
player,201309080sfo,gnb,CobbRa00,rec_long,38,,,,,
player,201309080sfo,gnb,CobbRa00,fumbles,0,,,,,
player,201309080sfo,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201309080sfo,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201309080sfo,gnb,KuhnJo00,pass_att,0,,,,,
player,201309080sfo,gnb,KuhnJo00,pass_yds,0,,,,,
player,201309080sfo,gnb,KuhnJo00,pass_td,0,,,,,
player,201309080sfo,gnb,KuhnJo00,pass_int,0,,,,,
player,201309080sfo,gnb,KuhnJo00,pass_sacked,0,,,,,
player,201309080sfo,gnb,KuhnJo00,pass_sacked_yds,0,,,,,
player,201309080sfo,gnb,KuhnJo00,pass_long,0,,,,,
player,201309080sfo,gnb,KuhnJo00,pass_rating,,,,,,
player,201309080sfo,gnb,KuhnJo00,rush_att,1,,,,,
player,201309080sfo,gnb,KuhnJo00,rush_yds,3,,,,,
player,201309080sfo,gnb,KuhnJo00,rush_td,0,,,,,
player,201309080sfo,gnb,KuhnJo00,rush_long,3,,,,,
player,201309080sfo,gnb,KuhnJo00,targets,1,,,,,
player,201309080sfo,gnb,KuhnJo00,rec,0,,,,,
player,201309080sfo,gnb,KuhnJo00,rec_yds,0,,,,,
player,201309080sfo,gnb,KuhnJo00,rec_td,0,,,,,
player,201309080sfo,gnb,KuhnJo00,rec_long,0,,,,,
player,201309080sfo,gnb,KuhnJo00,fumbles,0,,,,,
player,201309080sfo,gnb,KuhnJo00,fumbles_lost,0,,,,,
