game,2013,8,20131027,201310270det,dal,"Dallas Cowboys",30,det,"Detroit Lions",31
team,201310270det,dal,First Downs,13,,,,,,
team,201310270det,det,First Downs,29,,,,,,
team,201310270det,dal,Rush-Yds-TDs,26-62-0,,,,,,
team,201310270det,det,Rush-Yds-TDs,29-143-3,,,,,,
team,201310270det,dal,Cmp-Att-Yd-TD-INT,14-30-206-3-0,,,,,,
team,201310270det,det,Cmp-Att-Yd-TD-INT,33-48-488-1-2,,,,,,
team,201310270det,dal,Sacked-Yards,0-0,,,,,,
team,201310270det,det,Sacked-Yards,1-8,,,,,,
team,201310270det,dal,Net Pass Yards,206,,,,,,
team,201310270det,det,Net Pass Yards,480,,,,,,
team,201310270det,dal,Total Yards,268,,,,,,
team,201310270det,det,Total Yards,623,,,,,,
team,201310270det,dal,Fumbles-Lost,1-0,,,,,,
team,201310270det,det,Fumbles-Lost,2-2,,,,,,
team,201310270det,dal,Turnovers,0,,,,,,
team,201310270det,det,Turnovers,4,,,,,,
team,201310270det,dal,Penalties-Yards,2-31,,,,,,
team,201310270det,det,Penalties-Yards,8-61,,,,,,
team,201310270det,dal,Third Down Conv.,3-13,,,,,,
team,201310270det,det,Third Down Conv.,3-11,,,,,,
team,201310270det,dal,Fourth Down Conv.,0-0,,,,,,
team,201310270det,det,Fourth Down Conv.,1-2,,,,,,
team,201310270det,dal,Time of Possession,24:49,,,,,,
team,201310270det,det,Time of Possession,35:11,,,,,,
player,201310270det,dal,RomoTo00,pass_cmp,14,,,,,
player,201310270det,dal,RomoTo00,pass_att,30,,,,,
player,201310270det,dal,RomoTo00,pass_yds,206,,,,,
player,201310270det,dal,RomoTo00,pass_td,3,,,,,
player,201310270det,dal,RomoTo00,pass_int,0,,,,,
player,201310270det,dal,RomoTo00,pass_sacked,0,,,,,
player,201310270det,dal,RomoTo00,pass_sacked_yds,0,,,,,
player,201310270det,dal,RomoTo00,pass_long,60,,,,,
player,201310270det,dal,RomoTo00,pass_rating,102.9,,,,,
player,201310270det,dal,RomoTo00,rush_att,3,,,,,
player,201310270det,dal,RomoTo00,rush_yds,6,,,,,
player,201310270det,dal,RomoTo00,rush_td,0,,,,,
