game,2013,15,20131215,201312150cle,chi,"Chicago Bears",38,cle,"Cleveland Browns",31
team,201312150cle,chi,First Downs,23,,,,,,
team,201312150cle,cle,First Downs,20,,,,,,
team,201312150cle,chi,Rush-Yds-TDs,31-179-1,,,,,,
team,201312150cle,cle,Rush-Yds-TDs,17-93-1,,,,,,
team,201312150cle,chi,Cmp-Att-Yd-TD-INT,22-31-265-3-2,,,,,,
team,201312150cle,cle,Cmp-Att-Yd-TD-INT,23-39-273-1-2,,,,,,
team,201312150cle,chi,Sacked-Yards,2-4,,,,,,
team,201312150cle,cle,Sacked-Yards,0-0,,,,,,
team,201312150cle,chi,Net Pass Yards,261,,,,,,
team,201312150cle,cle,Net Pass Yards,273,,,,,,
team,201312150cle,chi,Total Yards,440,,,,,,
team,201312150cle,cle,Total Yards,366,,,,,,
team,201312150cle,chi,Fumbles-Lost,1-1,,,,,,
team,201312150cle,cle,Fumbles-Lost,0-0,,,,,,
team,201312150cle,chi,Turnovers,3,,,,,,
team,201312150cle,cle,Turnovers,2,,,,,,
team,201312150cle,chi,Penalties-Yards,7-40,,,,,,
team,201312150cle,cle,Penalties-Yards,9-90,,,,,,
team,201312150cle,chi,Third Down Conv.,9-14,,,,,,
team,201312150cle,cle,Third Down Conv.,3-9,,,,,,
team,201312150cle,chi,Fourth Down Conv.,0-0,,,,,,
team,201312150cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201312150cle,chi,Time of Possession,34:48,,,,,,
team,201312150cle,cle,Time of Possession,25:12,,,,,,
player,201312150cle,chi,CutlJa00,pass_cmp,22,,,,,
player,201312150cle,chi,CutlJa00,pass_att,31,,,,,
player,201312150cle,chi,CutlJa00,pass_yds,265,,,,,
player,201312150cle,chi,CutlJa00,pass_td,3,,,,,
player,201312150cle,chi,CutlJa00,pass_int,2,,,,,
player,201312150cle,chi,CutlJa00,pass_sacked,2,,,,,
player,201312150cle,chi,CutlJa00,pass_sacked_yds,4,,,,,
player,201312150cle,chi,CutlJa00,pass_long,45,,,,,
player,201312150cle,chi,CutlJa00,pass_rating,102.2,,,,,
player,201312150cle,chi,CutlJa00,rush_att,3,,,,,
player,201312150cle,chi,CutlJa00,rush_yds,11,,,,,
player,201312150cle,chi,CutlJa00,rush_td,0,,,,,
player,201312150cle,chi,CutlJa00,rush_long,12,,,,,
