game,2013,14,20131208,201312080den,oti,"Tennessee Titans",28,den,"Denver Broncos",51
player,201312080den,oti,HuntJu00,rush_att,0,,,,,
player,201312080den,oti,HuntJu00,rush_yds,0,,,,,
player,201312080den,oti,HuntJu00,rush_td,0,,,,,
player,201312080den,oti,HuntJu00,rush_long,0,,,,,
player,201312080den,oti,HuntJu00,targets,8,,,,,
player,201312080den,oti,HuntJu00,rec,4,,,,,
player,201312080den,oti,HuntJu00,rec_yds,114,,,,,
player,201312080den,oti,HuntJu00,rec_td,1,,,,,
player,201312080den,oti,HuntJu00,rec_long,57,,,,,
player,201312080den,oti,HuntJu00,fumbles,0,,,,,
player,201312080den,oti,HuntJu00,fumbles_lost,0,,,,,
player,201312080den,oti,WashNa00,pass_cmp,0,,,,,
player,201312080den,oti,WashNa00,pass_att,0,,,,,
player,201312080den,oti,WashNa00,pass_yds,0,,,,,
player,201312080den,oti,WashNa00,pass_td,0,,,,,
player,201312080den,oti,WashNa00,pass_int,0,,,,,
player,201312080den,oti,WashNa00,pass_sacked,0,,,,,
player,201312080den,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201312080den,oti,WashNa00,pass_long,0,,,,,
player,201312080den,oti,WashNa00,pass_rating,,,,,,
player,201312080den,oti,WashNa00,rush_att,0,,,,,
player,201312080den,oti,WashNa00,rush_yds,0,,,,,
player,201312080den,oti,WashNa00,rush_td,0,,,,,
player,201312080den,oti,WashNa00,rush_long,0,,,,,
player,201312080den,oti,WashNa00,targets,6,,,,,
player,201312080den,oti,WashNa00,rec,2,,,,,
player,201312080den,oti,WashNa00,rec_yds,24,,,,,
player,201312080den,oti,WashNa00,rec_td,0,,,,,
player,201312080den,oti,WashNa00,rec_long,16,,,,,
player,201312080den,oti,WashNa00,fumbles,0,,,,,
player,201312080den,oti,WashNa00,fumbles_lost,0,,,,,
player,201312080den,oti,WrigKe01,pass_cmp,0,,,,,
player,201312080den,oti,WrigKe01,pass_att,0,,,,,
player,201312080den,oti,WrigKe01,pass_yds,0,,,,,
player,201312080den,oti,WrigKe01,pass_td,0,,,,,
player,201312080den,oti,WrigKe01,pass_int,0,,,,,
player,201312080den,oti,WrigKe01,pass_sacked,0,,,,,
player,201312080den,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201312080den,oti,WrigKe01,pass_long,0,,,,,
player,201312080den,oti,WrigKe01,pass_rating,,,,,,
player,201312080den,oti,WrigKe01,rush_att,0,,,,,
player,201312080den,oti,WrigKe01,rush_yds,0,,,,,
player,201312080den,oti,WrigKe01,rush_td,0,,,,,
player,201312080den,oti,WrigKe01,rush_long,0,,,,,
player,201312080den,oti,WrigKe01,targets,3,,,,,
player,201312080den,oti,WrigKe01,rec,2,,,,,
player,201312080den,oti,WrigKe01,rec_yds,17,,,,,
player,201312080den,oti,WrigKe01,rec_td,0,,,,,
player,201312080den,oti,WrigKe01,rec_long,13,,,,,
player,201312080den,oti,WrigKe01,fumbles,0,,,,,
player,201312080den,oti,WrigKe01,fumbles_lost,0,,,,,
player,201312080den,oti,PresMi00,pass_cmp,0,,,,,
player,201312080den,oti,PresMi00,pass_att,0,,,,,
player,201312080den,oti,PresMi00,pass_yds,0,,,,,
player,201312080den,oti,PresMi00,pass_td,0,,,,,
player,201312080den,oti,PresMi00,pass_int,0,,,,,
player,201312080den,oti,PresMi00,pass_sacked,0,,,,,
player,201312080den,oti,PresMi00,pass_sacked_yds,0,,,,,
player,201312080den,oti,PresMi00,pass_long,0,,,,,
