game,2013,5,20131006,201310060crd,car,"Carolina Panthers",6,crd,"Arizona Cardinals",22
team,201310060crd,car,First Downs,21,,,,,,
team,201310060crd,crd,First Downs,19,,,,,,
team,201310060crd,car,Rush-Yds-TDs,20-95-0,,,,,,
team,201310060crd,crd,Rush-Yds-TDs,28-90-1,,,,,,
team,201310060crd,car,Cmp-Att-Yd-TD-INT,21-39-308-0-3,,,,,,
team,201310060crd,crd,Cmp-Att-Yd-TD-INT,19-28-175-1-3,,,,,,
team,201310060crd,car,Sacked-Yards,7-50,,,,,,
team,201310060crd,crd,Sacked-Yards,2-15,,,,,,
team,201310060crd,car,Net Pass Yards,258,,,,,,
team,201310060crd,crd,Net Pass Yards,160,,,,,,
team,201310060crd,car,Total Yards,353,,,,,,
team,201310060crd,crd,Total Yards,250,,,,,,
team,201310060crd,car,Fumbles-Lost,1-1,,,,,,
team,201310060crd,crd,Fumbles-Lost,0-0,,,,,,
team,201310060crd,car,Turnovers,4,,,,,,
team,201310060crd,crd,Turnovers,3,,,,,,
team,201310060crd,car,Penalties-Yards,9-79,,,,,,
team,201310060crd,crd,Penalties-Yards,3-30,,,,,,
team,201310060crd,car,Third Down Conv.,5-12,,,,,,
team,201310060crd,crd,Third Down Conv.,4-12,,,,,,
team,201310060crd,car,Fourth Down Conv.,0-1,,,,,,
team,201310060crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201310060crd,car,Time of Possession,31:04,,,,,,
team,201310060crd,crd,Time of Possession,28:56,,,,,,
player,201310060crd,car,NewtCa00,pass_cmp,21,,,,,
player,201310060crd,car,NewtCa00,pass_att,39,,,,,
player,201310060crd,car,NewtCa00,pass_yds,308,,,,,
player,201310060crd,car,NewtCa00,pass_td,0,,,,,
player,201310060crd,car,NewtCa00,pass_int,3,,,,,
player,201310060crd,car,NewtCa00,pass_sacked,7,,,,,
player,201310060crd,car,NewtCa00,pass_sacked_yds,50,,,,,
player,201310060crd,car,NewtCa00,pass_long,32,,,,,
player,201310060crd,car,NewtCa00,pass_rating,47.8,,,,,
player,201310060crd,car,NewtCa00,rush_att,4,,,,,
player,201310060crd,car,NewtCa00,rush_yds,25,,,,,
player,201310060crd,car,NewtCa00,rush_td,0,,,,,
player,201310060crd,car,NewtCa00,rush_long,11,,,,,
