game,2013,2,20130915,201309150tam,nor,"New Orleans Saints",16,tam,"Tampa Bay Buccaneers",14
player,201309150tam,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201309150tam,nor,IngrMa01,pass_long,0,,,,,
player,201309150tam,nor,IngrMa01,pass_rating,,,,,,
player,201309150tam,nor,IngrMa01,rush_att,8,,,,,
player,201309150tam,nor,IngrMa01,rush_yds,20,,,,,
player,201309150tam,nor,IngrMa01,rush_td,0,,,,,
player,201309150tam,nor,IngrMa01,rush_long,8,,,,,
player,201309150tam,nor,IngrMa01,targets,1,,,,,
player,201309150tam,nor,IngrMa01,rec,0,,,,,
player,201309150tam,nor,IngrMa01,rec_yds,0,,,,,
player,201309150tam,nor,IngrMa01,rec_td,0,,,,,
player,201309150tam,nor,IngrMa01,rec_long,0,,,,,
player,201309150tam,nor,IngrMa01,fumbles,0,,,,,
player,201309150tam,nor,IngrMa01,fumbles_lost,0,,,,,
player,201309150tam,nor,GrahJi00,pass_cmp,0,,,,,
player,201309150tam,nor,GrahJi00,pass_att,0,,,,,
player,201309150tam,nor,GrahJi00,pass_yds,0,,,,,
player,201309150tam,nor,GrahJi00,pass_td,0,,,,,
player,201309150tam,nor,GrahJi00,pass_int,0,,,,,
player,201309150tam,nor,GrahJi00,pass_sacked,0,,,,,
player,201309150tam,nor,GrahJi00,pass_sacked_yds,0,,,,,
player,201309150tam,nor,GrahJi00,pass_long,0,,,,,
player,201309150tam,nor,GrahJi00,pass_rating,,,,,,
player,201309150tam,nor,GrahJi00,rush_att,0,,,,,
player,201309150tam,nor,GrahJi00,rush_yds,0,,,,,
player,201309150tam,nor,GrahJi00,rush_td,0,,,,,
player,201309150tam,nor,GrahJi00,rush_long,0,,,,,
player,201309150tam,nor,GrahJi00,targets,16,,,,,
player,201309150tam,nor,GrahJi00,rec,10,,,,,
player,201309150tam,nor,GrahJi00,rec_yds,179,,,,,
player,201309150tam,nor,GrahJi00,rec_td,1,,,,,
player,201309150tam,nor,GrahJi00,rec_long,56,,,,,
player,201309150tam,nor,GrahJi00,fumbles,0,,,,,
player,201309150tam,nor,GrahJi00,fumbles_lost,0,,,,,
player,201309150tam,nor,ColsMa00,pass_cmp,0,,,,,
player,201309150tam,nor,ColsMa00,pass_att,0,,,,,
player,201309150tam,nor,ColsMa00,pass_yds,0,,,,,
player,201309150tam,nor,ColsMa00,pass_td,0,,,,,
player,201309150tam,nor,ColsMa00,pass_int,0,,,,,
player,201309150tam,nor,ColsMa00,pass_sacked,0,,,,,
player,201309150tam,nor,ColsMa00,pass_sacked_yds,0,,,,,
player,201309150tam,nor,ColsMa00,pass_long,0,,,,,
player,201309150tam,nor,ColsMa00,pass_rating,,,,,,
player,201309150tam,nor,ColsMa00,rush_att,0,,,,,
player,201309150tam,nor,ColsMa00,rush_yds,0,,,,,
player,201309150tam,nor,ColsMa00,rush_td,0,,,,,
player,201309150tam,nor,ColsMa00,rush_long,0,,,,,
player,201309150tam,nor,ColsMa00,targets,7,,,,,
player,201309150tam,nor,ColsMa00,rec,4,,,,,
player,201309150tam,nor,ColsMa00,rec_yds,63,,,,,
player,201309150tam,nor,ColsMa00,rec_td,0,,,,,
player,201309150tam,nor,ColsMa00,rec_long,31,,,,,
player,201309150tam,nor,ColsMa00,fumbles,0,,,,,
player,201309150tam,nor,ColsMa00,fumbles_lost,0,,,,,
player,201309150tam,nor,MoorLa00,pass_cmp,0,,,,,
player,201309150tam,nor,MoorLa00,pass_att,0,,,,,
player,201309150tam,nor,MoorLa00,pass_yds,0,,,,,
player,201309150tam,nor,MoorLa00,pass_td,0,,,,,
player,201309150tam,nor,MoorLa00,pass_int,0,,,,,
player,201309150tam,nor,MoorLa00,pass_sacked,0,,,,,
player,201309150tam,nor,MoorLa00,pass_sacked_yds,0,,,,,
player,201309150tam,nor,MoorLa00,pass_long,0,,,,,
player,201309150tam,nor,MoorLa00,pass_rating,,,,,,
player,201309150tam,nor,MoorLa00,rush_att,0,,,,,
player,201309150tam,nor,MoorLa00,rush_yds,0,,,,,
player,201309150tam,nor,MoorLa00,rush_td,0,,,,,
player,201309150tam,nor,MoorLa00,rush_long,0,,,,,
player,201309150tam,nor,MoorLa00,targets,4,,,,,
player,201309150tam,nor,MoorLa00,rec,1,,,,,
player,201309150tam,nor,MoorLa00,rec_yds,15,,,,,
player,201309150tam,nor,MoorLa00,rec_td,0,,,,,
player,201309150tam,nor,MoorLa00,rec_long,15,,,,,
player,201309150tam,nor,MoorLa00,fumbles,0,,,,,
player,201309150tam,nor,MoorLa00,fumbles_lost,0,,,,,
player,201309150tam,nor,StilKe00,pass_cmp,0,,,,,
player,201309150tam,nor,StilKe00,pass_att,0,,,,,
player,201309150tam,nor,StilKe00,pass_yds,0,,,,,
player,201309150tam,nor,StilKe00,pass_td,0,,,,,
player,201309150tam,nor,StilKe00,pass_int,0,,,,,
player,201309150tam,nor,StilKe00,pass_sacked,0,,,,,
player,201309150tam,nor,StilKe00,pass_sacked_yds,0,,,,,
player,201309150tam,nor,StilKe00,pass_long,0,,,,,
player,201309150tam,nor,StilKe00,pass_rating,,,,,,
player,201309150tam,nor,StilKe00,rush_att,0,,,,,
player,201309150tam,nor,StilKe00,rush_yds,0,,,,,
player,201309150tam,nor,StilKe00,rush_td,0,,,,,
player,201309150tam,nor,StilKe00,rush_long,0,,,,,
player,201309150tam,nor,StilKe00,targets,1,,,,,
player,201309150tam,nor,StilKe00,rec,1,,,,,
player,201309150tam,nor,StilKe00,rec_yds,10,,,,,
player,201309150tam,nor,StilKe00,rec_td,0,,,,,
player,201309150tam,nor,StilKe00,rec_long,10,,,,,
player,201309150tam,nor,StilKe00,fumbles,0,,,,,
player,201309150tam,nor,StilKe00,fumbles_lost,0,,,,,
player,201309150tam,nor,CollJe01,pass_cmp,0,,,,,
player,201309150tam,nor,CollJe01,pass_att,0,,,,,
player,201309150tam,nor,CollJe01,pass_yds,0,,,,,
player,201309150tam,nor,CollJe01,pass_td,0,,,,,
player,201309150tam,nor,CollJe01,pass_int,0,,,,,
player,201309150tam,nor,CollJe01,pass_sacked,0,,,,,
player,201309150tam,nor,CollJe01,pass_sacked_yds,0,,,,,
player,201309150tam,nor,CollJe01,pass_long,0,,,,,
player,201309150tam,nor,CollJe01,pass_rating,,,,,,
player,201309150tam,nor,CollJe01,rush_att,0,,,,,
player,201309150tam,nor,CollJe01,rush_yds,0,,,,,
player,201309150tam,nor,CollJe01,rush_td,0,,,,,
player,201309150tam,nor,CollJe01,rush_long,0,,,,,
player,201309150tam,nor,CollJe01,targets,1,,,,,
player,201309150tam,nor,CollJe01,rec,0,,,,,
player,201309150tam,nor,CollJe01,rec_yds,0,,,,,
player,201309150tam,nor,CollJe01,rec_td,0,,,,,
player,201309150tam,nor,CollJe01,rec_long,0,,,,,
player,201309150tam,nor,CollJe01,fumbles,0,,,,,
player,201309150tam,nor,CollJe01,fumbles_lost,0,,,,,
player,201309150tam,nor,MeacRo00,pass_cmp,0,,,,,
player,201309150tam,nor,MeacRo00,pass_att,0,,,,,
player,201309150tam,nor,MeacRo00,pass_yds,0,,,,,
player,201309150tam,nor,MeacRo00,pass_td,0,,,,,
player,201309150tam,nor,MeacRo00,pass_int,0,,,,,
player,201309150tam,nor,MeacRo00,pass_sacked,0,,,,,
player,201309150tam,nor,MeacRo00,pass_sacked_yds,0,,,,,
player,201309150tam,nor,MeacRo00,pass_long,0,,,,,
player,201309150tam,nor,MeacRo00,pass_rating,,,,,,
player,201309150tam,nor,MeacRo00,rush_att,0,,,,,
player,201309150tam,nor,MeacRo00,rush_yds,0,,,,,
player,201309150tam,nor,MeacRo00,rush_td,0,,,,,
player,201309150tam,nor,MeacRo00,rush_long,0,,,,,
player,201309150tam,nor,MeacRo00,targets,1,,,,,
player,201309150tam,nor,MeacRo00,rec,0,,,,,
player,201309150tam,nor,MeacRo00,rec_yds,0,,,,,
player,201309150tam,nor,MeacRo00,rec_td,0,,,,,
player,201309150tam,nor,MeacRo00,rec_long,0,,,,,
player,201309150tam,nor,MeacRo00,fumbles,0,,,,,
player,201309150tam,nor,MeacRo00,fumbles_lost,0,,,,,
player,201309150tam,tam,FreeJo00,pass_cmp,9,,,,,
player,201309150tam,tam,FreeJo00,pass_att,22,,,,,
player,201309150tam,tam,FreeJo00,pass_yds,125,,,,,
player,201309150tam,tam,FreeJo00,pass_td,1,,,,,
player,201309150tam,tam,FreeJo00,pass_int,1,,,,,
player,201309150tam,tam,FreeJo00,pass_sacked,1,,,,,
player,201309150tam,tam,FreeJo00,pass_sacked_yds,12,,,,,
player,201309150tam,tam,FreeJo00,pass_long,34,,,,,
player,201309150tam,tam,FreeJo00,pass_rating,56.1,,,,,
player,201309150tam,tam,FreeJo00,rush_att,3,,,,,
player,201309150tam,tam,FreeJo00,rush_yds,16,,,,,
player,201309150tam,tam,FreeJo00,rush_td,0,,,,,
player,201309150tam,tam,FreeJo00,rush_long,13,,,,,
player,201309150tam,tam,FreeJo00,targets,0,,,,,
player,201309150tam,tam,FreeJo00,rec,0,,,,,
player,201309150tam,tam,FreeJo00,rec_yds,0,,,,,
player,201309150tam,tam,FreeJo00,rec_td,0,,,,,
player,201309150tam,tam,FreeJo00,rec_long,0,,,,,
player,201309150tam,tam,FreeJo00,fumbles,1,,,,,
player,201309150tam,tam,FreeJo00,fumbles_lost,1,,,,,
player,201309150tam,tam,MartDo00,pass_cmp,0,,,,,
player,201309150tam,tam,MartDo00,pass_att,0,,,,,
player,201309150tam,tam,MartDo00,pass_yds,0,,,,,
player,201309150tam,tam,MartDo00,pass_td,0,,,,,
player,201309150tam,tam,MartDo00,pass_int,0,,,,,
player,201309150tam,tam,MartDo00,pass_sacked,0,,,,,
player,201309150tam,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201309150tam,tam,MartDo00,pass_long,0,,,,,
