game,2013,3,20130922,201309220oti,sdg,"San Diego Chargers",17,oti,"Tennessee Titans",20
team,201309220oti,sdg,First Downs,19,,,,,,
team,201309220oti,oti,First Downs,23,,,,,,
team,201309220oti,sdg,Rush-Yds-TDs,27-102-1,,,,,,
team,201309220oti,oti,Rush-Yds-TDs,29-170-1,,,,,,
team,201309220oti,sdg,Cmp-Att-Yd-TD-INT,20-24-184-1-0,,,,,,
team,201309220oti,oti,Cmp-Att-Yd-TD-INT,23-37-299-1-0,,,,,,
team,201309220oti,sdg,Sacked-Yards,2-9,,,,,,
team,201309220oti,oti,Sacked-Yards,2-17,,,,,,
team,201309220oti,sdg,Net Pass Yards,175,,,,,,
team,201309220oti,oti,Net Pass Yards,282,,,,,,
team,201309220oti,sdg,Total Yards,277,,,,,,
team,201309220oti,oti,Total Yards,452,,,,,,
team,201309220oti,sdg,Fumbles-Lost,1-1,,,,,,
team,201309220oti,oti,Fumbles-Lost,2-0,,,,,,
team,201309220oti,sdg,Turnovers,1,,,,,,
team,201309220oti,oti,Turnovers,0,,,,,,
team,201309220oti,sdg,Penalties-Yards,5-45,,,,,,
team,201309220oti,oti,Penalties-Yards,11-116,,,,,,
team,201309220oti,sdg,Third Down Conv.,3-9,,,,,,
team,201309220oti,oti,Third Down Conv.,6-14,,,,,,
team,201309220oti,sdg,Fourth Down Conv.,0-0,,,,,,
team,201309220oti,oti,Fourth Down Conv.,1-2,,,,,,
team,201309220oti,sdg,Time of Possession,28:22,,,,,,
team,201309220oti,oti,Time of Possession,31:38,,,,,,
player,201309220oti,sdg,RivePh00,pass_cmp,20,,,,,
player,201309220oti,sdg,RivePh00,pass_att,24,,,,,
player,201309220oti,sdg,RivePh00,pass_yds,184,,,,,
player,201309220oti,sdg,RivePh00,pass_td,1,,,,,
player,201309220oti,sdg,RivePh00,pass_int,0,,,,,
player,201309220oti,sdg,RivePh00,pass_sacked,2,,,,,
player,201309220oti,sdg,RivePh00,pass_sacked_yds,9,,,,,
player,201309220oti,sdg,RivePh00,pass_long,34,,,,,
player,201309220oti,sdg,RivePh00,pass_rating,112.5,,,,,
